会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
小川運送株式会社,1190001000203,ビジネス > 運送・貨物・倉庫,〒514-0817三重県津市高茶屋小森町2877-4,0592347788（059-234-7788）,12000（千円）,代表取締役社長／小川　成（オガワ シゲル）
株式会社日商,1190001003602,ビジネス > 運送・貨物・倉庫,〒519-0166三重県亀山市布気町550-4,0595842424（0595-84-2424）,50000（千円）,代表取締役社長／笠井　紀彦（カサイ トシヒコ）
協同海運株式会社,1190001014698,ビジネス > 運送・貨物・倉庫,〒510-0059三重県四日市市尾上町13-7,0593525135（059-352-5135）,47900（千円）,代表取締役社長／後藤　弘巳（ゴトウ ヒロミ）
四日市いづみ運輸株式会社,1190001016686,ビジネス > 運送・貨物・倉庫,〒510-0012三重県四日市市大字羽津乙925,0593326814（059-332-6814）,"",""
有限会社稲一商店,1190002002578,ビジネス > 運送・貨物・倉庫,〒514-2211三重県津市芸濃町椋本字西冨家2662番3,0592661616（059-266-1616）,5000（千円）,稲垣　充（イナガキ ミツル）
有限会社ティーエス・キャリー,1190002006744,ビジネス > 運送・貨物・倉庫,〒510-0226三重県鈴鹿市岸岡町3090-50,0593806850（059-380-6850）,5000（千円）,杉浦　次雄（スギウラ ツギオ）
有限会社桑員トラック,1190002016751,ビジネス > 運送・貨物・倉庫,〒511-0838三重県桑名市和泉字ホノ割536,0594226788（0594-22-6788）,"",""
久志本運輸有限会社,1190002019969,ビジネス > 運送・貨物・倉庫,〒510-0058三重県四日市市西末広町4-7,0593510066（059-351-0066）,12000（千円）,久志本　忠司（クシモト タダシ）
有限会社鋼建運輸,1190002020076,ビジネス > 運送・貨物・倉庫,〒510-0951三重県四日市市小古曽東1-4-41,0593460155（059-346-0155）,"",""
株式会社中部ロジス,2190001003246,ビジネス > 運送・貨物・倉庫,〒514-1254三重県津市森町2165-23,0592543718（059-254-3718）,5000（千円）,樋廻　健次（ヒマワリ ケンジ）
中川運輸株式会社,2190001006851,ビジネス > 運送・貨物・倉庫,〒519-0414三重県度会郡玉城町佐田字大久保道北733-1,0596586336（0596-58-6336）,"",""
株式会社ナントラ,2190001011018,ビジネス > 運送・貨物・倉庫,〒515-0321三重県多気郡明和町斎宮2593-1,0596527101（0596-52-7101）,15400（千円）,代表取締役社長／河邊　斉（カワベ ヒトシ）
清水運輸株式会社,2190001015150,ビジネス > 運送・貨物・倉庫,〒510-0032三重県四日市市京町4-5,0593318271（059-331-8271）,"",""
昭永工業株式会社,2190001015159,ビジネス > 運送・貨物・倉庫,〒510-0851三重県四日市市塩浜町1,0593451481（059-345-1481）,30000（千円）,代表取締役社長／廣田　武（ヒロタ タケシ）
中央物流株式会社,2190001017221,ビジネス > 運送・貨物・倉庫,〒510-0971三重県四日市市南小松町2572-10,0593228888（059-322-8888）,10000（千円）,平賀　憲人（ヒラガ ノリヒト）
