会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
山下運送株式会社,1130001002106,ビジネス > 運送・貨物・倉庫,〒616-8347京都府京都市右京区嵯峨中又町1,0758610930（075-861-0930）,10000（千円）,山下　哲弥（ヤマシタ テツヤ）
株式会社山田運輸,1130001011924,ビジネス > 運送・貨物・倉庫,〒601-8112京都府京都市南区上鳥羽勧進橋町26,0756916723（075-691-6723）,"",""
株式会社日本サルベージサービス,1130001012229,ビジネス > 運送・貨物・倉庫,京都府京都市南区吉祥院観音堂南町1番1,0756628884（075-662-8884）,30000（千円）,代表取締役社長／大崎　康弘（オオサキ ヤスヒロ）
株式会社ケイエムケイ,1130001020652,ビジネス > 運送・貨物・倉庫,〒612-8443京都府京都市伏見区竹田藁屋町90,0756127341（075-612-7341）,"",""
株式会社芦田通商,1130001028951,ビジネス > 運送・貨物・倉庫,〒610-1123京都府京都市西京区大原野上里南ノ町3,0753331399（075-333-1399）,3000（千円）,芦田　和久（アシダ カズヒサ）
珠城運輸株式会社,1130001033480,ビジネス > 運送・貨物・倉庫,〒613-0022京都府久世郡久御山町市田新珠城146-3,0774448048（0774-44-8048）,30000（千円）,西村　新一（ニシムラ シンイチ）
有限会社大川組,1130002028678,ビジネス > 運送・貨物・倉庫,〒629-1116京都府船井郡京丹波町市場家田1,0771840585（0771-84-0585）,"",""
ユタカ運送株式会社,2130001002162,ビジネス > 運送・貨物・倉庫,〒615-0805京都府京都市右京区西京極東池田町38,0753117175（075-311-7175）,"",""
アオイ自動車株式会社,2130001005792,ビジネス > 運送・貨物・倉庫,〒606-8005京都府京都市左京区山端川岸町38・39-2,0757817188（075-781-7188）,"",""
株式会社太陽コーポレーション,2130001011080,ビジネス > 運送・貨物・倉庫,〒601-8349京都府京都市南区吉祥院池田町23,0756815557（075-681-5557）,"",""
株式会社マット,2130001015692,ビジネス > 運送・貨物・倉庫,〒612-8414京都府京都市伏見区竹田段川原町35,0756461237（075-646-1237）,"",""
京丹運輸株式会社,2130001030015,ビジネス > 運送・貨物・倉庫,〒617-0833京都府長岡京市神足典薬15-8,0759539632（075-953-9632）,"",""
株式会社ホーミー,2130001033703,ビジネス > 運送・貨物・倉庫,〒613-0023京都府久世郡久御山町野村村東208,0774446844（0774-44-6844）,"",""
ティービー株式会社,2130001033950,ビジネス > 運送・貨物・倉庫,〒611-0041京都府宇治市槇島町目川173,0774200761（0774-20-0761）,"",""
ファーストリンク株式会社,2130001041846,ビジネス > 運送・貨物・倉庫,〒623-0003京都府綾部市城山町3-2,0773401270（0773-40-1270）,"",""
有限会社大橋運送,2130002000330,ビジネス > 運送・貨物・倉庫,〒612-8494京都府京都市伏見区久我東町6-9,0759323280（075-932-3280）,"",""
有限会社白石産業,2130002030724,ビジネス > 運送・貨物・倉庫,〒610-0302京都府綴喜郡井手町井手野畑17-4,0774825518（0774-82-5518）,"",""
株式会社田端工業,3130001011146,ビジネス > 運送・貨物・倉庫,〒601-8111京都府京都市南区上鳥羽苗代町28,0756723181（075-672-3181）,"",""
マルコーデリバリーサービス株式会社,3130001011732,ビジネス > 運送・貨物・倉庫,〒601-8178京都府京都市南区上鳥羽戒光37-2,0756621234（075-662-1234）,"",""
株式会社エイチアールエス,3130001024395,ビジネス > 運送・貨物・倉庫,京都府長岡京市神足橋本15-6,0759583230（075-958-3230）,"",""
株式会社藪内運輸,3130001027910,ビジネス > 運送・貨物・倉庫,〒601-8204京都府京都市南区久世東土川町279,0759323763（075-932-3763）,12000（千円）,藪内　利治（ヤブウチ トシハル）
株式会社早喜,3130001033727,ビジネス > 運送・貨物・倉庫,〒613-0036京都府久世郡久御山町田井新荒見37-1,0774462782（0774-46-2782）,10000（千円）,早邊　芳晴（ハヤベ ヨシハル）
株式会社ファーストライン,3130001041531,ビジネス > 運送・貨物・倉庫,〒620-1444京都府福知山市三和町芦渕347,0773275251（0773-27-5251）,"",""
有限会社阿部商店,3130002027835,ビジネス > 運送・貨物・倉庫,〒614-8182京都府八幡市上津屋南村5,0759836848（075-983-6848）,10000（千円）,阿部　倫士（アベ ミチオ）
中井工業株式会社,4010001196675,ビジネス > 運送・貨物・倉庫,〒602-8441京都府京都市上京区大宮通今出川上ル観世町117,0754310171（075-431-0171）,"",""
株式会社室戸ライン運輸,4130001007432,ビジネス > 運送・貨物・倉庫,〒606-0043京都府京都市左京区上高野古川町24,0757221545（075-722-1545）,10000（千円）,室戸　享一（ムロト キヨウイチ）
美山運輸株式会社,4130001011806,ビジネス > 運送・貨物・倉庫,〒601-8355京都府京都市南区吉祥院石原堂ノ後町43,0756937757（075-693-7757）,"",""
有限会社川相運送,4130002000444,ビジネス > 運送・貨物・倉庫,〒616-8113京都府京都市右京区太秦野元町4-20,0758711649（075-871-1649）,"",""
有限会社中野運送店,4130002014527,ビジネス > 運送・貨物・倉庫,〒613-0904京都府京都市伏見区淀池上町34,0756312645（075-631-2645）,3500（千円）,栗林　慶次（クリバヤシ ケイジ）
有限会社ミウラ,4130002028700,ビジネス > 運送・貨物・倉庫,〒629-1143京都府船井郡京丹波町出野下ノ成9,0771841153（0771-84-1153）,"",""
上辻運送有限会社,4130002034211,ビジネス > 運送・貨物・倉庫,〒624-0913京都府舞鶴市上安久小字洲崎651,0773764092（0773-76-4092）,19000（千円）,奥岩　隆広（オクイワ タカヒロ）
中井工業株式会社,5130001003463,ビジネス > 運送・貨物・倉庫,〒602-8441京都府京都市上京区大宮通今出川上ル観世町117,0754310171（075-431-0171）,"",""
マコト運輸株式会社,5130001015665,ビジネス > 運送・貨物・倉庫,〒612-0815京都府京都市伏見区深草飯食山町1-12,0756433128（075-643-3128）,10000（千円）,高田　富江（タカダ トミエ）
松本運送株式会社,5130001018833,ビジネス > 運送・貨物・倉庫,〒600-8899京都府京都市下京区西七条赤社町46,0753137668（075-313-7668）,"",""
才賀運輸株式会社,5130001020822,ビジネス > 運送・貨物・倉庫,〒601-8037京都府京都市南区東九条西河辺町51,0756611866（075-661-1866）,"",""
株式会社まるたけ,5130001022678,ビジネス > 運送・貨物・倉庫,〒604-8085京都府京都市中京区麩屋町通三条上ル下白山町294,0752215757（075-221-5757）,"",""
株式会社ＩＮＧコーポレーション,5130001029500,ビジネス > 運送・貨物・倉庫,〒612-8498京都府京都市伏見区下鳥羽中円面田町18,0756123977（075-612-3977）,"",""
株式会社アイステーション,5130001033709,ビジネス > 運送・貨物・倉庫,〒613-0036京都府久世郡久御山町田井向野40,0774411511（0774-41-1511）,"",""
有限会社協和配送センター,5130002000518,ビジネス > 運送・貨物・倉庫,〒615-0056京都府京都市右京区西院西貝川町58,0758720188（075-872-0188）,15000（千円）,石堂　昌宏（イシドウ マサヒロ）
有限会社藤建,5130002020895,ビジネス > 運送・貨物・倉庫,〒606-0015京都府京都市左京区岩倉幡枝町816,0757221219（075-722-1219）,"",""
有限会社タガミ運送,5130002029383,ビジネス > 運送・貨物・倉庫,〒621-0011京都府亀岡市大井町土田3-41,0771226552（0771-22-6552）,3000（千円）,田上　政男（タウエ マサオ）
有限会社らくよう建工,5130002031546,ビジネス > 運送・貨物・倉庫,〒610-0121京都府城陽市寺田東ノ口44-43,0774562455（0774-56-2455）,7000（千円）,村瀬　咲子（ムラセ サキコ）
有限会社秋田クレーン,5130002034103,ビジネス > 運送・貨物・倉庫,〒625-0031京都府舞鶴市愛宕中町2-6,0773633261（0773-63-3261）,10000（千円）,秋田　幸秀（アキタ ユキヒデ）
株式会社グローバル,6130001000658,ビジネス > 運送・貨物・倉庫,〒615-0821京都府京都市右京区西京極北裏町27番地5,0753127988（075-312-7988）,"",""
株式会社山川運送,6130001009749,ビジネス > 運送・貨物・倉庫,〒612-8487京都府京都市伏見区羽束師菱川町395,0759324333（075-932-4333）,25000（千円）,山川　作三（ヤマカワ サクゾウ）
ジーエス・ロジテック株式会社,6130001010789,ビジネス > 運送・貨物・倉庫,〒601-8310京都府京都市南区吉祥院西ノ庄猪之馬場町1,0753121223（075-312-1223）,"",""
伏見貨物株式会社,6130001018659,ビジネス > 運送・貨物・倉庫,〒601-8046京都府京都市南区東九条西山町20,0756610101（075-661-0101）,"",""
宇治急送株式会社,6130001032354,ビジネス > 運送・貨物・倉庫,〒611-0043京都府宇治市伊勢田町砂田88-1,0774235451（0774-23-5451）,"",""
北信運輸株式会社,6130001033633,ビジネス > 運送・貨物・倉庫,〒613-0023京都府久世郡久御山町野村村東72-1,0756313457（075-631-3457）,50000（千円）,代表取締役社長／高　玄一郎（タカ ゲンイチロウ）
株式会社竹田,6130001034672,ビジネス > 運送・貨物・倉庫,〒617-0825京都府長岡京市一文橋2-22-25,"","",""
株式会社アクティブ,6130001038285,ビジネス > 運送・貨物・倉庫,〒610-0111京都府城陽市富野森山33-4,0774566006（0774-56-6006）,"",""
ケイアイ物流株式会社,6130001039275,ビジネス > 運送・貨物・倉庫,〒614-8183京都府八幡市上津屋西久保123-1,0759712288（075-971-2288）,12600（千円）,池本　章彦（イケモト アキヒコ）
株式会社舞京通商,6130001043970,ビジネス > 運送・貨物・倉庫,〒625-0080京都府舞鶴市北吸1006-6,0773620720（0773-62-0720）,21500（千円）,藤田　康夫（フジタ ヤスオ）
有限会社松見運輸,6130002030480,ビジネス > 運送・貨物・倉庫,〒614-8113京都府八幡市川口萩原12-4,0759722430（075-972-2430）,12500（千円）,松見　一郎（マツミ イチロウ）
株式会社宇田運輸,7130001010061,ビジネス > 運送・貨物・倉庫,〒601-8372京都府京都市南区吉祥院嶋高町36,0756821657（075-682-1657）,"",""
昭和梱包株式会社,7130001012826,ビジネス > 運送・貨物・倉庫,京都府京都市山科区勧修寺冷尻100番地,0755925559（075-592-5559）,"",""
株式会社シスコ,7130001014780,ビジネス > 運送・貨物・倉庫,〒601-8182京都府京都市南区上鳥羽北島田町99,0756942255（075-694-2255）,"",""
田中運輸株式会社,7130001015011,ビジネス > 運送・貨物・倉庫,〒612-8394京都府京都市伏見区下鳥羽西芹川町21,0756114163（075-611-4163）,"",""
株式会社長田運送,7130001015242,ビジネス > 運送・貨物・倉庫,〒612-8209京都府京都市伏見区下鳥羽南六反長町1,0756220329（075-622-0329）,"",""
株式会社京都サービス便,7130001016208,ビジネス > 運送・貨物・倉庫,〒612-8236京都府京都市伏見区横大路下三栖里ノ内78-1,0756227620（075-622-7620）,15000（千円）,佐野　英樹（サノ ヒデキ）
株式会社山口梱包,7130001022949,ビジネス > 運送・貨物・倉庫,〒604-8084京都府京都市中京区富小路通三条上ル福長町116,0752230231（075-223-0231）,"",""
田中運送株式会社,7130001027130,ビジネス > 運送・貨物・倉庫,〒612-8252京都府京都市伏見区横大路一本木1-17,0756032288（075-603-2288）,"",""
橋本商運株式会社,7130001030381,ビジネス > 運送・貨物・倉庫,〒613-0036京都府久世郡久御山町田井東荒見52-1,0774451771（0774-45-1771）,10000（千円）,石割　弘二（イシワリ コウジ）
丸正運送株式会社,7130001030464,ビジネス > 運送・貨物・倉庫,〒617-0006京都府向日市上植野町芝ヶ本17,0759217341（075-921-7341）,"",""
株式会社佐野運輸,7130001033418,ビジネス > 運送・貨物・倉庫,〒613-0024京都府久世郡久御山町森村東222-2,0756318925（075-631-8925）,"",""
株式会社双恵産業,7130001033921,ビジネス > 運送・貨物・倉庫,〒613-0021京都府久世郡久御山町東一口小字丸島100-1,0756317631（075-631-7631）,10000（千円）,代表取締役社長／上田　朋來（ウエダ トモキ）
日本交通株式会社,7130001041214,ビジネス > 運送・貨物・倉庫,〒620-0000京都府福知山市篠尾小字長ヶ坪115-11,0773223001（0773-22-3001）,"",""
舞鶴運輸株式会社,7130001043648,ビジネス > 運送・貨物・倉庫,〒624-0945京都府舞鶴市喜多1105-16,0773753127（0773-75-3127）,"",""
