会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
オフクコーポレーション有限会社,1300002000041,ビジネス > 運送・貨物・倉庫,〒840-0047佐賀県佐賀市与賀町6-12,0952232077（0952-23-2077）,"",""
有限会社ロードス,1300002009280,ビジネス > 運送・貨物・倉庫,〒841-0061佐賀県鳥栖市轟木町952-1,0942840180（0942-84-0180）,"",""
久米運送株式会社,2300001000594,ビジネス > 運送・貨物・倉庫,〒840-0214佐賀県佐賀市大和町川上2840-3,0952979057（0952-97-9057）,"",""
有限会社ユーアイ,2300002009271,ビジネス > 運送・貨物・倉庫,〒841-0048佐賀県鳥栖市藤木町1471-2,0942836390（0942-83-6390）,"",""
株式会社田和通商,4300001005765,ビジネス > 運送・貨物・倉庫,佐賀県西松浦郡有田町戸矢乙771-1,0955426300（0955-42-6300）,10000（千円）,代表取締役社長／田中　篤（タナカ アツシ）
株式会社キューホク物流,4300001007893,ビジネス > 運送・貨物・倉庫,〒840-2104佐賀県佐賀市諸富町徳富47-3,"",3000（千円）,吉原　昇（ヨシハラ ノボル）
有限会社サンクス,4300002008949,ビジネス > 運送・貨物・倉庫,〒841-0073佐賀県鳥栖市江島町2262-4,0942841866（0942-84-1866）,"",""
有限会社チクホーロジコム,4300002009567,ビジネス > 運送・貨物・倉庫,〒841-0023佐賀県鳥栖市姫方町329-1,0942836664（0942-83-6664）,8000（千円）,村田　穗高（ムラタ ホダカ）
有限会社柳屋,5300002008584,ビジネス > 運送・貨物・倉庫,佐賀県西松浦郡有田町赤坂丙2351番地169,0955432039（0955-43-2039）,"",""
有限会社富士運送,5300002010870,ビジネス > 運送・貨物・倉庫,〒849-3231佐賀県唐津市相知町牟田部1131-1,0955518331（0955-51-8331）,"",""
株式会社東西運輸,6300001003296,ビジネス > 運送・貨物・倉庫,佐賀県多久市東多久町大字別府3502番地1,0952762930（0952-76-2930）,20000（千円）,代表取締役社長／貞松　計行（サダマツ カズユキ）
有限会社イーグルライン,6300002002347,ビジネス > 運送・貨物・倉庫,〒840-2104佐賀県佐賀市諸富町徳富75-2,0952347173（0952-34-7173）,"",""
有限会社藤川興業,6300002005085,ビジネス > 運送・貨物・倉庫,〒846-0031佐賀県多久市多久町488-1,0952755075（0952-75-5075）,10000（千円）,藤川　大介（フジカワ ダイスケ）
有限会社木下運輸,6300002008864,ビジネス > 運送・貨物・倉庫,〒841-0074佐賀県鳥栖市西新町1422-257,0942850106（0942-85-0106）,"",""
株式会社田島運送,8290001047772,ビジネス > 運送・貨物・倉庫,〒841-0072佐賀県鳥栖市村田町907-2,0942483320（0942-48-3320）,"",""
株式会社ソクト,8300001000192,ビジネス > 運送・貨物・倉庫,〒840-0034佐賀県佐賀市西与賀町厘外1338-2,"",95000（千円）,中村　栄一（ナカムラ エイイチ）
株式会社富士建設,8300001003724,ビジネス > 運送・貨物・倉庫,〒840-0521佐賀県佐賀市富士町小副川553-2,0952642347（0952-64-2347）,"",""
アサヒ通運株式会社,8300001006537,ビジネス > 運送・貨物・倉庫,〒841-0073佐賀県鳥栖市江島町1677-1,0942878511（0942-87-8511）,98000（千円）,筒井　義文（ツツイ ヨシフミ）
みやき運送有限会社,8300002009241,ビジネス > 運送・貨物・倉庫,〒841-0024佐賀県鳥栖市原町1314,0942823181（0942-82-3181）,"",""
株式会社富士建,9300001003723,ビジネス > 運送・貨物・倉庫,〒840-0521佐賀県佐賀市富士町小副川553-2,0952642347（0952-64-2347）,"",""
株式会社ソクト運輸,9300001005422,ビジネス > 運送・貨物・倉庫,〒840-0034佐賀県佐賀市西与賀町厘外1338-2,"",95000（千円）,中村　栄一（ナカムラ エイイチ）
石橋工業有限会社,9300002009018,ビジネス > 運送・貨物・倉庫,〒841-0027佐賀県鳥栖市松原町1802-3,0942823774（0942-82-3774）,"",""
有限会社大運丸,9300002010933,ビジネス > 運送・貨物・倉庫,〒847-1523佐賀県唐津市肥前町星賀乙911,"",5000（千円）,石田　良隆（イシダ ヨシタカ）
