会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
灘タクシー株式会社,1140001003788,ビジネス > 運送・貨物・倉庫,兵庫県神戸市灘区灘北通10丁目1番8号,0788612563（078-861-2563）,"",""
株式会社シー・リンク,1140001022573,ビジネス > 運送・貨物・倉庫,〒650-0045兵庫県神戸市中央区港島5-3PC-8,0783030152（078-303-0152）,10000（千円）,長手　幹雄（ナガテ ミキオ）
株式会社神戸エスアールシー,1140001023349,ビジネス > 運送・貨物・倉庫,〒658-0024兵庫県神戸市東灘区魚崎浜町42,0784412612（078-441-2612）,20000（千円）,土井　寛（ドイ ヒロシ）
株式会社丸三組,1140001023902,ビジネス > 運送・貨物・倉庫,〒650-0045兵庫県神戸市中央区港島8-12,0783042526（078-304-2526）,10000（千円）,北村　欣也（キタムラ キンヤ）
株式会社石原商会,1140001040492,ビジネス > 運送・貨物・倉庫,〒679-4017兵庫県たつの市揖西町土師1-104,"","",""
西丹陸運株式会社,1140001041417,ビジネス > 運送・貨物・倉庫,〒669-3466兵庫県丹波市氷上町稲継211-1,0795828217（0795-82-8217）,10000（千円）,西田　宣久（ニシダ ノリヒサ）
山本運輸株式会社,1140001046630,ビジネス > 運送・貨物・倉庫,〒667-0112兵庫県養父市養父市,0796650344（079-665-0344）,"",""
株式会社興和,1140001058790,ビジネス > 運送・貨物・倉庫,〒670-0993兵庫県姫路市千代田町740-2-813,0792960569（079-296-0569）,"",""
阪神デーリー運輸株式会社,1140001093037,ビジネス > 運送・貨物・倉庫,〒663-8114兵庫県西宮市上甲子園4-7-31,0798223806（0798-22-3806）,"",""
有限会社ハヤシ,1140002015485,ビジネス > 運送・貨物・倉庫,〒651-0082兵庫県神戸市中央区小野浜町8-48神戸倉庫小野浜第3倉庫,0783327281（078-332-7281）,"",""
有限会社寺田運輸,1140002019354,ビジネス > 運送・貨物・倉庫,〒651-2214兵庫県神戸市西区富士見が丘5-14-21,0789952464（078-995-2464）,"",""
大沢海運建設有限会社,1140002047124,ビジネス > 運送・貨物・倉庫,〒672-0102兵庫県姫路市家島町宮1631,0793250272（079-325-0272）,3000（千円）,大沢　政彦（オオサワ マサヒコ）
