会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
苫小牧市,1000020012131,ビジネス > 運送・貨物・倉庫,〒059-1272北海道苫小牧市のぞみ町2-4-16,0144676788（0144-67-6788）,"",""
安全運輸建設株式会社,1430001000500,ビジネス > 運送・貨物・倉庫,〒006-0835北海道札幌市手稲区曙5条5-6-14,0116946166（011-694-6166）,10000（千円）,成田　孝行（ナリタ タカユキ）
朝日交通株式会社,1430001000616,ビジネス > 運送・貨物・倉庫,〒063-0804北海道札幌市西区二十四軒4条1-5-4,0116446571（011-644-6571）,"",""
共栄運送株式会社,1430001004534,ビジネス > 運送・貨物・倉庫,〒007-0834北海道札幌市東区北34条東27-1-15,0117846817（011-784-6817）,"",""
さくら運輸株式会社,1430001006621,ビジネス > 運送・貨物・倉庫,〒063-0833北海道札幌市西区発寒13条13-2-40,0116619477（011-661-9477）,"",""
株式会社シズナイロゴス,1430001007470,ビジネス > 運送・貨物・倉庫,〒003-0030北海道札幌市白石区流通センター7-8-21,0118938711（011-893-8711）,75005（千円）,代表取締役社長／伊藤　功一郎（イトウ コウイチロウ）
株式会社大真運輸,1430001009384,ビジネス > 運送・貨物・倉庫,〒065-0019北海道札幌市東区北19条東1-4-14,0117531161（011-753-1161）,10000（千円）,堀江　眞砂幸（ホリエ マサユキ）
株式会社荷造梱包ルートサービス,1430001012636,ビジネス > 運送・貨物・倉庫,〒063-0830北海道札幌市西区発寒10条6-1-1,0116612416（011-661-2416）,"",""
日通札幌市場荷扱サービス株式会社,1430001012818,ビジネス > 運送・貨物・倉庫,〒060-0012北海道札幌市中央区北12条西20-2-1札幌中央卸売市場内,0116417411（011-641-7411）,12000（千円）,代表取締役社長／山田　哲己（ヤマダ ヒロミ）
株式会社川建興業,1430001027832,ビジネス > 運送・貨物・倉庫,〒063-0828北海道札幌市西区発寒8条14-516-69,0116666762（011-666-6762）,10000（千円）,川村　浩之（カワムラ ヒロユキ）
北新輸送株式会社,1430001038805,ビジネス > 運送・貨物・倉庫,〒005-0850北海道札幌市南区石山東1-2-21,"",10000（千円）,中川　洋祐（ナカガワ ヨウスケ）
永井運輸株式会社,1430001042559,ビジネス > 運送・貨物・倉庫,〒067-0064北海道江別市上江別470,0113825554（011-382-5554）,"",""
株式会社田中運送,1430001047467,ビジネス > 運送・貨物・倉庫,〒068-0005北海道岩見沢市5条東8-1,0126223539（0126-22-3539）,"",""
幸和運輸株式会社,1430001049950,ビジネス > 運送・貨物・倉庫,〒047-0008北海道小樽市築港7-12,0134293335（0134-29-3335）,"",""
北海道トランスネット株式会社,1430001051304,ビジネス > 運送・貨物・倉庫,〒047-0007北海道小樽市港町1-2,0134315200（0134-31-5200）,"",""
株式会社北海荷役輸送,1430001054752,ビジネス > 運送・貨物・倉庫,〒053-0005北海道苫小牧市元中野町2-20-1,0144316255（0144-31-6255）,3000（千円）,田川　宏尚（タガワ ヒロタカ）
岡村物流株式会社,1430001056600,ビジネス > 運送・貨物・倉庫,〒050-0083北海道室蘭市東町3-2-3,0143452271（0143-45-2271）,22000（千円）,代表取締役社長／岡村　貞吉（オカムラ サダヨシ）
有限会社石井自動車,1430002001530,ビジネス > 運送・貨物・倉庫,〒062-0922北海道札幌市豊平区中の島2条3-6-18石井ビル,0118115644（011-811-5644）,"",""
有限会社ヒット物流,1430002044018,ビジネス > 運送・貨物・倉庫,〒061-3205北海道石狩市花川南5条1-182,0133744776（0133-74-4776）,"",""
有限会社シンドウ興業,1430002058835,ビジネス > 運送・貨物・倉庫,〒053-0005北海道苫小牧市元中野町2-13-24,0144353720（0144-35-3720）,3000（千円）,新堂　勝美（シンドウ カツミ）
有限会社ヒロヤス運輸,1430002061780,ビジネス > 運送・貨物・倉庫,〒056-0141北海道日高郡新ひだか町静内御園29-13,0146468077（0146-46-8077）,"",""
ヤスオカ運輸株式会社,1440001002454,ビジネス > 運送・貨物・倉庫,〒041-0824北海道函館市西桔梗町589-154,0138495656（0138-49-5656）,10000（千円）,小沢　繁雄（オザワ シゲオ）
ヤマカ運輸株式会社,1440001002479,ビジネス > 運送・貨物・倉庫,〒042-0952北海道函館市高松町505-12,0138591902（0138-59-1902）,22000（千円）,菅藤　孝雄（カントウ タカオ）
株式会社サンライン,1440001005465,ビジネス > 運送・貨物・倉庫,〒049-0282北海道北斗市当別2-1-21,0138754950（0138-75-4950）,16000（千円）,代表取締役社長／市原　幸男（イチハラ ユキオ）
有限会社栄運輸,1440002001744,ビジネス > 運送・貨物・倉庫,〒049-0111北海道北斗市七重浜7-4-5,0138491256（0138-49-1256）,"",""
株式会社ノムラ,1450001002338,ビジネス > 運送・貨物・倉庫,〒070-8003北海道旭川市神楽3条2-2-9,0166604600（0166-60-4600）,"",""
北進運輸株式会社,1450001007650,ビジネス > 運送・貨物・倉庫,〒095-0024北海道士別市西4条13-25-5,0165234870（0165-23-4870）,"",""
真田運輸株式会社,1450001008905,ビジネス > 運送・貨物・倉庫,〒077-0011北海道留萌市東雲町2-1,0164420840（0164-42-0840）,15000（千円）,住吉　勉（スミヨシ ツトム）
株式会社輝,1450001011058,ビジネス > 運送・貨物・倉庫,〒079-8431北海道旭川市永山町6-7-43,0166495554（0166-49-5554）,10000（千円）,岩渕　武夫（イワブチ タケオ）
有限会社産向総業,1450002002329,ビジネス > 運送・貨物・倉庫,〒079-8442北海道旭川市流通団地2条5-5-3,0166494135（0166-49-4135）,10000（千円）,村部　浩史（ムラベ ヒロシ）
有限会社山田運輸,1460002003284,ビジネス > 運送・貨物・倉庫,〒085-0027北海道釧路市仲浜町3-10,0154223424（0154-22-3424）,10000（千円）,山田　隆生（ヤマダ タカオ）
長谷川運輸株式会社,1460101003268,ビジネス > 運送・貨物・倉庫,〒089-3334北海道中川郡本別町北6-2-8,0156222242（0156-22-2242）,"",""
有限会社東光運輸,1460102002285,ビジネス > 運送・貨物・倉庫,〒082-0005北海道河西郡芽室町東芽室基線21-28,0155622559（0155-62-2559）,"",""
有限会社渡邊商事,1460102007672,ビジネス > 運送・貨物・倉庫,〒080-0122北海道河東郡音更町柳町仲区22,0155314120（0155-31-4120）,5000（千円）,渡邊　哲也（ワタナベ テツヤ）
三星運輸株式会社,1460301002152,ビジネス > 運送・貨物・倉庫,〒092-0052北海道網走郡美幌町東二条北1-12,0152733141（0152-73-3141）,"",""
丸美運輸株式会社,1460301002219,ビジネス > 運送・貨物・倉庫,〒092-0065北海道網走郡美幌町青山南10-3,0152733576（0152-73-3576）,10000（千円）,佐々木　正幸（ササキ マサユキ）
遠軽通運株式会社,1460301002251,ビジネス > 運送・貨物・倉庫,〒099-0401北海道紋別郡遠軽町学田2-9-1,0158423111（0158-42-3111）,"",""
株式会社丸大,1460301002359,ビジネス > 運送・貨物・倉庫,〒099-0205北海道紋別郡遠軽町丸瀬布東町145,0158472208（0158-47-2208）,"",""
有限会社新東運輸,1460402000170,ビジネス > 運送・貨物・倉庫,〒087-0031北海道根室市月岡町2-71-1,0153223454（0153-22-3454）,"",""
伊吹産業株式会社,2430001001695,ビジネス > 運送・貨物・倉庫,〒001-0930北海道札幌市北区新川645-1,0117641751（011-764-1751）,"",""
株式会社クワトロ,2430001005226,ビジネス > 運送・貨物・倉庫,〒060-0062北海道札幌市中央区南2条西12-323-18大宝ビル2F,0112610171（011-261-0171）,"",""
株式会社ロードリーム,2430001005853,ビジネス > 運送・貨物・倉庫,〒001-0907北海道札幌市北区新琴似7条12-3-58,"",9500（千円）,石山　昌彦（イシヤマ マサヒコ）
坂口運輸株式会社,2430001006554,ビジネス > 運送・貨物・倉庫,〒003-0852北海道札幌市白石区川北2条1-14-3,0118730045（011-873-0045）,10000（千円）,坂口　良一（サカグチ リヨウイチ）
島本運輸株式会社,2430001007742,ビジネス > 運送・貨物・倉庫,〒061-1112北海道北広島市共栄543,0113724346（011-372-4346）,"",""
大同運送株式会社,2430001009433,ビジネス > 運送・貨物・倉庫,〒003-0030北海道札幌市白石区流通センター5-5-60,0118620415（011-862-0415）,20000（千円）,代表取締役社長／森田　恵（モリタ メグミ）
株式会社東亜物流,2430001011208,ビジネス > 運送・貨物・倉庫,〒003-0029北海道札幌市白石区平和通9丁目北12-7,0118652792（011-865-2792）,"",""
