会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
東京液体運輸株式会社,1010401020396,道路貨物運送業,〒272-0103千葉県市川市本行徳2554-84エネックス関東支店内,0473983080（047-398-3080）,10000（千円）,代表取締役社長／渡辺　昭雄（ワタナベ アキオ）
株式会社ティームコム,1011101043621,運輸に付帯するサービス業,〒270-2212千葉県松戸市五香南2-5-2シティパル松戸512号,0477109818（047-710-9818）,10000（千円）,阿部　誠（アベ マコト）
株式会社トランスユーロジャパン,1021001044702,運輸に付帯するサービス業,〒273-0043千葉県船橋市行田町367-18,"",1000（千円）,田中　時人（タナカ トキヒト）
株式会社フロンティア,1030001039876,道路貨物運送業,〒277-0831千葉県柏市根戸1864-4カパルアビル202号,0471373391（04-7137-3391）,50000（千円）,井上　二郎（イノウエ ジロウ）
志村運送株式会社,1040001003245,道路貨物運送業,〒261-0025千葉県千葉市美浜区浜田2-36,0432713301（043-271-3301）,10000（千円）,猪野　勝利（イノ カツトシ）
旅ランド千葉株式会社,1040001004383,運輸に付帯するサービス業,〒267-0066千葉県千葉市緑区あすみが丘1-20-1東急バーズモール1階,0432952222（043-295-2222）,13000（千円）,戸谷　賢一（トヤ ケンイチ）
株式会社トラベルエース,1040001005563,運輸に付帯するサービス業,〒264-0005千葉県千葉市若葉区千城台北3-21-1ラパーク千城台1階,0432370291（043-237-0291）,10000（千円）,猪野　忠就（イノ タダツグ）
中田運送株式会社,1040001005613,道路貨物運送業,〒265-0043千葉県千葉市若葉区中田町1126-4,0432285564（043-228-5564）,10000（千円）,仲田　東佐久（ナカダ トウサク）
日誠港運株式会社,1040001005786,運輸に付帯するサービス業,〒261-0002千葉県千葉市美浜区新港88,0432468798（043-246-8798）,20000（千円）,野口　晴男（ノグチ ハルオ）
株式会社フレックス,1040001006735,運輸に付帯するサービス業,〒260-0013千葉県千葉市中央区中央4-10-8コーケンボイス千葉中央602号,0432630259（043-263-0259）,10000（千円）,大根　広彦（オオネ ヒロヒコ）
株式会社横瀬運輸産業,1040001007799,道路貨物運送業,〒265-0072千葉県千葉市若葉区谷当町1070-1,0432398688（043-239-8688）,12000（千円）,横瀬　信雄（ヨコセ ノブオ）
株式会社大岩運輸,1040001009952,道路貨物運送業,〒260-0833千葉県千葉市中央区稲荷町2-16-7,0432631409（043-263-1409）,10000（千円）,大岩　忠義（オオイワ タダヨシ）
千葉ベグオイルタンクターミナル株式会社,1040001010431,倉庫業,〒261-0002千葉県千葉市美浜区新港35-1,0432388751（043-238-8751）,250000（千円）,川西　幹男（カワニシ ミキオ）
株式会社タジマ,1040001011363,道路貨物運送業,〒264-0007千葉県千葉市若葉区小倉町1808-7,0432145963（043-214-5963）,10000（千円）,石川　志津馬（イシカワ シズマ）
株式会社エフ,1040001012527,道路貨物運送業,〒262-0003千葉県千葉市花見川区宇那谷町1687,0433074922（043-307-4922）,5000（千円）,牧　慎也（マキ シンヤ）
株式会社誠和物流,1040001017856,道路貨物運送業,〒273-0047千葉県船橋市藤原8-25-25,0474304861（047-430-4861）,10000（千円）,阿部　誠一郎（アベ セイイチロウ）
大平水産株式会社,1040001017880,道路貨物運送業,〒274-0073千葉県船橋市田喜野井3-13-10サンクレイドル薬円台弐番館409,0474683591（047-468-3591）,10000（千円）,大野　等（オオノ ヒトシ）
株式会社デイリートランスポート,1040001018103,道路貨物運送業,〒274-0071千葉県船橋市習志野4-12-60,0474097511（047-409-7511）,42650（千円）,大村　剛史郎（オオムラ コウシロウ）
株式会社ニシウラ,1040001018318,道路貨物運送業,〒273-0032千葉県船橋市葛飾町2-402-3丸庄ビル301号室,0474365691（047-436-5691）,20000（千円）,築出　正敏（ツクデ マサトシ）
山広運輸株式会社,1040001018994,道路貨物運送業,〒273-0039千葉県船橋市印内3-1-13,0474348288（047-434-8288）,10000（千円）,代表取締役社長／佐久間　明彦（サクマ アキヒコ）
熊井倉庫株式会社,1040001019547,倉庫業,〒273-0016千葉県船橋市潮見町35-2,0474320087（047-432-0087）,10000（千円）,熊井　茂行（クマイ シゲユキ）
根本運送株式会社,1040001019687,道路貨物運送業,〒273-0016千葉県船橋市潮見町20-2,0474350025（047-435-0025）,10000（千円）,星野　勝美（ホシノ カツミ）
株式会社仲屋商運,1040001020232,道路貨物運送業,〒274-0812千葉県船橋市三咲7-29-11,0474496222（047-449-6222）,10000（千円）,代表取締役社長／田仲　良徳（タナカ ヨシノリ）
成田高速鉄道アクセス株式会社,1040001020372,運輸に付帯するサービス業,〒273-0005千葉県船橋市本町2-10-14船橋サウスビル4階,0474100036（047-410-0036）,19008000（千円）,小林　堅吾（コバヤシ ケンゴ）
株式会社ＳＡＪＩ,1040001022559,道路貨物運送業,〒274-0082千葉県船橋市大神保町1349-47,0474989120（047-498-9120）,7000（千円）,佐治　伸一（サジ シンイチ）
株式会社オアシスエクスプレス,1040001022996,道路貨物運送業,〒273-0107千葉県鎌ケ谷市新鎌ケ谷3-4-6,0474416501（047-441-6501）,11000（千円）,村木　直人（ムラキ ナオト）
打越株式会社,1040001025685,道路貨物運送業,〒272-0014千葉県市川市田尻5-8-5,0473780015（047-378-0015）,20000（千円）,打越　健（ウチコシ タケシ）
角田運送株式会社,1040001026923,道路貨物運送業,〒272-0013千葉県市川市高谷1841,0473270101（047-327-0101）,10000（千円）,代表取締役社長／角田　正一（ツノダ シヨウイチ）
ナグモ産業株式会社,1040001027153,道路貨物運送業,〒272-0004千葉県市川市原木2-11-15,0473274480（047-327-4480）,10000（千円）,代表取締役社長／南雲　誠（ナグモ マコト）
船橋貿易株式会社,1040001028317,道路貨物運送業,〒273-0121千葉県鎌ケ谷市初富727-1,0474461771（047-446-1771）,10000（千円）,小澤　壽一（オザワ ジユイチ）
グリーン運輸株式会社,1040001029439,道路貨物運送業,〒279-0024千葉県浦安市港31,0473547138（047-354-7138）,25000（千円）,岡本　学（オカモト マナブ）
株式会社ダイワ,1040001029711,道路貨物運送業,〒279-0001千葉県浦安市当代島1-3-23リバティ浦安2階,0473909655（047-390-9655）,10000（千円）,飯盛　保之（イイモリ ヤスユキ）
東宝運輸商事株式会社,1040001031394,道路貨物運送業,〒272-0126千葉県市川市千鳥町6,0473071040（047-307-1040）,30000（千円）,代表取締役社長／石原　慶明（イシハラ ヨシアキ）
佐藤物流株式会社,1040001033936,道路貨物運送業,〒279-0025千葉県浦安市鉄鋼通り2-4-2,0473168656（047-316-8656）,10000（千円）,渡部　和則（ワタベ カズノリ）
京葉ツーリスト株式会社,1040001035321,運輸に付帯するサービス業,〒270-0034千葉県松戸市新松戸1-318,0473462231（047-346-2231）,10000（千円）,入木田　健一（イリキダ ケンイチ）
株式会社松南観光,1040001035750,運輸に付帯するサービス業,〒271-0064千葉県松戸市上本郷2674-4,0473671221（047-367-1221）,40000（千円）,相賀　賢太郎（アイガ ケンタロウ）
日建サービス株式会社,1040001038679,道路貨物運送業,〒271-0072千葉県松戸市竹ケ花74-17,0473083888（047-308-3888）,10000（千円）,田原　勲（タハラ イサオ）
古山建設運輸株式会社,1040001043943,道路貨物運送業,〒270-1414千葉県白井市谷田880,0474971973（047-497-1973）,16000（千円）,古山　茂樹（コヤマ シゲキ）
株式会社ホームエネルギー東関東,1040001043951,道路貨物運送業,〒270-1406千葉県白井市中302-1,0474911855（047-491-1855）,15000（千円）,新井　督夫（アライ トクオ）
株式会社荒井商会,1040001043992,道路貨物運送業,〒270-1616千葉県印西市岩戸3552,0476991453（0476-99-1453）,12000（千円）,代表取締役社長／荒井　進（アライ ススム）
徳南エクスプレス株式会社,1040001044751,道路貨物運送業,〒286-0118千葉県成田市本三里塚1001-1302,0476405881（0476-40-5881）,10000（千円）,稲岡　一真（イナオカ カズマ）
エムオーエアロジスティックス株式会社,1040001044801,運輸に付帯するサービス業,〒286-0113千葉県成田市南三里塚78-7プロロジスパーク成田カーゴセンターB棟1階,0476356170（0476-35-6170）,55000（千円）,代表取締役社長／西村　安生（ニシムラ ヤスオ）
株式会社日本総合物流,1040001044909,道路貨物運送業,〒287-0225千葉県成田市吉岡465-3,0476736540（0476-73-6540）,13000（千円）,根本　勝雄（ネモト カツオ）
ウイングトランスポート株式会社,1040001046112,道路貨物運送業,〒287-0242千葉県成田市多良貝245-1831,0476737791（0476-73-7791）,5000（千円）,飯島　昇（イイジマ ノボル）
株式会社佐原運輸,1040001046137,道路貨物運送業,〒287-0212千葉県成田市東ノ台1092-26,0476738775（0476-73-8775）,10000（千円）,草薙　善治（クサナギ ヨシハル）
千葉共栄運輸株式会社,1040001046368,道路貨物運送業,〒287-0061千葉県香取市谷中1940-1,0478798700（0478-79-8700）,5000（千円）,鈴木　和人（スズキ カズト）
株式会社スカイ・スモールパッケージ,1040001046475,運輸に付帯するサービス業,〒286-0118千葉県成田市本三里塚1001-1308,0476405571（0476-40-5571）,20000（千円）,金木　直行（カネキ ナオユキ）
ショーワ運輸株式会社,1040001047639,道路貨物運送業,〒289-1135千葉県八街市小谷流837-8,0434453273（043-445-3273）,10000（千円）,浅野　佐知子（アサノ サチコ）
明正運輸株式会社,1040001047795,道路貨物運送業,〒289-1122千葉県八街市四木1727-3,0434456063（043-445-6063）,10000（千円）,石渡　高明（イシワタ タカアキ）
株式会社大成物流サービス,1040001047944,道路貨物運送業,〒289-1142千葉県八街市大関85-18,0434406610（043-440-6610）,10000（千円）,大林　和義（オオバヤシ カズヨシ）
京葉運送株式会社,1040001049024,道路貨物運送業,〒284-0008千葉県四街道市鹿放ケ丘440-4,0434220781（043-422-0781）,10000（千円）,高橋　茂（タカハシ シゲル）
株式会社飛鳥陸送,1040001049156,道路貨物運送業,〒285-0853千葉県佐倉市小竹1302-5,0433097451（043-309-7451）,10000（千円）,多田　裕紀（タダ ユキ）
日興物流株式会社,1040001049809,道路貨物運送業,〒285-0836千葉県佐倉市生谷1300-2,0434600132（043-460-0132）,3000（千円）,日野　みずえ（ヒノ ミズエ）
株式会社フジレイ,1040001050907,倉庫業,〒292-0801千葉県木更津市請西1-1-19,0438365676（0438-36-5676）,10000（千円）,坂本　由理（サカモト ユリ）
両総通運株式会社,1040001051013,道路貨物運送業,〒292-0067千葉県木更津市中央1-1-6,0438222131（0438-22-2131）,10000（千円）,代表取締役社長／田口　博文（タグチ ヒロフミ）
富士臨海株式会社,1040001051194,運輸に付帯するサービス業,〒299-0266千葉県袖ケ浦市北袖1,0438620775（0438-62-0775）,10000（千円）,関　彦次郎（セキ ヒコジロウ）
山九東日本サービス株式会社,1040001051541,運輸に付帯するサービス業,〒299-0267千葉県袖ケ浦市中袖3-1,0438609639（0438-60-9639）,46100（千円）,浅野　雅之（アサノ マサユキ）
サンエルティ株式会社,1040001051822,道路貨物運送業,〒293-0051千葉県富津市亀沢657,0439660050（0439-66-0050）,10000（千円）,岡本　稔夫（オカモト トシオ）
東京湾観光開発株式会社,1040001051896,運輸に付帯するサービス業,〒293-0043千葉県富津市岩瀬1009,0439651459（0439-65-1459）,10000（千円）,平野　勝利（ヒラノ カツトシ）
株式会社ソウマ,1040001051946,道路貨物運送業,〒299-1147千葉県君津市人見1299-1,0439557191（0439-55-7191）,33000（千円）,代表取締役社長／阿部　昭広（アベ アキヒロ）
株式会社みのる観光,1040001052192,運輸に付帯するサービス業,〒299-1152千葉県君津市久保2-1-12,0439544351（0439-54-4351）,10000（千円）,地引　正（ジビキ タダシ）
株式会社竹正,1040001053141,道路貨物運送業,〒299-0243千葉県袖ケ浦市蔵波16-1つるやハイツ202,0438421460（0438-42-1460）,6000（千円）,竹石　健二（タケイシ ケンジ）
青柳運輸株式会社,1040001053505,道路貨物運送業,〒290-0047千葉県市原市岩崎865-1,0436228734（0436-22-8734）,10000（千円）,齊賀　幸一（サイガ コウイチ）
千葉三港運輸株式会社,1040001054263,道路貨物運送業,〒299-0107千葉県市原市姉崎海岸12,0436612336（0436-61-2336）,50000（千円）,代表取締役社長／本松　尚久（モトマツ ナオヒサ）
株式会社東伸工業,1040001054338,運輸に付帯するサービス業,〒299-0101千葉県市原市青柳北3-6-2,0436225566（0436-22-5566）,12000（千円）,佐野　滋美（サノ シゲミ）
株式会社エスエルシー運輸東日本,1040001054767,道路貨物運送業,〒299-0107千葉県市原市姉崎海岸131,0436603225（0436-60-3225）,30000（千円）,小川　透（オガワ トオル）
成田空港輸送株式会社,1040001058867,道路貨物運送業,〒286-0101千葉県成田市十余三25-5関東低温物流物流センター内,0476368361（0476-36-8361）,7000（千円）,橋本　清市（ハシモト セイイチ）
株式会社シマヅ重機,1040001059907,道路貨物運送業,〒297-0017千葉県茂原市東郷693-11,0475232997（0475-23-2997）,5000（千円）,代表取締役社長／嶋津　俊介（シマヅ シユンスケ）
葵物流株式会社,1040001060237,道路貨物運送業,〒297-0225千葉県長生郡長柄町刑部鳥越1210,0475350181（0475-35-0181）,8000（千円）,石井　公博（イシイ キミヒロ）
東総システム輸送株式会社,1040001061763,道路貨物運送業,〒289-2505千葉県旭市鎌数8915,0479632122（0479-63-2122）,15000（千円）,長谷川　清（ハセガワ キヨシ）
北総通運株式会社,1040001061796,道路貨物運送業,〒289-2504千葉県旭市ニ5969,0479623335（0479-62-3335）,21200（千円）,飯田　亜輝男（イイダ アキオ）
株式会社日本トラベルサービス,1040001062373,運輸に付帯するサービス業,〒288-0056千葉県銚子市新生町2-2-22,0479254111（0479-25-4111）,20000（千円）,長崎　美沙（ナガサキ ミサ）
東英物流株式会社,1040001063371,道路貨物運送業,〒289-1606千葉県山武郡芝山町山田1633-4,0479788808（0479-78-8808）,9000（千円）,星山　大地（ホシヤマ ダイチ）
田中観光株式会社,1040001065954,運輸に付帯するサービス業,〒277-0802千葉県柏市船戸1875-2,0471315226（04-7131-5226）,10000（千円）,田中　一二夫（タナカ フジオ）
株式会社東日本軽貨物運送組合,1040001066993,運輸に付帯するサービス業,〒270-1132千葉県我孫子市湖北台1-13-21坂巻ビル2階,0471873500（04-7187-3500）,23000（千円）,坂巻　悦子（サカマキ エツコ）
株式会社金運,1040001067018,道路貨物運送業,〒270-1327千葉県印西市大森779-2,0476375311（0476-37-5311）,20000（千円）,萩原　正昭（ハギワラ マサアキ）
ディーケイ物流株式会社,1040001069088,道路貨物運送業,〒277-0005千葉県柏市柏6-9-12オフィス柏D号室,0471625567（04-7162-5567）,10000（千円）,水留　茂之（ミズドメ シゲユキ）
株式会社石川工業,1040001069344,道路貨物運送業,〒277-0945千葉県柏市しいの木台5-50-9,0473837175（047-383-7175）,9000（千円）,石川　進一（イシカワ シンイチ）
株式会社東運輸,1040001071060,道路貨物運送業,〒278-0037千葉県野田市野田355-3,0471236411（04-7123-6411）,10000（千円）,代表取締役社長／飯田　眞一（イイダ シンイチ）
佐久間サッシコンヴェイ株式会社,1040001071218,道路貨物運送業,〒278-0011千葉県野田市三ツ堀988-60,0471380732（04-7138-0732）,12500（千円）,佐久間　悦也（サクマ エツヤ）
株式会社小林商運,1040001072422,道路貨物運送業,〒270-0202千葉県野田市関宿台町2928,0471962875（04-7196-2875）,3000（千円）,小林　一也（コバヤシ カズヤ）
株式会社服部回漕店,1040001073899,水運業,〒294-0034千葉県館山市沼927-3,0470220529（0470-22-0529）,10000（千円）,代表取締役社長／服部　勇（ハツトリ イサム）
みずき通商株式会社,1040001075706,道路貨物運送業,〒277-0805千葉県柏市大青田1288-1,0471328181（04-7132-8181）,7000（千円）,東　寛（ヒガシ ユタカ）
株式会社アイピープロファクト,1040001078849,運輸に付帯するサービス業,〒283-0061千葉県東金市北之幸谷1255-8,0475777064（0475-77-7064）,5000（千円）,山本　泉（ヤマモト イズミ）
株式会社雲雀,1040001079913,運輸に付帯するサービス業,〒270-0202千葉県野田市関宿台町2101,0471897680（04-7189-7680）,5000（千円）,山形　健（ヤマガタ タケシ）
株式会社ケイパック,1040001080301,運輸に付帯するサービス業,〒277-0872千葉県柏市十余二164-108,0471356665（04-7135-6665）,1000（千円）,成島　大将（ナルシマ ダイスケ）
トリップパートナーズ株式会社,1040001088096,運輸に付帯するサービス業,〒285-0855千葉県佐倉市井野1313-19,"",7000（千円）,田辺　一宏（タナベ カズヒロ）
有限会社中央,1040002007385,運輸に付帯するサービス業,〒260-0024千葉県千葉市中央区中央港2-4-6,0432471566（043-247-1566）,3000（千円）,花澤　政男（ハナザワ マサオ）
椿森運送有限会社,1040002007781,道路貨物運送業,〒260-0042千葉県千葉市中央区椿森1-4-7,0432516126（043-251-6126）,6200（千円）,石川　昇（イシカワ ノボル）
三咲運送有限会社,1040002025610,道路貨物運送業,〒274-0081千葉県船橋市小野田町1444-1,0474575913（047-457-5913）,3200（千円）,高橋　基次（タカハシ モトツグ）
有限会社船橋市場運輸,1040002026600,道路貨物運送業,〒273-0001千葉県船橋市市場1-8-1,0474230353（047-423-0353）,7500（千円）,五十嵐　丈人（イガラシ タケト）
集ロジスティクス有限会社,1040002029660,道路貨物運送業,〒270-1431千葉県白井市根74-44サンハイツ101号,0474816066（047-481-6066）,9000（千円）,関谷　壽一（セキヤ ヒサカズ）
有限会社裕企画,1040002030932,道路貨物運送業,〒276-0035千葉県八千代市高津850高津団地5街区10棟502号,0474594429（047-459-4429）,7000（千円）,合力　剛次（ゴウリキ ヨシツグ）
有限会社ノグラ,1040002035873,道路貨物運送業,〒272-0123千葉県市川市幸1-22-15ハイマート幸404,0473968050（047-396-8050）,3000（千円）,野倉　善之（ノグラ ヨシユキ）
有限会社フレイト・サービス,1040002036368,道路貨物運送業,〒272-0144千葉県市川市新井1-6-1,0473578772（047-357-8772）,3000（千円）,平野　幸雄（ヒラノ ユキオ）
森井運送有限会社,1040002037003,道路貨物運送業,〒272-0023千葉県市川市南八幡2-16-20,0473782424（047-378-2424）,10000（千円）,代表取締役／森井　義勝（モリイ ヨシカツ）
船橋貿易有限会社,1040002038422,運輸に付帯するサービス業,〒273-0121千葉県鎌ケ谷市初富727,0474461771（047-446-1771）,3000（千円）,小澤　八重子（オザワ ヤエコ）
有限会社トラステック,1040002039321,道路貨物運送業,〒273-0101千葉県鎌ケ谷市富岡2-7-92,0474026377（047-402-6377）,6500（千円）,荒木　高（アラキ タカシ）
