会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社ラントランス,1170001005476,ビジネス > 運送・貨物・倉庫,〒642-0034和歌山県海南市大野中720番地,0734827981（073-482-7981）,"",""
小川運送株式会社,1170001011805,ビジネス > 運送・貨物・倉庫,和歌山県東牟婁郡串本町津荷902番地,0735720634（0735-72-0634）,"",""
川島運送有限会社,1170002000963,ビジネス > 運送・貨物・倉庫,〒640-8392和歌山県和歌山市中之島1551,0734315201（073-431-5201）,6000（千円）,井上　巳喜（イノウエ ミキ）
有限会社酒井組,1170002010145,ビジネス > 運送・貨物・倉庫,〒649-1341和歌山県御坊市藤田町藤井2255,0738232873（0738-23-2873）,"",酒井　博文（サカイ ヒロフミ）
有限会社北村運送,1170002010509,ビジネス > 運送・貨物・倉庫,〒649-1111和歌山県日高郡由良町里8,0738650109（0738-65-0109）,"",""
株式会社オレンジロードＹＹ,2170001007579,ビジネス > 運送・貨物・倉庫,〒643-0022和歌山県有田郡有田川町奥603-1,0737527686（0737-52-7686）,10000（千円）,武内　久典（タケウチ ヒサノリ）
有限会社紀文,2170002005301,ビジネス > 運送・貨物・倉庫,〒640-8390和歌山県和歌山市有本728-7,0734331022（073-433-1022）,3000（千円）,堀畑　光司（ホリバタ ミツジ）
丸敬運送有限会社,2170002009533,ビジネス > 運送・貨物・倉庫,〒645-0022和歌山県日高郡みなべ町晩稲字西ノ浦222-3,0739723919（0739-72-3919）,6000（千円）,坂本　亜紀（サカモト アキ）
丸一運送株式会社,3170001005912,ビジネス > 運送・貨物・倉庫,〒649-0101和歌山県海南市下津町下津735,0734924747（073-492-4747）,"",""
花園運送株式会社,3170001007396,ビジネス > 運送・貨物・倉庫,〒649-0313和歌山県有田市千田496-2,0737825547（0737-82-5547）,"",""
株式会社丸真,3170001009624,ビジネス > 運送・貨物・倉庫,〒646-0062和歌山県田辺市明洋3-18-6,0739261060（0739-26-1060）,"",""
三宝産業株式会社,3170001010061,ビジネス > 運送・貨物・倉庫,〒644-0024和歌山県御坊市塩屋町南塩屋1-3関西電力御坊発電所内,0738226999（0738-22-6999）,"",""
有限会社山本運送,3170002003948,ビジネス > 運送・貨物・倉庫,〒640-8287和歌山県和歌山市築港4-1-5,0734222570（073-422-2570）,"",""
有限会社新和,3170002004673,ビジネス > 運送・貨物・倉庫,〒641-0062和歌山県和歌山市雑賀崎2007-5,0734455100（073-445-5100）,18000（千円）,高橋　広幸（タカハシ ヒロユキ）
有限会社Ｋ－ＬＩＮＥ,3170002005911,ビジネス > 運送・貨物・倉庫,〒640-8272和歌山県和歌山市砂山南4-3-4,0734486878（073-448-6878）,5000（千円）,熊本　博行（クマモト ヒロユキ）
相互タクシー株式会社,4170001001811,ビジネス > 運送・貨物・倉庫,〒640-8304和歌山県和歌山市松島222,0734735500（073-473-5500）,"",""
株式会社武田組,4170001001860,ビジネス > 運送・貨物・倉庫,〒640-8416和歌山県和歌山市島橋北ノ丁6-12,0734513771（073-451-3771）,"",""
下津船舶株式会社,4170001005928,ビジネス > 運送・貨物・倉庫,〒649-0101和歌山県海南市下津町下津3066-16,0734921315（073-492-1315）,21000（千円）,井上　武幸（イノウエ タケユキ）
株式会社有田中央運送,4170001007585,ビジネス > 運送・貨物・倉庫,〒643-0021和歌山県有田郡有田川町下津野1213-1,0737531950（0737-53-1950）,7500（千円）,山中　均（ヤマナカ ヒトシ）
有限会社新和陸送,4170002002032,ビジネス > 運送・貨物・倉庫,〒641-0062和歌山県和歌山市雑賀崎2007-5,0734455100（073-445-5100）,18000（千円）,高橋　広幸（タカハシ ヒロユキ）
粉河運送有限会社,4170002008293,ビジネス > 運送・貨物・倉庫,〒649-6503和歌山県紀の川市長田中154,0736733012（0736-73-3012）,8000（千円）,代表取締役社長／増田　徹（マスダ トオル）
