会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
土屋自動車運輸株式会社,1010501017598,道路貨物運送業,〒344-0001埼玉県春日部市不動院野2844-1,0488128911（048-812-8911）,30000（千円）,代表取締役社長／井川　智章（イガワ トモアキ）
株式会社トモダ企画,1011101048356,運輸に付帯するサービス業,〒359-0014埼玉県所沢市亀ケ谷185-3,0429516821（04-2951-6821）,10000（千円）,代表取締役社長／友田　恭一（トモダ キヨウイチ）
有限会社フレッシュカーゴ,1011202006733,道路貨物運送業,〒333-0842埼玉県川口市前川2-38-8南日本運輸倉庫川口物流センター内,0482635781（048-263-5781）,8200（千円）,斎藤　喬（サイトウ タカシ）
株式会社丸喜運輸,1011601006359,道路貨物運送業,〒359-0021埼玉県所沢市東所沢4-19-11,0429515505（04-2951-5505）,20000（千円）,田中　喜久男（タナカ キクオ）
株式会社松本陸送,1011801012058,道路貨物運送業,〒341-0038埼玉県三郷市中央2-38-1-101,0489512296（048-951-2296）,10000（千円）,松本　茂（マツモト シゲル）
株式会社ティーエス,1012701004995,運輸に付帯するサービス業,〒352-0025埼玉県新座市片山2-2-12,0484796951（048-479-6951）,10000（千円）,近江谷　隆幸（オウミヤ タカユキ）
タツミトランスポート株式会社,1012802007690,道路貨物運送業,〒359-0001埼玉県所沢市下富857-6,0429469450（04-2946-9450）,10000（千円）,小笠原　龍実（オガサワラ タツミ）
株式会社ＡＫ－ｔｒａｎｓｐｏｒｔ,1020001101190,道路貨物運送業,〒350-1301埼玉県狭山市青柳1444-4,0429683091（04-2968-3091）,5000（千円）,小野　敦（オノ アツシ）
株式会社銀河,1020001124621,道路貨物運送業,〒335-0034埼玉県戸田市笹目3-10-20,0484218753（048-421-8753）,15000（千円）,佐々木　數博（ササキ カズヒロ）
関東エアーカーゴ株式会社,1030001001885,道路貨物運送業,〒338-0833埼玉県さいたま市桜区桜田3-7-2,0487623561（048-762-3561）,30000（千円）,田中　喜彦（タナカ ノブヒコ）
株式会社京北,1030001002173,倉庫業,〒338-0004埼玉県さいたま市中央区本町西5-4-15,0488521037（048-852-1037）,10000（千円）,宮崎　國夫（ミヤザキ クニオ）
共信運輸株式会社,1030001002248,道路貨物運送業,〒331-0811埼玉県さいたま市北区吉野町2-194-6,0486676221（048-667-6221）,10000（千円）,井上　新助（イノウエ シンスケ）
株式会社栗原運輸,1030001002454,道路貨物運送業,〒331-0048埼玉県さいたま市西区清河寺472-4,0486235841（048-623-5841）,20000（千円）,代表取締役社長／栗原　淑朗（クリハラ ヨシロウ）
タテヤマ輸送株式会社,1030001005052,道路貨物運送業,〒356-0051埼玉県ふじみ野市亀久保2185-1,0492667811（049-266-7811）,15000（千円）,福田　剛平（フクダ ゴウヘイ）
株式会社富士プロモーシヨン,1030001007180,道路貨物運送業,〒336-0925埼玉県さいたま市緑区下山口新田1282-1,0488784145（048-878-4145）,10000（千円）,横山　孝治（ヨコヤマ コウジ）
株式会社武蔵野貨物,1030001008253,道路貨物運送業,〒349-0131埼玉県蓮田市根金1555-1,0488848196（048-884-8196）,13500（千円）,代表取締役社長／大出　泰彦（オオデ ヤスヒコ）
株式会社ケイルート,1030001010192,道路貨物運送業,〒338-0825埼玉県さいたま市桜区下大久保1256,0488530811（048-853-0811）,32000（千円）,代表取締役社長／梶本　一郎（カジモト イチロウ）
株式会社アクシスネットワーク,1030001013385,道路貨物運送業,〒331-0812埼玉県さいたま市北区宮原町1-261-2,0486695505（048-669-5505）,10000（千円）,代表取締役社長／遠山　毅（トオヤマ タケシ）
