会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社木崎運輸,1320001004289,ビジネス > 運送・貨物・倉庫,〒870-0313大分県大分市大字屋山595,0975926566（097-592-6566）,13000（千円）,木崎　有規（キザキ ユウキ）
株式会社豊友運輸,1320001009511,ビジネス > 運送・貨物・倉庫,〒878-0011大分県竹田市会々2808-5,0974633343（0974-63-3343）,10000（千円）,友岡　孝幸（トモオカ タカユキ）
有限会社テックコーポレーション,1320002008669,ビジネス > 運送・貨物・倉庫,〒870-0252大分県大分市大在浜2-16-30,0975931870（097-593-1870）,"",""
有限会社藤義運輸,1320002018024,ビジネス > 運送・貨物・倉庫,〒879-6128大分県竹田市荻町高練木2335-4,0974682771（0974-68-2771）,15000（千円）,佐藤　芳和（サトウ ヨシカズ）
有限会社鎧南工業,1320002018544,ビジネス > 運送・貨物・倉庫,〒879-6432大分県豊後大野市大野町屋原393-1,0974344508（0974-34-4508）,10000（千円）,後藤　千鶴（ゴトウ チヅル）
有限会社天本興業,1320002019757,ビジネス > 運送・貨物・倉庫,〒877-0000大分県日田市十二町134-1,0973246609（0973-24-6609）,3000（千円）,松尾　太一（マツオ タイチ）
田島運輸株式会社,2320001001731,ビジネス > 運送・貨物・倉庫,〒870-0263大分県大分市大字横田37-1,0975923477（097-592-3477）,10000（千円）,田島　義明（タシマ ヨシアキ）
ビッグライン株式会社,2320001009675,ビジネス > 運送・貨物・倉庫,〒879-6433大分県豊後大野市大野町大原1155,0974342584（0974-34-2584）,"",""
三浦運送株式会社,2320001010138,ビジネス > 運送・貨物・倉庫,〒877-0000大分県日田市三和991-2,0973242823（0973-24-2823）,"",""
山ア運送株式会社,2320001010146,ビジネス > 運送・貨物・倉庫,〒877-0000大分県日田市友田80-2,0973233187（0973-23-3187）,20000（千円）,田邊　奏（タナベ ススム）
株式会社三花興業,2320001010443,ビジネス > 運送・貨物・倉庫,〒877-0000大分県日田市花月1654大阪砕石工業所内,0973221228（0973-22-1228）,3000（千円）,梅田　貫三郎（ウメダ カンザブロウ）
有限会社北浜運送,2320002015185,ビジネス > 運送・貨物・倉庫,〒873-0001大分県杵築市杵築665-90,0978622409（0978-62-2409）,"",""
東明運送有限会社,2320002017677,ビジネス > 運送・貨物・倉庫,〒879-3301大分県佐伯市宇目小野市4973-1,0972543617（0972-54-3617）,"",""
有限会社ワコーサービス,2320002017693,ビジネス > 運送・貨物・倉庫,〒879-2603大分県佐伯市上浦最勝海浦1589-22,0972259808（0972-25-9808）,"",""
有限会社中野機械,2320002020953,ビジネス > 運送・貨物・倉庫,〒879-0104大分県中津市野依702-1,0979320005（0979-32-0005）,"",""
開成輸送株式会社,2320201000046,ビジネス > 運送・貨物・倉庫,〒875-0022大分県臼杵市末広字黒丸161-1,0972631603（0972-63-1603）,"",""
大分共同海運株式会社,3320001000138,ビジネス > 運送・貨物・倉庫,〒870-0913大分県大分市松原町3-1-11鐵鋼ビル6F,0975588118（097-558-8118）,100000（千円）,代表取締役社長／丸尾　忠行（マルオ タダユキ）
株式会社エス・イー・アレックス,3320001000609,ビジネス > 運送・貨物・倉庫,〒870-0145大分県大分市乙津町3-1,0975534388（097-553-4388）,20000（千円）,舘野　儀則（タチノ ヨシノリ）
みどり運送株式会社,3320001002654,ビジネス > 運送・貨物・倉庫,〒870-1201大分県大分市大字廻栖野3231,0975864187（097-586-4187）,"",""
東九州運輸有限会社,3320002005524,ビジネス > 運送・貨物・倉庫,〒870-0272大分県大分市大字迫925-3,0975217733（097-521-7733）,10000（千円）,代表取締役社長／内田　恭裕（ウチダ ヤスヒロ）
有限会社ヤマサキ,3320002018451,ビジネス > 運送・貨物・倉庫,〒879-7414大分県豊後大野市千歳町前田1249-3,0974372242（0974-37-2242）,"",""
有限会社幸,3320002020671,ビジネス > 運送・貨物・倉庫,〒879-0105大分県中津市犬丸字原口1930-1,0979330331（0979-33-0331）,"",""
富士タクシー株式会社,3320201000152,ビジネス > 運送・貨物・倉庫,〒875-0041大分県臼杵市臼杵92-27,0972624113（0972-62-4113）,"",""
有限会社政和運輸,3320202001042,ビジネス > 運送・貨物・倉庫,〒875-0214大分県臼杵市野津町福良木21,0974324461（0974-32-4461）,10000（千円）,臼杵　政一（ウスキ セイイチ）
大野運送株式会社,4320001000715,ビジネス > 運送・貨物・倉庫,〒870-1173大分県大分市大字横瀬1017,0975420658（097-542-0658）,"",""
株式会社トキハ物流サービス,4320001001952,ビジネス > 運送・貨物・倉庫,〒870-0903大分県大分市向原沖1-2-14,0975581500（097-558-1500）,20000（千円）,柏井　幸憲（カシワイ ユキノリ）
株式会社戸次急配,4320001002471,ビジネス > 運送・貨物・倉庫,〒870-0017大分県大分市弁天2-5-35,"",10000（千円）,阿部　純子（アベ ジユンコ）
工藤産業株式会社,4320001009731,ビジネス > 運送・貨物・倉庫,〒879-6441大分県豊後大野市大野町田中126,0974342167（0974-34-2167）,"",""
有限会社幸運,4320002021438,ビジネス > 運送・貨物・倉庫,〒879-0105大分県中津市犬丸字原口1930-1,0979330331（0979-33-0331）,"",""
大分運輸株式会社,5320001000045,ビジネス > 運送・貨物・倉庫,〒870-0018大分県大分市豊海1-4-2,0975322338（097-532-2338）,10000（千円）,代表取締役社長／柳原　克徳（ヤナギハラ カツノリ）
昭和産業株式会社,5320001001423,ビジネス > 運送・貨物・倉庫,〒870-0111大分県大分市大字中ノ洲2,0975274551（097-527-4551）,"",""
トヨミ運輸株式会社,5320001001984,ビジネス > 運送・貨物・倉庫,〒870-0017大分県大分市弁天3-1-1,0975370502（097-537-0502）,18000（千円）,渡邉　光徳（ワタナベ ミツノリ）
吉田港運株式会社,5320001009160,ビジネス > 運送・貨物・倉庫,〒876-0811大分県佐伯市鶴谷町2-3-23,0972235555（0972-23-5555）,66000（千円）,赤嶺　輝明（アカミネ テルアキ）
ヤナイ物流有限会社,5320002007469,ビジネス > 運送・貨物・倉庫,〒870-0017大分県大分市弁天2-5-28,0975375382（097-537-5382）,"",""
有限会社陸運コンサルタント,5320002008260,ビジネス > 運送・貨物・倉庫,〒870-0932大分県大分市東浜1-4-10東浜ビル1F,0975568611（097-556-8611）,3000（千円）,土井　英博（ドイ ヒデヒロ）
三光タクシー有限会社,5320002015208,ビジネス > 運送・貨物・倉庫,〒873-0002大分県杵築市南杵築1741-3,0978622800（0978-62-2800）,"",""
有限会社天領エキスプレス,5320002020307,ビジネス > 運送・貨物・倉庫,〒877-0000大分県日田市三和687,0973266870（0973-26-6870）,3000（千円）,河津　康男（カワヅ ヤスオ）
別府ポートサービス株式会社,6320001006537,ビジネス > 運送・貨物・倉庫,〒874-0918大分県別府市汐見町9-1,0977221311（0977-22-1311）,10000（千円）,桑村　裕人（クワムラ ヒロト）
有限会社渡辺重機,6320002007294,ビジネス > 運送・貨物・倉庫,〒870-0018大分県大分市豊海2-1994-209,0975377910（097-537-7910）,"",""
有限会社幸建企画,6320002008912,ビジネス > 運送・貨物・倉庫,〒870-1112大分県大分市大字下判田1962-1,0975867350（097-586-7350）,10000（千円）,古城　幸太郎（コジヨウ コウタロウ）
有限会社回洋,6320002016519,ビジネス > 運送・貨物・倉庫,〒876-0812大分県佐伯市中江町1-39,0972241035（0972-24-1035）,"",""
崔本産業有限会社,6320002018837,ビジネス > 運送・貨物・倉庫,〒877-0000大分県日田市渡里字後の迫373-2,0973247345（0973-24-7345）,10000（千円）,崔本　正義（サイモト マサヨシ）
有限会社石井重機,6320002019595,ビジネス > 運送・貨物・倉庫,〒877-0212大分県日田市前津江町大野700,0973532755（0973-53-2755）,"",""
有限会社大翔実業,6320202001139,ビジネス > 運送・貨物・倉庫,〒875-0052大分県臼杵市市浜1008-3,0972634832（0972-63-4832）,"",""
東九州デイリーフーヅ株式会社,7320001002287,ビジネス > 運送・貨物・倉庫,〒870-0017大分県大分市弁天3-1-45,0975380414（097-538-0414）,"",""
