会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社熊田運送,1120001001785,ビジネス > 運送・貨物・倉庫,〒536-0022大阪府大阪市城東区永田2-13-24,0669650346（06-6965-0346）,10000（千円）,熊田　譲（クマタ ユズル）
大阪今津運輸倉庫株式会社,1120001002800,ビジネス > 運送・貨物・倉庫,〒538-0043大阪府大阪市鶴見区今津南3-6-8,0669626671（06-6962-6671）,50000（千円）,関　正士（セキ マサシ）
新富士陸送株式会社,1120001029133,ビジネス > 運送・貨物・倉庫,〒552-0001大阪府大阪市港区波除4-2-3,0665823127（06-6582-3127）,"",""
住吉木材運輸株式会社,1120001030958,ビジネス > 運送・貨物・倉庫,〒559-0025大阪府大阪市住之江区平林南1-2-11,0666810761（06-6681-0761）,20000（千円）,松下　幹生（マツシタ ミキオ）
平林港運株式会社,1120001031519,ビジネス > 運送・貨物・倉庫,〒559-0026大阪府大阪市住之江区平林北2-8-88,0666813601（06-6681-3601）,48375（千円）,小野　豊次（オノ トヨツギ）
阪栄物流株式会社,1120001036162,ビジネス > 運送・貨物・倉庫,〒553-0002大阪府大阪市福島区鷺洲5-1-11加藤ビル,0664570161（06-6457-0161）,30000（千円）,佐飛　隆幸（サトビ タカユキ）
大内運輸株式会社,1120001049346,ビジネス > 運送・貨物・倉庫,〒555-0034大阪府大阪市西淀川区福町1-8-2,0664747405（06-6474-7405）,10000（千円）,堀内　健二（ホリウチ ケンジ）
井口運輸株式会社,1120001051153,ビジネス > 運送・貨物・倉庫,〒533-0013大阪府大阪市東淀川区豊里1-7-10,0663271316（06-6327-1316）,"",""
川北運輸株式会社,1120001054569,ビジネス > 運送・貨物・倉庫,〒532-0027大阪府大阪市淀川区田川3-1-17,0663095951（06-6309-5951）,28210（千円）,代表取締役社長／住谷　和也（スミタニ カズヤ）
福武産業株式会社,1120001058041,ビジネス > 運送・貨物・倉庫,〒532-0023大阪府大阪市淀川区十三東2-3-10,0663000451（06-6300-0451）,10000（千円）,武田　賢史（タケダ ケンシ）
山忠運輸株式会社,1120001109579,ビジネス > 運送・貨物・倉庫,〒547-0021大阪府大阪市平野区喜連東2-3-27,0667091151（06-6709-1151）,"",""
株式会社トータルサポート,1120001111931,ビジネス > 運送・貨物・倉庫,大阪府大阪市中央区島之内1-17-12,0662526335（06-6252-6335）,"",""
松潮物流株式会社,1120001158188,ビジネス > 運送・貨物・倉庫,〒571-0015大阪府門真市三ツ島2120,0728861180（072-886-1180）,50000（千円）,代表取締役社長／豊山　憲正（トヨヤマ ノリマサ）
株式会社トータルサポート,1120001170184,ビジネス > 運送・貨物・倉庫,大阪府大阪市中央区島之内1-17-12,0662526335（06-6252-6335）,"",""
株式会社ネクステージ,1120001207787,ビジネス > 運送・貨物・倉庫,〒530-0044大阪府大阪市北区東天満2-6-2南森町中央ビル7F,0663516331（06-6351-6331）,"",""
有限会社豊運輸,1120002014431,ビジネス > 運送・貨物・倉庫,〒554-0012大阪府大阪市此花区西九条2-10-13,0664617361（06-6461-7361）,"",""
朝日海運株式会社,1120101000811,ビジネス > 運送・貨物・倉庫,〒595-0073大阪府泉大津市新港町3,0725332781（0725-33-2781）,"",""
関西やしま陸運株式会社,1120101001462,ビジネス > 運送・貨物・倉庫,〒599-8127大阪府堺市東区草尾353-4,0722367220（072-236-7220）,10000（千円）,須田　要（スダ カナメ）
株式会社葭矢,1120101033118,ビジネス > 運送・貨物・倉庫,〒583-0876大阪府羽曳野市伊賀4-11-15,0729556665（072-955-6665）,19200（千円）,葭矢　千惠美（ヨシヤ チエミ）
日本観光株式会社,1120101038851,ビジネス > 運送・貨物・倉庫,大阪府貝塚市二色中町6番6号,0724222311（072-422-2311）,"",""
明光産業運輸株式会社,1120101041979,ビジネス > 運送・貨物・倉庫,〒594-1102大阪府和泉市和田町255,0725550600（0725-55-0600）,"",""
株式会社ＵＫマリタイム,1120101043728,ビジネス > 運送・貨物・倉庫,〒595-0062大阪府泉大津市田中町5-26西端第一ビル2C,0725205181（0725-20-5181）,10000（千円）,浦　秀典（ウラ ヒデノリ）
甲安商事株式会社,1120101045063,ビジネス > 運送・貨物・倉庫,〒594-1144大阪府和泉市テクノステージ1-3-3,0725513322（0725-51-3322）,"",""
有限会社藤原運送,1120102026005,ビジネス > 運送・貨物・倉庫,〒595-0033大阪府泉大津市板原町3-9-5,0725226565（0725-22-6565）,10000（千円）,藤原　辰雄（フジワラ タツオ）
有限会社野中運送,1120102027696,ビジネス > 運送・貨物・倉庫,〒590-0521大阪府泉南市樽井7-24-7,0724850892（072-485-0892）,"",""
株式会社吉川運送,1120901002461,ビジネス > 運送・貨物・倉庫,〒567-0883大阪府茨木市大手町9-26吉川ビル1F,0726243865（072-624-3865）,10000（千円）,白和　秀行（シラワ ヒデユキ）
朝日陸運株式会社,1120901008987,ビジネス > 運送・貨物・倉庫,〒566-0074大阪府摂津市東一津屋3-25,0663492860（06-6349-2860）,"",""
株式会社トミナガ,1120901009779,ビジネス > 運送・貨物・倉庫,大阪府摂津市鳥飼和道1-5-2,0726544790（072-654-4790）,"",""
株式会社武市運輸,1120901013500,ビジネス > 運送・貨物・倉庫,〒567-0001大阪府茨木市安威1-19-33,0726406060（072-640-6060）,10000（千円）,武市　広行（タケイチ ヒロユキ）
五輪運輸倉庫株式会社,1122001002540,ビジネス > 運送・貨物・倉庫,〒578-0958大阪府東大阪市新庄南7番31号,0667466740（06-6746-6740）,80000（千円）,代表取締役社長／濱　カヨ子（ハマ カヨコ）
