会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
西川興業株式会社,1150001006030,ビジネス > 運送・貨物・倉庫,〒639-1125奈良県大和郡山市八条町511-1,0743564617（0743-56-4617）,"",""
桜井運送株式会社,1150001009330,ビジネス > 運送・貨物・倉庫,奈良県桜井市大字阿部366,0744422293（0744-42-2293）,"",""
株式会社田中運送,1150001016228,ビジネス > 運送・貨物・倉庫,〒637-0038奈良県五條市野原東1-11-31,0747220220（0747-22-0220）,"",""
株式会社大通,2150001001204,ビジネス > 運送・貨物・倉庫,〒630-0201奈良県生駒市小明町795ニシグチハイツ302,0743710045（0743-71-0045）,"",""
辻本運輸株式会社,2150001001410,ビジネス > 運送・貨物・倉庫,〒630-8445奈良県奈良市池田町233番地,0742626288（0742-62-6288）,50000（千円）,代表取締役社長／辻本　和弘（ツジモト カズヒロ）
株式会社吉田運輸,2150001002573,ビジネス > 運送・貨物・倉庫,〒630-8036奈良県奈良市五条畑1-27-13,0742487577（0742-48-7577）,"",""
株式会社山口商事,2150001007754,ビジネス > 運送・貨物・倉庫,〒632-0052奈良県天理市柳本町2085-3,0743673797（0743-67-3797）,"",""
株式会社ストリーム,3150001007927,ビジネス > 運送・貨物・倉庫,〒639-1042奈良県大和郡山市小泉町2475-9,0743557381（0743-55-7381）,"",""
さくら商事株式会社,3150001009378,ビジネス > 運送・貨物・倉庫,〒633-0052奈良県桜井市浅古464-6,0744427759（0744-42-7759）,"",""
共栄運輸株式会社,3150001015434,ビジネス > 運送・貨物・倉庫,〒637-0020奈良県五條市西阿田町31-1,0747231338（0747-23-1338）,"",""
有限会社中,3150002011077,ビジネス > 運送・貨物・倉庫,〒637-0036奈良県五條市野原西3-10-7,0747253586（0747-25-3586）,"",""
富士運輸株式会社,4150001002118,ビジネス > 運送・貨物・倉庫,〒630-8451奈良県奈良市北之庄町719-1,0742617036（0742-61-7036）,10000（千円）,篠田　雅浩（シノダ マサヒロ）
株式会社愛和,4150001012315,ビジネス > 運送・貨物・倉庫,〒636-0021奈良県北葛城郡王寺町畠田4-374-1,0745321110（0745-32-1110）,"",""
有限会社高橋商会,4150002005078,ビジネス > 運送・貨物・倉庫,〒639-1057奈良県大和郡山市山田町2-3,0743582686（0743-58-2686）,"",""
有限会社巽運輸,4150002005771,ビジネス > 運送・貨物・倉庫,〒632-0071奈良県天理市田井庄町53,0743623619（0743-62-3619）,"",""
有限会社平和運輸,4150002006919,ビジネス > 運送・貨物・倉庫,〒633-0084奈良県桜井市太田41-2,0744451537（0744-45-1537）,"",""
有限会社幸運,4150002007504,ビジネス > 運送・貨物・倉庫,〒634-0837奈良県橿原市曲川町4-170-2,0744291173（0744-29-1173）,"",""
株式会社中西運送,5150001007108,ビジネス > 運送・貨物・倉庫,〒636-0914奈良県生駒郡平群町西宮2-2-51,0745455818（0745-45-5818）,"",""
松本運送株式会社,5150001011423,ビジネス > 運送・貨物・倉庫,〒636-0248奈良県磯城郡田原本町大安寺113-1,0744323700（0744-32-3700）,"",""
有限会社三晃運輸,5150002006827,ビジネス > 運送・貨物・倉庫,〒633-0055奈良県桜井市安倍木材団地1-12-15,0744437983（0744-43-7983）,"",""
有限会社中川運輸,6150002011066,ビジネス > 運送・貨物・倉庫,〒637-0036奈良県五條市野原西3-10-7,0747253586（0747-25-3586）,"",""
吉川運輸株式会社,7150001006173,ビジネス > 運送・貨物・倉庫,〒639-1042奈良県大和郡山市小泉町1395-1,0743536000（0743-53-6000）,"",""
有限会社平成運輸,7150002011008,ビジネス > 運送・貨物・倉庫,〒637-0071奈良県五條市二見2-7-22,0747242775（0747-24-2775）,"",""
郡山運送株式会社,8150001005802,ビジネス > 運送・貨物・倉庫,〒639-1160奈良県大和郡山市北郡山町246,0743522764（0743-52-2764）,"",""
株式会社吉田,8150001018135,ビジネス > 運送・貨物・倉庫,〒630-8036奈良県奈良市五条畑1-27-13,0742487577（0742-48-7577）,"",""
有限会社アサヒ物流,8150002010834,ビジネス > 運送・貨物・倉庫,〒636-0091奈良県北葛城郡河合町泉台3-18-21-101,0745582228（0745-58-2228）,"",""
昭栄運輸株式会社,9150001005875,ビジネス > 運送・貨物・倉庫,〒639-1125奈良県大和郡山市八条町511-1,0743564617（0743-56-4617）,"",""
株式会社坂元運送,9150001011725,ビジネス > 運送・貨物・倉庫,奈良県橿原市常盤町109-1,0744245425（0744-24-5425）,"",""
