会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社サンユー,1370001003121,ビジネス > 運送・貨物・倉庫,〒984-0015宮城県仙台市若林区卸町4-5,0222841321（022-284-1321）,"",""
相互タクシー株式会社,1370001008855,ビジネス > 運送・貨物・倉庫,〒982-0261宮城県仙台市青葉区折立2-8-5,0222261641（022-226-1641）,"",""
ピーシートランス株式会社,1370201000546,ビジネス > 運送・貨物・倉庫,〒987-0044宮城県遠田郡美里町西舘82-1,"",16000（千円）,佐々木　伸一（ササキ シンイチ）
稲葉運送有限会社,1370202000074,ビジネス > 運送・貨物・倉庫,〒989-6311宮城県大崎市三本木坂本字鳥屋下前158-1,0229526924（0229-52-6924）,3500（千円）,亀井　秀義（カメイ ヒデヨシ）
株式会社富士観光,1370301001106,ビジネス > 運送・貨物・倉庫,〒986-0101宮城県石巻市相野谷字飯野川206-17,0225623433（0225-62-3433）,"",""
有限会社成駒興商,1370302001765,ビジネス > 運送・貨物・倉庫,〒981-0501宮城県東松島市赤井鷲塚144-27,0225841277（0225-84-1277）,"",""
株式会社塩釜東光タクシー,1370601000360,ビジネス > 運送・貨物・倉庫,〒985-0835宮城県多賀城市下馬5-4-5,0223642424（0223-64-2424）,10000（千円）,山口　愼太郎（ヤマグチ シンタロウ）
塩釜陸運株式会社,1370601000369,ビジネス > 運送・貨物・倉庫,〒985-0001宮城県塩竈市新浜町2-19-1,0223653137（0223-65-3137）,67500（千円）,代表取締役社長／玉田　哲也（タマダ テツヤ）
永大商事株式会社,1370801000334,ビジネス > 運送・貨物・倉庫,〒989-2436宮城県岩沼市吹上2-8-35,0223223656（0223-22-3656）,"",""
太平自動車株式会社,2370001003483,ビジネス > 運送・貨物・倉庫,〒984-0831宮城県仙台市若林区沖野2-5-65,0222861020（022-286-1020）,"",""
株式会社宝タクシー,2370001003533,ビジネス > 運送・貨物・倉庫,〒984-0002宮城県仙台市若林区卸町東5-2-7,0222889341（022-288-9341）,"",""
株式会社仙台ミトモ,2370001006684,ビジネス > 運送・貨物・倉庫,〒983-0013宮城県仙台市宮城野区中野字駈上16-2,0222540901（022-254-0901）,10000（千円）,松尾　昇（マツオ ノボル）
株式会社ナカノサービス,2370001012030,ビジネス > 運送・貨物・倉庫,〒983-0013宮城県仙台市宮城野区中野字柳原26-17仙台ナカノ物流センター内,0222545055（022-254-5055）,30000（千円）,代表取締役社長／菊地　裕一（キクチ ユウイチ）
有限会社雲人,2370002017086,ビジネス > 運送・貨物・倉庫,〒983-0821宮城県仙台市宮城野区岩切字青津目124-6,"",3000（千円）,鎌田　直樹（カマタ ナオキ）
株式会社友樹運輸,2370101000249,ビジネス > 運送・貨物・倉庫,〒989-1201宮城県柴田郡大河原町大谷字山崎121-6,0224522862（0224-52-2862）,"",""
宮城エキスプレス株式会社,2370301001261,ビジネス > 運送・貨物・倉庫,〒986-0022宮城県石巻市魚町2-1-2,0225951000（0225-95-1000）,39000（千円）,宇都宮　博行（ウツノミヤ ヒロユキ）
