会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
第一運送株式会社,1350001009450,ビジネス > 運送・貨物・倉庫,〒887-0022宮崎県日南市上平野町1-3-5,0987223544（0987-22-3544）,"",""
有限会社綾運送,1350002007263,ビジネス > 運送・貨物・倉庫,〒880-1301宮崎県東諸県郡綾町入野4406-4,"",3000（千円）,井手　國一（イデ クニカズ）
有限会社サンアイ,1350002010770,ビジネス > 運送・貨物・倉庫,〒883-0062宮崎県日向市日知屋17309,0982543939（0982-54-3939）,"",""
有限会社北原土木,1350002014004,ビジネス > 運送・貨物・倉庫,〒885-0024宮崎県都城市北原町30-26,0986240585（0986-24-0585）,"",""
株式会社三興運輸,2350001004319,ビジネス > 運送・貨物・倉庫,〒880-0001宮崎県宮崎市橘通西5-1-23矢野興業ビル,0985313939（0985-31-3939）,"",""
丸和運送株式会社,2350001005754,ビジネス > 運送・貨物・倉庫,〒884-0005宮崎県児湯郡高鍋町持田6284,0983222615（0983-22-2615）,"",""
株式会社オーシャンエキスプレス,2350001006538,ビジネス > 運送・貨物・倉庫,〒880-0121宮崎県宮崎市島之内2234,"",500（千円）,前原　智由（マエハラ トモユキ）
有限会社西都運送,3350002009316,ビジネス > 運送・貨物・倉庫,〒881-0027宮崎県西都市南方2753-1,0983431572（0983-43-1572）,"",""
有限会社ヤマトタクシー,3350002013648,ビジネス > 運送・貨物・倉庫,〒882-0402宮崎県西臼杵郡日之影町岩井川2617,0982872703（0982-87-2703）,"",""
有限会社高崎観光バス,3350002015553,ビジネス > 運送・貨物・倉庫,〒889-4503宮崎県都城市高崎町縄瀬3549-40,0986625630（0986-62-5630）,40000（千円）,田口　優（タグチ マサル）
株式会社仁組急送,4350001004060,ビジネス > 運送・貨物・倉庫,〒880-0212宮崎県宮崎市佐土原町下那珂2065-1,0985734141（0985-73-4141）,20000（千円）,仁田脇　時子（ニタワキ トキコ）
株式会社第一商工,4350001005281,ビジネス > 運送・貨物・倉庫,〒880-0211宮崎県宮崎市佐土原町下田島19638,0985733235（0985-73-3235）,"",""
株式会社松尾運送,4350001008276,ビジネス > 運送・貨物・倉庫,〒885-1202宮崎県都城市高城町穂満坊1003-1,0986532320（0986-53-2320）,"",""
都城ダイキュー運輸株式会社,4350001008367,ビジネス > 運送・貨物・倉庫,〒885-0005宮崎県都城市神之山町1812-2,0986381380（0986-38-1380）,24000（千円）,代表取締役社長／小川　秀隆（オガワ ヒデタカ）
有限会社九州陸運,4350002001247,ビジネス > 運送・貨物・倉庫,〒880-0121宮崎県宮崎市島之内3485-25,0985399110（0985-39-9110）,"",""
有限会社郡山運送,4350002009307,ビジネス > 運送・貨物・倉庫,〒881-0104宮崎県西都市鹿野田6513-2,0983421414（0983-42-1414）,"",""
有限会社藤井重機,4350002010181,ビジネス > 運送・貨物・倉庫,〒889-1406宮崎県児湯郡新富町新田14188-3,0983351278（0983-35-1278）,"",""
有限会社ドリームロード,4350002010339,ビジネス > 運送・貨物・倉庫,〒889-1404宮崎県児湯郡新富町下富田3210-3,0983336636（0983-33-6636）,"",""
