会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
富山運輸株式会社,1230001002062,ビジネス > 運送・貨物・倉庫,〒930-0916富山県富山市向新庄町6-3-45,0764523611（076-452-3611）,10000（千円）,代表取締役社長／志賀　弘（シガ ヒロシ）
角丸運送株式会社,1230001009834,ビジネス > 運送・貨物・倉庫,〒934-0095富山県高岡市石丸708-6,0766824117（0766-82-4117）,"",""
株式会社城北,1230001010206,ビジネス > 運送・貨物・倉庫,〒933-0014富山県高岡市野村城北町1070-16,0766248110（0766-24-8110）,"",""
株式会社オーシーシー,1230001012383,ビジネス > 運送・貨物・倉庫,〒933-0251富山県射水市有磯2-33-7,0766863730（0766-86-3730）,30000（千円）,林　康弘（ハヤシ ヤスヒロ）
株式会社長谷川運輸,1230001012813,ビジネス > 運送・貨物・倉庫,〒939-0321富山県射水市青井谷628-1,0766566878（0766-56-6878）,"",""
有限会社松島商店,1230002009899,ビジネス > 運送・貨物・倉庫,〒939-1861富山県南砺市城端164-1-1,0763620046（0763-62-0046）,"",""
株式会社松井商事,2230001003299,ビジネス > 運送・貨物・倉庫,〒930-0901富山県富山市手屋3-12-63,0764520700（076-452-0700）,"",""
東洋運輸株式会社,2230001007382,ビジネス > 運送・貨物・倉庫,〒938-0013富山県黒部市沓掛3259-28,0765524140（0765-52-4140）,"",""
荻布船舶株式会社,2230001009800,ビジネス > 運送・貨物・倉庫,〒933-0045富山県高岡市本丸町13-16,0766211160（0766-21-1160）,30000（千円）,荻布　雅章（オギノ マサフミ）
東光産業株式会社,2230001010519,ビジネス > 運送・貨物・倉庫,〒933-0123富山県高岡市伏木矢田5-57,0766440891（0766-44-0891）,"",""
有限会社上田商運,2230002013512,ビジネス > 運送・貨物・倉庫,〒933-0851富山県高岡市上関768,"",53000（千円）,上田　幸助（ウエダ コウスケ）
株式会社イトウ,3230001005716,ビジネス > 運送・貨物・倉庫,〒939-3553富山県富山市水橋的場211,0764790018（076-479-0018）,"",""
高東興業株式会社,3230001007332,ビジネス > 運送・貨物・倉庫,〒938-0001富山県黒部市荒俣1169,0765568850（0765-56-8850）,"",""
東光運輸株式会社,3230001010518,ビジネス > 運送・貨物・倉庫,〒933-0113富山県高岡市伏木2-1-2,0766440890（0766-44-0890）,"",""
