会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
西部ロジックス株式会社,1250001002993,ビジネス > 運送・貨物・倉庫,〒755-0027山口県宇部市港町1-5-5,0836315165（0836-31-5165）,16675（千円）,塚原　猛雄（ツカハラ タケオ）
株式会社林運送,1250001006177,ビジネス > 運送・貨物・倉庫,〒750-0066山口県下関市東大和町2-14-25,0832672020（083-267-2020）,"",""
メトロ交通株式会社,1250001009675,ビジネス > 運送・貨物・倉庫,〒744-0029山口県下松市楠木町2-6-6,0833412757（0833-41-2757）,"",""
宮本運送株式会社,1250001010344,ビジネス > 運送・貨物・倉庫,〒743-0061山口県光市小周防462-1,0833760001（0833-76-0001）,25000（千円）,宮本　亮太郎（ミヤモト リヨウタロウ）
株式会社藤井産業,1250001010889,ビジネス > 運送・貨物・倉庫,〒744-0061山口県下松市河内781-15,0833462322（0833-46-2322）,"",""
上村運送株式会社,1250001012167,ビジネス > 運送・貨物・倉庫,〒741-0072山口県岩国市平田6-24-18,0827312121（0827-31-2121）,10000（千円）,代表取締役社長／上村　和三（ウエムラ カズミ）
東山口運輸倉庫株式会社,1250001012183,ビジネス > 運送・貨物・倉庫,〒742-0413山口県岩国市周東町上久原12-9,0827831144（0827-83-1144）,8800（千円）,松村　勝也（マツムラ カツヤ）
有限会社上野汽船,1250002002869,ビジネス > 運送・貨物・倉庫,〒747-0825山口県防府市新田922,0835225882（0835-22-5882）,"",""
江本産業有限会社,1250002006028,ビジネス > 運送・貨物・倉庫,〒756-0055山口県山陽小野田市旦西7255,0836832442（0836-83-2442）,"",""
三河商事有限会社,1250002011119,ビジネス > 運送・貨物・倉庫,〒750-0044山口県下関市神田町2-5-11,0832873139（083-287-3139）,"",""
有限会社冨士汽船,1250002015235,ビジネス > 運送・貨物・倉庫,〒745-0043山口県周南市都町1-67-1,0834328831（0834-32-8831）,5000（千円）,畝河内　毅（ウネゴウチ ツヨシ）
新川物流株式会社,2250001003280,ビジネス > 運送・貨物・倉庫,〒755-0031山口県宇部市常盤町1-6-37,0836356500（0836-35-6500）,50000（千円）,代表取締役社長／河村　浩二（カワムラ コウジ）
第一水産株式会社,2250001005806,ビジネス > 運送・貨物・倉庫,〒750-0067山口県下関市大和町1-16-1,0832671641（083-267-1641）,"",""
株式会社大和梱包,2250001005896,ビジネス > 運送・貨物・倉庫,〒750-0066山口県下関市東大和町2-2-1,0832674564（083-267-4564）,"",""
西日本汽船株式会社,2250001006119,ビジネス > 運送・貨物・倉庫,〒750-0066山口県下関市東大和町1-10-64,0832328045（083-232-8045）,475000（千円）,入谷　泰生（イリタニ ヤスオ）
有限会社野島海運,2250002003321,ビジネス > 運送・貨物・倉庫,〒747-0832山口県防府市野島679-18,0835341313（0835-34-1313）,3000（千円）,松浦　正人（マツウラ マサト）
丸正運輸有限会社,2250002003503,ビジネス > 運送・貨物・倉庫,〒747-0834山口県防府市田島789-1,0835253868（0835-25-3868）,"",""
有限会社松栄運輸,2250002004914,ビジネス > 運送・貨物・倉庫,〒755-0008山口県宇部市明神町3-5-2,0836341528（0836-34-1528）,"",""
有限会社佐藤運送,2250002009161,ビジネス > 運送・貨物・倉庫,〒750-0092山口県下関市彦島迫町5-4-28,0832662353（083-266-2353）,"",""
有限会社國重運輸工業,2250002016587,ビジネス > 運送・貨物・倉庫,〒746-0025山口県周南市古市1-10-17,0834641505（0834-64-1505）,7500（千円）,國重　良夫（クニシゲ ヨシオ）
阿知須運輸株式会社,3250001001481,ビジネス > 運送・貨物・倉庫,〒754-1277山口県山口市阿知須557-3,0836652186（0836-65-2186）,10000（千円）,小川　茂（オガワ シゲル）
防府冷凍冷蔵株式会社,3250001002570,ビジネス > 運送・貨物・倉庫,〒747-0825山口県防府市新田70,0835222251（0835-22-2251）,10000（千円）,長尾　誠（ナガオ マコト）
日通下関運輸株式会社,3250001006092,ビジネス > 運送・貨物・倉庫,〒750-0066山口県下関市東大和町2-5-23,0832672351（083-267-2351）,10000（千円）,山本　哲也（ヤマモト テツヤ）
日洋海運株式会社,3250001006101,ビジネス > 運送・貨物・倉庫,〒750-0017山口県下関市細江新町1-1,0832229551（083-222-9551）,10000（千円）,石井　健司（イシイ ケンジ）
