会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社佐藤運送,1390001008572,ビジネス > 運送・貨物・倉庫,山形県新庄市大字鳥越983-8,0233223938（0233-22-3938）,"",""
株式会社和泉運輸,1390001009760,ビジネス > 運送・貨物・倉庫,〒992-1125山形県米沢市万世町片子4865-2,0238226730（0238-22-6730）,17000（千円）,菊地　秋雄（キクチ アキオ）
有限会社丸二運輸,1390002008266,ビジネス > 運送・貨物・倉庫,〒999-8301山形県飽海郡遊佐町遊佐道ノ下14-2,0234724314（0234-72-4314）,"",""
菅原通商有限会社,1390002010263,ビジネス > 運送・貨物・倉庫,〒997-1321山形県東田川郡三川町押切新田対馬358-2,0235664077（0235-66-4077）,8000（千円）,菅原　弘康（スガワラ ヒロヤス）
株式会社オネテック,2390001000363,ビジネス > 運送・貨物・倉庫,〒990-2225山形県山形市花岡130,0236865165（023-686-5165）,11000（千円）,代表取締役社長／齋藤　眞（サイトウ マコト）
山形ジェイアール直行特急保有株式会社,2390001001989,ビジネス > 運送・貨物・倉庫,〒990-0039山形県山形市香澄町1-1-1,0236248688（023-624-8688）,10200000（千円）,代表取締役社長／榧森　茂（カヤモリ シゲル）
株式会社生活クラブ,2390001010940,ビジネス > 運送・貨物・倉庫,〒992-0025山形県米沢市通町6-16-57,0238237232（0238-23-7232）,"",""
有限会社岩城物流,2390002005972,ビジネス > 運送・貨物・倉庫,〒990-0301山形県東村山郡山辺町山辺1386,0236648144（023-664-8144）,"",""
有限会社黒山高速運輸,2390002011830,ビジネス > 運送・貨物・倉庫,〒999-4224山形県尾花沢市新町4-4-26,0237232406（0237-23-2406）,27000（千円）,黒山　幸二（クロヤマ コウジ）
株式会社村山運送,3390001004611,ビジネス > 運送・貨物・倉庫,〒994-0101山形県天童市山口13,0236562415（023-656-2415）,"",""
株式会社エヌ・エッチ・エス,3390001008091,ビジネス > 運送・貨物・倉庫,〒997-0857山形県鶴岡市美咲町31-5,0235299588（0235-29-9588）,"",""
株式会社新庄清掃,3390001008496,ビジネス > 運送・貨物・倉庫,〒996-0091山形県新庄市十日町1240,0233230674（0233-23-0674）,10000（千円）,大場　和夫（オオバ カズオ）
株式会社最上運輸,3390001009156,ビジネス > 運送・貨物・倉庫,〒995-0111山形県村山市大久保乙126-3,0237542131（0237-54-2131）,"",""
有限会社瀬野商事,3390002006557,ビジネス > 運送・貨物・倉庫,〒994-0073山形県天童市寺津146-2,0236544298（023-654-4298）,3000（千円）,瀬野　浩二（セノ コウジ）
有限会社ネスパ,3390002010427,ビジネス > 運送・貨物・倉庫,〒997-0042山形県鶴岡市新形町5-34,0235232967（0235-23-2967）,6000（千円）,菅原　誠（スガワラ マコト）
山力運輸有限会社,3390002011474,ビジネス > 運送・貨物・倉庫,〒999-5406山形県最上郡金山町山崎三枝249,0233523359（0233-52-3359）,7500（千円）,樋渡　ノボル（ヒワタシ ノボル）
有限会社梅津建設,3390002014832,ビジネス > 運送・貨物・倉庫,〒993-0061山形県長井市寺泉1823,0238846737（0238-84-6737）,3000（千円）,梅津　勝彦（ウメツ カツヒコ）
山形トランジット株式会社,4390001002119,ビジネス > 運送・貨物・倉庫,〒990-2251山形県山形市立谷川1-1059-18,0236863922（023-686-3922）,28000（千円）,代表取締役社長／鈴木　敏夫（スズキ トシオ）
株式会社天童運送,4390001004676,ビジネス > 運送・貨物・倉庫,〒994-0069山形県天童市清池東2-1-14,0236553311（023-655-3311）,10000（千円）,佐藤　留五郎（サトウ トメゴロウ）
株式会社エスケーテー,4390001008124,ビジネス > 運送・貨物・倉庫,〒997-0003山形県鶴岡市文下字沼田198-2,0235283066（0235-28-3066）,16500（千円）,代表取締役社長／佐藤　篤雄（サトウ アツオ）
鳥海物流株式会社,4390001008198,ビジネス > 運送・貨物・倉庫,〒997-0753山形県鶴岡市田川字西山6-1,0235298670（0235-29-8670）,30000（千円）,前田　嚴（マエダ ゲン）
有限会社安藤運輸,4390002008445,ビジネス > 運送・貨物・倉庫,〒999-7706山形県東田川郡庄内町提興屋字中島55,0234422060（0234-42-2060）,"",""
有限会社山五商事運輸,4390002011911,ビジネス > 運送・貨物・倉庫,〒999-4336山形県尾花沢市北郷字鼠坂ノ上236-3,0237282167（0237-28-2167）,"",""
有限会社ミナモト,4390002014518,ビジネス > 運送・貨物・倉庫,〒999-2202山形県南陽市元中山2231-1,0238492038（0238-49-2038）,"",""
株式会社今野運輸,5390001006201,ビジネス > 運送・貨物・倉庫,〒998-0102山形県酒田市京田1-5-22,0234313488（0234-31-3488）,15000（千円）,代表取締役社長／今野　光博（コンノ ミツヒロ）
両羽ロジスティクス株式会社,5390001006663,ビジネス > 運送・貨物・倉庫,〒998-0824山形県酒田市大宮町2-6-4,0234230210（0234-23-0210）,49920（千円）,代表取締役社長／長谷川　寿夫（ハセガワ トシオ）
泉運輸株式会社,5390001006878,ビジネス > 運送・貨物・倉庫,〒998-0005山形県酒田市宮海字明治99-11,0234337760（0234-33-7760）,11075（千円）,大田　伝次郎（オオタ デンジロウ）
有限会社スエヒロ商事,5390002013023,ビジネス > 運送・貨物・倉庫,〒992-0011山形県米沢市中田町字谷地田2130-3,0238374252（0238-37-4252）,"",""
野口産業株式会社,6390001004542,ビジネス > 運送・貨物・倉庫,山形県天童市鎌田1丁目13番1号,0236533312（023-653-3312）,"",""
株式会社小松商事,6390001006191,ビジネス > 運送・貨物・倉庫,〒998-0005山形県酒田市宮海字新林572-19,0234347341（0234-34-7341）,"",""
株式会社八森商運,6390001006506,ビジネス > 運送・貨物・倉庫,〒998-0072山形県酒田市北浜町3-11,0234335008（0234-33-5008）,30000（千円）,遠田　忠（エンタ タダシ）
阿部運送株式会社,6390001006761,ビジネス > 運送・貨物・倉庫,〒999-6711山形県酒田市飛鳥字大道端239-1,0234522204（0234-52-2204）,"",""
双葉重機リース株式会社,6390001011902,ビジネス > 運送・貨物・倉庫,〒991-0061山形県寒河江市中央工業団地169-5,0237862145（0237-86-2145）,35000（千円）,代表取締役社長／柏倉　信弘（カシワグラ ノブヒロ）
株式会社奥羽ダイキンロジテス,6390001012198,ビジネス > 運送・貨物・倉庫,〒999-3502山形県西村山郡河北町吉田字花ノ木1232-31,0237726621（0237-72-6621）,"",""
有限会社河野運送,6390002009243,ビジネス > 運送・貨物・倉庫,〒997-0013山形県鶴岡市道形町34-40,0235242624（0235-24-2624）,"",""
相互タクシー株式会社,7390001001051,ビジネス > 運送・貨物・倉庫,〒990-0056山形県山形市錦町15-27,0236241213（023-624-1213）,"",""
株式会社コスモ運輸,7390001009202,ビジネス > 運送・貨物・倉庫,〒999-4554山形県尾花沢市芦沢字清水頭29-3,0237252740（0237-25-2740）,27000（千円）,宇井　正彦（ウイ マサヒコ）
菊池商事株式会社,7390001011752,ビジネス > 運送・貨物・倉庫,〒991-0061山形県寒河江市中央工業団地168,0237865581（0237-86-5581）,"",""
有限会社小山運送,7390002008888,ビジネス > 運送・貨物・倉庫,〒998-0863山形県酒田市日の出町1-8-13,0234212656（0234-21-2656）,"",""
有限会社ピーシー・コックセンター,7390002010092,ビジネス > 運送・貨物・倉庫,〒997-0341山形県鶴岡市下山添字一里塚65,0235572885（0235-57-2885）,8500（千円）,安達　仁紀（アダチ ヨシノリ）
日建重機有限会社,7390002011108,ビジネス > 運送・貨物・倉庫,〒996-0001山形県新庄市五日町1807-2,0233233131（0233-23-3131）,"",""
有限会社佐伯商事,7390002012155,ビジネス > 運送・貨物・倉庫,〒999-3751山形県東根市若木通り4-41,0237482231（0237-48-2231）,"",""
大和交通株式会社,8390001007659,ビジネス > 運送・貨物・倉庫,〒997-0824山形県鶴岡市日枝字鳥居上43-2,0235227733（0235-22-7733）,10000（千円）,柿崎　裕（カキザキ ヒロシ）
有限会社マルミ,8390002006437,ビジネス > 運送・貨物・倉庫,〒990-0401山形県東村山郡中山町長崎813-1,0236624138（023-662-4138）,"",""
有限会社西川運送,8390002016064,ビジネス > 運送・貨物・倉庫,〒990-0701山形県西村山郡西川町睦合西川町睦合滝ノ前甲405-2,0237742678（0237-74-2678）,"",""
酒田観光タクシー株式会社,9390001006214,ビジネス > 運送・貨物・倉庫,〒998-0024山形県酒田市御成町3-41,0234225311（0234-22-5311）,"",""
株式会社コクブン,9390001008689,ビジネス > 運送・貨物・倉庫,〒996-0041山形県新庄市鳥越字南沢1386-18,0233236310（0233-23-6310）,"",""
