会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社東和,1090001001509,ビジネス > 運送・貨物・倉庫,〒400-0027山梨県甲府市富士見2-9-17,0552524315（055-252-4315）,"",""
株式会社富士,1090001005030,ビジネス > 運送・貨物・倉庫,〒400-0203山梨県南アルプス市徳永1623-1,0552856330（055-285-6330）,3000（千円）,高村　文雄（タカムラ フミオ）
有限会社日本丸運輸,1090002004345,ビジネス > 運送・貨物・倉庫,〒409-3845山梨県中央市山之神3627-3,0552737100（055-273-7100）,3000（千円）,樋口　孝雄（ヒグチ タカオ）
有限会社ディー・ティー・エル,1090002006977,ビジネス > 運送・貨物・倉庫,〒409-3851山梨県中巨摩郡昭和町河西1438,0552207600（055-220-7600）,3000（千円）,藤田　尚晋（フジタ タカユキ）
有限会社ふるや,1090002011300,ビジネス > 運送・貨物・倉庫,〒404-0051山梨県甲州市塩山竹森53,0553332882（0553-33-2882）,14000（千円）,清水　文雄（シミズ フミオ）
中央海産株式会社,2090001001383,ビジネス > 運送・貨物・倉庫,〒400-0043山梨県甲府市国母8-18-7,0552266231（055-226-6231）,"",""
山梨流通株式会社,2090001002927,ビジネス > 運送・貨物・倉庫,〒409-3841山梨県中央市布施1357,0552734947（055-273-4947）,10000（千円）,代表取締役社長／井山　浩樹（イヤマ ヒロキ）
株式会社じょうほく物流,2090001004378,ビジネス > 運送・貨物・倉庫,〒400-0058山梨県甲府市宮原町603-1,0552202116（055-220-2116）,11000（千円）,中村　勝（ナカムラ マサル）
甲菱運輸株式会社,2090001005995,ビジネス > 運送・貨物・倉庫,〒406-0045山梨県笛吹市石和町井戸221,0552627100（055-262-7100）,"",""
株式会社大洋運輸,2090001006259,ビジネス > 運送・貨物・倉庫,〒406-0034山梨県笛吹市石和町唐柏962,0552624668（055-262-4668）,"",""
有限会社國伸運輸,2090002007306,ビジネス > 運送・貨物・倉庫,〒400-0226山梨県南アルプス市有野3720-1,0552851490（055-285-1490）,3000（千円）,塩谷　忠広（エンヤ タダヒロ）
有限会社早川運輸,2090002008535,ビジネス > 運送・貨物・倉庫,〒405-0065山梨県笛吹市一宮町新巻516,0553470162（0553-47-0162）,"",""
有限会社杉建総業,2090002009962,ビジネス > 運送・貨物・倉庫,〒409-0612山梨県大月市猿橋町藤崎578,0554221446（0554-22-1446）,"",""
山梨交通株式会社,3090001002199,ビジネス > 運送・貨物・倉庫,〒400-0035山梨県甲府市飯田3-2-34,0552230811（055-223-0811）,96000（千円）,高野　三雄（タカノ ミツオ）
小林運送株式会社,3090001002868,ビジネス > 運送・貨物・倉庫,〒409-3845山梨県中央市山之神流通団地3162-42,0552735631（055-273-5631）,"",""
藤進運輸株式会社,3090001002892,ビジネス > 運送・貨物・倉庫,〒409-3845山梨県中央市山之神流通団地3-6-1,0552736551（055-273-6551）,"",""
株式会社大光物流運輸,3090001008923,ビジネス > 運送・貨物・倉庫,〒405-0032山梨県山梨市正徳寺528,0553225153（0553-22-5153）,10000（千円）,大久保　力（オオクボ チカラ）
有限会社宝運送,3090002001968,ビジネス > 運送・貨物・倉庫,〒400-0075山梨県甲府市山宮町51-2,0552515000（055-251-5000）,"",""
有限会社塩沢運送,3090002003717,ビジネス > 運送・貨物・倉庫,〒400-0114山梨県甲斐市万才621-4,0552765751（055-276-5751）,3200（千円）,塩澤　ひとみ（シオザワ ヒトミ）
有限会社大道運輸,3090002004665,ビジネス > 運送・貨物・倉庫,〒409-3861山梨県中巨摩郡昭和町紙漉阿原2438,0552758072（055-275-8072）,9350（千円）,芦澤　裕二（アシザワ ユウジ）
有限会社前田建材,3090002007809,ビジネス > 運送・貨物・倉庫,〒400-0202山梨県南アルプス市下高砂361-4,0552855724（055-285-5724）,"",""
有限会社大成物流,3090002008435,ビジネス > 運送・貨物・倉庫,〒406-0822山梨県笛吹市八代町南502,0552652923（055-265-2923）,4500（千円）,中島　拓二（ナカジマ タクジ）
有限会社早川運送,3090002015019,ビジネス > 運送・貨物・倉庫,〒400-0334山梨県南アルプス市藤田2516-1,0552844185（055-284-4185）,"",""
相互タクシー株式会社,4090001001225,ビジネス > 運送・貨物・倉庫,〒400-0856山梨県甲府市伊勢1-11-3,0552334545（055-233-4545）,"",""
タクト株式会社,4090001001349,ビジネス > 運送・貨物・倉庫,〒400-0864山梨県甲府市湯田2-7-15丸市第二ビル,"","",""
株式会社コーエイ,4090001002859,ビジネス > 運送・貨物・倉庫,〒409-3845山梨県中央市山之神流通団地2-7-10,0552740050（055-274-0050）,"",""
株式会社佐藤興業,4090001005837,ビジネス > 運送・貨物・倉庫,〒400-0222山梨県南アルプス市飯野590-1,0552677530（055-267-7530）,"",""
株式会社ミノブ運輸,4090001012305,ビジネス > 運送・貨物・倉庫,〒409-2522山梨県南巨摩郡身延町下山9310,0556623111（0556-62-3111）,25000（千円）,網野　隆代（アミノ タカヨ）
有限会社藤本運送,4090002002619,ビジネス > 運送・貨物・倉庫,〒400-0053山梨県甲府市大里町1896-2,0552413418（055-241-3418）,"",""
有限会社万才販送,4090002003906,ビジネス > 運送・貨物・倉庫,〒400-0114山梨県甲斐市万才38甲府建材商会内,0552762205（055-276-2205）,5000（千円）,中込　茂（ナカゴミ シゲル）
有限会社田中建材,4090002006322,ビジネス > 運送・貨物・倉庫,〒409-3851山梨県中巨摩郡昭和町河西805-2,0552755540（055-275-5540）,7000（千円）,田中　平（タナカ タイラ）
有限会社サンコーライン,4090002013649,ビジネス > 運送・貨物・倉庫,〒408-0318山梨県北杜市白州町上教来石1423-1,0551353999（0551-35-3999）,"",""
山梨小籏株式会社,5090001005084,ビジネス > 運送・貨物・倉庫,〒400-0414山梨県南アルプス市戸田916-36,0552824011（055-282-4011）,20000（千円）,齊藤　親（サイトウ チカシ）
協同運輸株式会社,5090001005968,ビジネス > 運送・貨物・倉庫,〒405-0079山梨県笛吹市一宮町金田1270,0553472281（0553-47-2281）,"",""
イビシタクシー株式会社,5090001009556,ビジネス > 運送・貨物・倉庫,〒401-0301山梨県南都留郡富士河口湖町船津4095-1,0555721077（0555-72-1077）,10000（千円）,中村　司朗（ナカムラ シロウ）
株式会社高根運送,5090001011314,ビジネス > 運送・貨物・倉庫,〒408-0002山梨県北杜市高根町村山北割3265,0551474711（0551-47-4711）,10000（千円）,坂本　幸晴（サカモト ユキハル）
有限会社ケーイーカンパニー,5090002005117,ビジネス > 運送・貨物・倉庫,〒400-0053山梨県甲府市大里町5270,0552410058（055-241-0058）,"",""
