会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
広栄運輸株式会社,1200001001892,ビジネス > 運送・貨物・倉庫,〒500-8401岐阜県岐阜市安良田町2-3-1,0582459115（058-245-9115）,"",""
相互運輸株式会社,1200001010010,ビジネス > 運送・貨物・倉庫,〒501-0234岐阜県瑞穂市牛牧515-1,0583273411（058-327-3411）,"",""
中部興運株式会社,1200001013962,ビジネス > 運送・貨物・倉庫,〒503-2227岐阜県大垣市青野町1106,0584921278（0584-92-1278）,"",""
西濃エキスプレス株式会社,1200001014903,ビジネス > 運送・貨物・倉庫,〒503-0203岐阜県安八郡輪之内町楡俣新田字中代253-1,0584694555（0584-69-4555）,10000（千円）,代表取締役社長／根木　孝宜（ネギ タカヨシ）
ＫＹＢロジスティクス株式会社,1200001018581,ビジネス > 運送・貨物・倉庫,〒509-0206岐阜県可児市土田1790,0574266427（0574-26-6427）,30000（千円）,永汐　幹雄（ナガシオ ミキオ）
有限会社鈴木商事,1200002010802,ビジネス > 運送・貨物・倉庫,〒501-6005岐阜県羽島郡岐南町若宮地2-211,0582475532（058-247-5532）,"",""
石田運輸有限会社,1200002015264,ビジネス > 運送・貨物・倉庫,〒503-2427岐阜県揖斐郡池田町市橋261-1,0584712325（0584-71-2325）,"",""
株式会社杉山陸運,2200001009992,ビジネス > 運送・貨物・倉庫,〒501-0215岐阜県瑞穂市生津天王東町1丁目49番地,0583271551（058-327-1551）,16000（千円）,杉山　勉（スギヤマ ツトム）
株式会社若園運輸,2200001011684,ビジネス > 運送・貨物・倉庫,〒501-6002岐阜県羽島郡岐南町三宅1-190,0582453600（058-245-3600）,12000（千円）,代表取締役社長／若園　伴睦（ワカゾノ トモムツ）
パースチヤ・ビリジ株式会社,2200001015207,ビジネス > 運送・貨物・倉庫,〒503-0021岐阜県大垣市河間町1-3-1,0584753365（0584-75-3365）,"",""
株式会社中央,2200001022038,ビジネス > 運送・貨物・倉庫,〒507-0007岐阜県多治見市小名田町西ヶ洞33-2,0572250101（0572-25-0101）,"",""
