会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
岡崎運送株式会社,1260001001532,ビジネス > 運送・貨物・倉庫,〒704-8136岡山県岡山市東区西幸西316-4,0869468905（0869-46-8905）,"",""
ニッコー運輸株式会社,1260001005186,ビジネス > 運送・貨物・倉庫,〒700-0907岡山県岡山市北区下石井2-1-10KEビル8階,0862212517（086-221-2517）,11000（千円）,代表取締役社長／中田　康仁（ナカダ ヤスヒト）
佐々木運輸株式会社,1260001013486,ビジネス > 運送・貨物・倉庫,〒710-0035岡山県倉敷市黒石113-13,0864300720（086-430-0720）,"",""
弘栄産業株式会社,1260001015887,ビジネス > 運送・貨物・倉庫,〒712-8052岡山県倉敷市松江3-3-25,0864551139（086-455-1139）,"",""
株式会社モリワキ,1260001018122,ビジネス > 運送・貨物・倉庫,〒714-1211岡山県小田郡矢掛町東三成3587,0866821029（0866-82-1029）,"",""
田原産業株式会社,1260001019178,ビジネス > 運送・貨物・倉庫,〒718-0003岡山県新見市高尾2352-6,0867725511（0867-72-5511）,10000（千円）,田原　茂穂（タバラ シゲホ）
久本汽船株式会社,1260001021662,ビジネス > 運送・貨物・倉庫,〒701-3202岡山県備前市日生町寒河2515-22,0869720638（0869-72-0638）,10000（千円）,久本　久治（ヒサモト ヒサハル）
丹羽汽船株式会社,1260001021745,ビジネス > 運送・貨物・倉庫,〒701-3204岡山県備前市日生町日生648-28,0869729119（0869-72-9119）,10000（千円）,代表取締役社長／丹羽　耕一郎（タンバ コウイチロウ）
株式会社遠藤運輸,1260001021902,ビジネス > 運送・貨物・倉庫,〒709-0522岡山県和気郡和気町加三方298-7,0869881150（0869-88-1150）,"",""
富士タクシー株式会社,1260001022446,ビジネス > 運送・貨物・倉庫,〒706-0012岡山県玉野市玉4-6-20,0863213153（0863-21-3153）,"",""
有限会社万代,1260002011349,ビジネス > 運送・貨物・倉庫,〒709-0863岡山県岡山市東区瀬戸町観音寺869-1,0869522536（0869-52-2536）,"",""
有限会社山岡流通,1260002012363,ビジネス > 運送・貨物・倉庫,〒701-0212岡山県岡山市南区内尾290-12,0862826111（086-282-6111）,"",""
明治運送有限会社,1260002026058,ビジネス > 運送・貨物・倉庫,〒714-1213岡山県小田郡矢掛町里山田948-4,0866848134（0866-84-8134）,"",""
有限会社エムケイライン,1260002026462,ビジネス > 運送・貨物・倉庫,〒714-0013岡山県笠岡市大井南57-14,0865623108（0865-62-3108）,5000（千円）,平岡　実（ヒラオカ ミノル）
有限会社峰南運輸,1260002029853,ビジネス > 運送・貨物・倉庫,〒708-0802岡山県津山市大篠633,0868291103（0868-29-1103）,3000（千円）,早瀬　基志（ハヤセ モトシ）
有限会社井上,1260002030968,ビジネス > 運送・貨物・倉庫,〒709-0224岡山県備前市吉永町吉永中623,0869842438（0869-84-2438）,"",""
有限会社山本運輸,1260002032106,ビジネス > 運送・貨物・倉庫,〒705-0033岡山県備前市穂浪3762-29,0869672288（0869-67-2288）,"",""
有限会社トライ企画,1260002033698,ビジネス > 運送・貨物・倉庫,〒719-3213岡山県真庭市多田51-21,"","",""
津田産業株式会社,2260001004427,ビジネス > 運送・貨物・倉庫,〒700-0811岡山県岡山市北区番町1-4-18,0862221771（086-222-1771）,"",""
株式会社芳岡運送,2260001006893,ビジネス > 運送・貨物・倉庫,〒704-8133岡山県岡山市東区宿毛326,0869461805（0869-46-1805）,13000（千円）,芳岡　弘樹（ヨシオカ ヒロキ）
共和運輸株式会社,2260001013031,ビジネス > 運送・貨物・倉庫,〒710-0804岡山県倉敷市西阿知町新田633-1,0864653000（086-465-3000）,"",""
三宅興業株式会社,2260001014962,ビジネス > 運送・貨物・倉庫,〒712-8056岡山県倉敷市水島福崎町8-3,0864448434（086-444-8434）,10000（千円）,三宅　幹義（ミヤケ ミキヨシ）
長鋪汽船株式会社,2260001017841,ビジネス > 運送・貨物・倉庫,〒714-0034岡山県笠岡市神島外浦2776-2,0865672311（0865-67-2311）,16000（千円）,長鋪　慶明（ナガシキ キヨアキ）
第一運送株式会社,2260001021595,ビジネス > 運送・貨物・倉庫,〒705-0023岡山県備前市伊里中224,0869672255（0869-67-2255）,"",""
横山商事株式会社,2260001021728,ビジネス > 運送・貨物・倉庫,〒701-3202岡山県備前市日生町寒河2559,"","",""
山陽トランスポート有限会社,2260002004087,ビジネス > 運送・貨物・倉庫,〒700-0825岡山県岡山市北区田町1-10-1,0862233311（086-223-3311）,20000（千円）,山田　陽子（ヤマダ ヨウコ）
有限会社相互運輸,2260002005696,ビジネス > 運送・貨物・倉庫,〒701-0213岡山県岡山市南区中畦889-1,0862989100（086-298-9100）,"",""
長光商事有限会社,2260002012998,ビジネス > 運送・貨物・倉庫,〒700-0081岡山県岡山市北区津島東4-12-13,0862521317（086-252-1317）,"",""
有限会社トランスポート竹内,2260002030199,ビジネス > 運送・貨物・倉庫,〒708-1116岡山県津山市野村405-5,0868290664（0868-29-0664）,3000（千円）,竹内　敬太郎（タケウチ ケイタロウ）
株式会社サンク,2260003001364,ビジネス > 運送・貨物・倉庫,〒702-8026岡山県岡山市南区浦安本町85-2,"","",""
叶運輸株式会社,3260001001836,ビジネス > 運送・貨物・倉庫,〒701-0164岡山県岡山市北区撫川1501-1,0862934111（086-293-4111）,"",""
三協運輸倉庫株式会社,3260001002883,ビジネス > 運送・貨物・倉庫,〒701-0221岡山県岡山市南区藤田566-160,0862635035（086-263-5035）,72000（千円）,光岡　純朗（ミツオカ ジユンロウ）
株式会社エムエーシー,3260001007156,ビジネス > 運送・貨物・倉庫,〒709-0856岡山県岡山市東区瀬戸町下72,0869523221（0869-52-3221）,"",""
株式会社フジショウ,3260001008303,ビジネス > 運送・貨物・倉庫,〒701-0212岡山県岡山市南区内尾479-21,"",10000（千円）,藤井　良男（フジイ ヨシオ）
株式会社西山トラフィック,3260001009557,ビジネス > 運送・貨物・倉庫,〒703-8263岡山県岡山市中区倉益341-3,0862766311（086-276-6311）,"",""
株式会社サンクアート,3260001010969,ビジネス > 運送・貨物・倉庫,〒702-8026岡山県岡山市南区浦安本町85-2,"","",""
トクラ運輸株式会社,3260001014160,ビジネス > 運送・貨物・倉庫,〒710-0802岡山県倉敷市水江1544-1,0864655515（086-465-5515）,"",""
