会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
丸大運輸株式会社,1400001001930,ビジネス > 運送・貨物・倉庫,〒020-0834岩手県盛岡市永井13地割95,0196370001（019-637-0001）,38900（千円）,山本　浩一（ヤマモト コウイチ）
株式会社平舘運輸,1400001004891,ビジネス > 運送・貨物・倉庫,〒028-7405岩手県八幡平市平舘第15地割64,0195744121（0195-74-4121）,13000（千円）,遠藤　尚光（エンドウ ナオミツ）
みちのく流通株式会社,1400001005510,ビジネス > 運送・貨物・倉庫,〒025-0076岩手県花巻市城内14-55,0198237304（0198-23-7304）,"",""
北進運輸有限会社,1400002002969,ビジネス > 運送・貨物・倉庫,〒020-0834岩手県盛岡市永井15-38-1,0196384300（019-638-4300）,"",""
渡辺運輸機工有限会社,1400002007745,ビジネス > 運送・貨物・倉庫,〒028-7111岩手県八幡平市大更第19地割1-13,0195762407（0195-76-2407）,"",""
株式会社関商ネットワーク,1400601000803,ビジネス > 運送・貨物・倉庫,〒029-4503岩手県胆沢郡金ヶ崎町西根森山4-17,0197445078（0197-44-5078）,30000（千円）,今川　浩二（イマカワ コウジ）
有限会社下田運輸,1400602000348,ビジネス > 運送・貨物・倉庫,〒023-0841岩手県奥州市水沢区真城字北下田57-4,0197262246（0197-26-2246）,"",""
二葉運送株式会社,2400001003810,ビジネス > 運送・貨物・倉庫,〒028-3601岩手県紫波郡矢巾町高田14地割1-1,0196978211（019-697-8211）,40000（千円）,代表取締役会長／細川　忠彦（ホソカワ タダヒコ）
株式会社カワサキ商事,2400001007555,ビジネス > 運送・貨物・倉庫,〒026-0055岩手県釜石市甲子町第3地割225-2,0193592327（0193-59-2327）,8000（千円）,川崎　敏子（カワサキ トシコ）
有限会社石鳥谷運送,2400002008593,ビジネス > 運送・貨物・倉庫,〒028-3101岩手県花巻市石鳥谷町好地15地割14,0198452333（0198-45-2333）,5000（千円）,畠山　親夫（ハタケヤマ チカオ）
株式会社サンライズトランスポート,2400501000373,ビジネス > 運送・貨物・倉庫,〒029-0302岩手県一関市東山町長坂字町176,0191474520（0191-47-4520）,22000（千円）,代表取締役社長／佐藤　長夫（サトウ ナガオ）
産興自動車株式会社,3400001003776,ビジネス > 運送・貨物・倉庫,〒028-3604岩手県紫波郡矢巾町東徳田第5地割125,0196973251（019-697-3251）,18000（千円）,代表取締役／山田　信一（ヤマダ シンイチ）
丸新運輸有限会社,3400002007339,ビジネス > 運送・貨物・倉庫,〒028-3322岩手県紫波郡紫波町栃内字小畑69-1,0196752510（019-675-2510）,"",""
有限会社北舘商運,3400002007487,ビジネス > 運送・貨物・倉庫,〒028-7113岩手県八幡平市平笠第16地割66-3,0195763781（0195-76-3781）,19000（千円）,北舘　光雄（キタダテ ミツオ）
丸和運送有限会社,3400002010417,ビジネス > 運送・貨物・倉庫,〒028-0305岩手県遠野市宮守町達曽部4-43,0198676127（0198-67-6127）,5000（千円）,佐々木　一男（ササキ カズオ）
有限会社中山運送,3400002012413,ビジネス > 運送・貨物・倉庫,〒028-5133岩手県二戸郡一戸町中山字軽井沢116-1,0195353321（0195-35-3321）,"",""
大野運送有限会社,3400002012751,ビジネス > 運送・貨物・倉庫,〒028-0041岩手県久慈市長内町第37地割12-8,0194521339（0194-52-1339）,"",""
有限会社山佐運輸,3400502001601,ビジネス > 運送・貨物・倉庫,〒029-0601岩手県一関市大東町中川字上ノ山16-7,0191742337（0191-74-2337）,"",""
有限会社大船渡総合運輸,3402702000077,ビジネス > 運送・貨物・倉庫,〒022-0002岩手県大船渡市大船渡町永沢19-5,0192271411（0192-27-1411）,5500（千円）,鎌田　昭次（カマタ シヨウジ）
海洋曳船株式会社,4400001007306,ビジネス > 運送・貨物・倉庫,〒026-0013岩手県釜石市浜町1-1釜石市営ビル304,0193243322（0193-24-3322）,10000（千円）,代表取締役社長／多々良　幸尋（タタラ ユキヒロ）
小豆嶋漁業株式会社,4400001007462,ビジネス > 運送・貨物・倉庫,〒028-1105岩手県上閉伊郡大槌町安渡3-12-12,0193422923（0193-42-2923）,"",""
有限会社新田工業,4400002008229,ビジネス > 運送・貨物・倉庫,〒025-0039岩手県花巻市諏訪町2-7-4,0198224928（0198-22-4928）,"",""
丸幸運輸有限会社,4400002008690,ビジネス > 運送・貨物・倉庫,〒028-3163岩手県花巻市石鳥谷町八幡第2地割2-2,0198452347（0198-45-2347）,"",""
有限会社太陽タクシー,4400002011678,ビジネス > 運送・貨物・倉庫,〒026-0301岩手県釜石市鵜住居町15地割7-1,0193283105（0193-28-3105）,"",""
平泉運輸株式会社,4400501000256,ビジネス > 運送・貨物・倉庫,〒021-0063岩手県一関市山目大槻89-4,0191234627（0191-23-4627）,21000（千円）,代表取締役社長／阿部　陸郎（アベ リクロウ）
有限会社那須工業運輸,4400502000973,ビジネス > 運送・貨物・倉庫,〒029-0302岩手県一関市東山町長坂字柴宿178-2,0191474440（0191-47-4440）,"",""
株式会社野口,4400601000858,ビジネス > 運送・貨物・倉庫,〒023-1761岩手県奥州市江刺区伊手和野156-4,0197392342（0197-39-2342）,"",""
有限会社旭運送,4400602000023,ビジネス > 運送・貨物・倉庫,〒023-0002岩手県奥州市水沢区水沢工業団地2-4,0197242467（0197-24-2467）,"",""
光陽商事株式会社,4402701000093,ビジネス > 運送・貨物・倉庫,〒022-0002岩手県大船渡市大船渡町茶屋前28-2,0192266166（0192-26-6166）,"",""
株式会社ラクウン,5400001001745,ビジネス > 運送・貨物・倉庫,〒020-0891岩手県紫波郡矢巾町流通センター南1-6-11,0196014008（019-601-4008）,"",""
三光運輸株式会社,5400001003840,ビジネス > 運送・貨物・倉庫,〒028-3311岩手県紫波郡紫波町犬渕南谷地32-17,0196725400（019-672-5400）,"",""
株式会社ユタカ運送,5400001004632,ビジネス > 運送・貨物・倉庫,〒020-0826岩手県盛岡市神子田町16-33,0196523115（019-652-3115）,7000（千円）,藤村　豊（フジムラ ユタカ）
株式会社ケイ・シー・ティー,5400001008030,ビジネス > 運送・貨物・倉庫,〒028-0071岩手県久慈市小久慈町第61地割8-1,0194593200（0194-59-3200）,10000（千円）,大粒来　重巳（オオツブライ シゲミ）
有限会社つばめタクシー,5400002002115,ビジネス > 運送・貨物・倉庫,〒020-0111岩手県盛岡市黒石野2-16-30,0196610061（019-661-0061）,"",""
富士タクシー有限会社,5400002002800,ビジネス > 運送・貨物・倉庫,〒020-0016岩手県盛岡市名須川町21-35,0196232372（019-623-2372）,"",""
有限会社セブン配送,5400002008228,ビジネス > 運送・貨物・倉庫,〒025-0006岩手県花巻市下似内17-79-14,0198243468（0198-24-3468）,"",""
有限会社カネショウ物流,5400002008938,ビジネス > 運送・貨物・倉庫,〒025-0024岩手県花巻市山の神1002-2,0198215883（0198-21-5883）,6000（千円）,川村　主税（カワムラ チカラ）
有限会社メモリアル,5400602000749,ビジネス > 運送・貨物・倉庫,〒023-0053岩手県奥州市水沢区大手町5-33,0197253311（0197-25-3311）,"",""
宮古市,6000020032026,ビジネス > 運送・貨物・倉庫,〒027-0203岩手県宮古市津軽石第15地割3-2,0193673803（0193-67-3803）,8000（千円）,代表取締役社長／澤　留八（サワ トメハチ）
株式会社齋藤運輸,6400001005316,ビジネス > 運送・貨物・倉庫,〒025-0062岩手県花巻市上小舟渡530,0198243430（0198-24-3430）,37400（千円）,代表取締役社長／齋藤　政人（サイトウ マサト）
