会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
金山商事運輸有限会社,1280002004581,ビジネス > 運送・貨物・倉庫,〒692-0007島根県安来市荒島町90-1,0854286870（0854-28-6870）,10000（千円）,金山　春夫（カナヤマ ハルオ）
有限会社サンユウ,1280002009168,ビジネス > 運送・貨物・倉庫,〒699-2837島根県江津市松川町上河戸491-2,0855551551（0855-55-1551）,"",""
久保商事有限会社,1280002010605,ビジネス > 運送・貨物・倉庫,〒698-1211島根県益田市匹見町匹見イ4-1,0856561259（0856-56-1259）,"",""
日通松江運輸株式会社,2280001000548,ビジネス > 運送・貨物・倉庫,〒690-0025島根県松江市八幡町953-16,0852372376（0852-37-2376）,10000（千円）,板持　清己（イタモチ キヨミ）
ニッセイ運輸株式会社,2280001003303,ビジネス > 運送・貨物・倉庫,〒693-0022島根県出雲市上塩冶町702-36,0853212456（0853-21-2456）,13000（千円）,糸賀　優（イトガ マサル）
有限会社小川商店,2280002007914,ビジネス > 運送・貨物・倉庫,島根県大田市温泉津町温泉津ロ65,0855652636（0855-65-2636）,"",""
有限会社荒木資材運輸,2280002011619,ビジネス > 運送・貨物・倉庫,〒699-1622島根県仁多郡奥出雲町下阿井1778,0854560558（0854-56-0558）,3000（千円）,影山　勝（カゲヤマ マサル）
狩野運送株式会社,3280001000159,ビジネス > 運送・貨物・倉庫,〒690-0021島根県松江市矢田町319-4,0852253700（0852-25-3700）,"",""
山陰福山通運株式会社,3280001002849,ビジネス > 運送・貨物・倉庫,〒690-0011島根県松江市東津田町1247,0852263511（0852-26-3511）,"",""
有限会社伯太急送,3280002004877,ビジネス > 運送・貨物・倉庫,〒692-0207島根県安来市伯太町東母里2039-2,0854370907（0854-37-0907）,3000（千円）,門脇　秀毅（カドワキ ヒデキ）
有限会社鳥本商会,3280002005009,ビジネス > 運送・貨物・倉庫,〒690-0814島根県松江市東持田町313-12,0852283890（0852-28-3890）,"",""
那賀運送有限会社,3280002008481,ビジネス > 運送・貨物・倉庫,〒697-0004島根県浜田市久代町792-1,0855281431（0855-28-1431）,"",""
有限会社矢田渡船観光,4280002002434,ビジネス > 運送・貨物・倉庫,〒690-0834島根県松江市朝酌町1007-1,0852390136（0852-39-0136）,"",""
有限会社光明運送,4280002003250,ビジネス > 運送・貨物・倉庫,〒690-1404島根県松江市八束町波入461,"",3000（千円）,門脇　慎次（カドワキ シンジ）
大日運送有限会社,4280002005676,ビジネス > 運送・貨物・倉庫,〒693-0017島根県出雲市枝大津町22-5,0853214777（0853-21-4777）,"",""
有限会社新興運輸,4280002009999,ビジネス > 運送・貨物・倉庫,〒699-3676島根県益田市遠田町927-1,0856271155（0856-27-1155）,"",""
有限会社正木運送,4280002010651,ビジネス > 運送・貨物・倉庫,〒699-5525島根県鹿足郡吉賀町抜月44-2,0856780496（0856-78-0496）,10000（千円）,正木　和男（マサキ カズオ）
有限会社鹿島タクシー,5280002002631,ビジネス > 運送・貨物・倉庫,〒690-0332島根県松江市鹿島町佐陀本郷621-3,0852821515（0852-82-1515）,"",""
有限会社竹谷運送,5280002003175,ビジネス > 運送・貨物・倉庫,〒690-1405島根県松江市八束町入江426,0852762293（0852-76-2293）,"",""
朝山運送有限会社,5280002007473,ビジネス > 運送・貨物・倉庫,〒699-2213島根県大田市朝山町朝倉2142,0854858948（0854-85-8948）,"",""
株式会社雲南物流,6280001005782,ビジネス > 運送・貨物・倉庫,〒699-1312島根県雲南市木次町山方1114-3,0854420814（0854-42-0814）,5500（千円）,後長　雄治（ゴチヨウ ユウジ）
有限会社高野運送,6280002005690,ビジネス > 運送・貨物・倉庫,〒693-0053島根県出雲市高松町1224-11,0853212550（0853-21-2550）,"",""
有限会社旭運送,6280002008875,ビジネス > 運送・貨物・倉庫,〒697-0514島根県浜田市旭町市木3552,0855470932（0855-47-0932）,"",""
有限会社港町運送,7280002008692,ビジネス > 運送・貨物・倉庫,〒697-0005島根県浜田市上府町イ1835-14,0855236804（0855-23-6804）,3000（千円）,米谷　靖夫（コメタニ ヤスオ）
有限会社アイテクノ,7280002009369,ビジネス > 運送・貨物・倉庫,〒699-4225島根県江津市桜江町小田943-12,0855921500（0855-92-1500）,"",""
有限会社森山運輸,7280002011580,ビジネス > 運送・貨物・倉庫,〒699-1223島根県雲南市大東町下阿用1023-8,0854433586（0854-43-3586）,"",""
三隅海陸株式会社,8280001004485,ビジネス > 運送・貨物・倉庫,〒699-3211島根県浜田市三隅町三隅379-7,0855322572（0855-32-2572）,25000（千円）,田中　浩文（タナカ ヒロフミ）
有限会社飛鳥興業,8280002000095,ビジネス > 運送・貨物・倉庫,〒690-0821島根県松江市上東川津町993-1,0852290299（0852-29-0299）,3000（千円）,松田　恭司（マツダ キヨウジ）
三島運輸有限会社,8280002002265,ビジネス > 運送・貨物・倉庫,〒690-0014島根県松江市八雲台2-13-24,0852267520（0852-26-7520）,"",""
有限会社丸和運輸,8280002004914,ビジネス > 運送・貨物・倉庫,〒692-0061島根県安来市中津町10,0854221686（0854-22-1686）,9600（千円）,代表取締役社長／大和　博見（ヤマト ヒロミ）
津田運送有限会社,8280002010128,ビジネス > 運送・貨物・倉庫,〒699-3671島根県益田市津田町1276-3,0856271157（0856-27-1157）,"",""
吉田運送有限会社,8280002011893,ビジネス > 運送・貨物・倉庫,〒690-2801島根県雲南市吉田町吉田2334-10,0854740056（0854-74-0056）,"",""
日本交通株式会社,9280001000558,ビジネス > 運送・貨物・倉庫,〒690-0001島根県松江市東朝日町278-3,0852233351（0852-23-3351）,"",""
有限会社鎌田建設,9280002008212,ビジネス > 運送・貨物・倉庫,〒697-0034島根県浜田市相生町3913,0855224143（0855-22-4143）,"",""
有限会社青木運送,9280002008815,ビジネス > 運送・貨物・倉庫,〒697-0017島根県浜田市原井町3025,0855234641（0855-23-4641）,"",""
