会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
佐伯タクシー株式会社,1240001003860,ビジネス > 運送・貨物・倉庫,〒731-5106広島県広島市佐伯区利松1-13-21,0829262311（0829-26-2311）,25000（千円）,山下　優治（ヤマシタ ユウジ）
坂本運送株式会社,1240001004066,ビジネス > 運送・貨物・倉庫,〒734-0013広島県広島市南区出島1-20-13,0822516211（082-251-6211）,20000（千円）,坂本　真也（サカモト シンヤ）
シーエムシー株式会社,1240001004446,ビジネス > 運送・貨物・倉庫,〒732-0065広島県広島市東区牛田中2-7-36,0822241961（082-224-1961）,"",""
広島急送株式会社,1240001009255,ビジネス > 運送・貨物・倉庫,〒739-1734広島県広島市安佐北区口田町873-8,0828426060（082-842-6060）,"",""
株式会社京橋コーポレーション,1240001016334,ビジネス > 運送・貨物・倉庫,〒731-0102広島県広島市安佐南区川内5-32-7,0828312699（082-831-2699）,10000（千円）,山城　誠子（ヤマシロ セイコ）
船田海運株式会社,1240001026762,ビジネス > 運送・貨物・倉庫,〒737-0154広島県呉市仁方桟橋通13-7,0823790005（0823-79-0005）,20000（千円）,船田　篤（フナダ アツシ）
株式会社インターオート,1240001028354,ビジネス > 運送・貨物・倉庫,〒739-0442広島県廿日市市梅原2-3-14,0829552100（0829-55-2100）,"",""
株式会社ワールド,1240001034757,ビジネス > 運送・貨物・倉庫,〒720-0821広島県福山市東川口町3-9-33,0849577300（084-957-7300）,"",""
岡本運輸株式会社,1240001037198,ビジネス > 運送・貨物・倉庫,〒725-0024広島県竹原市港町4-4-1,0846225511（0846-22-5511）,"",""
株式会社フレッシュ物流,1240001039780,ビジネス > 運送・貨物・倉庫,〒729-0475広島県三原市沼田西町松江2225-13,0848863120（0848-86-3120）,"",""
芸州海運株式会社,1240001051802,ビジネス > 運送・貨物・倉庫,〒737-1377広島県呉市倉橋町7379,0823561211（0823-56-1211）,10000（千円）,城戸　良香（キド ヨシカ）
高野運送有限会社,1240002009675,ビジネス > 運送・貨物・倉庫,〒731-0102広島県広島市安佐南区川内6-1-12,0828773284（082-877-3284）,"",""
有限会社ドリーム交通,1240002016366,ビジネス > 運送・貨物・倉庫,〒734-0032広島県広島市南区楠那町8-22,0822514911（082-251-4911）,"",""
有限会社湯川建材,1240002031902,ビジネス > 運送・貨物・倉庫,〒727-0402広島県庄原市高野町新市29-1,0824862616（0824-86-2616）,3000（千円）,名越　弘（ナゴシ ヒロム）
有限会社東新,1240002033452,ビジネス > 運送・貨物・倉庫,〒737-0303広島県呉市下蒲刈町下島3265-9,0823652657（0823-65-2657）,5000（千円）,岸菜　昭孝（キシナ アキタカ）
川村産業有限会社,1240002038559,ビジネス > 運送・貨物・倉庫,〒720-0021広島県福山市緑陽町1-6-3,0849554618（084-955-4618）,5000（千円）,川村　守（カワムラ マモル）
丸眞運輸有限会社,1240002038798,ビジネス > 運送・貨物・倉庫,〒720-2127広島県福山市神辺町箱田266-1,"",6000（千円）,前　眞澄（マエ マスミ）
藤田興業有限会社,1240002042734,ビジネス > 運送・貨物・倉庫,〒721-0942広島県福山市引野町2-9-22,0849419763（084-941-9763）,20000（千円）,代表取締役社長／門利　實（モンリ ミノル）
有限会社ユーテック,1240002047527,ビジネス > 運送・貨物・倉庫,〒729-0252広島県福山市本郷町2862-2,0849302030（084-930-2030）,"",""
株式会社エフ・ジー,2240001001491,ビジネス > 運送・貨物・倉庫,〒733-0854広島県広島市西区山田町539,0825070576（082-507-0576）,30000（千円）,代表取締役社長／村上　哲也（ムラカミ テツヤ）
株式会社河野運送,2240001002432,ビジネス > 運送・貨物・倉庫,〒732-0001広島県広島市東区戸坂惣田1-11-34,0822294344（082-229-4344）,"",""
芸州運輸株式会社,2240001003075,ビジネス > 運送・貨物・倉庫,〒731-4231広島県広島市安芸区阿戸町4125-3,0828560264（082-856-0264）,12000（千円）,代表取締役社長／島田　花子（シマダ ハナコ）
日陽運輸株式会社,2240001008628,ビジネス > 運送・貨物・倉庫,〒734-0012広島県広島市南区元宇品町2-35,0822567800（082-256-7800）,20000（千円）,代表取締役社長／杉本　征治（スギモト セイジ）
