会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社アイル,1480001000116,ビジネス > 運送・貨物・倉庫,〒770-0814徳島県徳島市南常三島町3-33,0886572520（088-657-2520）,"",""
都運輸株式会社,1480001002491,ビジネス > 運送・貨物・倉庫,〒770-8001徳島県徳島市津田海岸町2-40,0886633135（088-663-3135）,"",""
四国東亞物流株式会社,1480001002839,ビジネス > 運送・貨物・倉庫,〒771-0143徳島県徳島市川内町中島575-1,0886652112（088-665-2112）,10000（千円）,川浦　義章（カワウラ ヨシフミ）
幸栄運輸株式会社,1480001005271,ビジネス > 運送・貨物・倉庫,〒771-0219徳島県板野郡松茂町笹木野字八下30-6,0886992165（088-699-2165）,"",""
アジア運輸株式会社,1480001005387,ビジネス > 運送・貨物・倉庫,〒771-1210徳島県板野郡藍住町徳命字小塚東73-11,0886921001（088-692-1001）,"",""
春名産業有限会社,1480002009305,ビジネス > 運送・貨物・倉庫,〒776-0014徳島県吉野川市鴨島町知恵島1582,0883242512（0883-24-2512）,"",""
山添運送有限会社,1480002009981,ビジネス > 運送・貨物・倉庫,〒771-1612徳島県阿波市市場町上喜来字南久保650-1,0883366277（0883-36-6277）,7000（千円）,代表取締役社長／山添　正治（ヤマゾエ マサハル）
有限会社土成運送,2480002009650,ビジネス > 運送・貨物・倉庫,〒771-1507徳島県阿波市土成町吉田字西の岡14-1,0886952039（088-695-2039）,6200（千円）,増田　稔（マスダ ミノル）
鳴門クルーズサービス有限会社,2480002012514,ビジネス > 運送・貨物・倉庫,〒772-0053徳島県鳴門市鳴門町土佐泊浦大毛190-56,0886836767（088-683-6767）,"",""
株式会社豊徳,3480001003496,ビジネス > 運送・貨物・倉庫,〒773-0019徳島県小松島市豊浦町7-2,0885382811（0885-38-2811）,"",""
豊栄建設株式会社,3480001005352,ビジネス > 運送・貨物・倉庫,〒771-0216徳島県板野郡松茂町長原555,0886992682（088-699-2682）,"",""
株式会社板野運送,3480001005617,ビジネス > 運送・貨物・倉庫,〒771-1220徳島県板野郡藍住町東中富字朏傍示39-9,0886922258（088-692-2258）,10000（千円）,扶川　晴彦（フカワ ハルヒコ）
有限会社山内,3480002005137,ビジネス > 運送・貨物・倉庫,〒770-0941徳島県徳島市万代町5-71,0886260011（088-626-0011）,"",""
栄隆汽船有限会社,3480002012744,ビジネス > 運送・貨物・倉庫,〒774-0021徳島県阿南市津乃峰町東分78-1,0884270224（0884-27-0224）,10000（千円）,山田　哲士（ヤマダ テツジ）
有限会社修栄産業運輸,3480002014807,ビジネス > 運送・貨物・倉庫,〒779-3741徳島県美馬市脇町曽江名202-1,0883530171（0883-53-0171）,13500（千円）,藤川　忠春（フジカワ タダハル）
沖野海運株式会社,4480001003371,ビジネス > 運送・貨物・倉庫,〒773-0005徳島県小松島市南小松島町7-22,0885321534（0885-32-1534）,34700（千円）,代表取締役社長／沖野　雅信（オキノ マサノブ）
佐々木運送有限会社,4480002001580,ビジネス > 運送・貨物・倉庫,〒770-0046徳島県徳島市鮎喰町2-149-6,0886328055（088-632-8055）,"",""
有限会社八光サービス,4480002006381,ビジネス > 運送・貨物・倉庫,〒771-0125徳島県徳島市川内町金岡64-1-204,0886663555（088-666-3555）,"",""
有限会社板東運送店,4480002010664,ビジネス > 運送・貨物・倉庫,〒779-0221徳島県鳴門市大麻町萩原字山ノ下67-1,0886892253（088-689-2253）,"",""
吉本運送有限会社,4480002011860,ビジネス > 運送・貨物・倉庫,〒779-0119徳島県板野郡板野町西中富雁ケ坪43-1,0886723528（088-672-3528）,4500（千円）,吉本　弘（ヨシモト ヒロシ）
阿波海運有限会社,4480002012685,ビジネス > 運送・貨物・倉庫,〒774-0004徳島県阿南市福村町南筋58,0884227008（0884-22-7008）,11000（千円）,品川　照（シナガワ テルミ）
富田運送株式会社,5480001001556,ビジネス > 運送・貨物・倉庫,〒771-0135徳島県徳島市川内町平石若松173,0886652033（088-665-2033）,10000（千円）,冨田　拓生（トミタ タクオ）
港運送株式会社,5480001002471,ビジネス > 運送・貨物・倉庫,〒770-0866徳島県徳島市末広1-2-75,0886232137（088-623-2137）,"",""
さくら物流株式会社,5480001002802,ビジネス > 運送・貨物・倉庫,〒770-0873徳島県徳島市東沖洲2-62,0886641216（088-664-1216）,"",""
谷一陸運株式会社,5480001003247,ビジネス > 運送・貨物・倉庫,〒770-0865徳島県徳島市南末広町1-2,0886225288（088-622-5288）,"",""
共同港運株式会社,5480001003387,ビジネス > 運送・貨物・倉庫,〒773-0001徳島県小松島市小松島町字新港36,0885322200（0885-32-2200）,42000（千円）,前田　康夫（マエダ ヤスオ）
阿波合同通運株式会社,5480001004906,ビジネス > 運送・貨物・倉庫,〒772-0017徳島県鳴門市撫養町立岩字五枚100,0886861122（088-686-1122）,23025（千円）,代表取締役社長／三谷　博（ミタニ ヒロシ）
有限会社スター急便,5480002002421,ビジネス > 運送・貨物・倉庫,〒770-0816徳島県徳島市助任本町3-3,0886522888（088-652-2888）,10000（千円）,代表取締役社長／沢田　昌一（サワダ シヨウイチ）
藤本急配有限会社,5480002008088,ビジネス > 運送・貨物・倉庫,〒771-4505徳島県勝浦郡上勝町正木字傍示谷11,0885450808（0885-45-0808）,9700（千円）,藤本　雅喜（フジモト マサヨシ）
藍園陸運有限会社,5480002011397,ビジネス > 運送・貨物・倉庫,〒771-1220徳島県板野郡藍住町東中富字朏傍示19-4,0886922208（088-692-2208）,8000（千円）,代表取締役社長／近藤　伸一郎（コンドウ シンイチロウ）
