会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社井関物流,1500001000534,ビジネス > 運送・貨物・倉庫,〒799-2655愛媛県松山市馬木町700,0899796812（089-979-6812）,"",""
渡辺興業株式会社,1500001007876,ビジネス > 運送・貨物・倉庫,〒799-3413愛媛県大洲市長浜町拓海3-21,0893521143（0893-52-1143）,"",""
株式会社丸忠,1500001009476,ビジネス > 運送・貨物・倉庫,〒793-0044愛媛県西条市古川甲291-7,0897566124（0897-56-6124）,"",""
鈴木産業株式会社,1500001010013,ビジネス > 運送・貨物・倉庫,〒792-0828愛媛県新居浜市松原町1番36号,0897411212（0897-41-1212）,"",""
伊豫運送株式会社,1500001011143,ビジネス > 運送・貨物・倉庫,〒794-0801愛媛県今治市東鳥生町5-27,0898325171（0898-32-5171）,35000（千円）,代表取締役社長／大澤　宅也（オオザワ タクヤ）
橋本汽船株式会社,1500001012158,ビジネス > 運送・貨物・倉庫,〒794-0052愛媛県今治市宮下町2-3-18,0898326727（0898-32-6727）,10100（千円）,橋本　澄明（ハシモト スミアキ）
真鍋産業株式会社,1500001014476,ビジネス > 運送・貨物・倉庫,〒799-0432愛媛県四国中央市豊岡町大町2460,0896251811（0896-25-1811）,"",""
四国中央物流株式会社,1500001015144,ビジネス > 運送・貨物・倉庫,〒799-0431愛媛県四国中央市寒川町1119-1,0896238411（0896-23-8411）,10050（千円）,由藤　伸岳（ユトウ ノブタケ）
有限会社城北タクシー,1500002003503,ビジネス > 運送・貨物・倉庫,〒799-2656愛媛県松山市和気町1-673-5,0899240102（089-924-0102）,"",""
有限会社三光物流,1500002009392,ビジネス > 運送・貨物・倉庫,〒791-8016愛媛県松山市久万ノ台348-1,0899234668（089-923-4668）,3000（千円）,坂本　進（サカモト ススム）
有限会社右京運送,1500002015969,ビジネス > 運送・貨物・倉庫,〒792-0893愛媛県新居浜市多喜浜6-6-8,0897671910（0897-67-1910）,3000（千円）,荒木　覚司（アラキ サトシ）
くるしま運送有限会社,1500002018170,ビジネス > 運送・貨物・倉庫,〒794-0801愛媛県今治市東鳥生町5-16,0898231149（0898-23-1149）,10000（千円）,代表取締役社長／長谷部　正利（ハセベ マサトシ）
有限会社大建,1500002019540,ビジネス > 運送・貨物・倉庫,〒794-0054愛媛県今治市北日吉町1-1-10,0898318370（0898-31-8370）,10000（千円）,大澤　菊一（オオサワ キクイチ）
有限会社増田興業,1500002023121,ビジネス > 運送・貨物・倉庫,〒798-0077愛媛県宇和島市保田甲1115,0895270774（0895-27-0774）,"",""
株式会社アサヒ,2500001000343,ビジネス > 運送・貨物・倉庫,〒790-0814愛媛県松山市味酒町2-18-1,0899986555（089-998-6555）,3000（千円）,三瀬　正徳（ミセ マサノリ）
株式会社四国労金サービス,2500001000863,ビジネス > 運送・貨物・倉庫,〒790-0002愛媛県松山市二番町4-5-2,0899311181（089-931-1181）,10000（千円）,繁木　康宏（シゲキ ヤスヒロ）
株式会社エーストラフィック,2500001000905,ビジネス > 運送・貨物・倉庫,〒791-8036愛媛県松山市高岡町469-6,0899741008（089-974-1008）,27000（千円）,西森　安正（ニシモリ ヤスマサ）
株式会社南海,2500001002950,ビジネス > 運送・貨物・倉庫,〒791-8082愛媛県松山市梅津寺町1374-4,0899511538（089-951-1538）,"",""
日進海運株式会社,2500001003206,ビジネス > 運送・貨物・倉庫,〒791-8044愛媛県松山市西垣生町2895,0899721941（089-972-1941）,10000（千円）,代表取締役社長／伊井　秀己（イイ ヒデキ）
株式会社野村貨物,2500001007990,ビジネス > 運送・貨物・倉庫,〒797-1104愛媛県西予市野村町河西1162,0894750303（0894-75-0303）,10000（千円）,代表取締役社長／宇都宮　司朗（ウツノミヤ シロウ）
株式会社フジ物流,2500001008411,ビジネス > 運送・貨物・倉庫,〒796-0201愛媛県八幡浜市保内町川之石7-628-1,0894372400（0894-37-2400）,"",""
大勝産業株式会社,2500001009046,ビジネス > 運送・貨物・倉庫,〒793-0035愛媛県西条市福武甲178-2,0897520888（0897-52-0888）,"",""
田頭海運株式会社,2500001011885,ビジネス > 運送・貨物・倉庫,〒794-0801愛媛県今治市東鳥生町2-7-10サンキョウマンション,0898232216（0898-23-2216）,13000（千円）,田頭　寿夫（タガシラ カズオ）
株式会社矢野海運,2500001012462,ビジネス > 運送・貨物・倉庫,〒799-2110愛媛県今治市波方町郷甲1276-1,0898418188（0898-41-8188）,30000（千円）,矢野　直幸（ヤノ ナオユキ）
