会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
石井運輸株式会社,1180001006036,ビジネス > 運送・貨物・倉庫,〒455-0076愛知県名古屋市港区川間町2-246石井運輸内,0526617246（052-661-7246）,30000（千円）,久野　則男（クノ ノリオ）
三洋運輸株式会社,1180001006515,ビジネス > 運送・貨物・倉庫,〒455-0847愛知県名古屋市港区空見町35,0523837079（052-383-7079）,32000（千円）,代表取締役社長／天野　猛仁（アマノ タケヒト）
大幸運輸株式会社,1180001006688,ビジネス > 運送・貨物・倉庫,〒455-0066愛知県名古屋市港区寛政町2-25,0526534554（052-653-4554）,10000（千円）,代表取締役社長／山崎　康二（ヤマザキ コウジ）
東海馬匹輸送株式会社,1180001006944,ビジネス > 運送・貨物・倉庫,〒455-0069愛知県名古屋市港区泰明町1-20,0526537191（052-653-7191）,10000（千円）,伊藤　薫（イトウ カオル）
永橋興業株式会社,1180001007042,ビジネス > 運送・貨物・倉庫,〒455-811愛知県名古屋市港区善進町8-21,0523813320（052-381-3320）,15000（千円）,代表取締役社長／柏木　真一（カシワギ シンイチ）
北陸石井運輸株式会社,1180001007364,ビジネス > 運送・貨物・倉庫,〒455-0076愛知県名古屋市港区川間町2-246石井運輸内,0526617246（052-661-7246）,30000（千円）,久野　則男（クノ ノリオ）
セントラル交通株式会社,1180001008593,ビジネス > 運送・貨物・倉庫,〒466-832愛知県名古屋市昭和区駒方町2-57,0528315617（052-831-5617）,30000（千円）,大和　幹大（ヤマト ミキヒロ）
マルタカ運送株式会社,1180001009402,ビジネス > 運送・貨物・倉庫,〒466-0812愛知県名古屋市昭和区八事富士見1614,0528321116（052-832-1116）,10000（千円）,木村　彰宏（キムラ アキヒロ）
株式会社タムラシステムサービス,1180001014864,ビジネス > 運送・貨物・倉庫,〒457-0863愛知県名古屋市南区豊2-32-22,0526941288（052-694-1288）,10000（千円）,代表取締役社長／田村　昭三（タムラ シヨウゾウ）
株式会社清栄組,1180001019822,ビジネス > 運送・貨物・倉庫,〒454-0843愛知県名古屋市中川区大畑町1-106-3,0523617347（052-361-7347）,10000（千円）,小松　秀夫（コマツ ヒデオ）
越秀運輸倉庫株式会社,1180001025382,ビジネス > 運送・貨物・倉庫,〒451-0025愛知県名古屋市西区上名古屋1-14-2,0525315271（052-531-5271）,60000（千円）,代表取締役社長／桑山　真一郎（クワヤマ シンイチロウ）
此花運輸株式会社,1180001030242,ビジネス > 運送・貨物・倉庫,〒453-0043愛知県名古屋市中村区上ノ宮町1-24,0524813221（052-481-3221）,45000（千円）,相馬　弘（ソウマ ヒロシ）
ニュースターライン株式会社,1180001032180,ビジネス > 運送・貨物・倉庫,〒460-0003愛知県名古屋市中区錦1-17-13名興ビル7F,0522183737（052-218-3737）,30000（千円）,八木　正勝（ヤギ マサカツ）
岩田運輸株式会社,1180001034391,ビジネス > 運送・貨物・倉庫,〒460-0012愛知県名古屋市中区千代田4-18-23,0523212526（052-321-2526）,10000（千円）,代表取締役社長／岩田　昌典（イワタ マサノリ）
保坂運輸株式会社,1180001042758,ビジネス > 運送・貨物・倉庫,〒459-8001愛知県名古屋市緑区大高町字中川56-1,0526231055（052-623-1055）,18000（千円）,保坂　昇（ホサカ ノボル）
株式会社宮崎,1180001045546,ビジネス > 運送・貨物・倉庫,〒452-0911愛知県清須市西須ケ口93,0524092281（052-409-2281）,"",""
ヤマリク株式会社,1180001046619,ビジネス > 運送・貨物・倉庫,〒455-0832愛知県名古屋市港区宝神5-2307,0523847313（052-384-7313）,10000（千円）,山本　博造（ヤマモト ヒロゾウ）
中部高速運輸株式会社,1180001046643,ビジネス > 運送・貨物・倉庫,〒485-0077愛知県小牧市西之島字粟戸2097-1,0568752106（0568-75-2106）,10000（千円）,代表取締役社長／林　昌明（ハヤシ マサアキ）
株式会社東亜産業,1180001051123,ビジネス > 運送・貨物・倉庫,〒466-0063愛知県名古屋市昭和区山脇町3-9-3,0527340035（052-734-0035）,10000（千円）,勅使河原　幹也（テシガワラ ミキヤ）
東海コンテナトランスポート株式会社,1180001057343,ビジネス > 運送・貨物・倉庫,〒456-0022愛知県名古屋市熱田区横田2-4-26,0526788211（052-678-8211）,"",""
株式会社ティーズ,1180001060108,ビジネス > 運送・貨物・倉庫,〒481-0006愛知県北名古屋市熊之庄小鳥183-1,0568258821（0568-25-8821）,10000（千円）,代表取締役社長／高木　惠司（タカギ ケイジ）
株式会社Ｋ’ｓ,1180001062129,ビジネス > 運送・貨物・倉庫,〒455-0013愛知県名古屋市港区港陽3-11-4ガーデンハイツ港陽A,0526612830（052-661-2830）,3000（千円）,松永　成樹（マツナガ シゲキ）
コモサポート株式会社,1180001077028,ビジネス > 運送・貨物・倉庫,〒485-0082愛知県小牧市村中字東浦450-1,0568737050（0568-73-7050）,10000（千円）,岡田　悌之（オカダ ヤスシ）
株式会社トップライン,1180001077457,ビジネス > 運送・貨物・倉庫,〒458-0003愛知県小牧市大字村中1244-1,0568421318（0568-42-1318）,"",""
