会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
新栄運送株式会社,1110001002339,ビジネス > 運送・貨物・倉庫,〒950-3102新潟県新潟市北区島見町字芝田町2434-37,0252574066（025-257-4066）,30000（千円）,本間　貞男（ホンマ サダオ）
三条運輸株式会社,1110001014219,ビジネス > 運送・貨物・倉庫,〒955-0055新潟県三条市塚野目2144-1,0256358000（0256-35-8000）,"",""
越後運輸建設株式会社,1110001019580,ビジネス > 運送・貨物・倉庫,〒949-3215新潟県上越市柿崎区直海浜836-6,0255362888（025-536-2888）,30000（千円）,罍　富貴雄（モタイ トキオ）
城南運輸株式会社,1110001022626,ビジネス > 運送・貨物・倉庫,〒940-0897新潟県長岡市新組町字筒場2323-3,0258252110（0258-25-2110）,"",""
株式会社中之島交通,1110001024713,ビジネス > 運送・貨物・倉庫,〒954-0124新潟県長岡市中之島1982-14,0258663170（0258-66-3170）,"",""
瑞穂運輸株式会社,2110001005415,ビジネス > 運送・貨物・倉庫,〒950-3304新潟県新潟市北区木崎837-1,0252598078（025-259-8078）,"",""
株式会社サノックス,2110001008260,ビジネス > 運送・貨物・倉庫,〒953-0064新潟県新潟市西蒲区桜林3223,0256737100（0256-73-7100）,"",""
大昌運輸株式会社,2110001011537,ビジネス > 運送・貨物・倉庫,〒959-2117新潟県阿賀野市下黒瀬1254-1,0250674381（0250-67-4381）,21880（千円）,川崎　敬文（カワサキ ヨシフミ）
朝日交通株式会社,2110001012436,ビジネス > 運送・貨物・倉庫,〒957-0063新潟県新発田市新栄町3-2-16,0254215151（0254-21-5151）,"",""
関越物流株式会社,2110001013211,ビジネス > 運送・貨物・倉庫,〒957-0072新潟県新発田市日渡126-2,0254273737（0254-27-3737）,40000（千円）,代表取締役社長／遠山　初子（トオヤマ ハツコ）
株式会社県北物流,2110001013665,ビジネス > 運送・貨物・倉庫,〒957-0082新潟県新発田市佐々木2430-3,0254207333（0254-20-7333）,20000（千円）,永村　春三（エイムラ シユンゾウ）
吉田運送株式会社,2110001016172,ビジネス > 運送・貨物・倉庫,〒959-0221新潟県燕市吉田西太田133-2,0256934155（0256-93-4155）,"",""
直江津産業株式会社,2110001019539,ビジネス > 運送・貨物・倉庫,〒942-0091新潟県上越市頸城区西福島28-1,"",30000（千円）,梅澤　宏（ウメザワ ヒロシ）
新潟高東興業株式会社,2110001021742,ビジネス > 運送・貨物・倉庫,〒949-0301新潟県糸魚川市須沢2583,0255623123（025-562-3123）,"",""
魚沼陸送整備株式会社,2110001026898,ビジネス > 運送・貨物・倉庫,〒949-7402新潟県魚沼市田戸207-2,0257944346（025-794-4346）,24000（千円）,小林　英男（コバヤシ ヒデオ）
有限会社エヌ・ティ・エル,2110002010950,ビジネス > 運送・貨物・倉庫,〒950-3304新潟県新潟市北区木崎3425-3,0253888059（025-388-8059）,"",""
有限会社山田産業,2110002018011,ビジネス > 運送・貨物・倉庫,〒955-0022新潟県三条市上保内乙519,0256384551（0256-38-4551）,"",""
東新運輸株式会社,3110001003467,ビジネス > 運送・貨物・倉庫,〒950-0806新潟県新潟市東区海老ヶ瀬1040,0252718801（025-271-8801）,70000（千円）,大滝　寿昭（オオタキ トシアキ）
新潟国際コンテナトランスポート株式会社,3110001003756,ビジネス > 運送・貨物・倉庫,〒950-0954新潟県新潟市中央区美咲町1-23-26,0253830505（025-383-0505）,10000（千円）,中山　四郎治（ナカヤマ シロウジ）
北星産業株式会社,3110001007591,ビジネス > 運送・貨物・倉庫,〒950-1457新潟県新潟市南区清水4501-5,0253755488（025-375-5488）,"",""
武田運輸株式会社,3110001012749,ビジネス > 運送・貨物・倉庫,〒957-0002新潟県新発田市中谷内111-1,0254236866（0254-23-6866）,"",""
