会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
コスモ運輸株式会社,1010001002737,ビジネス > 運送・貨物・倉庫,〒112-0002東京都文京区小石川3-32-1,0356844548（03-5684-4548）,10000（千円）,高橋　佑吉（タカハシ ユウキチ）
株式会社スミレ運送,1010001020532,ビジネス > 運送・貨物・倉庫,〒101-0047東京都千代田区内神田2-9-6祥司ビル4F,0352960815（03-5296-0815）,20000（千円）,比田　康治（ヒダ ヤスハル）
東神インターナショナル株式会社,1010001024418,ビジネス > 運送・貨物・倉庫,〒101-0048東京都千代田区神田司町2-4神田アーバンビル8F,0352960377（03-5296-0377）,30000（千円）,代表取締役社長／丸山　博史（マルヤマ ヒロシ）
大原海運株式会社,1010001039218,ビジネス > 運送・貨物・倉庫,〒103-0025東京都中央区日本橋茅場町2-4-6松田ビル3F,0336676231（03-3667-6231）,10000（千円）,田中　清治（タナカ セイジ）
共栄海運株式会社,1010001041388,ビジネス > 運送・貨物・倉庫,〒104-0061東京都中央区銀座1-18-6井門銀座一丁目ビル,0335626021（03-3562-6021）,"",""
株式会社コントランスポート,1010001043789,ビジネス > 運送・貨物・倉庫,〒103-0014東京都中央区日本橋蛎殻町2-10-14刀根ビル3階,0356402681（03-5640-2681）,20000（千円）,近藤　元浩（コンドウ モトヒロ）
株式会社三栄商会,1010001044317,ビジネス > 運送・貨物・倉庫,〒103-0016東京都中央区日本橋小網町6-14,0336671511（03-3667-1511）,"",""
銚子屋油槽船株式会社,1010001050430,ビジネス > 運送・貨物・倉庫,〒104-0043東京都中央区湊1-8-13中銀第二八丁堀マンション,0335510127（03-3551-0127）,10000（千円）,代表取締役社長／飯沼　徹（イイヌマ トオル）
豊海東市冷蔵株式会社,1010001052121,ビジネス > 運送・貨物・倉庫,〒104-0055東京都中央区豊海町12-6,0335335441（03-3533-5441）,50000（千円）,田尻　博一（タジリ ヒロカズ）
ヤマトグローバルロジスティクスジャパン株式会社,1010001066641,ビジネス > 運送・貨物・倉庫,〒104-0033東京都中央区新川1-10-14ニｭーリバービルB1F,0335377537（03-3537-7537）,1880000（千円）,代表取締役社長／北川　太治（キタガワ タイジ）
株式会社アイ・ティ・エス,1010001085261,ビジネス > 運送・貨物・倉庫,〒104-0031東京都中央区京橋2丁目10番2号第二ぬ利彦ビル9階,0335624521（03-3562-4521）,30000（千円）,代表取締役社長／小林　浩（コバヤシ ヒロシ）
コラボデリバリー株式会社,1010001097455,ビジネス > 運送・貨物・倉庫,〒104-0041東京都中央区新富2-5-10東京路線トラック協会内,0335520008（03-3552-0008）,20000（千円）,有冨　慶二（アリトミ ケイジ）
株式会社日和,1010001111562,ビジネス > 運送・貨物・倉庫,東京都中央区日本橋3-5-9,0352038081（03-5203-8081）,"",""
株式会社ユニバ,1010001162077,ビジネス > 運送・貨物・倉庫,〒103-0012東京都中央区日本橋堀留町1-7-11,0336677444（03-3667-7444）,50000（千円）,代表取締役社長／岡田　京一郎（オカダ キヨウイチロウ）
株式会社セントラル,1010001186415,ビジネス > 運送・貨物・倉庫,〒103-0025東京都中央区日本橋茅場町3-10-2SKKビル6F,0356400204（03-5640-0204）,10000（千円）,藤田　孝義（フジタ タカヨシ）
八千代運輸有限会社,1010002006175,ビジネス > 運送・貨物・倉庫,〒112-0002東京都文京区小石川1-25-9,0338120088（03-3812-0088）,50000（千円）,代表取締役社長／東川　操（ヒガシカワ ミサオ）
株式会社山嵜興業,1010101007751,ビジネス > 運送・貨物・倉庫,〒193-0812東京都八王子市諏訪町365-1,0426523398（042-652-3398）,"",""
有限会社コマツサポートサービス,1010102002710,ビジネス > 運送・貨物・倉庫,〒193-0836東京都八王子市日吉町9-19,0425840330（042-584-0330）,5000（千円）,小松　英二（コマツ エイジ）
株式会社上総屋運送店,1010601000289,ビジネス > 運送・貨物・倉庫,〒135-0031東京都江東区佐賀2-5-1SKビル3F,0336412097（03-3641-2097）,10000（千円）,橋本　清彦（ハシモト キヨヒコ）
新和自動車株式会社,1010601003556,ビジネス > 運送・貨物・倉庫,〒136-0071東京都江東区亀戸3-51-10,0336833581（03-3683-3581）,"",""
三港運輸株式会社,1010601012219,ビジネス > 運送・貨物・倉庫,〒135-0053東京都江東区辰巳3-7-23,0335210721（03-3521-0721）,"",""
ＤＨＬグローバルフォワーディングジャパン株式会社,1010601021608,ビジネス > 運送・貨物・倉庫,〒131-0034東京都墨田区堤通1-19-9リバーサイド隅田12F,0352475641（03-5247-5641）,"",""
共立輸送中央株式会社,1010601032720,ビジネス > 運送・貨物・倉庫,〒136-0071東京都江東区亀戸6-58-10第二共立ビル,0336813111（03-3681-3111）,"",""
有限会社中央商事運輸,1010602029955,ビジネス > 運送・貨物・倉庫,〒135-0016東京都江東区東陽5-20-1,0356339022（03-5633-9022）,"",""
アリヤ・インターナショナル株式会社,1010701000750,ビジネス > 運送・貨物・倉庫,〒141-0022東京都品川区東五反田1-10-7AIOS五反田ビル313,0334492501（03-3449-2501）,"",""
