会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
芳賀通運株式会社,1060001009414,道路貨物運送業,〒321-4367栃木県真岡市鬼怒ケ丘8-3,0285825161（0285-82-5161）,98000（千円）,代表取締役社長／塚本　貴士（ツカモト タカシ）
エヌエヌ商事株式会社,1060001009686,道路貨物運送業,〒321-3231栃木県宇都宮市清原工業団地18-1,0286781777（028-678-1777）,50000（千円）,代表取締役社長／七井　伸之（ナナイ ノブユキ）
株式会社薄羽木材,1060001009975,水運業,〒321-4104栃木県芳賀郡益子町大沢1282-4,0285722479（0285-72-2479）,3000（千円）,薄羽　仁一（ウスバ ジンイチ）
株式会社村田急送,1060001010041,道路貨物運送業,〒321-4323栃木県真岡市東沼149真岡商工タウン内,0285839650（0285-83-9650）,3000（千円）,村田　信幸（ムラタ ノブユキ）
株式会社カザキ運輸産業,1060001010289,道路貨物運送業,〒322-0016栃木県鹿沼市流通センター80,0289761888（0289-76-1888）,28000（千円）,嶋田　和昭（シマダ カズアキ）
株式会社サハシ産業,1060001016369,道路貨物運送業,〒329-4411栃木県栃木市大平町横堀835-1,0282232113（0282-23-2113）,10000（千円）,佐橋　直人（サハシ ナオト）
株式会社福田運輸,1060001016600,道路貨物運送業,〒328-0002栃木県栃木市惣社町1284-4,0282273081（0282-27-3081）,10000（千円）,平尾　健二（ヒラオ ケンジ）
株式会社マルタカ,1060001017061,道路貨物運送業,〒328-0011栃木県栃木市大宮町2290-24,0282278989（0282-27-8989）,10000（千円）,高梨　智久（タカナシ トモヒサ）
協栄物流株式会社,1060001017219,道路貨物運送業,〒321-0215栃木県下都賀郡壬生町壬生乙4036,0282835775（0282-83-5775）,10000（千円）,代表取締役社長／古澤　栄一（フルサワ エイイチ）
株式会社ＫＺライン,1060001017763,道路貨物運送業,〒329-4307栃木県栃木市岩舟町静2253-1,0282543339（0282-54-3339）,6000（千円）,有原　利夫（アリハラ トシオ）
株式会社大全,1060001017994,道路貨物運送業,〒328-0033栃木県栃木市城内町2-19-24,0282256968（0282-25-6968）,8000（千円）,大塚　昌紀（オオツカ マサキ）
株式会社ティーエスケー,1060001019801,道路貨物運送業,〒326-0833栃木県足利市藤本町262,0284720769（0284-72-0769）,1000（千円）,佐藤　倫幸（サトウ トモユキ）
