会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
共栄運輸株式会社,1360001000763,ビジネス > 運送・貨物・倉庫,〒900-0036沖縄県那覇市西2-20-17,0988686886（098-868-6886）,"",""
株式会社沖縄急送,1360001008575,ビジネス > 運送・貨物・倉庫,〒901-2123沖縄県浦添市西洲2-6-4,0988730910（098-873-0910）,40000（千円）,代表取締役社長／富里　正治（フサト マサジ）
株式会社風希ネットワーク,1360001012593,ビジネス > 運送・貨物・倉庫,〒905-0703沖縄県島尻郡伊平屋村我喜屋2136,0980462373（0980-46-2373）,4000（千円）,伊豆味　文徳（イズミ フミノリ）
東江運送株式会社,2360001009795,ビジネス > 運送・貨物・倉庫,〒901-2112沖縄県浦添市沢岻2-19-8,0988745781（098-874-5781）,10000（千円）,山内　稔（ヤマウチ ミノル）
株式会社大雄,2360001019010,ビジネス > 運送・貨物・倉庫,〒900-0003沖縄県那覇市安謝617-192幸臣ビル4F,0988601137（098-860-1137）,"",""
有限会社トラベル派遣,2360002021361,ビジネス > 運送・貨物・倉庫,沖縄県石垣市新栄町75番地の5,0980838686（0980-83-8686）,"",""
石川タクシー合名会社,2360003003078,ビジネス > 運送・貨物・倉庫,〒904-2205沖縄県うるま市栄野比96,0989725406（098-972-5406）,"",""
株式会社沖航燃,3360001000613,ビジネス > 運送・貨物・倉庫,〒901-0142沖縄県那覇市鏡水401,0988571171（098-857-1171）,30500（千円）,津波古　理（ツハコ オサム）
株式会社大雄工業,3360001006412,ビジネス > 運送・貨物・倉庫,〒900-0003沖縄県那覇市安謝617-192幸臣ビル4F,0988601137（098-860-1137）,"",""
株式会社ジーマック,3360001008838,ビジネス > 運送・貨物・倉庫,〒901-2123沖縄県浦添市西洲2-3-1,0988753887（098-875-3887）,"",""
有限会社琉渡運輸,3360002017697,ビジネス > 運送・貨物・倉庫,〒901-2132沖縄県浦添市伊祖1-24-17,0988787266（098-878-7266）,7000（千円）,玉城　秀一（タマキ ヒデカズ）
合資会社冨士運送,3360003001147,ビジネス > 運送・貨物・倉庫,〒900-0002沖縄県那覇市曙1-14-9,0988685241（098-868-5241）,"",""
