会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
叡山倉庫株式会社,1160001000230,倉庫業,〒520-0105滋賀県大津市下阪本3-14-28077,"",29000（千円）,徳永　勝裕（トクナガ カツヒロ）
株式会社オクムラ,1160001000313,道路貨物運送業,〒520-0842滋賀県大津市園山1-1-1東レ滋賀事業場内077,"",10000（千円）,奥村　凱雄（オクムラ トキオ）
グロービック株式会社,1160001000635,道路貨物運送業,〒520-0804滋賀県大津市本宮1-5-33077,"",15000（千円）,代表取締役社長／八木　正（ヤギ タダシ）
比叡山自動車道株式会社,1160001001617,運輸に付帯するサービス業,〒520-0038滋賀県大津市山上町長等山776-30077,"",50000（千円）,森　俊行（モリ トシユキ）
増田運送株式会社,1160001001807,道路貨物運送業,〒525-0071滋賀県草津市南笠東3-22-98077,"",24000（千円）,代表取締役社長／増田　秀治（マスダ ヒデハル）
株式会社エム・アンド・エス,1160001004198,道路貨物運送業,〒520-2273滋賀県大津市羽栗2-23-10077,"",7000（千円）,鈴木　三千男（スズキ ミチオ）
株式会社旅新,1160001004545,運輸に付帯するサービス業,〒520-0804滋賀県大津市本宮2-5-1ビワハイツ205号077,"",3600（千円）,西浦　繁一（ニシウラ シゲカズ）
株式会社近江商運,1160001004776,道路貨物運送業,〒520-3114滋賀県湖南市石部口2-1-10748,"",12000（千円）,寺村　肇（テラムラ ハジメ）
株式会社立岡急送,1160001006351,道路貨物運送業,〒528-0211滋賀県甲賀市土山町北土山2122-10748,"",3000（千円）,立岡　雅之（タツオカ マサユキ）
阿蘓運輸株式会社,1160001006401,道路貨物運送業,〒526-0056滋賀県長浜市朝日町12670749,"",15000（千円）,代表取締役社長／阿蘓　寛二（アソ カンジ）
株式会社近江ロジスティクス,1160001009239,道路貨物運送業,〒529-1213滋賀県愛知郡愛荘町沖4530749,"",24000（千円）,杉江　文武（スギエ フミタケ）
株式会社キャリオン,1160001009874,道路貨物運送業,〒521-1231滋賀県東近江市能登川町344-90748,"",21000（千円）,苅谷　康治（カリヤ コウジ）
株式会社滋賀ユニック,1160001009940,道路貨物運送業,〒527-0054滋賀県東近江市池田町11060748,"",30000（千円）,代表取締役社長／田中　亨（タナカ ススム）
八日市物流倉庫株式会社,1160001010428,道路貨物運送業,〒529-1422滋賀県東近江市五個荘小幡町524-90748,"",30000（千円）,渡辺　一郎（ワタナベ イチロウ）
株式会社外村物流運輸,1160001010510,道路貨物運送業,〒527-0113滋賀県東近江市池庄町1988-20749,"",21000（千円）,外村　善一（トノムラ ヨシカズ）
株式会社ライブワーク,1160001010592,道路貨物運送業,〒529-1571滋賀県東近江市川合町2025-50748,"",10000（千円）,井手　輝彦（イデ テルヒコ）
株式会社サンヨー運送,1160001010799,道路貨物運送業,〒523-0821滋賀県近江八幡市多賀町5880748,"",25000（千円）,岡田　英夫（オカダ ヒデオ）
滋賀自工運輸株式会社,1160001010907,道路貨物運送業,〒529-1444滋賀県東近江市五個荘石塚町2510748,"",10000（千円）,尾賀　康裕（オガ ヤスヒロ）
光洋運輸産業株式会社,1160001012804,道路貨物運送業,〒525-0041滋賀県草津市青地町1063-2077,"",30000（千円）,西尾　隆裕（ニシオ タカヒロ）
株式会社小寺運輸,1160001012820,道路貨物運送業,〒525-0027滋賀県草津市野村8-9-9077,"",27750（千円）,小寺　政直（コテラ マサナオ）
エースカーゴ株式会社,1160001016243,道路貨物運送業,〒520-2332滋賀県野洲市妙光寺149-2077,"",10000（千円）,代表取締役社長／中嶋　辰也（ナカジマ タツヤ）
シライ物流サービス株式会社,1160001016251,道路貨物運送業,〒520-2322滋賀県野洲市南櫻西田井1477-8077,"",50000（千円）,代表取締役社長／井狩　浩之（イカリ ヒロユキ）
株式会社ボンズカンパニー,1160002004197,道路貨物運送業,〒520-0016滋賀県大津市比叡平2-52-18077,"",3000（千円）,片山　麗児（カタヤマ レイジ）
有限会社三浦倉庫,1160002005039,倉庫業,〒520-3113滋賀県湖南市石部北5-1-10748,"",3500（千円）,三浦　正（ミウラ タダシ）
