会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社大徳産業,1330001011185,ビジネス > 運送・貨物・倉庫,〒861-3811熊本県上益城郡山都町大平2716-8,0967822349（0967-82-2349）,2000（千円）,佐藤　栄徳（サトウ エイトク）
株式会社バンテック,1330001013933,ビジネス > 運送・貨物・倉庫,〒866-0033熊本県八代市港町142,0965370388（0965-37-0388）,3000（千円）,行木　伸吾（ナメキ シンゴ）
株式会社宝島,1330001018296,ビジネス > 運送・貨物・倉庫,〒861-5403熊本県玉名市天水町部田見2828-1,0968822700（0968-82-2700）,"",""
有限会社城北コーポレーション,1330002018535,ビジネス > 運送・貨物・倉庫,〒861-0527熊本県山鹿市寺島248-2,0968448133（0968-44-8133）,"",""
有限会社九州トラベルサービス,1330002023097,ビジネス > 運送・貨物・倉庫,〒859-2501熊本県阿蘇郡小国町宮原1760-1,"","",""
株式会社熊本中央ガスセンター,2330001001549,ビジネス > 運送・貨物・倉庫,〒860-0832熊本県熊本市萩原町1-4,0963793997（096-379-3997）,41500（千円）,大塚　一俊（オオツカ カズトシ）
株式会社九州運輸,2330001009708,ビジネス > 運送・貨物・倉庫,〒861-1214熊本県菊池市泗水町田島2724-1,0968383515（0968-38-3515）,10000（千円）,代表取締役社長／北田　彰一（キタダ シヨウイチ）
豊世運輸株式会社,2330001012728,ビジネス > 運送・貨物・倉庫,〒869-0524熊本県宇城市松橋町豊福2513-1,0964337181（0964-33-7181）,10000（千円）,谷口　城明（タニグチ クニアキ）
千代工業株式会社,2330001012868,ビジネス > 運送・貨物・倉庫,〒869-0416熊本県宇土市松山町4135,0964233671（0964-23-3671）,"",""
株式会社丸二運輸,2330001012950,ビジネス > 運送・貨物・倉庫,〒869-0412熊本県宇土市岩古曽町2220-1,0964223301（0964-22-3301）,"",""
有限会社松本運送,2330002021372,ビジネス > 運送・貨物・倉庫,熊本県玉名郡玉東町木葉543-1,0968853177（0968-85-3177）,"",""
