会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
南征建設運輸株式会社,1220001012698,ビジネス > 運送・貨物・倉庫,〒923-0811石川県小松市白江町ト12-1,0761237857（0761-23-7857）,"",""
有限会社福田工業,1220002014900,ビジネス > 運送・貨物・倉庫,〒925-0156石川県羽咋郡志賀町矢蔵谷井1-5,0767381823（0767-38-1823）,"",""
株式会社田中運送,2220001000413,ビジネス > 運送・貨物・倉庫,〒921-8802石川県石川郡野々市町押野4-117,0762485353（076-248-5353）,"",""
石川アサヒ運送株式会社,2220001000909,ビジネス > 運送・貨物・倉庫,〒921-8043石川県金沢市西泉5-41,0762678811（076-267-8811）,20000（千円）,代表取締役社長／岡嶋　次男（オカジマ ツギオ）
大浦運輸株式会社,2220001001527,ビジネス > 運送・貨物・倉庫,〒920-0806石川県金沢市神宮寺1-12-13,0762510151（076-251-0151）,10000（千円）,大浦　洋平（オオウラ ヨウヘイ）
大西運輸株式会社,2220001001576,ビジネス > 運送・貨物・倉庫,〒920-0059石川県金沢市示野町西51,0762681679（076-268-1679）,"",""
株式会社桐畑,2220001002467,ビジネス > 運送・貨物・倉庫,〒920-0211石川県金沢市湊1-8-5,0762377108（076-237-7108）,30000（千円）,代表取締役社長／桐畑　剛（キリハタ ツヨシ）
株式会社ツカサ,2220001007821,ビジネス > 運送・貨物・倉庫,〒920-0362石川県金沢市古府3-107,0762492070（076-249-2070）,"",""
株式会社ＭＫＵ,2220001013919,ビジネス > 運送・貨物・倉庫,〒923-1115石川県能美市大長野町リ35,0761245455（0761-24-5455）,7000（千円）,宮崎　真佐美（ミヤザキ マサミ）
正院運送株式会社,2220001016665,ビジネス > 運送・貨物・倉庫,〒927-0602石川県鳳珠郡能登町松波30字101-1,0768722269（0768-72-2269）,10000（千円）,井口　信二（イグチ シンジ）
田中運輸有限会社,2220002003745,ビジネス > 運送・貨物・倉庫,〒920-0001石川県金沢市千木町リ33-6,0762582118（076-258-2118）,"",""
有限会社森屋,2220002008199,ビジネス > 運送・貨物・倉庫,〒920-0342石川県金沢市畝田西4-39街区1,0762673399（076-267-3399）,"",""
