会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社ダイイチエンタープライズ,1020001008931,ビジネス > 運送・貨物・倉庫,〒224-0042神奈川県横浜市都筑区大熊町6-1,0454726031（045-472-6031）,10000（千円）,永田　翁介（ナガタ オウスケ）
株式会社太陽物流,1020001010185,ビジネス > 運送・貨物・倉庫,〒240-0044神奈川県横浜市保土ヶ谷区仏向町1437-1,"",14000（千円）,吉井　輝雄（ヨシイ テルオ）
株式会社加藤定一商店,1020001012727,ビジネス > 運送・貨物・倉庫,〒232-0013神奈川県横浜市南区山王町1-8,0452517400（045-251-7400）,"",""
株式会社ダイパック,1020001015317,ビジネス > 運送・貨物・倉庫,〒220-0003神奈川県横浜市西区楠町4-3藤和横浜西口ハイタウン401,0453243660（045-324-3660）,15000（千円）,本田　文男（ホンダ フミオ）
新光運輸株式会社,1020001017528,ビジネス > 運送・貨物・倉庫,〒230-0001神奈川県横浜市鶴見区矢向1-13-40,0455833541（045-583-3541）,"",""
クローバー運輸株式会社,1020001020052,ビジネス > 運送・貨物・倉庫,〒223-0052神奈川県横浜市港北区綱島東3-9-3,0455439608（045-543-9608）,"",""
アメリカンターミナルサービス株式会社,1020001025282,ビジネス > 運送・貨物・倉庫,〒231-0811神奈川県横浜市中区本牧ふ頭1-10,0456257915（045-625-7915）,"",""
日昇海運株式会社,1020001028203,ビジネス > 運送・貨物・倉庫,〒231-0864神奈川県横浜市中区千代崎町1-22-2,0456223871（045-622-3871）,"",""
株式会社横浜ベイトランス,1020001044811,ビジネス > 運送・貨物・倉庫,〒231-0811神奈川県横浜市中区本牧ふ頭1-1本牧オペレーションセンター1号館2,0456290584（045-629-0584）,10000（千円）,窪田　守中（クボタ モリナカ）
株式会社サンプラント,1020001067795,ビジネス > 運送・貨物・倉庫,〒216-0001神奈川県川崎市宮前区野川4169-1,0447982100（044-798-2100）,10000（千円）,代表取締役社長／能渡　節雄（ノト セツオ）
株式会社セブン,1020001069552,ビジネス > 運送・貨物・倉庫,〒211-0051神奈川県川崎市中原区宮内3-25-2,0447777777（044-777-7777）,"",""
株式会社石川組,1020001070568,ビジネス > 運送・貨物・倉庫,〒212-0057神奈川県川崎市幸区北加瀬1-35-17,0445885396（044-588-5396）,"",""
株式会社ピースロジ,1020001075856,ビジネス > 運送・貨物・倉庫,〒210-0826神奈川県川崎市川崎区塩浜1-10-3,0442700912（044-270-0912）,"",""
株式会社サンヨー,1020001079997,ビジネス > 運送・貨物・倉庫,〒214-0014神奈川県川崎市多摩区登戸80,0449223874（044-922-3874）,"",""
有限会社東洋運輸,1020002001729,ビジネス > 運送・貨物・倉庫,〒246-0014神奈川県横浜市瀬谷区中央39-2,0453031853（045-303-1853）,"",""
有限会社横浜高速運輸,1020002095218,ビジネス > 運送・貨物・倉庫,〒215-0022神奈川県川崎市麻生区下麻生3-19-22,0449877646（044-987-7646）,18200（千円）,代表取締役社長／米山　大介（ヨネヤマ ダイスケ）
池上商事有限会社,1020002095580,ビジネス > 運送・貨物・倉庫,〒210-0857神奈川県川崎市川崎区白石町7-6川崎総合物流運輸（協）内,0443338188（044-333-8188）,"",""
旭興業株式会社,1021001006231,ビジネス > 運送・貨物・倉庫,〒253-0111神奈川県高座郡寒川町一之宮6-8-27,0467754551（0467-75-4551）,"",""
株式会社シンニチ,1021001006363,ビジネス > 運送・貨物・倉庫,〒253-0112神奈川県高座郡寒川町岡田4-1-35,0467748512（0467-74-8512）,"",""
株式会社ケイズライン,1021001017889,ビジネス > 運送・貨物・倉庫,〒252-0241神奈川県相模原市中央区横山台2-10-21,"","",""
ダイワ物流株式会社,1021001021560,ビジネス > 運送・貨物・倉庫,〒243-0303神奈川県愛甲郡愛川町中津字大塚1745-1,"","",""
株式会社ティーエーシー,1021001038844,ビジネス > 運送・貨物・倉庫,〒254-0013神奈川県平塚市田村四丁目1215番,0463515708（0463-51-5708）,"",""
有限会社伊藤梱包,1021002000539,ビジネス > 運送・貨物・倉庫,〒251-0015神奈川県藤沢市川名1-7-6,0466251026（0466-25-1026）,"",""
有限会社横山興業,1021002005265,ビジネス > 運送・貨物・倉庫,〒251-0001神奈川県藤沢市西富479,0466256932（0466-25-6932）,"",""
有限会社斎藤運輸,1021002009530,ビジネス > 運送・貨物・倉庫,〒253-0101神奈川県高座郡寒川町倉見1965-1,0467753043（0467-75-3043）,"",""
有限会社昌栄,1021002058255,ビジネス > 運送・貨物・倉庫,〒254-0014神奈川県平塚市四之宮3-8-11,0463235885（0463-23-5885）,"",""
有限会社柴田運輸,1021002064749,ビジネス > 運送・貨物・倉庫,〒238-0314神奈川県横須賀市須軽谷1063-8,0468556388（046-855-6388）,"",""
共和陸運株式会社,2020001009805,ビジネス > 運送・貨物・倉庫,〒240-0041神奈川県横浜市保土ヶ谷区東川島町85-10,0453812141（045-381-2141）,16000（千円）,安藤　正明（アンドウ マサアキ）
株式会社キョクレイオペレーション,2020001017849,ビジネス > 運送・貨物・倉庫,〒230-0054神奈川県横浜市鶴見区大黒ふ頭15,0455064961（045-506-4961）,10000（千円）,中村　俊文（ナカムラ トシノリ）
久良岐興業株式会社,2020001026214,ビジネス > 運送・貨物・倉庫,〒231-0811神奈川県横浜市中区本牧ふ頭5-1,0456227911（045-622-7911）,"",""
株式会社鈴江組,2020001031536,ビジネス > 運送・貨物・倉庫,〒231-0811神奈川県横浜市中区本牧ふ頭3オペレーションセンター2号館,0456222341（045-622-2341）,"",""
トランスネット株式会社,2020001051187,ビジネス > 運送・貨物・倉庫,〒221-0854神奈川県横浜市神奈川区三ツ沢南町15-7,0452909222（045-290-9222）,"",""
吉川運輸株式会社,2020001064866,ビジネス > 運送・貨物・倉庫,〒214-0039神奈川県川崎市多摩区栗谷3-6-3-101,0449666145（044-966-6145）,"",""
株式会社神奈川クリーン,2020001072456,ビジネス > 運送・貨物・倉庫,〒210-0821神奈川県川崎市川崎区殿町3-19-10,0442773152（044-277-3152）,20000（千円）,高橋　佐吉（タカハシ サキチ）
川崎荷役株式会社,2020001072902,ビジネス > 運送・貨物・倉庫,〒210-0867神奈川県川崎市川崎区扇町2-1,0443339146（044-333-9146）,"",""
中田海運株式会社,2020001073776,ビジネス > 運送・貨物・倉庫,〒210-0001神奈川県川崎市川崎区本町1-8-3東急ドエルアルス川崎203,0442221455（044-222-1455）,49600（千円）,代表取締役社長／村木　良大（ムラキ ヨシヒロ）
日新総業株式会社,2020001074989,ビジネス > 運送・貨物・倉庫,〒210-0862神奈川県川崎市川崎区浮島町4-2,0442662241（044-266-2241）,"",""
関東エース物流株式会社,2020001076440,ビジネス > 運送・貨物・倉庫,〒210-0801神奈川県川崎市川崎区鈴木町1-1味の素(株)川崎事業所内,0442221393（044-222-1393）,50000（千円）,代表取締役社長／大宮　政之（オオミヤ マサユキ）
岩瀬運送株式会社,2020001079063,ビジネス > 運送・貨物・倉庫,〒210-0826神奈川県川崎市川崎区塩浜3-10-1,0442804105（044-280-4105）,"",""
有限会社美浜商会,2020002049024,ビジネス > 運送・貨物・倉庫,〒231-0015神奈川県横浜市中区尾上町3-35横浜有楽土地第一ビル4F,0456815113（045-681-5113）,"",""
有限会社龍己商事,2020002051475,ビジネス > 運送・貨物・倉庫,〒241-0836神奈川県横浜市旭区万騎が原106,0453655565（045-365-5565）,"",""
有限会社アネスト,2020002076167,ビジネス > 運送・貨物・倉庫,〒225-0024神奈川県横浜市青葉区市ヶ尾町247,0459792722（045-979-2722）,"",""
