会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
橋南運送株式会社,1210001001033,ビジネス > 運送・貨物・倉庫,〒918-8013福井県福井市花堂東1-30-19,0776368440（0776-36-8440）,10000（千円）,家根田　道男（ヤネダ ミチオ）
東亜工運株式会社,1210001002196,ビジネス > 運送・貨物・倉庫,〒918-8016福井県福井市江端町5-8,0776350003（0776-35-0003）,10000（千円）,代表取締役社長／内藤　主税（ナイトウ チカラ）
大橋運輸有限会社,1210002000760,ビジネス > 運送・貨物・倉庫,〒918-8131福井県福井市小稲津町39-71,0776411150（0776-41-1150）,10000（千円）,代表取締役社長／大橋　秀孝（オオハシ ヒデタカ）
池田運送有限会社,1210002007252,ビジネス > 運送・貨物・倉庫,〒919-0633福井県あわら市花乃杜1-24-16,0776730628（0776-73-0628）,"",""
有限会社畑中建材,1210002008663,ビジネス > 運送・貨物・倉庫,〒910-0017福井県福井市文京7-22-31,0776274343（0776-27-4343）,3000（千円）,畑中　和美（ハタナカ カズミ）
有限会社日の丸タクシー,1210002008886,ビジネス > 運送・貨物・倉庫,〒918-8037福井県福井市下江守町9-19-1,0776366752（0776-36-6752）,3000（千円）,生田　一浩（イクタ カズヒロ）
有限会社オオハシ,1210002010157,ビジネス > 運送・貨物・倉庫,〒914-0124福井県敦賀市市野々13-1-3,0770235137（0770-23-5137）,6000（千円）,代表取締役社長／中山　尚紀（ナカヤマ ナオキ）
有限会社クリエイト若狭,1210002011337,ビジネス > 運送・貨物・倉庫,〒919-1303福井県三方上中郡若狭町三方24-64,"",3000（千円）,田畑　正行（タバタ マサユキ）
大幸運輸有限会社,1210002011717,ビジネス > 運送・貨物・倉庫,〒915-0801福井県越前市家久町30-4-7,0778226660（0778-22-6660）,"",""
株式会社ナカガワ,2210001002559,ビジネス > 運送・貨物・倉庫,〒910-0347福井県坂井市丸岡町熊堂3-8-1-9,0776680073（0776-68-0073）,"",""
真和運送株式会社,2210001010603,ビジネス > 運送・貨物・倉庫,〒914-0823福井県敦賀市沓見64-9-3,0770232386（0770-23-2386）,15000（千円）,代表取締役社長／横川　武司（ヨコカワ タケシ）
丸山重機株式会社,2210001010776,ビジネス > 運送・貨物・倉庫,〒914-0812福井県敦賀市昭和町1-7-12,0770220041（0770-22-0041）,"",""
