会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
豊運輸株式会社,1290001000044,ビジネス > 運送・貨物・倉庫,〒811-2501福岡県糟屋郡久山町久原2904-2,0929761979（092-976-1979）,"",""
日通福岡トラック株式会社,1290001003724,ビジネス > 運送・貨物・倉庫,〒812-0051福岡県福岡市東区箱崎ふ頭4-18-2,0926435588（092-643-5588）,35000（千円）,川床　三郎（カワトコ サブロウ）
株式会社にわかタクシー,1290001004755,ビジネス > 運送・貨物・倉庫,〒814-0123福岡県福岡市城南区長尾3-13-9,0925611282（092-561-1282）,12000（千円）,藤本　貴之（フジモト タカユキ）
丸阿産業株式会社,1290001010464,ビジネス > 運送・貨物・倉庫,〒810-0062福岡県福岡市中央区荒戸1-5-17,0927111771（092-711-1771）,10000（千円）,代表取締役／阿利　欽章（アリ ヨシアキ）
株式会社才田運送,1290001013269,ビジネス > 運送・貨物・倉庫,〒812-0881福岡県福岡市博多区井相田1-9-14,0925914949（092-591-4949）,10000（千円）,才田　俊輔（サイタ シユンスケ）
大協運輸株式会社,1290001020868,ビジネス > 運送・貨物・倉庫,〒810-0071福岡県福岡市中央区那の津4-6-9,0927719770（092-771-9770）,"",""
丸ヨ運輸倉庫株式会社,1290001039644,ビジネス > 運送・貨物・倉庫,〒811-2114福岡県糟屋郡須恵町上須惠1408-1,0929570270（092-957-0270）,10000（千円）,代表取締役社長／宮田　宏（ミヤタ ヒロシ）
九州配送センター株式会社,1290001047201,ビジネス > 運送・貨物・倉庫,〒834-0061福岡県八女市今福1068-7,0943237700（0943-23-7700）,"",""
株式会社野村産業運輸,1290001047738,ビジネス > 運送・貨物・倉庫,〒834-0111福岡県八女郡広川町日吉684-7,0943325811（0943-32-5811）,13000（千円）,野村　芳啓（ノムラ ヨシヒロ）
三京運輸株式会社,1290001050436,ビジネス > 運送・貨物・倉庫,〒838-0112福岡県小郡市干潟1650-1,0942427200（0942-42-7200）,"",""
オートワークス株式会社,1290001082735,ビジネス > 運送・貨物・倉庫,〒813-0023福岡県福岡市東区蒲田3-27-16,0929317335（092-931-7335）,"",""
今井運送有限会社,1290002014191,ビジネス > 運送・貨物・倉庫,〒812-0051福岡県福岡市東区箱崎ふ頭4-2-38,0926418026（092-641-8026）,"",""
有限会社鐵箭産業運輸,1290002033068,ビジネス > 運送・貨物・倉庫,〒819-1323福岡県糸島市志摩小金丸1768,0923272171（092-327-2171）,10000（千円）,一坊寺　哲也（イツポウジ テツヤ）
有限会社大鵬興産運輸,1290002034743,ビジネス > 運送・貨物・倉庫,〒811-0111福岡県糟屋郡新宮町三代11-1,0929625928（092-962-5928）,"",""
福博タクシー有限会社,1290002040015,ビジネス > 運送・貨物・倉庫,〒816-0921福岡県大野城市仲畑3-1-2,0925810913（092-581-0913）,3000（千円）,古賀　惠子（コガ ケイコ）
ケイ・ワイ物流有限会社,1290002043538,ビジネス > 運送・貨物・倉庫,〒838-0056福岡県朝倉市中原74,0946218388（0946-21-8388）,3000（千円）,代表取締役社長／小林　忠夫（コバヤシ タダオ）
