会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
ＪＡパールライン福島株式会社,1380001001413,ビジネス > 運送・貨物・倉庫,〒960-0231福島県福島市飯坂町平野字三枚長1-1JA福島ビル7F,0245543641（024-554-3641）,38310（千円）,代表取締役社長／引地　英俊（ヒキチ ヒデトシ）
高玉配送株式会社,1380001002568,ビジネス > 運送・貨物・倉庫,〒969-1632福島県伊達郡桑折町田植4-1,0245826789（024-582-6789）,"",""
株式会社郡山ロードメンテナンス,1380001005249,ビジネス > 運送・貨物・倉庫,〒963-0534福島県郡山市日和田町字蛇ヶ森16-1,0249586107（024-958-6107）,10000（千円）,日下　陽子（クサカ ヨウコ）
船引運送株式会社,1380001006404,ビジネス > 運送・貨物・倉庫,〒963-0725福島県郡山市田村町金屋字新家115-1,0249431683（024-943-1683）,"",""
株式会社タムラ,1380001007996,ビジネス > 運送・貨物・倉庫,〒963-4312福島県田村市船引町船引字鐙ヶ池53-12,0247820725（0247-82-0725）,"",""
株式会社二本松三和運送,1380001009992,ビジネス > 運送・貨物・倉庫,〒964-0801福島県二本松市向作田18-4,0243232800（0243-23-2800）,10000（千円）,菊地　久子（キクチ ヒサコ）
福島通商株式会社,1380001013714,ビジネス > 運送・貨物・倉庫,〒970-8026福島県いわき市平愛谷町三丁目2-1,0246237273（0246-23-7273）,30000（千円）,久田　直久（ヒサダ ナオヒサ）
株式会社マルイ,1380001013870,ビジネス > 運送・貨物・倉庫,〒970-0224福島県いわき市平豊間字榎町75-1,0246393181（0246-39-3181）,"",""
ケミカルサービス有限会社,1380002007756,ビジネス > 運送・貨物・倉庫,〒963-0725福島県郡山市田村町金屋字新家63-1,"","",""
有限会社ヤマモト商事,1380002016658,ビジネス > 運送・貨物・倉庫,〒969-1402福島県二本松市米沢字観音堂105-1,0243532339（0243-53-2339）,"",""
平成興業有限会社,1380002025881,ビジネス > 運送・貨物・倉庫,〒970-0222福島県いわき市平沼ノ内諏訪原1-10-7,0246393679（0246-39-3679）,12000（千円）,松本　正敏（マツモト マサトシ）
株式会社ショートク,2380001007112,ビジネス > 運送・貨物・倉庫,〒963-0551福島県郡山市喜久田町字上追池48-1,0249630005（024-963-0005）,33000（千円）,佐藤　徳男（サトウ ノリオ）
エムケー物流株式会社,2380001009587,ビジネス > 運送・貨物・倉庫,〒969-1302福島県安達郡大玉村玉井字矢ノ花230,0243342153（0243-34-2153）,23000（千円）,代表取締役社長／藤田　安宏（フジタ ヤスヒロ）
東北日貨運輸株式会社,2380001010958,ビジネス > 運送・貨物・倉庫,〒961-0087福島県白河市鶴巻39,0248225615（0248-22-5615）,10000（千円）,代表取締役社長／佐藤　圭次（サトウ ケイジ）
