会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
秋田丸果運輸株式会社,1410001000576,ビジネス > 運送・貨物・倉庫,〒010-0802秋田県秋田市外旭川字待合28,0188695551（018-869-5551）,36000（千円）,高橋　良治（タカハシ リヨウジ）
三浦冷蔵株式会社,1410001002465,ビジネス > 運送・貨物・倉庫,〒10-802秋田県秋田市外旭川字四百刈93-2,0188682333（018-868-2333）,30000（千円）,代表取締役／三浦　茂人（ミウラ シゲト）
大曲小型貨物自動車運送株式会社,1410001007877,ビジネス > 運送・貨物・倉庫,〒014-0001秋田県大仙市花館字下殿屋敷29-1,0187624101（0187-62-4101）,10000（千円）,加藤　惠一（カトウ ケイイチ）
秋田新聞輸送有限会社,1410002000402,ビジネス > 運送・貨物・倉庫,〒010-1419秋田県秋田市御所野堤台1-2-1,0188896340（018-889-6340）,15000（千円）,佐々木　義廣（ササキ ヨシヒロ）
株式会社ビー・エス・エー,2410001002150,ビジネス > 運送・貨物・倉庫,〒019-2611秋田県秋田市河辺戸島字七曲台120-7,0188811071（018-881-1071）,"",""
アイビーデリバリー株式会社,2410001003941,ビジネス > 運送・貨物・倉庫,〒010-0817秋田県秋田市泉菅野1-19-1,0188654462（018-865-4462）,"",""
有限会社三浦運送,2410002007999,ビジネス > 運送・貨物・倉庫,〒012-1131秋田県雄勝郡羽後町西馬音内中野153-5,0183620670（0183-62-0670）,32000（千円）,代表取締役社長／三浦　孝昭（ミウラ タカアキ）
有限会社松田運送,2410002008948,ビジネス > 運送・貨物・倉庫,〒018-3501秋田県大館市岩瀬字関根下22,0186540720（0186-54-0720）,19000（千円）,松田　博雄（マツダ ヒロオ）
石川興業株式会社,3410001008122,ビジネス > 運送・貨物・倉庫,〒014-0103秋田県大仙市高関上郷字杉本425,0187635830（0187-63-5830）,"",""
羽柴運輸株式会社,3410001009046,ビジネス > 運送・貨物・倉庫,〒013-0051秋田県横手市大屋新町字法竜304-1,0182334745（0182-33-4745）,"",""
有限会社ツルタ,3410002002586,ビジネス > 運送・貨物・倉庫,〒019-2631秋田県秋田市河辺神内字坂の下40-1,0188823013（018-882-3013）,"",""
有限会社渡辺商事,3410002005960,ビジネス > 運送・貨物・倉庫,〒018-1402秋田県潟上市昭和乱橋字開上関田109,0188775177（018-877-5177）,"",""
北都運輸株式会社,4410001006819,ビジネス > 運送・貨物・倉庫,〒018-5201秋田県鹿角市花輪字中屋布104-1,0186222567（0186-22-2567）,"",""
株式会社陽光運輸,4410001007296,ビジネス > 運送・貨物・倉庫,〒016-0179秋田県能代市浅内出戸谷地11-4,0185551721（0185-55-1721）,"",""
株式会社美郷,4410001009994,ビジネス > 運送・貨物・倉庫,〒019-1502秋田県仙北郡美郷町千屋字相長根132-20,0187852121（0187-85-2121）,18050（千円）,深澤　誠（フカサワ マコト）
有限会社鈴木興産,4410002008079,ビジネス > 運送・貨物・倉庫,〒019-0802秋田県雄勝郡東成瀬村岩井川字川通12-1,0182473080（0182-47-3080）,"",""
有限会社堀内運送,4410002010530,ビジネス > 運送・貨物・倉庫,〒016-0864秋田県能代市鳥小屋55-5,0185527401（0185-52-7401）,"",""
有限会社大竜運輸,4410002011669,ビジネス > 運送・貨物・倉庫,〒014-0801秋田県大仙市戸地谷川前324-1,"",9000（千円）,伊藤　隆康（イトウ タカヤス）
本荘運輸倉庫株式会社,5410001004821,ビジネス > 運送・貨物・倉庫,〒15-75秋田県由利本荘市花畑町2-22,0184224096（0184-22-4096）,40000（千円）,逸見　敏夫（ヘンミ トシオ）
日新運輸株式会社,6410001002023,ビジネス > 運送・貨物・倉庫,〒010-0065秋田県秋田市茨島1-2-10,0188232968（018-823-2968）,"",""
株式会社美郷運輸,6410001008350,ビジネス > 運送・貨物・倉庫,〒019-1401秋田県仙北郡美郷町鑓田字上二つ石295-1,0187843534（0187-84-3534）,8000（千円）,小野　仁（オノ ヒトシ）
豊幸商事運輸有限会社,6410002008102,ビジネス > 運送・貨物・倉庫,〒012-1125秋田県雄勝郡羽後町野中字古舘54,0183784165（0183-78-4165）,"",""
有限会社堀岡工業,6410002009901,ビジネス > 運送・貨物・倉庫,〒018-5421秋田県鹿角市十和田大湯字白山4-3,0186372585（0186-37-2585）,6000（千円）,堀岡　邦男（ホリオカ クニオ）
成田輸送株式会社,7410001004365,ビジネス > 運送・貨物・倉庫,〒010-0101秋田県潟上市天王追分西52-6,"","",""
株式会社八幡平貨物,7410001006923,ビジネス > 運送・貨物・倉庫,〒018-5141秋田県鹿角市八幡平谷内下モ平116-12,"",2000（千円）,代表取締役社長／齊藤　正敏（サイトウ マサトシ）
株式会社三協運輸,7410001007095,ビジネス > 運送・貨物・倉庫,〒016-0171秋田県能代市河戸川字南後田82-1,0185551638（0185-55-1638）,"",""
株式会社丸伸運送,7410001007260,ビジネス > 運送・貨物・倉庫,〒016-0115秋田県能代市悪戸35-6,0185582901（0185-58-2901）,10000（千円）,畠山　昭俊（ハタケヤマ アキトシ）
株式会社美郷の大地,7410001008358,ビジネス > 運送・貨物・倉庫,〒019-1502秋田県仙北郡美郷町千屋字相長根132-20,0187852121（0187-85-2121）,18050（千円）,深澤　誠（フカサワ マコト）
有限会社斉藤興業,7410002011484,ビジネス > 運送・貨物・倉庫,〒014-0113秋田県大仙市堀見内字穴沢46-4,0187693159（0187-69-3159）,"",""
