会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
群馬くみあい運輸株式会社,1070001000982,道路貨物運送業,〒379-2147群馬県前橋市亀里町1306-3,0272202635（027-220-2635）,194350（千円）,代表取締役社長／柳澤　清美（ヤナギサワ キヨミ）
上毛電気鉄道株式会社,1070001001485,鉄道業,〒371-0016群馬県前橋市城東町4-1-1,0272313597（027-231-3597）,60000（千円）,古澤　和秋（フルサワ カズアキ）
株式会社太陽運輸,1070001001956,道路貨物運送業,〒371-0132群馬県前橋市五代町677-2,0272697722（027-269-7722）,50000（千円）,藤野　隆司（フジノ タカシ）
中央興業株式会社,1070001002087,道路貨物運送業,〒371-0846群馬県前橋市元総社町226,0272513213（027-251-3213）,10000（千円）,都丸　健二（トマル ケンジ）
株式会社みくに観光社,1070001003143,運輸に付帯するサービス業,〒371-0016群馬県前橋市城東町2-2-6,0272315256（027-231-5256）,10000（千円）,佐藤　芙美子（サトウ フミコ）
株式会社アイエスティー急送チビトラ,1070001005981,道路貨物運送業,〒370-1214群馬県高崎市根小屋町1666,0273253321（027-325-3321）,12000（千円）,吉井　幸久（ヨシイ ユキヒサ）
共油運送株式会社,1070001006625,道路貨物運送業,〒370-1201群馬県高崎市倉賀野町2359-1,0273461332（027-346-1332）,10000（千円）,茂木　晴男（モギ ハルオ）
株式会社群馬日新,1070001006708,道路貨物運送業,〒370-0875群馬県高崎市藤塚町416,0273234399（027-323-4399）,40000（千円）,代表取締役社長／鳥原　寿博（トリハラ トシヒロ）
株式会社コウショウ,1070001006864,道路貨物運送業,〒370-1201群馬県高崎市倉賀野町2439,0273464811（027-346-4811）,30000（千円）,高木　照吉（タカギ テルヨシ）
高崎貨物自動車株式会社,1070001007458,道路貨物運送業,〒370-0069群馬県高崎市飯塚町727,0273615741（027-361-5741）,12000（千円）,櫻井　武（サクライ タケシ）
高崎通運株式会社,1070001007482,道路貨物運送業,〒370-0855群馬県高崎市下佐野町67-2,0273475127（027-347-5127）,10000（千円）,代表取締役社長／松永　正一（マツナガ シヨウイチ）
ニッコウ運輸株式会社,1070001007994,道路貨物運送業,〒370-1135群馬県佐波郡玉村町板井310,0270642891（0270-64-2891）,10000（千円）,筒井　悦雄（ツツイ エツオ）
ホクブトランスポート株式会社,1070001008332,道路貨物運送業,〒370-0803群馬県高崎市大橋町51,0273613977（027-361-3977）,60000（千円）,代表取締役社長／梅山　立之（ウメヤマ タツユキ）
高崎協同運送株式会社,1070001009470,道路貨物運送業,〒370-3522群馬県高崎市菅谷町20-578,0273731663（027-373-1663）,15000（千円）,代表取締役社長／山田　啓五（ヤマダ ケイゴ）
シングン物流株式会社,1070001012441,道路貨物運送業,〒375-0015群馬県藤岡市中栗須508-1,0274237611（0274-23-7611）,10000（千円）,石井　功一（イシイ コウイチ）
株式会社藤武梱包,1070001012524,運輸に付帯するサービス業,〒375-0012群馬県藤岡市下戸塚525-5,0274428773（0274-42-8773）,17000（千円）,代表取締役社長／宮下　明憲（ミヤシタ アキノリ）
藤武運送株式会社,1070001012879,道路貨物運送業,〒375-0012群馬県藤岡市下戸塚525-5,0274424101（0274-42-4101）,3000（千円）,宮下　正義（ミヤシタ マサヨシ）
日東運送株式会社,1070001013638,道路貨物運送業,〒372-0811群馬県伊勢崎市若葉町4-14,0270264462（0270-26-4462）,10000（千円）,増田　一幸（マスダ カズユキ）
株式会社新共ロジテム,1070001014462,運輸に付帯するサービス業,〒370-1135群馬県佐波郡玉村町板井169-1,0270501150（0270-50-1150）,30000（千円）,池田　洋子（イケダ ヨウコ）
株式会社ウブカタ,1070001014891,運輸に付帯するサービス業,〒370-0103群馬県伊勢崎市境下渕名53,0270765783（0270-76-5783）,3000（千円）,生形　英雄（ウブカタ ヒデオ）
株式会社Ｋ’ｓＴｒａｎｓｐｏｒｔ,1070001015023,道路貨物運送業,〒372-0022群馬県伊勢崎市日乃出町702伊勢崎地方卸売市場内,0270632759（0270-63-2759）,3000（千円）,久保田　忠夫（クボタ タダオ）
信正運輸株式会社,1070001015270,道路貨物運送業,〒379-2211群馬県伊勢崎市市場町2-631-3,0270753915（0270-75-3915）,5000（千円）,岡庭　信夫（オカニワ ノブオ）
群馬天沼運輸株式会社,1070001015898,道路貨物運送業,〒376-0133群馬県桐生市新里町大久保87,0277748366（0277-74-8366）,10000（千円）,天沼　一夫（アマヌマ カズオ）
わたらせ渓谷鐵道株式会社,1070001016756,鉄道業,〒376-0101群馬県みどり市大間々町大間々1603-1,0277732110（0277-73-2110）,325000（千円）,樺澤　豊（カバサワ ユタカ）
敷島電子株式会社,1070001017713,運輸に付帯するサービス業,〒379-1103群馬県渋川市赤城町津久田170-9,0279562055（0279-56-2055）,10000（千円）,田子　文明（タゴ フミアキ）
ハルナバリューネットワーク株式会社,1070001018455,道路貨物運送業,〒370-3504群馬県北群馬郡榛東村広馬場3044,0279258385（0279-25-8385）,100000（千円）,三原　修一（ミハラ シユウイチ）
株式会社美正,1070001018513,道路貨物運送業,〒370-3104群馬県高崎市箕郷町上芝541-2,0273868011（027-386-8011）,3000（千円）,櫻澤　章（サクラザワ アキラ）
大泉観光株式会社,1070001018868,運輸に付帯するサービス業,〒370-0511群馬県邑楽郡大泉町北小泉1-10-18,0276631311（0276-63-1311）,10000（千円）,青谷　輝夫（アオヤ テルオ）
株式会社カネヒラ,1070001019008,運輸に付帯するサービス業,〒373-0824群馬県太田市高林寿町1762-5,0276380287（0276-38-0287）,10000（千円）,栗原　修身（クリハラ オサミ）
坂本運輸株式会社,1070001019313,道路貨物運送業,〒373-0016群馬県太田市矢田堀町282-4,0276371111（0276-37-1111）,20000（千円）,坂本　智宏（サカモト トモヒロ）
大東運輸株式会社,1070001019602,道路貨物運送業,〒373-0851群馬県太田市飯田町765,0276473100（0276-47-3100）,10000（千円）,代表取締役社長／田部井　實（タベイ ミノル）
若旅運送株式会社,1070001020345,道路貨物運送業,〒370-0522群馬県邑楽郡大泉町富士2-13-22,0276634801（0276-63-4801）,10000（千円）,若旅　和守（ワカタビ カズモリ）
関東ロジコム株式会社,1070001021252,道路貨物運送業,〒379-2301群馬県太田市藪塚町2138-2,0277204500（0277-20-4500）,9000（千円）,小倉　公明（オグラ キミアキ）
東群物流株式会社,1070001021491,道路貨物運送業,〒370-0321群馬県太田市新田木崎町528-1,0276566165（0276-56-6165）,8000（千円）,新井　哲雄（アライ テツオ）
株式会社大杉,1070001021616,運輸に付帯するサービス業,〒374-0042群馬県館林市近藤町178-166,0276720002（0276-72-0002）,10000（千円）,代表取締役社長／大杉　康弘（オオスギ ヤスヒロ）
館林神田株式会社,1070001021830,道路貨物運送業,〒374-0069群馬県館林市坂下町3070-3,0276741344（0276-74-1344）,20000（千円）,水沢　俊孝（ミズサワ トシタカ）
東進運輸株式会社,1070001021896,道路貨物運送業,〒370-0702群馬県邑楽郡明和町上江黒1076-22,0276744537（0276-74-4537）,10000（千円）,亀井　麗子（カメイ レイコ）
株式会社エーアイ・コーポレーション,1070001022119,道路貨物運送業,〒374-0052群馬県館林市栄町21-34,0276762020（0276-76-2020）,50000（千円）,代表取締役社長／森　恭史（モリ ヒロシ）
株式会社ファイントラスト,1070001024602,運輸に付帯するサービス業,〒373-0023群馬県太田市富若町668,0276555003（0276-55-5003）,1000（千円）,吉澤　徹（ヨシザワ トオル）
株式会社加商館林センター,1070001025757,運輸に付帯するサービス業,〒374-0012群馬県館林市羽附旭町1210-1,0276564500（0276-56-4500）,1000（千円）,加藤　周生（カトウ シユウセイ）
株式会社日の出ライン,1070001030261,道路貨物運送業,〒370-0414群馬県太田市堀口町271-4,0276314449（0276-31-4449）,6000（千円）,松本　光浩（マツモト ミツヒロ）
大沼運輸倉庫株式会社,1070001030294,道路貨物運送業,〒379-2235群馬県伊勢崎市三室町6068,0270753308（0270-75-3308）,10000（千円）,大沼　義明（オオヌマ ヨシアキ）
株式会社三鈴商事,1070001030625,道路貨物運送業,〒371-0221群馬県前橋市樋越町336-5,"",3000（千円）,鈴木　聡（スズキ サトシ）
有限会社こだま運輸,1070002002136,道路貨物運送業,〒379-2134群馬県前橋市力丸町480,0272652221（027-265-2221）,10000（千円）,渡邉　忠司（ワタナベ タダシ）
有限会社三和,1070002002458,道路貨物運送業,〒371-0846群馬県前橋市元総社町338,0272512588（027-251-2588）,4500（千円）,富田　藤治郎（トミタ トウジロウ）
有限会社三和運輸,1070002002466,道路貨物運送業,〒371-0846群馬県前橋市元総社町338,0272512588（027-251-2588）,4500（千円）,富田　藤治郎（トミタ トウジロウ）
有限会社貘亭,1070002004223,倉庫業,〒371-0042群馬県前橋市日輪寺町42-2,0272314608（027-231-4608）,3000（千円）,萩原　淳仁（ハギワラ アツヒト）
有限会社丸義起業,1070002005155,道路貨物運送業,〒371-0104群馬県前橋市富士見町時沢2849-1,0272889101（027-288-9101）,10000（千円）,川和　康義（カワワ ヤスヨシ）
恵運輸有限会社,1070002005378,道路貨物運送業,〒371-0811群馬県前橋市朝倉町4-1-4,0272615531（027-261-5531）,5000（千円）,清水　秀人（シミズ ヒデト）
有限会社エムケー物流,1070002009040,道路貨物運送業,〒370-0072群馬県高崎市大八木町90-3,0273705115（027-370-5115）,7000（千円）,狩野　正喜（カノウ マサキ）
有限会社両毛魚類,1070002012804,道路貨物運送業,〒370-0867群馬県高崎市乗附町825-29,0273258875（027-325-8875）,3000（千円）,吉田　保（ヨシダ タモツ）
ナイストラベル有限会社,1070002013414,運輸に付帯するサービス業,〒370-0004群馬県高崎市井野町31-6,0273706900（027-370-6900）,8000（千円）,富岡　元春（トミオカ モトハル）
大井運輸有限会社,1070002017316,道路貨物運送業,〒375-0001群馬県藤岡市中島468-6,0274424924（0274-42-4924）,12000（千円）,大井　寛樹（オオイ ヒロキ）
吉田運輸有限会社,1070002019980,道路貨物運送業,〒372-0801群馬県伊勢崎市宮子町3631-8,0270234198（0270-23-4198）,10000（千円）,吉田　宗治（ヨシダ ソウジ）
有限会社斎藤商運,1070002021623,道路貨物運送業,〒370-1123群馬県佐波郡玉村町下茂木852-3,0270654096（0270-65-4096）,3000（千円）,齋藤　雅之（サイトウ マサユキ）
有限会社久保運送,1070002023264,道路貨物運送業,〒376-0121群馬県桐生市新里町新川755-1,0277744160（0277-74-4160）,15000（千円）,久保　兵八（クボ ヘイハチ）
栗原運送有限会社,1070002023322,道路貨物運送業,〒376-0101群馬県みどり市大間々町大間々726-7,0277721679（0277-72-1679）,8000（千円）,栗原　文雄（クリバラ フミオ）
荒井建材有限会社,1070002025855,道路貨物運送業,〒370-3606群馬県北群馬郡吉岡町上野田723-1,0279544355（0279-54-4355）,5000（千円）,荒井　一夫（アライ カズオ）
エスエスティー有限会社,1070002028263,道路貨物運送業,〒370-0533群馬県邑楽郡大泉町仙石4-34-20,0276633980（0276-63-3980）,7000（千円）,新井　安治（アライ ヤスハル）
有限会社三栄流通,1070002029245,運輸に付帯するサービス業,〒373-0847群馬県太田市西新町42-18,0276310595（0276-31-0595）,3000（千円）,川岸　保正（カワギシ ヤスマサ）
中央流通有限会社,1070002030054,倉庫業,〒373-0847群馬県太田市西新町106-2,0276310146（0276-31-0146）,5000（千円）,茂木　賢（モテギ マサル）
有限会社新藤運送,1070002031622,道路貨物運送業,〒379-2301群馬県太田市藪塚町2693,0277404393（0277-40-4393）,11000（千円）,新藤　義雄（シンドウ ヨシオ）
有限会社金子総業,1070002032240,道路貨物運送業,〒373-0846群馬県太田市中根町781-1,0276319837（0276-31-9837）,3000（千円）,金子　芳弘（カネコ ヨシヒロ）
キクスイ配送サービス有限会社,1070002034451,道路貨物運送業,〒374-0042群馬県館林市近藤町560-2,0276753824（0276-75-3824）,3000（千円）,菊池　章（キクチ アキラ）
小菅林業有限会社,1070002035367,道路貨物運送業,〒378-0126群馬県沼田市白沢町上古語父153-4,0278533150（0278-53-3150）,5000（千円）,小菅　正治（コスゲ マサハル）
赤帽群馬県軽自動車運送協同組合,1070005000649,運輸に付帯するサービス業,〒371-0837群馬県前橋市箱田町608-2,0272536872（027-253-6872）,4470（千円）,赤間　美代子（アカマ ミヨコ）
群馬ジカハイ運輸株式会社,2070001000932,道路貨物運送業,〒379-2131群馬県前橋市西善町1536,0272665681（027-266-5681）,20000（千円）,鹿野　國臣（シカノ クニオミ）
株式会社新和物流,2070001001724,道路貨物運送業,〒371-0244群馬県前橋市鼻毛石町201-23,0272838383（027-283-8383）,26000（千円）,久保　明夫（クボ アキオ）
株式会社高順,2070001001988,道路貨物運送業,〒371-0037群馬県前橋市上小出町3-11-1,0272310554（027-231-0554）,10000（千円）,石田　栄一（イシダ エイイチ）
日本中央運輸株式会社,2070001002425,道路貨物運送業,〒372-0801群馬県伊勢崎市宮子町3487-3,0270274411（0270-27-4411）,10000（千円）,町田　真由美（マチダ マユミ）
株式会社ミツミ,2070001003159,道路貨物運送業,〒371-0216群馬県前橋市粕川町込皆戸380-2,0272855221（027-285-5221）,15000（千円）,小林　正和（コバヤシ マサカズ）
株式会社あおば,2070001005923,道路貨物運送業,〒371-0847群馬県前橋市大友町1-5-4,0272568470（027-256-8470）,19800（千円）,加藤　敏雄（カトウ トシオ）
株式会社ジェイアール貨物・北関東ロジスティクス,2070001007440,運輸に付帯するサービス業,〒370-1201群馬県高崎市倉賀野町1757,0273461589（027-346-1589）,10000（千円）,石野　久雄（イシノ ヒサオ）
丸文運輸株式会社,2070001008455,道路貨物運送業,〒370-0855群馬県高崎市下佐野町67-2,0273460007（027-346-0007）,10000（千円）,堤　隆雄（ツツミ タカオ）
矢内運輸株式会社,2070001008620,道路貨物運送業,〒370-0024群馬県高崎市八幡原町1998,0273468482（027-346-8482）,13000（千円）,矢内　浩（ヤナイ ヒロシ）
ティーエス企画株式会社,2070001009016,道路貨物運送業,〒370-3523群馬県高崎市福島町722-1,0273503553（027-350-3553）,32000（千円）,峰島　雄二（ミネシマ ユウジ）
柴山流通管理株式会社,2070001009445,道路貨物運送業,〒370-0007群馬県高崎市問屋町西1-1-6ミツワ電機株式会社高崎支店内,0273625537（027-362-5537）,10000（千円）,田中　悟史（タナカ サトシ）
