会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社トランスシグマ,1010401088368,道路貨物運送業,〒300-2724茨城県常総市古間木542,0297445558（0297-44-5558）,6000（千円）,野崎　ミナ（ノザキ ミナ）
三ッ矢運輸株式会社,1050001002618,道路貨物運送業,〒310-0853茨城県水戸市平須町赤穂235-36,0292436335（029-243-6335）,20000（千円）,佐藤　宗一（サトウ ソウイチ）
末広物産運輸株式会社,1050001003112,道路貨物運送業,〒311-4145茨城県水戸市双葉台5-789-10,0292510989（029-251-0989）,10000（千円）,石川　廣富（イシカワ ヒロトミ）
ひたちなか港総合サービス株式会社,1050001004903,運輸に付帯するサービス業,〒319-1113茨城県那珂郡東海村照沼渚768-46,0292642900（029-264-2900）,25000（千円）,寶納　英紀（ホウノウ ヒデノリ）
株式会社綿引運送,1050001005298,道路貨物運送業,〒310-0836茨城県水戸市元吉田町997-10,0292471127（029-247-1127）,8000（千円）,綿引　洋平（ワタヒキ ヨウヘイ）
株式会社ナカムラ運輸,1050001005760,道路貨物運送業,〒311-4303茨城県東茨城郡城里町石塚636-11,0292886880（029-288-6880）,6000（千円）,中村　勇雄（ナカムラ イサオ）
日水運輸株式会社,1050001006981,道路貨物運送業,〒311-0121茨城県那珂市戸崎40-1,0292956222（029-295-6222）,23000（千円）,代表取締役社長／渡部　諭（ワタベ サトシ）
進栄通商株式会社,1050001008144,道路貨物運送業,〒311-3153茨城県東茨城郡茨城町上飯沼2-384,0292920008（029-292-0008）,10000（千円）,代表取締役社長／奥谷　泉（オクヤ イズミ）
朝日陸送株式会社,1050001008714,道路貨物運送業,〒310-0914茨城県水戸市小吹町267-2,0292432745（029-243-2745）,6000（千円）,小沼　隆（オヌマ タカシ）
県南陸運株式会社,1050001009076,道路貨物運送業,〒300-0007茨城県土浦市板谷7-635-2,0298863335（029-886-3335）,10000（千円）,大久保　正志（オオクボ マサシ）
株式会社すばる便,1050001009217,道路貨物運送業,〒300-0016茨城県土浦市中神立町18-3,0298322255（029-832-2255）,10000（千円）,田中　千敏（タナカ チサト）
株式会社福田興業,1050001009729,道路貨物運送業,〒300-0841茨城県土浦市中938-1,0298420233（029-842-0233）,10000（千円）,代表取締役社長／福田　寛治（フクダ カンジ）
株式会社山一運輸,1050001010034,道路貨物運送業,〒300-0314茨城県稲敷郡阿見町追原1501-1,0298892090（029-889-2090）,10000（千円）,小松崎　泰央（コマツザキ ヤスオ）
株式会社白河運輸,1050001010042,道路貨物運送業,〒300-4104茨城県土浦市沢辺1544-9,0298625596（029-862-5596）,15000（千円）,小河原　廣治（オガワラ ヒロジ）
中谷梱包運輸株式会社,1050001010166,道路貨物運送業,〒300-0121茨城県かすみがうら市宍倉6147-40,0298311391（029-831-1391）,25000（千円）,中谷　重造（ナカタニ シゲゾウ）
茨城新光運輸株式会社,1050001010868,道路貨物運送業,〒315-0052茨城県かすみがうら市下稲吉1586-1,0299593147（0299-59-3147）,10000（千円）,鈴木　文男（スズキ フミオ）
ウロコ運輸株式会社,1050001011288,道路貨物運送業,〒315-0002茨城県石岡市柏原7-3,0299226111（0299-22-6111）,10000（千円）,石上　榮一（イシガミ エイイチ）
茨城トヨタ陸送株式会社,1050001011395,道路貨物運送業,〒319-0102茨城県小美玉市西郷地1565-1,0299483331（0299-48-3331）,16000（千円）,幡谷　浩史（ハタヤ コウシ）
石岡地区通運株式会社,1050001011404,道路貨物運送業,〒315-0013茨城県石岡市府中1-1-22,0299230211（0299-23-0211）,20000（千円）,本橋　正直（モトハシ マサナオ）
株式会社ドリーム・デリバリー,1050001011734,道路貨物運送業,〒315-0001茨城県石岡市石岡3202,0299236125（0299-23-6125）,10000（千円）,萩原　節夫（ハギワラ セツオ）
株式会社菊池輸送,1050001012187,道路貨物運送業,〒311-3404茨城県小美玉市飯前1248-1,0299521344（0299-52-1344）,15000（千円）,菊池　利行（キクチ トシユキ）
株式会社Ｔ・Ｎ・Ｒ,1050001012534,道路貨物運送業,〒311-3416茨城県小美玉市与沢1101,0299540595（0299-54-0595）,7500（千円）,長島　啓（ナガシマ アキラ）
株式会社ビリーブ,1050001013160,運輸に付帯するサービス業,〒315-0001茨城県石岡市石岡2282-2,0299352172（0299-35-2172）,300（千円）,竹林　信明（タケバヤシ ノブアキ）
ぺがさす物流株式会社,1050001013417,道路貨物運送業,〒304-0022茨城県下妻市大宝506-3,0296439155（0296-43-9155）,30000（千円）,杉山　尚（スギヤマ ヒサシ）
鹿久保運輸株式会社,1050001013929,道路貨物運送業,〒306-0416茨城県猿島郡境町伏木1283-5,0280872688（0280-87-2688）,10000（千円）,代表取締役社長／鹿久保　通（シカクボ トオル）
平川観光株式会社,1050001013978,運輸に付帯するサービス業,〒306-0404茨城県猿島郡境町長井戸730-22,0280870551（0280-87-0551）,18000（千円）,平川　重夫（ヒラカワ シゲオ）
ヤマセイ運輸株式会社,1050001014002,道路貨物運送業,〒306-0405茨城県猿島郡境町塚崎2740,0280873006（0280-87-3006）,24000（千円）,染谷　清一郎（ソメヤ セイイチロウ）
戸塚運送株式会社,1050001014506,道路貨物運送業,〒306-0617茨城県坂東市神田山1129,0297368005（0297-36-8005）,10000（千円）,代表取締役社長／前山　諭（マエヤマ サトシ）
株式会社テラダコーポレーション,1050001014613,道路貨物運送業,〒306-0631茨城県坂東市岩井3442-3,0297368111（0297-36-8111）,15000（千円）,寺田　和良（テラダ カズヨシ）
株式会社Ｋ－ロジテック,1050001015108,道路貨物運送業,〒306-0607茨城県坂東市弓田2421,0297362191（0297-36-2191）,10000（千円）,石濱　佳秀（イシハマ ヨシヒデ）
茨城流通サービス株式会社,1050001018597,道路貨物運送業,〒306-0206茨城県古河市丘里14-4,0280981224（0280-98-1224）,30000（千円）,代表取締役社長／小倉　邦義（オグラ クニヨシ）
関東丸和運輸株式会社,1050001018639,道路貨物運送業,〒306-0224茨城県古河市砂井新田90-2,0280925073（0280-92-5073）,10000（千円）,枝　和男（エダ カズオ）
株式会社吉澤運送,1050001019554,道路貨物運送業,〒306-0056茨城県古河市坂間198-16,0280481231（0280-48-1231）,3000（千円）,吉沢　秀高（ヨシザワ ヒデタカ）
株式会社セキカワ,1050001019570,運輸に付帯するサービス業,〒306-0215茨城県古河市水海2755-1,0280926609（0280-92-6609）,10000（千円）,関川　誠一（セキカワ セイイチ）
株式会社エポック,1050001019983,倉庫業,〒300-4115茨城県土浦市藤沢3647-5,0298624300（029-862-4300）,10000（千円）,山崎　和弘（ヤマザキ カズヒロ）
石毛運輸株式会社,1050001020074,道路貨物運送業,〒314-0012茨城県鹿嶋市平井1350-119,0299831098（0299-83-1098）,10000（千円）,石毛　孝一（イシゲ コウイチ）
南部株式会社,1050001020727,倉庫業,〒314-0112茨城県神栖市知手中央9-11-14,0299961530（0299-96-1530）,40000（千円）,鈴木　康広（スズキ ヤスヒロ）
鹿島冷蔵株式会社,1050001020933,倉庫業,〒314-0254茨城県神栖市太田3359-1,0479462262（0479-46-2262）,60000（千円）,松岡　啓二（マツオカ ケイジ）
白帆運輸株式会社,1050001021873,道路貨物運送業,〒310-0852茨城県水戸市笠原町1532-3,0293035395（029-303-5395）,10000（千円）,代表取締役社長／根崎　正行（ネサキ マサユキ）
ウチダツーリスト株式会社,1050001022228,運輸に付帯するサービス業,〒314-0036茨城県鹿嶋市大船津4283-1,0299777334（0299-77-7334）,8000（千円）,内田　正治（ウチダ マサハル）
株式会社茨城物流サービス,1050001022938,道路貨物運送業,〒316-0004茨城県日立市東多賀町5-1-12,0294358980（0294-35-8980）,15000（千円）,石川　智一（イシカワ トモカズ）
株式会社多荷物流,1050001023358,運輸に付帯するサービス業,〒316-0035茨城県日立市国分町3-1-12,0294362451（0294-36-2451）,20000（千円）,代表取締役社長／笹島　弥一（ササジマ ヤイチ）
株式会社ヒタチ,1050001023738,道路貨物運送業,〒316-0001茨城県日立市諏訪町1233,0294358502（0294-35-8502）,3000（千円）,関口　壽雄（セキグチ ヒサオ）
