会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社日本リゾートシステム,1010001033939,ビジネス > 運送・貨物・倉庫,長野県北佐久郡軽井沢町軽井沢491-5,0267412288（0267-41-2288）,"",""
株式会社高瀬川プラント,1100001015408,ビジネス > 運送・貨物・倉庫,〒399-8302長野県安曇野市穂高北穂高1297-1,0263822575（0263-82-2575）,10000（千円）,下里　武（シモサト タケシ）
協同運輸株式会社,1100001020688,ビジネス > 運送・貨物・倉庫,〒399-4511長野県上伊那郡南箕輪村8306-1101,0265765950（0265-76-5950）,"",""
株式会社葵交通,1100001021100,ビジネス > 運送・貨物・倉庫,〒399-3701長野県上伊那郡飯島町田切112-74,0265865773（0265-86-5773）,18350（千円）,青木　ケン（アオキ ケン）
丸協運輸株式会社,2100001010878,ビジネス > 運送・貨物・倉庫,〒389-0512長野県東御市滋野乙1519-1,0268621166（0268-62-1166）,"",""
株式会社丸進,2100001014598,ビジネス > 運送・貨物・倉庫,〒399-0033長野県松本市笹賀7600-41,0263573096（0263-57-3096）,"",""
株式会社ケーサービス,2100001015976,ビジネス > 運送・貨物・倉庫,〒399-8201長野県安曇野市豊科南穂高337,0263713633（0263-71-3633）,"",""
有限会社信栄開発,2100002012007,ビジネス > 運送・貨物・倉庫,〒384-0503長野県南佐久郡佐久穂町海瀬221-1,0267865839（0267-86-5839）,"",""
有限会社上原運送,2100002012898,ビジネス > 運送・貨物・倉庫,〒384-0084長野県小諸市耳取308-7,"",3000（千円）,上原　悦夫（ウエハラ エツオ）
塩田運輸有限会社,2100002014085,ビジネス > 運送・貨物・倉庫,〒386-1434長野県上田市新町151-5,0268382548（0268-38-2548）,7000（千円）,代表取締役社長／岡田　宝正（オカダ ホウセイ）
有限会社フジケン企画,2100002021313,ビジネス > 運送・貨物・倉庫,〒399-0033長野県松本市笹賀8062,0263277824（0263-27-7824）,4000（千円）,藤原　祐子（フジワラ ユウコ）
有限会社上条運送,2100002024745,ビジネス > 運送・貨物・倉庫,〒399-0744長野県塩尻市大門526-35,0263538616（0263-53-8616）,"",""
松下物流有限会社,2100002038605,ビジネス > 運送・貨物・倉庫,〒399-1503長野県下伊那郡阿南町南條631,0260223088（0260-22-3088）,13000（千円）,松下　誠仁（マツシタ セイジ）
早川運輸株式会社,3100001008260,ビジネス > 運送・貨物・倉庫,〒384-1407長野県南佐久郡川上村御所平843,0267973001（0267-97-3001）,"",""
有限会社円葉物流,3100002022673,ビジネス > 運送・貨物・倉庫,〒390-0851長野県松本市島内6648-2,0263485701（0263-48-5701）,"",""
有限会社てまりバス,3100002023110,ビジネス > 運送・貨物・倉庫,〒390-1131長野県松本市今井6931-26,0263860309（0263-86-0309）,3000（千円）,内山　康翁（ウチヤマ ヤスオ）
有限会社石川産業,3100002024595,ビジネス > 運送・貨物・倉庫,〒399-0726長野県塩尻市下西条693-1,0263540562（0263-54-0562）,"",""
松商ロジコム有限会社,3100002025817,ビジネス > 運送・貨物・倉庫,〒390-0834長野県松本市高宮中13-8石川ビル1F,0263243688（0263-24-3688）,11000（千円）,齋藤　仁夫（サイトウ キミオ）
三協運輸株式会社,4100001007245,ビジネス > 運送・貨物・倉庫,〒389-0206長野県北佐久郡御代田町御代田殿畑979-4,0267322562（0267-32-2562）,"",""
千曲運輸株式会社,4100001008581,ビジネス > 運送・貨物・倉庫,〒384-0061長野県小諸市加増578,0267234571（0267-23-4571）,"",""
株式会社民間救急,4100001010091,ビジネス > 運送・貨物・倉庫,〒389-0517長野県東御市県291-2,0268644199（0268-64-4199）,"",""
株式会社中央高速運輸,4100001020792,ビジネス > 運送・貨物・倉庫,〒399-4431長野県伊那市西春近5848-2,0265738320（0265-73-8320）,"",""
有限会社一城海運,4100002008110,ビジネス > 運送・貨物・倉庫,〒381-0004長野県長野市大町737-18,0262956789（026-295-6789）,9990（千円）,小林　義達（コバヤシ ヨシタツ）
有限会社八洲ロジテック,4100002025403,ビジネス > 運送・貨物・倉庫,〒399-0701長野県塩尻市広丘吉田1078-1,0263575224（0263-57-5224）,"",""
長電バス株式会社,5100001002583,ビジネス > 運送・貨物・倉庫,〒381-0011長野県長野市村山471-1,0262958008（026-295-8008）,100000（千円）,代表取締役社長／湯本　卓邦（ユモト タカクニ）
株式会社白田組,5100001002815,ビジネス > 運送・貨物・倉庫,〒380-0941長野県長野市安茂里1114-1,0262267112（026-226-7112）,"",""
セル・トランス株式会社,5100001021542,ビジネス > 運送・貨物・倉庫,〒399-4601長野県上伊那郡箕輪町中箕輪13797-1,0265713377（0265-71-3377）,"",""
有限会社ワーク,5100002022481,ビジネス > 運送・貨物・倉庫,〒390-0847長野県松本市笹部2-11-5,0263240002（0263-24-0002）,3000（千円）,遠田　毅（エンダ タケシ）
有限会社ワーク・イノベーション,5100002022580,ビジネス > 運送・貨物・倉庫,〒390-0847長野県松本市笹部2-11-5,0263240002（0263-24-0002）,3000（千円）,遠田　毅（エンダ タケシ）
信幸商事株式会社,6100001001361,ビジネス > 運送・貨物・倉庫,〒381-2215長野県長野市稲里町中氷鉋九反1,0262843173（026-284-3173）,"",""
中央運輸株式会社,6100001001956,ビジネス > 運送・貨物・倉庫,〒380-0913長野県長野市川合新田3487,0262212222（026-221-2222）,"",""
有限会社エスライン,6100002007762,ビジネス > 運送・貨物・倉庫,〒381-1223長野県長野市皆神台159,0262157088（026-215-7088）,6000（千円）,菅沼　郁男（スガヌマ イクオ）
有限会社六川興業,6100002011285,ビジネス > 運送・貨物・倉庫,〒384-2303長野県北佐久郡立科町塩沢1717-3,0268562503（0268-56-2503）,"",""
木下運輸有限会社,6100002019741,ビジネス > 運送・貨物・倉庫,〒399-0033長野県松本市笹賀3433-1,0263862797（0263-86-2797）,"",""
横山運送有限会社,6100002025418,ビジネス > 運送・貨物・倉庫,〒399-0702長野県塩尻市広丘野村1611-1,0263527611（0263-52-7611）,"",""
有限会社平沢運輸,6100002034377,ビジネス > 運送・貨物・倉庫,〒399-4301長野県上伊那郡宮田村2697-6,0265853770（0265-85-3770）,"",""
株式会社大一物流,7100001001749,ビジネス > 運送・貨物・倉庫,〒381-2234長野県長野市川中島町今里1588,0262833455（026-283-3455）,16000（千円）,小山　忠房（コヤマ タダフサ）
フーズネットながの株式会社,7100001003010,ビジネス > 運送・貨物・倉庫,〒381-2234長野県長野市川中島町今里1560-2,"",16500（千円）,小山　佳代（コヤマ カヨ）
株式会社トラックス,7100001008240,ビジネス > 運送・貨物・倉庫,〒385-0051長野県佐久市中込732-3,0267641093（0267-64-1093）,12000（千円）,早川　多津男（ハヤカワ タツオ）
松本運送株式会社,7100001014040,ビジネス > 運送・貨物・倉庫,〒399-0701長野県塩尻市広丘吉田573-1,0263580122（0263-58-0122）,"",""
有限会社永商,7100002013743,ビジネス > 運送・貨物・倉庫,〒386-2201長野県上田市真田町長6246-1,0268729111（0268-72-9111）,"",""
おんたけタクシー株式会社,8100001017752,ビジネス > 運送・貨物・倉庫,〒397-0001長野県木曽郡木曽町福島6168-7,0264222525（0264-22-2525）,"",""
有限会社樋口商事,8100002004205,ビジネス > 運送・貨物・倉庫,〒381-0008長野県長野市下駒沢240-4,0262368528（026-236-8528）,"",""
長野中央バス有限会社,8100002006457,ビジネス > 運送・貨物・倉庫,〒381-0012長野県長野市柳原東1丁田2314-3,0262557050（026-255-7050）,14000（千円）,北原　繁明（キタハラ シゲアキ）
有限会社村松商事,8100002009154,ビジネス > 運送・貨物・倉庫,〒381-0201長野県上高井郡小布施町小布施1490-1,0262474257（026-247-4257）,"",""
有限会社三協,8100002024871,ビジネス > 運送・貨物・倉庫,〒399-0703長野県塩尻市広丘高出1943-5,0263528366（0263-52-8366）,"",""
有限会社クローバー,8100002038789,ビジネス > 運送・貨物・倉庫,〒399-3301長野県下伊那郡松川町上片桐1586-3,0265372058（0265-37-2058）,"",""
トランスポート南信州有限会社,8100002038797,ビジネス > 運送・貨物・倉庫,〒395-0807長野県飯田市鼎切石5005-3,0265496565（0265-49-6565）,30000（千円）,三石　邦英（ミツイシ クニヒデ）
株式会社野辺山産業,9100001008255,ビジネス > 運送・貨物・倉庫,〒384-1305長野県南佐久郡南牧村野辺山312,0267983121（0267-98-3121）,12500（千円）,大工原　孝道（ダイクハラ タカミチ）
省和タクシー株式会社,9100001009880,ビジネス > 運送・貨物・倉庫,〒386-0018長野県上田市常田2-3-4,0268220400（0268-22-0400）,"",""
協同サービス株式会社,9100001010970,ビジネス > 運送・貨物・倉庫,〒386-0401長野県上田市塩川3122-2,0268362327（0268-36-2327）,"",""
アルプス運輸建設株式会社,9100001012703,ビジネス > 運送・貨物・倉庫,長野県松本市大字神林3864-7,0263263771（0263-26-3771）,19500（千円）,代表取締役社長／上嶋　金司（カミシマ キンジ）
有限会社ケイ,9100002001531,ビジネス > 運送・貨物・倉庫,〒380-0961長野県長野市安茂里小市1-31-1,0262916525（026-291-6525）,"",""
有限会社丸山技研,9100002004641,ビジネス > 運送・貨物・倉庫,〒381-0043長野県長野市吉田5-19-14,0262590678（026-259-0678）,9000（千円）,丸山　敏行（マルヤマ トシユキ）
モリヤマ梱包運輸有限会社,9100002021918,ビジネス > 運送・貨物・倉庫,〒390-0851長野県松本市島内6175,0263471746（0263-47-1746）,3000（千円）,森山　兼三（モリヤマ ケンゾウ）
