会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社佐々木運送,1420001000971,ビジネス > 運送・貨物・倉庫,〒038-0003青森県青森市石江三好167-2,0177814661（017-781-4661）,4500（千円）,佐々木　梅之助（ササキ ウメノスケ）
有限会社ロジ・サポート青森,1420002000021,ビジネス > 運送・貨物・倉庫,〒030-0944青森県青森市筒井八ツ橋1203-5,0177444566（017-744-4566）,3000（千円）,白取　広徳（シラトリ ヒロノリ）
有限会社佐藤重機運輸,1420002006084,ビジネス > 運送・貨物・倉庫,〒39-1207青森県三戸郡階上町金山沢字長久保33-1,0178883025（0178-88-3025）,15000（千円）,佐藤　久男（サトウ ヒサオ）
有限会社旭興産,1420002014789,ビジネス > 運送・貨物・倉庫,〒036-8071青森県弘前市大久保若松327-10,0172360842（0172-36-0842）,100000（千円）,代表取締役社長／深町　光宏（フカマチ ミツヒロ）
丸憲運輸有限会社,1420002018947,ビジネス > 運送・貨物・倉庫,〒039-2666青森県上北郡東北町乙供山21,0175633554（0175-63-3554）,9700（千円）,代表取締役社長／原田　憲一（ハラダ ケンイチ）
青森港運株式会社,2420001004815,ビジネス > 運送・貨物・倉庫,〒030-0142青森県青森市野木野尻37-659,0177738128（017-773-8128）,5000（千円）,代表取締役社長／石田　一彦（イシダ カズヒコ）
北部運送株式会社,2420001006555,ビジネス > 運送・貨物・倉庫,〒031-0814青森県八戸市妙字西ノ平7-1,0178255511（0178-25-5511）,20000（千円）,廣田　衛二（ヒロタ エイジ）
株式会社青部急行,2420001009161,ビジネス > 運送・貨物・倉庫,〒36-8385青森県弘前市中別所電42-1,0172972216（0172-97-2216）,13750（千円）,福澤　省和（フクザワ ヨシカズ）
菊池トラック株式会社,2420001012355,ビジネス > 運送・貨物・倉庫,〒035-0033青森県むつ市横迎町2-12-3,0175221671（0175-22-1671）,"",""
有限会社佐々木運送,2420002007073,ビジネス > 運送・貨物・倉庫,〒031-0804青森県八戸市青葉2-14-8,0178454659（0178-45-4659）,"",""
有限会社日東商会,2420002008146,ビジネス > 運送・貨物・倉庫,〒031-0801青森県八戸市江陽5-8-7,0178223757（0178-22-3757）,"",""
有限会社フクヰタクシー,2420002014136,ビジネス > 運送・貨物・倉庫,〒36-8021青森県弘前市和徳町165,0172324144（0172-32-4144）,"",""
中川運輸有限会社,2420002016058,ビジネス > 運送・貨物・倉庫,〒038-1214青森県南津軽郡藤崎町常盤二西田72,0172653956（0172-65-3956）,9000（千円）,中川　絹枝（ナカガワ キヌエ）
有限会社大一建材,2420002017758,ビジネス > 運送・貨物・倉庫,〒033-0111青森県三沢市六川目6-34-57,0176593511（0176-59-3511）,27000（千円）,附田　久志（ツクダ ヒサシ）
新生運輸株式会社,3420001001019,ビジネス > 運送・貨物・倉庫,〒030-0112青森県青森市八ツ役上林5-1,0177387458（017-738-7458）,"",""
中水商事株式会社,3420001001373,ビジネス > 運送・貨物・倉庫,〒30-135青森県青森市新町野幾田22-1,0177384625（017-738-4625）,50000（千円）,代表取締役社長／石川　栄一（イシカワ エイイチ）
ハロックス株式会社,3420001006348,ビジネス > 運送・貨物・倉庫,〒039-1103青森県八戸市長苗代1-1-1,0178288340（0178-28-8340）,22000（千円）,小野寺　良男（オノデラ ヨシオ）
八戸タクシー株式会社,3420001006439,ビジネス > 運送・貨物・倉庫,〒031-0084青森県八戸市十八日町3,0178221184（0178-22-1184）,10000（千円）,代表取締役社長／三浦　浩（ミウラ ヒロシ）
株式会社外崎運輸,3420001008559,ビジネス > 運送・貨物・倉庫,〒037-0015青森県五所川原市姥萢桜木296-2,0173381222（0173-38-1222）,"",""
大鰐交通株式会社,3420001009854,ビジネス > 運送・貨物・倉庫,〒038-0211青森県南津軽郡大鰐町大鰐前田68-15,0172482626（0172-48-2626）,10000（千円）,船越　規孝（フナコシ ノリタカ）
株式会社新山運送,3420001011174,ビジネス > 運送・貨物・倉庫,〒034-0102青森県十和田市大沢田字池ノ平23,0176273201（0176-27-3201）,14000（千円）,代表取締役社長／新山　忠男（ニイヤマ タダオ）
株式会社白石建設,3420001011678,ビジネス > 運送・貨物・倉庫,〒039-3131青森県上北郡野辺地町野辺地182-1,0175642965（0175-64-2965）,"",""
上北観光バス株式会社,3420001011835,ビジネス > 運送・貨物・倉庫,〒039-2402青森県上北郡東北町大浦境ノ沢6-6,0176565595（0176-56-5595）,"",""
株式会社富岡タクシー,3420001012420,ビジネス > 運送・貨物・倉庫,〒035-0084青森県むつ市大湊新町3-4,0175243344（0175-24-3344）,"",""
有限会社共栄農産,3420002005844,ビジネス > 運送・貨物・倉庫,〒30-137青森県青森市卸町1-1,0177381203（017-738-1203）,3000（千円）,代表取締役社長／北山　敏光（キタヤマ トシミツ）
大協運送有限会社,3420002007543,ビジネス > 運送・貨物・倉庫,〒031-0822青森県八戸市白銀町字佐部長根24-315,0178337862（0178-33-7862）,10000（千円）,代表取締役社長／櫛桁　富雄（クシゲタ トミオ）
丸富運輸有限会社,3420002009853,ビジネス > 運送・貨物・倉庫,〒039-0122青森県三戸郡三戸町斗内字上川原43-3,0179252406（0179-25-2406）,"",""
有限会社水尻運送,3420002017071,ビジネス > 運送・貨物・倉庫,〒034-0041青森県十和田市相坂高清水1255-1,0176223665（0176-22-3665）,5000（千円）,水尻　愛子（ミズシリ アイコ）
有限会社伊藤建材,3420002019951,ビジネス > 運送・貨物・倉庫,〒039-4601青森県下北郡大間町大間上野40-7,0175373126（0175-37-3126）,"",""
有限会社共栄,4420002006684,ビジネス > 運送・貨物・倉庫,〒039-1161青森県八戸市河原木海岸36-9,"",3000（千円）,舘　實夫（タテ ミツオ）
夏坂貨物運送有限会社,4420002008086,ビジネス > 運送・貨物・倉庫,〒039-1161青森県八戸市河原木蓮沼1-1,0178202466（0178-20-2466）,"",""
有限会社日興,4420002008152,ビジネス > 運送・貨物・倉庫,〒031-0833青森県八戸市大久保字下長根17-28,0178311400（0178-31-1400）,5000（千円）,武子　克見（タケシ カツミ）
有限会社仁美運輸,4420002011544,ビジネス > 運送・貨物・倉庫,〒38-3641青森県北津軽郡板柳町深味西西田60-2,0172721256（0172-72-1256）,10500（千円）,佐々木　彰仁（ササキ アキヒト）
有限会社弘前総合物流,4420002014068,ビジネス > 運送・貨物・倉庫,〒036-0331青森県黒石市八甲79,0172539300（0172-53-9300）,3000（千円）,葛西　先男（カサイ サキオ）
青森ロイヤル運輸有限会社,4420002014638,ビジネス > 運送・貨物・倉庫,〒038-3802青森県南津軽郡藤崎町藤崎村井45-1,0172756564（0172-75-6564）,5000（千円）,加川　秀仁（カガワ ヒデヒト）
有限会社山運総業,4420002018250,ビジネス > 運送・貨物・倉庫,〒039-2173青森県上北郡おいらせ町瓢19-1,0178563426（0178-56-3426）,"",""
有限会社青和,4420002018507,ビジネス > 運送・貨物・倉庫,〒039-2751青森県上北郡七戸町貝塚家ノ前11-4,"",3000（千円）,長久保　勲（ナガクボ イサオ）
大進運輸株式会社,5420001001280,ビジネス > 運送・貨物・倉庫,〒038-0042青森県青森市新城山田677-24,0177873355（017-787-3355）,"",""
株式会社大栄物流,5420001005315,ビジネス > 運送・貨物・倉庫,〒030-0137青森県青森市卸町3-3,"",3000（千円）,大森　昭人（オオモリ アキヒト）
株式会社斉藤運輸,5420001008020,ビジネス > 運送・貨物・倉庫,〒037-0093青森県五所川原市一野坪字馬繋場218-2,0173352710（0173-35-2710）,"",""
株式会社永澤運送,5420001008177,ビジネス > 運送・貨物・倉庫,〒038-3642青森県北津軽郡板柳町太田西上林31,0172721111（0172-72-1111）,"",""
南貨物自動車株式会社,5420001010018,ビジネス > 運送・貨物・倉庫,〒36-517青森県黒石市松原142,0172522361（0172-52-2361）,10000（千円）,代表取締役社長／横山　博文（ヨコヤマ ヒロフミ）
平賀運送株式会社,5420001010075,ビジネス > 運送・貨物・倉庫,〒036-0114青森県平川市町居字稲元3-1,0172442133（0172-44-2133）,"",""
平和運送株式会社,5420001011271,ビジネス > 運送・貨物・倉庫,〒039-2371青森県上北郡六戸町犬落瀬字前谷地70-1,0176553145（0176-55-3145）,"",""
有限会社今井貨物,5420002011469,ビジネス > 運送・貨物・倉庫,〒038-3662青森県北津軽郡板柳町板柳字岡本3-9,0172733020（0172-73-3020）,8500（千円）,今井　昇（イマイ ノボル）
有限会社竹内産業,5420002011691,ビジネス > 運送・貨物・倉庫,〒037-0102青森県つがる市稲垣町繁田袋井111-6,0173572283（0173-57-2283）,"",""
武田運輸有限会社,5420002011849,ビジネス > 運送・貨物・倉庫,〒037-0316青森県北津軽郡中泊町芦野字堤の袖148-20,0173572639（0173-57-2639）,"",""
有限会社明正運輸,5420002012368,ビジネス > 運送・貨物・倉庫,〒038-2815青森県つがる市森田町山田字渕浪83,0173264339（0173-26-4339）,"",""
有限会社大昇運輸,5420002016781,ビジネス > 運送・貨物・倉庫,〒034-0105青森県十和田市八斗沢八斗沢191,0176273055（0176-27-3055）,"",""
有限会社風三重機運輸,5420002018134,ビジネス > 運送・貨物・倉庫,〒039-2151青森県上北郡おいらせ町向山3041-74,0178564454（0178-56-4454）,"",""
株式会社市川石油輸送,6420001000488,ビジネス > 運送・貨物・倉庫,〒038-0004青森県青森市富田3-15-12,0177816002（017-781-6002）,52500（千円）,代表取締役社長／市川　孝（イチカワ タカシ）
株式会社東栄,6420001006221,ビジネス > 運送・貨物・倉庫,〒039-1161青森県八戸市河原木小田上4-8,0178288501（0178-28-8501）,"",""
株式会社北栄運輸,6420001008291,ビジネス > 運送・貨物・倉庫,〒37-309青森県北津軽郡中泊町八幡盛山358-3,0173572379（0173-57-2379）,"",""
八甲サービス有限会社,6420002002293,ビジネス > 運送・貨物・倉庫,〒030-0142青森県青森市野木野尻44-1,0177624030（017-762-4030）,"",""
有限会社丸秀運送,6420002015733,ビジネス > 運送・貨物・倉庫,〒036-0344青森県黒石市高賀野字高田110-1,0172528880（0172-52-8880）,"",""
有限会社小野商事運輸,6420002015980,ビジネス > 運送・貨物・倉庫,〒038-1112青森県南津軽郡田舎館村垂柳石森29-3,0172582054（0172-58-2054）,12700（千円）,小野　智史（オノ トモフミ）
有限会社甲地運送,6420002018884,ビジネス > 運送・貨物・倉庫,〒039-2635青森県上北郡東北町乙越116-3,0175622124（0175-62-2124）,6000（千円）,甲地　義昭（カツチ ヨシアキ）
有限会社太田建材,6420002019536,ビジネス > 運送・貨物・倉庫,〒035-0021青森県むつ市田名部字斗南岡29-178,0175220170（0175-22-0170）,"",""
大日運送株式会社,7420001001262,ビジネス > 運送・貨物・倉庫,〒039-3503青森県青森市野内菊川6-6,0177263166（017-726-3166）,"",""
株式会社安部商事,7420001005528,ビジネス > 運送・貨物・倉庫,〒031-0814青森県八戸市妙大開83-17,0178257188（0178-25-7188）,10000（千円）,安部　禎二（アベ テイジ）
株式会社市川産業,7420001007557,ビジネス > 運送・貨物・倉庫,〒031-0833青森県八戸市大久保字町道19-5,0178342080（0178-34-2080）,"",""
株式会社釜淵商事,7420001007739,ビジネス > 運送・貨物・倉庫,〒039-0201青森県三戸郡田子町田子下田子下モ平33-1,0179322732（0179-32-2732）,30000（千円）,釜渕　清嗣（カマブチ キヨツグ）
株式会社丸清起業,7420001008126,ビジネス > 運送・貨物・倉庫,〒037-0621青森県五所川原市豊成字田子ノ浦64-7,0173293777（0173-29-3777）,18000（千円）,増田　隆則（マスタ タカノリ）
株式会社鈴木運輸,7420001008167,ビジネス > 運送・貨物・倉庫,〒038-3684青森県北津軽郡板柳町三千石木賊144-1,0172732676（0172-73-2676）,"",""
日興運輸株式会社,7420001009322,ビジネス > 運送・貨物・倉庫,青森県弘前市石川字泉田31-1,0172922211（0172-92-2211）,"",""
株式会社和光,7420001010107,ビジネス > 運送・貨物・倉庫,〒036-0231青森県平川市新山字早稲田115-1,0172574605（0172-57-4605）,"",""
株式会社スマイル,7420001010511,ビジネス > 運送・貨物・倉庫,〒036-0121青森県平川市新屋平野99-1,0172449919（0172-44-9919）,"",""
新成運輸株式会社,7420001010932,ビジネス > 運送・貨物・倉庫,〒034-0052青森県十和田市藤島上野月6-1,0176283210（0176-28-3210）,"",""
株式会社宮本建材,7420001011229,ビジネス > 運送・貨物・倉庫,〒034-0106青森県十和田市深持佐々木平163-1,0176230491（0176-23-0491）,"",""
山大運輸株式会社,7420001011518,ビジネス > 運送・貨物・倉庫,〒033-0111青森県三沢市六川目2-101-729,0176592181（0176-59-2181）,"",""
株式会社義寅萬運輸,7420001011699,ビジネス > 運送・貨物・倉庫,〒039-3171青森県上北郡野辺地町二本木20-1,0175643378（0175-64-3378）,10000（千円）,熊谷　義晴（クマガイ ヨシハル）
