会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
中村自動車工業株式会社,1080001003893,ビジネス > 運送・貨物・倉庫,〒421-0106静岡県静岡市駿河区北丸子2-1-5,0542591151（054-259-1151）,"",""
株式会社丸勇,1080001009148,ビジネス > 運送・貨物・倉庫,〒424-0041静岡県静岡市清水区高橋5-11-40,0543642001（054-364-2001）,"",""
東海ロジテク株式会社,1080001013430,ビジネス > 運送・貨物・倉庫,〒428-0006静岡県島田市牛尾970-30,0547452098（0547-45-2098）,20000（千円）,酒井　通雄（サカイ ミチオ）
協立運送株式会社,1080001016383,ビジネス > 運送・貨物・倉庫,〒426-0055静岡県藤枝市大西町3-23-9,0546352543（054-635-2543）,10000（千円）,吉田　洋明（ヨシダ ヒロアキ）
株式会社ロジネットサポート,1080001017142,ビジネス > 運送・貨物・倉庫,〒426-0202静岡県藤枝市上藪田113-24,"",2000（千円）,大石　八治（オオイシ ハチジ）
有限会社シバタ建商,1080002010121,ビジネス > 運送・貨物・倉庫,〒424-0024静岡県静岡市清水区八坂東2-11-24,0543650402（054-365-0402）,"",""
有限会社山中運送,1080002016424,ビジネス > 運送・貨物・倉庫,〒425-0035静岡県焼津市東小川5-7-21,0546272415（054-627-2415）,"",""
三光運輸株式会社,1080101000634,ビジネス > 運送・貨物・倉庫,〒410-0305静岡県沼津市鳥谷92-2,0559671610（055-967-1610）,"",""
沼津埠頭株式会社,1080101001509,ビジネス > 運送・貨物・倉庫,〒410-0867静岡県沼津市本千本1905-34,0559515411（055-951-5411）,50000（千円）,長島　郁夫（ナガシマ イクオ）
株式会社タムラ商事,1080101003430,ビジネス > 運送・貨物・倉庫,〒410-0007静岡県沼津市西沢田586-1,"",1000（千円）,田村　典久（タムラ ノリヒサ）
株式会社和泉運送,1080101008116,ビジネス > 運送・貨物・倉庫,〒417-0002静岡県富士市依田橋85-2,0545533177（0545-53-3177）,"",""
東和通商株式会社,1080101009163,ビジネス > 運送・貨物・倉庫,〒417-0034静岡県富士市津田192-11,0545533137（0545-53-3137）,"",""
野坂運輸有限会社,1080102014666,ビジネス > 運送・貨物・倉庫,〒417-0001静岡県富士市今泉字三条355-5,0545520890（0545-52-0890）,"",""
松井運輸有限会社,1080102015045,ビジネス > 運送・貨物・倉庫,〒417-0002静岡県富士市依田橋137-1,0545535856（0545-53-5856）,"",""
エテルナ運送株式会社,1080401000846,ビジネス > 運送・貨物・倉庫,〒435-0016静岡県浜松市東区和田町226-4,0534631367（053-463-1367）,10000（千円）,四ツ谷　剛（ヨツヤ タケシ）
株式会社サンコーファースト,1080401001885,ビジネス > 運送・貨物・倉庫,〒431-1103静岡県浜松市西区湖東町5850,0534862121（053-486-2121）,48750（千円）,代表取締役社長／加藤　弘（カトウ ヒロシ）
株式会社コトー,1080401006505,ビジネス > 運送・貨物・倉庫,〒431-1103静岡県浜松市西区湖東町3506-1,0534860888（053-486-0888）,10000（千円）,山口　徹（ヤマグチ トオル）
株式会社清音,1080401009846,ビジネス > 運送・貨物・倉庫,〒431-1209静岡県浜松市西区舘山寺町2738-2,0534872892（053-487-2892）,"",""
東海ケミカル輸送株式会社,1080401014672,ビジネス > 運送・貨物・倉庫,〒437-1423静岡県掛川市浜川新田1326-1,0537725511（0537-72-5511）,10000（千円）,木村　琢（キムラ タク）
遠州運輸株式会社,1080401014870,ビジネス > 運送・貨物・倉庫,〒439-0036静岡県菊川市中内田996-3,0537361811（0537-36-1811）,10000（千円）,鈴木　満壽美（スズキ マスミ）
山庄運輸株式会社,1080401016223,ビジネス > 運送・貨物・倉庫,〒438-0816静岡県磐田市宮之一色475-1,0538358665（0538-35-8665）,"",""
株式会社リンクス,1080401016818,ビジネス > 運送・貨物・倉庫,〒438-0077静岡県磐田市国府台36-20,0538391970（0538-39-1970）,"",""
遠江運輸有限会社,1080402017542,ビジネス > 運送・貨物・倉庫,〒436-0043静岡県掛川市大池2798-10,0537233322（0537-23-3322）,"",""
有限会社揚商,1080402018945,ビジネス > 運送・貨物・倉庫,〒437-1612静岡県御前崎市池新田7556-1,0537853358（0537-85-3358）,7000（千円）,揚張　雅樹（アゲハリ マサキ）
安倍運輸株式会社,2080001000246,ビジネス > 運送・貨物・倉庫,〒421-0103静岡県静岡市駿河区丸子1-10-19,0542598266（054-259-8266）,20000（千円）,白鳥　正人（シラトリ マサト）
仲央運送株式会社,2080001003364,ビジネス > 運送・貨物・倉庫,〒420-0911静岡県静岡市葵区瀬名1-27-8,0542613922（054-261-3922）,10000（千円）,山田　幸年（ヤマダ ユキトシ）
株式会社合同物流,2080001007984,ビジネス > 運送・貨物・倉庫,〒424-0008静岡県静岡市清水区押切786-1,0543462345（054-346-2345）,"",""
セイアン産業株式会社,2080001008512,ビジネス > 運送・貨物・倉庫,〒424-0901静岡県静岡市清水区三保387-1,0543353535（054-335-3535）,30000（千円）,伊藤　隆昭（イトウ タカアキ）
富士企業株式会社,2080001008999,ビジネス > 運送・貨物・倉庫,〒424-0911静岡県静岡市清水区宮加三642,0543356620（054-335-6620）,"",""
株式会社山西水産,2080001009337,ビジネス > 運送・貨物・倉庫,〒424-0035静岡県静岡市清水区横砂南町12-26,0543657251（054-365-7251）,41000（千円）,山西　秀幸（ヤマニシ ヒデユキ）
鈴與株式会社,2080001009460,ビジネス > 運送・貨物・倉庫,〒424-0942静岡県静岡市清水区入船町11-1,0543543040（054-354-3040）,"",""
株式会社マルエス物流,2080001015244,ビジネス > 運送・貨物・倉庫,〒425-0012静岡県焼津市浜当目674-2,0546273238（054-627-3238）,12000（千円）,井上　正博（イノウエ マサヒロ）
大井川埠頭株式会社,2080001015467,ビジネス > 運送・貨物・倉庫,〒421-0213静岡県焼津市飯淵字港区2142,0546220671（054-622-0671）,73000（千円）,代表取締役社長／岡村　元紀（オカムラ ゲンキ）
アイ・エス・アイ株式会社,2080001017224,ビジネス > 運送・貨物・倉庫,〒421-1121静岡県藤枝市岡部町岡部1591,"","",""
有限会社吉田建材,2080002006250,ビジネス > 運送・貨物・倉庫,〒422-8037静岡県静岡市駿河区下島615-266,0542370753（054-237-0753）,"",""
米山運送有限会社,2080002006275,ビジネス > 運送・貨物・倉庫,〒420-0873静岡県静岡市葵区籠上13-71,0542723376（054-272-3376）,"",""
静愛物流有限会社,2080002007471,ビジネス > 運送・貨物・倉庫,〒421-1221静岡県静岡市葵区牧ヶ谷2334,0542762266（054-276-2266）,"",""
有限会社青木産業,2080002009047,ビジネス > 運送・貨物・倉庫,〒424-0067静岡県静岡市清水区鳥坂字丸田45-1,0543461468（054-346-1468）,"",""
有限会社イムラ運送,2080002009253,ビジネス > 運送・貨物・倉庫,〒424-0031静岡県静岡市清水区横砂1437-1,0543650608（054-365-0608）,7000（千円）,井邑　博明（イムラ ヒロアキ）
有限会社オカムラ運輸,2080002009567,ビジネス > 運送・貨物・倉庫,〒424-0855静岡県静岡市清水区庄福町11-9,0543356238（054-335-6238）,5000（千円）,岡村　肇之（オカムラ タダユキ）
有限会社山田建材,2080002011498,ビジネス > 運送・貨物・倉庫,〒424-0301静岡県静岡市清水区宍原1169-1,0543940400（054-394-0400）,"",""
有限会社ハッスイトランスポート,2080002016134,ビジネス > 運送・貨物・倉庫,〒421-0212静岡県焼津市利右衛門1088-1,0546641300（054-664-1300）,8000（千円）,佐伯　靖則（サエキ ヤスノリ）
株式会社ヤマソー,2080101001945,ビジネス > 運送・貨物・倉庫,〒410-0001静岡県沼津市足高字尾上384-60,0559231964（055-923-1964）,"",""
金刺運送株式会社,2080101008362,ビジネス > 運送・貨物・倉庫,〒417-0801静岡県富士市大淵2290-1,0545362150（0545-36-2150）,20000（千円）,代表取締役社長／金刺　千尋（カネザシ チヒロ）
富久興運輸株式会社,2080101009575,ビジネス > 運送・貨物・倉庫,〒417-0001静岡県富士市今泉459-1,0545521764（0545-52-1764）,"",""
渡辺運送株式会社,2080101009971,ビジネス > 運送・貨物・倉庫,〒419-0201静岡県富士市厚原83-1,0545713347（0545-71-3347）,"",""
中村運送株式会社,2080101011639,ビジネス > 運送・貨物・倉庫,〒418-0001静岡県富士宮市万野原新田4065-2,0544581455（0544-58-1455）,"",""
有限会社モチヅキ,2080102017610,ビジネス > 運送・貨物・倉庫,〒418-0112静岡県富士宮市北山3885-1,0544584139（0544-58-4139）,"",""
マルハチ運送株式会社,2080401010448,ビジネス > 運送・貨物・倉庫,〒434-0012静岡県浜松市浜北区中瀬2696-17,0535887511（053-588-7511）,10000（千円）,代表取締役社長／志津　兼吉（シヅ カネヨシ）
株式会社サンワネッツ,2080401017187,ビジネス > 運送・貨物・倉庫,〒437-0065静岡県袋井市堀越350-1,0538433050（0538-43-3050）,"",""
有限会社平松商工,2080402006809,ビジネス > 運送・貨物・倉庫,〒432-8064静岡県浜松市南区倉松町615-3,0534407272（053-440-7272）,"",""
持山配送株式会社,3080001005285,ビジネス > 運送・貨物・倉庫,〒421-1212静岡県静岡市葵区千代1-8-10,0542780731（054-278-0731）,14000（千円）,持山　宗太郎（モチヤマ ソウタロウ）
竜爪運輸株式会社,3080001005707,ビジネス > 運送・貨物・倉庫,〒420-0810静岡県静岡市葵区上土2-19-19,0542620991（054-262-0991）,10000（千円）,細澤　幸央（ホソザワ ユキヒサ）
清水運送株式会社,3080001008123,ビジネス > 運送・貨物・倉庫,静岡県静岡市清水区袖師町1619,0543640933（054-364-0933）,"",""
株式会社鈴与カーゴネット静岡,3080001009476,ビジネス > 運送・貨物・倉庫,〒424-0924静岡県静岡市清水区清開3-117-7,0543352111（054-335-2111）,50000（千円）,代表取締役社長／栢森　宏尚（カヤモリ ヒロナオ）
株式会社スグル貨物運輸,3080001011969,ビジネス > 運送・貨物・倉庫,〒421-3101静岡県静岡市清水区由比入山276-1,0543760402（054-376-0402）,12000（千円）,望月　盛一（モチヅキ モリカズ）
敬和急行株式会社,3080101000533,ビジネス > 運送・貨物・倉庫,〒410-0022静岡県沼津市大岡1286-11,0559511215（055-951-1215）,10000（千円）,中山　敬（ナカヤマ ヒロシ）
