会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社山口運輸,1470001004118,ビジネス > 運送・貨物・倉庫,〒760-0036香川県高松市城東町2-16-17,0878215641（087-821-5641）,12000（千円）,山口　幸二（ヤマグチ コウジ）
富士運送株式会社,1470001005289,ビジネス > 運送・貨物・倉庫,〒769-0103香川県高松市国分寺町福家乙1-1,0878741321（087-874-1321）,"",""
株式会社四国トランスポート,1470001005363,ビジネス > 運送・貨物・倉庫,〒769-0103香川県高松市国分寺町福家甲1255-20,0878750010（087-875-0010）,11000（千円）,堀川　恭裕（ホリカワ ヤスヒロ）
株式会社篠原組,1470001007896,ビジネス > 運送・貨物・倉庫,〒764-0032香川県仲多度郡多度津町三井356-1,0877326741（0877-32-6741）,"",""
株式会社久松運輸,1470001008457,ビジネス > 運送・貨物・倉庫,〒769-0224香川県綾歌郡宇多津町平山2628-994,0877567700（0877-56-7700）,"",""
株式会社トランステック,1470001011634,ビジネス > 運送・貨物・倉庫,〒769-2521香川県東かがわ市大内200-21,0879261766（0879-26-1766）,10000（千円）,佐藤　利博（サトウ トシヒロ）
上翔運輸有限会社,1470002003647,ビジネス > 運送・貨物・倉庫,〒761-8046香川県高松市川部町929-19,0878856125（087-885-6125）,"",""
有限会社福広運輸,1470002005809,ビジネス > 運送・貨物・倉庫,〒761-0431香川県高松市小村町487-6,0878407055（087-840-7055）,3000（千円）,福井　高広（フクイ タカヒロ）
坂本運送有限会社,1470002014909,ビジネス > 運送・貨物・倉庫,〒762-0002香川県坂出市入船町1-2-22,0877463836（0877-46-3836）,"",""
株式会社クラヤマ産業,2470001000099,ビジネス > 運送・貨物・倉庫,〒761-0121香川県高松市牟礼町牟礼1146-1,0878451166（087-845-1166）,14800（千円）,倉山　昌典（クラヤマ マサノリ）
朝日金網株式会社,2470001000363,ビジネス > 運送・貨物・倉庫,〒760-0072香川県高松市花園町1-2-29,0878335151（087-833-5151）,10000（千円）,代表取締役社長／中山　保博（ナカヤマ ヤスヒロ）
新橋運送株式会社,2470001002120,ビジネス > 運送・貨物・倉庫,〒760-0065香川県高松市朝日町5-4-33,0878513753（087-851-3753）,10000（千円）,村川　慎治（ムラカワ シンジ）
株式会社トラストロジテック,2470001004876,ビジネス > 運送・貨物・倉庫,〒760-0067香川県高松市松福町2-3-21,"",10000（千円）,谷　敏和（タニ トシカズ）
高松エクスプレス株式会社,2470001005354,ビジネス > 運送・貨物・倉庫,〒769-0104香川県高松市国分寺町新名50-2,0878747111（087-874-7111）,96000（千円）,松本　五郎（マツモト ゴロウ）
株式会社サークルライナーズ,2470001006856,ビジネス > 運送・貨物・倉庫,〒761-2308香川県綾歌郡綾川町羽床下2130,0878763876（087-876-3876）,"",""
中讃陸運株式会社,2470001009099,ビジネス > 運送・貨物・倉庫,〒762-0024香川県坂出市府中町5767-6,0877480771（0877-48-0771）,10000（千円）,十川　信行（ソガワ ノブユキ）
株式会社東西運輸,2470001010197,ビジネス > 運送・貨物・倉庫,〒769-1611香川県観音寺市大野原町大野原1861-2,0875542501（0875-54-2501）,"",""
明港汽船株式会社,2470001010726,ビジネス > 運送・貨物・倉庫,〒768-0040香川県観音寺市柞田町甲1253-3,0875242482（0875-24-2482）,"",""
信和運輸株式会社,2470001010841,ビジネス > 運送・貨物・倉庫,〒767-0001香川県三豊市高瀬町上高瀬1574-1,0875721062（0875-72-1062）,"",""
有限会社松原産業,2470002000420,ビジネス > 運送・貨物・倉庫,〒761-0121香川県高松市牟礼町牟礼3295-1,0878451743（087-845-1743）,"",""
国鵬汽船有限会社,2470002018917,ビジネス > 運送・貨物・倉庫,〒761-4146香川県小豆郡土庄町小部甲729,0879673378（0879-67-3378）,5000（千円）,竹下　雅博（タケシタ マサヒロ）
丸点通運株式会社,3470001003877,ビジネス > 運送・貨物・倉庫,〒760-0065香川県高松市朝日町5-15-1,0878215091（087-821-5091）,48000（千円）,代表取締役社長／塩田　嘉明（シオタ ヨシアキ）
栄光運輸株式会社,3470001006938,ビジネス > 運送・貨物・倉庫,〒761-2305香川県綾歌郡綾川町滝宮2623-19,0878763738（087-876-3738）,"",""
株式会社四国物流サービス,3470001008587,ビジネス > 運送・貨物・倉庫,〒761-2401香川県丸亀市綾歌町岡田上2811-1,0877863425（0877-86-3425）,95000（千円）,代表取締役社長／沼田　稔（ヌマタ ミノル）
山本運送株式会社,3470001010444,ビジネス > 運送・貨物・倉庫,〒768-0101香川県三豊市山本町辻649-1,0875632109（0875-63-2109）,"",""
株式会社多田物流,3470001010741,ビジネス > 運送・貨物・倉庫,〒769-1504香川県三豊市豊中町上高野341-3,0875639838（0875-63-9838）,20000（千円）,多田　淳一（タダ ジユンイチ）
株式会社川野回漕店,3470001012259,ビジネス > 運送・貨物・倉庫,〒761-4425香川県小豆郡小豆島町坂手甲1836-21,0879822221（0879-82-2221）,"",""
丸庄運送有限会社,3470002012258,ビジネス > 運送・貨物・倉庫,〒763-0033香川県丸亀市中府町2-2-11,0877224347（0877-22-4347）,"",""
有限会社武田,3470002017315,ビジネス > 運送・貨物・倉庫,〒769-1611香川県観音寺市大野原町大野原6647,0875543403（0875-54-3403）,"",""
有限会社須崎運輸,3470002018453,ビジネス > 運送・貨物・倉庫,〒769-2705香川県東かがわ市白鳥2827,0879250275（0879-25-0275）,3000（千円）,廣瀬　隆（ヒロセ タカシ）
ベルライン株式会社,4470001001013,ビジネス > 運送・貨物・倉庫,〒761-8058香川県高松市勅使町196-1,0878671315（087-867-1315）,10000（千円）,武智　康行（タケチ ヤスユキ）
アムス株式会社,4470001007002,ビジネス > 運送・貨物・倉庫,〒761-2103香川県綾歌郡綾川町陶1087-1,0878763200（087-876-3200）,8000（千円）,齊藤　明彦（サイトウ アキヒコ）
富士タクシー株式会社,4470001008099,ビジネス > 運送・貨物・倉庫,〒765-0003香川県善通寺市善通寺町4-7-28,0877622155（0877-62-2155）,"",""
石川運輸株式会社,4470001011152,ビジネス > 運送・貨物・倉庫,〒769-2401香川県さぬき市津田町津田909-5,0879422093（0879-42-2093）,"",""
四国高速バス株式会社,5470001001821,ビジネス > 運送・貨物・倉庫,〒761-8031香川県高松市郷東町176,0878818866（087-881-8866）,30000（千円）,白川　統人（シラカワ オサヒト）
マルサン運送株式会社,5470001007678,ビジネス > 運送・貨物・倉庫,〒763-0062香川県丸亀市蓬莱町32-5,0877243366（0877-24-3366）,45000（千円）,山田　絹江（ヤマダ キヌエ）
新菱海運株式会社,5470001009022,ビジネス > 運送・貨物・倉庫,〒762-0064香川県坂出市番の州町1,0877461058（0877-46-1058）,12500（千円）,西内　貫二（ニシウチ カンジ）
平和運輸株式会社,5470001009179,ビジネス > 運送・貨物・倉庫,〒762-0002香川県坂出市入船町1-3-16,0877465541（0877-46-5541）,"",""
有限会社北四国オフィスサービス,5470002002249,ビジネス > 運送・貨物・倉庫,〒760-0064香川県高松市朝日新町24-20,0878510703（087-851-0703）,5000（千円）,多田　昌弘（タダ マサヒロ）
有限会社三共青果,5470002010846,ビジネス > 運送・貨物・倉庫,〒761-2102香川県綾歌郡綾川町千疋12460,0878772231（087-877-2231）,10500（千円）,代表取締役社長／植田　達大（ウエタ タツヒロ）
有限会社熊谷運輸,5470002016348,ビジネス > 運送・貨物・倉庫,〒769-1611香川県観音寺市大野原町大野原5805-1,0875526045（0875-52-6045）,15000（千円）,熊谷　進（クマガイ ススム）
有限会社佐野運輸,5470002017643,ビジネス > 運送・貨物・倉庫,〒769-2304香川県さぬき市昭和3215-2,0879532123（0879-53-2123）,"",""
牟礼運送株式会社,6470001000153,ビジネス > 運送・貨物・倉庫,〒761-0121香川県高松市牟礼町牟礼2133-3,0878453351（087-845-3351）,12500（千円）,横関　房夫（ヨコゼキ フサオ）
下笠居運輸株式会社,6470001002125,ビジネス > 運送・貨物・倉庫,〒761-8004香川県高松市中山町786-1,0878822215（087-882-2215）,"",""
石油輸送株式会社,6470001002298,ビジネス > 運送・貨物・倉庫,〒760-0065香川県高松市朝日町3-6-10,0878518986（087-851-8986）,"",""
香川相互観光バス株式会社,6470001004732,ビジネス > 運送・貨物・倉庫,〒761-0122香川県高松市牟礼町大町1052-1,0878701955（087-870-1955）,"",""
株式会社ひまわり,6470001005400,ビジネス > 運送・貨物・倉庫,〒761-1701香川県高松市香川町大野997-3,0878858500（087-885-8500）,"",""
株式会社エフエーエス,6470001008221,ビジネス > 運送・貨物・倉庫,〒769-0312香川県仲多度郡まんのう町宮田724-32,0877753780（0877-75-3780）,"",""
株式会社坂出郵船組,6470001008964,ビジネス > 運送・貨物・倉庫,〒762-0002香川県坂出市入船町1-6-14,0877465581（0877-46-5581）,16000（千円）,代表取締役社長／綾　政彦（アヤ マサヒコ）
港運送株式会社,6470001009211,ビジネス > 運送・貨物・倉庫,〒762-0004香川県坂出市昭和町1-2-31,0877465138（0877-46-5138）,"",""
株式会社豊栄,6470001009491,ビジネス > 運送・貨物・倉庫,〒762-0012香川県坂出市林田町4285-184,0877573551（0877-57-3551）,"",""
四国倉庫株式会社,6470001010490,ビジネス > 運送・貨物・倉庫,〒769-1101香川県三豊市詫間町詫間6829-9,0875838650（0875-83-8650）,10000（千円）,武田　弘子（タケダ ヒロコ）
株式会社丸吉運輸,6470001010904,ビジネス > 運送・貨物・倉庫,〒769-1406香川県三豊市仁尾町仁尾辛40-2,0875824593（0875-82-4593）,"",""
有限会社カズ・エクスプレス,6470002009846,ビジネス > 運送・貨物・倉庫,〒761-1703香川県高松市香川町浅野17-4,0878897821（087-889-7821）,9000（千円）,佐藤　和也（サトウ カズヤ）
有限会社観音寺急配社,6470002015852,ビジネス > 運送・貨物・倉庫,〒768-0011香川県観音寺市出作町690,0875252486（0875-25-2486）,"",""
マテリアル・エコ・リサイクル株式会社,7470001000012,ビジネス > 運送・貨物・倉庫,〒761-3110香川県香川郡直島町4054,0878923146（087-892-3146）,30000（千円）,代表取締役社長／原田　武（ハラダ タケシ）
三共運輸株式会社,7470001001638,ビジネス > 運送・貨物・倉庫,〒760-0066香川県高松市福岡町3-32-25,0878514828（087-851-4828）,"",""
南海港運株式会社,7470001003048,ビジネス > 運送・貨物・倉庫,〒760-0067香川県高松市松福町1-15-10,0878253671（087-825-3671）,41000（千円）,代表取締役社長／渡邉　浩平（ワタナベ コウヘイ）
