会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
高知県第一運送株式会社,1490001000817,ビジネス > 運送・貨物・倉庫,〒781-0270高知県高知市長浜5033-21,0888420101（088-842-0101）,10000（千円）,代表取締役社長／岸　洋平（キシ ヨウヘイ）
ツバメ運送有限会社,1490002003414,ビジネス > 運送・貨物・倉庫,〒780-0812高知県高知市若松町12-7,0888841491（088-884-1491）,"",""
株式会社渡辺回漕店,2490001002309,ビジネス > 運送・貨物・倉庫,〒780-0812高知県高知市若松町9-28,0888832191（088-883-2191）,20000（千円）,渡辺　一生（ワタナベ カズオ）
日新運輸有限会社,2490002003999,ビジネス > 運送・貨物・倉庫,〒780-8010高知県高知市桟橋通5-3-8,0888315241（088-831-5241）,"",""
大洋運輸株式会社,3490001000889,ビジネス > 運送・貨物・倉庫,〒780-8021高知県高知市孕東町25番地,0888370111（088-837-0111）,"",""
株式会社マーク,3490001001169,ビジネス > 運送・貨物・倉庫,〒781-5103高知県高知市大津乙1020-1,0888667766（088-866-7766）,"",""
四建運輸商事株式会社,3490001001887,ビジネス > 運送・貨物・倉庫,〒781-5101高知県高知市布師田3936-1,0888462255（088-846-2255）,"",""
渡辺海運株式会社,3490001002308,ビジネス > 運送・貨物・倉庫,〒780-8010高知県高知市桟橋通5-1-8,0888326177（088-832-6177）,"",""
中央運送株式会社,3490001006226,ビジネス > 運送・貨物・倉庫,〒783-0055高知県南国市双葉台5-2,0888623333（088-862-3333）,13500（千円）,北岡　邦夫（キタオカ クニオ）
株式会社大丸運送,3490001006762,ビジネス > 運送・貨物・倉庫,〒781-6410高知県安芸郡田野町623,0887382211（0887-38-2211）,"",""
有限会社富士運送,3490002004476,ビジネス > 運送・貨物・倉庫,〒780-0026高知県高知市秦南町1-1-34,0888226363（088-822-6363）,"",""
株式会社立田回漕店,4490001005078,ビジネス > 運送・貨物・倉庫,〒788-0013高知県宿毛市片島14-31,0880658141（0880-65-8141）,12000（千円）,立田　雅弘（タテダ マサヒロ）
アイコーポレーション有限会社,4490002000053,ビジネス > 運送・貨物・倉庫,〒780-8027高知県高知市高見町382-1,0888345700（088-834-5700）,"",""
有限会社平和観光,4490002012296,ビジネス > 運送・貨物・倉庫,高知県香南市香我美町岸本279-3,0887542259（0887-54-2259）,"",""
高知県,5000020390003,ビジネス > 運送・貨物・倉庫,〒781-0270高知県高知市長浜5033-21,0888420101（088-842-0101）,10000（千円）,代表取締役社長／岸　洋平（キシ ヨウヘイ）
株式会社山中運送,5490001005424,ビジネス > 運送・貨物・倉庫,〒781-2120高知県吾川郡いの町枝川1328-5,0888931177（088-893-1177）,"",""
株式会社ダイキョウ,5490001005795,ビジネス > 運送・貨物・倉庫,〒785-0052高知県須崎市押岡123,0889426367（0889-42-6367）,"",""
株式会社高銀ビジネス,6490001000845,ビジネス > 運送・貨物・倉庫,〒780-0870高知県高知市本町3-3-4,0888230348（088-823-0348）,10000（千円）,代表取締役社長／中越　修（ナカゴシ オサム）
谷本物流株式会社,6490001001447,ビジネス > 運送・貨物・倉庫,〒780-0811高知県高知市弘化台10-1,0888834251（088-883-4251）,30000（千円）,野村　久雄（ノムラ ヒサオ）
高知市,7000020392014,ビジネス > 運送・貨物・倉庫,〒781-0112高知県高知市仁井田3636,0888844424（088-884-4424）,"",下元　俊彦（シモモト トシヒコ）
共栄運送株式会社,7490001000448,ビジネス > 運送・貨物・倉庫,〒781-0112高知県高知市仁井田4706-5,0888373807（088-837-3807）,"",""
高知県くみあい運輸株式会社,7490001000704,ビジネス > 運送・貨物・倉庫,〒781-8125高知県高知市五台山5015-1,0888848185（088-884-8185）,27000（千円）,代表取締役社長／濱田　利男（ハマダ トシオ）
ヤマサ物流株式会社,7490001002097,ビジネス > 運送・貨物・倉庫,〒781-8125高知県高知市五台山4994,0888837927（088-883-7927）,"",""
有限会社アール・ティ・エス,7490002001957,ビジネス > 運送・貨物・倉庫,〒780-0001高知県高知市久礼野227,0888202835（088-820-2835）,7000（千円）,西谷　康明（ニシタニ ヤスアキ）
有限会社相互タクシー,7490002002922,ビジネス > 運送・貨物・倉庫,〒781-5103高知県高知市大津乙1879-10,0888666123（088-866-6123）,"",""
有限会社葉山運送,7490002010594,ビジネス > 運送・貨物・倉庫,〒785-0036高知県須崎市緑町2-2,0889431122（0889-43-1122）,"",""
有限会社立川運送,7490002012418,ビジネス > 運送・貨物・倉庫,〒789-0427高知県長岡郡大豊町立川下名1522-1,0887720075（0887-72-0075）,"",""
協和運輸株式会社,8490001000471,ビジネス > 運送・貨物・倉庫,〒780-8010高知県高知市桟橋通5-3-8,0888327288（088-832-7288）,"",""
香長運送株式会社,9490001006154,ビジネス > 運送・貨物・倉庫,〒783-0084高知県南国市稲生760,0888650161（088-865-0161）,20000（千円）,田内　眞義（タノウチ マサヨシ）
有限会社アールエフ,9490002000346,ビジネス > 運送・貨物・倉庫,〒780-8051高知県高知市鴨部上町2-13,0888441411（088-844-1411）,"",""
有限会社追手交通,9490002000767,ビジネス > 運送・貨物・倉庫,〒780-8012高知県高知市天神町14-14,0888334142（088-833-4142）,"",""
有限会社樹,9490002005857,ビジネス > 運送・貨物・倉庫,〒781-8130高知県高知市一宮1467-2,0888452066（088-845-2066）,"",""
山本運輸有限会社,9490002008975,ビジネス > 運送・貨物・倉庫,〒788-0052高知県宿毛市和田201-4,0880634433（0880-63-4433）,"",""
