会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
つばめタクシー株式会社,1270001003404,ビジネス > 運送・貨物・倉庫,〒683-0805鳥取県米子市西福原5-8-12,0859229421（0859-22-9421）,"",""
マルコウ運輸株式会社,1270001004022,ビジネス > 運送・貨物・倉庫,鳥取県米子市高島266番地10,0859270025（0859-27-0025）,10000（千円）,椎名　恵（シイナ メグミ）
日南トマト加工株式会社,1270001004518,ビジネス > 運送・貨物・倉庫,〒689-5212鳥取県日野郡日南町霞740,0859820413（0859-82-0413）,8800（千円）,内田　章久（ウチダ アキヒサ）
流通株式会社,1270001005029,ビジネス > 運送・貨物・倉庫,〒682-0801鳥取県倉吉市巌城997-3,0858221211（0858-22-1211）,10000（千円）,代表取締役社長／江原　剛（エバラ タケシ）
有限会社山下運送,1270002001968,ビジネス > 運送・貨物・倉庫,〒680-1133鳥取県鳥取市源太99-1,0857534347（0857-53-4347）,"",""
国府運送有限会社,1270002002553,ビジネス > 運送・貨物・倉庫,〒680-0145鳥取県鳥取市国府町広西226-10,0857274159（0857-27-4159）,3000（千円）,中野　充容（ナカノ ミツヒロ）
有限会社遠藤通船,1270002007635,ビジネス > 運送・貨物・倉庫,〒684-0014鳥取県境港市入船町1,0859440935（0859-44-0935）,3000（千円）,遠藤　大輔（エンドウ ダイスケ）
藤田運送有限会社,1270002008187,ビジネス > 運送・貨物・倉庫,〒683-0335鳥取県西伯郡南部町中486,0859662717（0859-66-2717）,"",""
有限会社岩本運輸,1270002008708,ビジネス > 運送・貨物・倉庫,〒683-0851鳥取県米子市夜見町2008-2,0859293311（0859-29-3311）,"",""
有限会社ワコー,2270002001851,ビジネス > 運送・貨物・倉庫,〒681-0072鳥取県岩美郡岩美町岩本922,0857728460（0857-72-8460）,"",""
山陰すぎもと物流有限会社,2270002007444,ビジネス > 運送・貨物・倉庫,〒683-0802鳥取県米子市東福原6-6-22,0859325163（0859-32-5163）,3000（千円）,杉本　幸道（スギモト ユキミチ）
有限会社日南セントラル運送,2270002008624,ビジネス > 運送・貨物・倉庫,〒689-5541鳥取県日野郡日南町佐木谷1075-11,0859840625（0859-84-0625）,10000（千円）,荒木　征一（アラキ セイイチ）
日本交通株式会社,3270001000564,ビジネス > 運送・貨物・倉庫,〒680-0862鳥取県鳥取市雲山219,0857231121（0857-23-1121）,"",""
オグラ建材運輸株式会社,3270001005200,ビジネス > 運送・貨物・倉庫,〒689-2101鳥取県東伯郡北栄町江北38,0858362641（0858-36-2641）,10000（千円）,小椋　知章（オグラ トモアキ）
有限会社大田商店,3270002000340,ビジネス > 運送・貨物・倉庫,〒680-0871鳥取県鳥取市吉成南町1-5-3,0857532336（0857-53-2336）,"",""
有限会社ワークステーション,3270002002378,ビジネス > 運送・貨物・倉庫,〒680-0942鳥取県鳥取市湖山町東5丁目567番地,0857277888（0857-27-7888）,"",""
株式会社カノウ産業,4270001002584,ビジネス > 運送・貨物・倉庫,〒689-1112鳥取県鳥取市若葉台南3-2-23,0857527030（0857-52-7030）,"",""
株式会社八幡運輸,4270001004713,ビジネス > 運送・貨物・倉庫,〒689-3424鳥取県米子市淀江町中間863,0859566678（0859-56-6678）,"",""
有限会社山田建材,4270002002617,ビジネス > 運送・貨物・倉庫,〒680-0142鳥取県鳥取市国府町麻生307-4,0857240549（0857-24-0549）,"",""
有限会社大伸運輸,4270002004522,ビジネス > 運送・貨物・倉庫,〒680-1202鳥取県鳥取市河原町布袋57-2,0858850650（0858-85-0650）,"",""
有限会社自然堂,4270002005058,ビジネス > 運送・貨物・倉庫,〒680-0844鳥取県鳥取市興南町113番地2,0857213700（0857-21-3700）,"",""
有限会社秋田建材,4270002005231,ビジネス > 運送・貨物・倉庫,〒683-0851鳥取県米子市夜見町1666-10,0859298756（0859-29-8756）,3000（千円）,秋田　美佐雄（アキタ ミサオ）
友森運送有限会社,4270002006543,ビジネス > 運送・貨物・倉庫,〒683-0105鳥取県米子市葭津1231-1,0859287449（0859-28-7449）,"",""
ニチラス運輸株式会社,5270001003466,ビジネス > 運送・貨物・倉庫,〒683-0103鳥取県米子市富益町56-6,0859250351（0859-25-0351）,10000（千円）,宋　春男（ソウ ハルオ）
山陰松島遊覧株式会社,6270001000990,ビジネス > 運送・貨物・倉庫,〒681-0073鳥取県岩美郡岩美町大谷2182,0857731212（0857-73-1212）,10000（千円）,川口　博樹（カワグチ ヒロキ）
