会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社鹿児島急送,1340001000872,ビジネス > 運送・貨物・倉庫,〒891-0115鹿児島県鹿児島市東開町13-6,0992697956（099-269-7956）,25000（千円）,代表取締役社長／峯山　光輝（ミネヤマ ミツテル）
鹿児島トランスポート株式会社,1340001000996,ビジネス > 運送・貨物・倉庫,〒891-0132鹿児島県鹿児島市七ツ島1-5-2,0992623535（099-262-3535）,50000（千円）,下村　正一（シモムラ シヨウイチ）
佐々木海運株式会社,1340001001854,ビジネス > 運送・貨物・倉庫,〒892-0823鹿児島県鹿児島市住吉町12-5-2F,0992238311（099-223-8311）,43800（千円）,佐々木　修二（ササキ シユウジ）
鹿児島第一交通株式会社,1340001002456,ビジネス > 運送・貨物・倉庫,〒890-0073鹿児島県鹿児島市宇宿2-11-3,0992865802（099-286-5802）,"",""
谷山運送株式会社,1340001002720,ビジネス > 運送・貨物・倉庫,〒891-0131鹿児島県鹿児島市谷山港3-1-20,0992620888（099-262-0888）,"",""
芙蓉海運株式会社,1340001003784,ビジネス > 運送・貨物・倉庫,〒892-0842鹿児島県鹿児島市東千石町2-1芙蓉ビル5階,0992275501（099-227-5501）,"",""
株式会社トレックス,1340001007983,ビジネス > 運送・貨物・倉庫,鹿児島県姶良市加治木町港町65番地,"",10000（千円）,代表取締役社長／田上　良徳（タノウエ ヨシノリ）
株式会社南九州機動,1340001008767,ビジネス > 運送・貨物・倉庫,〒895-1402鹿児島県薩摩川内市入来町浦之名6298-1,0996214848（0996-21-4848）,"",""
幸栄運輸有限会社,1340002003750,ビジネス > 運送・貨物・倉庫,〒891-0115鹿児島県鹿児島市東開町13-29,0992670890（099-267-0890）,7000（千円）,富岡　地津子（トミオカ チヅコ）
有限会社林運送,1340002019499,ビジネス > 運送・貨物・倉庫,〒891-3701鹿児島県熊毛郡南種子町中之上2749-4,0997261164（0997-26-1164）,"",""
愛甲運送有限会社,1340002022131,ビジネス > 運送・貨物・倉庫,〒899-1741鹿児島県阿久根市大川9796,0996740770（0996-74-0770）,12000（千円）,谷口　泰弘（タニグチ ヤスヒロ）
システム物流株式会社,2340001000104,ビジネス > 運送・貨物・倉庫,〒891-0131鹿児島県鹿児島市谷山港3-4-13,0992613993（099-261-3993）,"",""
株式会社並松運送,2340001003180,ビジネス > 運送・貨物・倉庫,〒891-0131鹿児島県鹿児島市谷山港3-4-9,0992630451（099-263-0451）,10000（千円）,並松　省三（ナミマツ シヨウゾウ）
株式会社日新,2340001003313,ビジネス > 運送・貨物・倉庫,〒897-0002鹿児島県南さつま市加世田武田14892-1,0993532019（0993-53-2019）,"",""
株式会社丸五運送,2340001003998,ビジネス > 運送・貨物・倉庫,〒891-0131鹿児島県鹿児島市谷山港3-1-14,0992611311（099-261-1311）,10000（千円）,代表取締役社長／森田　一征（モリタ カズユキ）
