会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
壽印刷工業株式会社,1190001000327,出版・印刷・同関連産業,〒514-2313三重県津市安濃町今徳1349,0592683538（059-268-3538）,20000（千円）,村山　満（ムラヤマ ミツル）
日硝フアイバー株式会社,1190001000814,窯業・土石製品製造業,〒514-0817三重県津市高茶屋小森町4902日本板硝子内,0592381153（059-238-1153）,45000（千円）,川口　哲（カワグチ サトル）
株式会社ハイパーツ三重,1190001000847,金属製品製造業,〒514-1138三重県津市戸木町赤部5081-4,0592545666（059-254-5666）,20000（千円）,鈴木　克已（スズキ カツミ）
松澤精工株式会社,1190001000995,一般機械器具製造業,〒514-0819三重県津市高茶屋6-8-19,0592342434（059-234-2434）,15000（千円）,松澤　健二（マツザワ ケンジ）
みえぎょれん販売株式会社,1190001001135,食料品・飼料・飲料製造業,〒516-0021三重県伊勢市朝熊町3477-32,0596637101（0596-63-7101）,60000（千円）,代表取締役社長／中村　香雪（ナカムラ カセツ）
村田化学工業株式会社,1190001001168,その他の製造業,〒514-0125三重県津市大里窪田町911,0592324569（059-232-4569）,10000（千円）,村田　義明（ムラタ ヨシアキ）
株式会社リバ技研,1190001001234,窯業・土石製品製造業,〒514-0817三重県津市高茶屋小森町2866-1,0592351110（059-235-1110）,10000（千円）,山本　敬明（ヤマモト ヨシアキ）
三立化工株式会社,1190001001325,窯業・土石製品製造業,〒514-1253三重県津市久居一色町151-1,0592521011（059-252-1011）,10000（千円）,代表取締役社長／八幡　伸行（ヤワタ ノブユキ）
佐藤化成株式会社,1190001001424,その他の製造業,〒514-2208三重県津市芸濃町忍田900,0592654520（059-265-4520）,10000（千円）,佐藤　朗（サトウ アキラ）
ダイソウ工業株式会社,1190001001432,金属製品製造業,〒514-2213三重県津市芸濃町北神山1470-3,0592655700（059-265-5700）,10000（千円）,森下　文博（モリシタ フミヒロ）
株式会社小川本家,1190001001507,食料品・飼料・飲料製造業,〒510-0306三重県津市河芸町一色1425,0592450013（059-245-0013）,10000（千円）,小川　増人（オガワ マスヒト）
松島酒造株式会社,1190001001597,食料品・飼料・飲料製造業,〒514-2316三重県津市安濃町南神山191,0592680869（059-268-0869）,10000（千円）,松島　徹（マツシマ トオル）
株式会社三重義肢製作所,1190001003040,精密機械・医療機械器具製造業,〒514-0817三重県津市高茶屋小森町野田1756-5,0592343171（059-234-3171）,10000（千円）,日々野　弘之（ヒビノ ヒロユキ）
株式会社アシベ工芸,1190001003321,化学工業,〒519-0211三重県亀山市川崎町2332,0595850251（0595-85-0251）,20000（千円）,新庄　哲三（シンジヨウ テツゾウ）
株式会社ハイテック,1190001003478,一般機械器具製造業,〒519-1106三重県亀山市関町会下1265-22,0595960490（0595-96-0490）,10000（千円）,平子　秀人（ヒラコ ヒデト）
株式会社ファーストモールディング,1190001003486,輸送用機械器具製造業,〒519-0143三重県亀山市安知本町1858-15,0595830133（0595-83-0133）,10000（千円）,安藤　元師（アンドウ モトシ）
三重製氷冷蔵株式会社,1190001003503,食料品・飼料・飲料製造業,〒519-0212三重県亀山市能褒野町4-7,0595851421（0595-85-1421）,10000（千円）,佐野　良徳（サノ ヨシノリ）
株式会社テイク,1190001003651,金属製品製造業,〒514-2208三重県津市芸濃町忍田575,0592653849（059-265-3849）,3000（千円）,鬼頭　孝夫（キトウ タカオ）
株式会社オージャス,1190001004022,その他の製造業,〒514-0304三重県津市雲出本郷町1379-1,0592345555（059-234-5555）,9700（千円）,菅原　広之（スガワラ ヒロユキ）
熊野精工株式会社,1190001004187,その他の製造業,〒519-4325三重県熊野市有馬町1491-1,0597892741（0597-89-2741）,10000（千円）,代表取締役専務／桧作　羊次（ヒツクリ ヨウジ）
榎本石材株式会社,1190001004377,窯業・土石製品製造業,〒519-3921三重県尾鷲市賀田町547-3,0597273013（0597-27-3013）,15000（千円）,榎本　和也（エノモト カズヤ）
株式会社マーシー,1190001004451,食料品・飼料・飲料製造業,〒519-3672三重県尾鷲市矢浜岡崎町1979-32,0597229110（0597-22-9110）,10000（千円）,三鬼　直也（ミキ ナオヤ）
海産まる葉株式会社,1190001004501,食料品・飼料・飲料製造業,〒519-3204三重県北牟婁郡紀北町東長島46-24,0597470700（0597-47-0700）,25000（千円）,東　十三夫（ヒガシ トミオ）
株式会社ヤナギダ・テクノ,1190001004534,その他の製造業,〒519-3204三重県北牟婁郡紀北町東長島2291,0597470490（0597-47-0490）,10000（千円）,柳田　篤男（ヤナギダ アツオ）
株式会社ハヤミ,1190001004591,食料品・飼料・飲料製造業,〒519-3601三重県尾鷲市南浦2553-2,0597229210（0597-22-9210）,500（千円）,速水　正弘（ハヤミ マサヒロ）
