会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
山中産業株式会社,1130001002130,ビジネス > 製造・加工（衣料関連）,〒616-8044京都府京都市右京区花園扇野町17,0758414682（075-841-4682）,"",""
豊栄繊維株式会社,1130001003780,ビジネス > 製造・加工（衣料関連）,〒602-8448京都府京都市上京区今出川通大宮西入元北小路町172,0754141012（075-414-1012）,"",""
三谷株式会社,1130001003921,ビジネス > 製造・加工（衣料関連）,〒602-8206京都府京都市上京区一条通智恵光院西入ル南新在家町343,0754140811（075-414-0811）,"",""
株式会社山豊エンジニアリング,1130001004837,ビジネス > 製造・加工（鉄鋼製品）,〒601-8365京都府京都市南区吉祥院石原開町10番地1,0756617300（075-661-7300）,"",""
株式会社樹幸開発センター,1130001004894,ビジネス > 製造・加工（衣料関連）,〒603-8234京都府京都市北区紫野下若草町32（株）樹幸内,0754410014（075-441-0014）,50000（千円）,藤原　晋（フジワラ シン）
株式会社洛北義肢,1130001005661,ビジネス > 製造・加工（電子・精密機械器具）,〒603-8487京都府京都市北区大北山原谷乾町22-16,0754620800（075-462-0800）,20000（千円）,代表取締役社長／坂本　明信（サカモト アキノブ）
株式会社志野,1130001006560,ビジネス > 製造・加工（食料品）,〒601-1243京都府京都市左京区大原大長瀬町318,0757442141（075-744-2141）,"",""
株式会社モーリ,1130001007451,ビジネス > 製造・加工（衣料関連）,〒601-1253京都府京都市左京区八瀬近衛町723-19,0757916821（075-791-6821）,10000（千円）,毛利　泰彦（モウリ ヤスヒコ）
株式会社リーフ,1130001008862,ビジネス > 製造・加工（衣料関連）,〒610-1151京都府京都市西京区大枝西長町2-110,0753333939（075-333-3939）,"",""
株式会社はれま,1130001009588,ビジネス > 製造・加工（食料品）,〒605-0801京都府京都市東山区宮川筋6-357,0755614623（075-561-4623）,"",""
石田化学工業株式会社,1130001009968,ビジネス > 製造・加工（化学・プラスチック）,〒601-8324京都府京都市南区吉祥院落合町13,0756613611（075-661-3611）,15000（千円）,代表取締役社長／石田　源次郎（イシダ ゲンジロウ）
株式会社大栄製作所,1130001011016,ビジネス > 製造・加工（鉄鋼製品）,京都府京都市南区上鳥羽大物町26番地,0756722381（075-672-2381）,"",""
任天堂株式会社,1130001011420,ビジネス > 製造・加工（工作機械・一般機械器具）,京都府京都市南区上鳥羽鉾立町11-1,0756629600（075-662-9600）,"",""
京都ローセツ工業株式会社,1130001012212,ビジネス > 製造・加工（金属製品）,〒601-8162京都府京都市南区上鳥羽塔ノ森柴東町30-1,0756820303（075-682-0303）,"",""
株式会社瑞晃仏具製作所,1130001012848,ビジネス > 製造・加工（衣料関連）,〒607-8307京都府京都市山科区西野山射庭ノ上町311-5,0755933243（075-593-3243）,10000（千円）,薮下　清三（ヤブシタ セイゾウ）
株式会社大和,1130001012947,ビジネス > 製造・加工（衣料関連）,〒607-8133京都府京都市山科区大塚中溝45,0755943111（075-594-3111）,"",""
株式会社リソース,1130001013549,ビジネス > 製造・加工（電子・精密機械器具）,〒607-8078京都府京都市山科区音羽初田町11-2,0755812716（075-581-2716）,"",""
株式会社新井製作所,1130001013771,ビジネス > 製造・加工（非鉄金属製品）,〒612-8496京都府京都市伏見区久我西出町4-18,0759313900（075-931-3900）,"",""
株式会社新京都精機,1130001014745,ビジネス > 製造・加工（金属製品）,〒612-8374京都府京都市伏見区治部町128,0756014936（075-601-4936）,40000（千円）,代表取締役社長／野村　秀夫（ノムラ ヒデオ）
株式会社やました,1130001015941,ビジネス > 製造・加工（衣料関連）,〒612-8384京都府京都市伏見区下鳥羽浄春ヶ前町103,0756051500（075-605-1500）,32000（千円）,代表取締役社長／山下　弘子（ヤマシタ ヒロコ）
京都資材建設株式会社,1130001016213,ビジネス > 製造・加工（金属製品）,〒612-8468京都府京都市伏見区下鳥羽上向島町102,0756811221（075-681-1221）,30000（千円）,大八木　信行（オオヤギ ノブユキ）
オムロン株式会社,1130001016824,ビジネス > 製造・加工（工作機械・一般機械器具）,〒600-0000京都府京都市下京区塩小路通堀川東入南不動堂町801オムロン京都セン,0753447000（075-344-7000）,64099000（千円）,代表取締役社長／山田　義仁（ヤマダ ヨシヒト）
マルホ発條工業株式会社,1130001018928,ビジネス > 製造・加工（鉄鋼製品）,〒600-8888京都府京都市下京区西七条八幡町21,0753121661（075-312-1661）,93600（千円）,代表取締役社長／今井　良平（イマイ リヨウヘイ）
株式会社山本,1130001019257,ビジネス > 製造・加工（食料品）,〒612-8047京都府京都市伏見区上油掛町36-1,0756110211（075-611-0211）,30000（千円）,代表取締役社長／山本　源兵衞（ヤマモト ゲンベエ）
