会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社佐賀印刷社,1300001000059,出版・印刷・同関連産業,〒849-0921佐賀県佐賀市高木瀬西6-11-7,0952316171（0952-31-6171）,10000（千円）,代表取締役社長／中尾　清一郎（ナカオ セイイチロウ）
株式会社北島,1300001000190,食料品・飼料・飲料製造業,〒840-0046佐賀県佐賀市西魚町85,0952234514（0952-23-4514）,20000（千円）,北島　恭一（キタジマ キヨウイチ）
株式会社九州ダイエットクック,1300001000315,食料品・飼料・飲料製造業,〒849-0921佐賀県佐賀市高木瀬西6-9-6,0952315561（0952-31-5561）,78000（千円）,代表取締役社長／古賀　勝之（コガ カツユキ）
株式会社新美堂,1300001000356,出版・印刷・同関連産業,〒840-0008佐賀県佐賀市巨勢町牛島254-10,0952226757（0952-22-6757）,10500（千円）,三森　暢久（ミツモリ ノブヒサ）
受験研究会出版株式会社,1300001000364,出版・印刷・同関連産業,〒849-0902佐賀県佐賀市久保泉町上和泉1848-20,0952718471（0952-71-8471）,10000（千円）,稲富　英大（イナトミ ヒデヒロ）
株式会社サガシキ,1300001000380,パルプ・紙・紙加工品製造業,〒849-0921佐賀県佐賀市高木瀬西6-3-2,0952308585（0952-30-8585）,330000（千円）,代表取締役社長／枝吉　宣輝（エダヨシ ノブテル）
山栄林業株式会社,1300001000414,木材・木製品製造業（家具を除く）,〒840-0012佐賀県佐賀市北川副町光法1675-8,0952232296（0952-23-2296）,10000（千円）,北村　榮（キタムラ サカエ）
天恵堂製薬株式会社,1300001000505,化学工業,〒840-0005佐賀県佐賀市蓮池町蓮池234,0952970036（0952-97-0036）,10000（千円）,眞崎　嘉裕（マサキ ヨシヒロ）
株式会社戸上コントロール,1300001000546,電気機械器具製造業,〒840-0811佐賀県佐賀市大財5-7-52,0952252058（0952-25-2058）,98000（千円）,代表取締役／石橋　英紀（イシバシ ヒデキ）
株式会社副島印刷,1300001000752,出版・印刷・同関連産業,〒849-0921佐賀県佐賀市高木瀬西6-11-3,0952316688（0952-31-6688）,15000（千円）,代表取締役／副島　伸宏（ソエジマ ノブヒロ）
メック株式会社,1300001001008,一般機械器具製造業,〒840-0005佐賀県佐賀市蓮池町蓮池66,0952971130（0952-97-1130）,45000（千円）,代表取締役社長／中島　和弘（ナカシマ カズヒロ）
森精米株式会社,1300001001024,食料品・飼料・飲料製造業,〒849-0913佐賀県佐賀市兵庫町渕1442-1,0952267088（0952-26-7088）,60000（千円）,森　能曼（モリ ヨシヒロ）
有明海苔株式会社,1300001001115,食料品・飼料・飲料製造業,〒840-2103佐賀県佐賀市諸富町寺井津63,0952474927（0952-47-4927）,10000（千円）,弟子丸　利治（デシマル トシハル）
株式会社ガルト,1300001001131,家具・装備品製造業,〒842-0053佐賀県神埼市千代田町直鳥1736-2,0952346084（0952-34-6084）,10100（千円）,代表取締役社長／東島　寛介（ヒガシジマ ヒロスケ）
株式会社飛鳥工房,1300001001156,その他の製造業,〒840-2104佐賀県佐賀市諸富町徳富112-4,0952475697（0952-47-5697）,20000（千円）,廣松　利彦（ヒロマツ トシヒコ）
三福海苔株式会社,1300001001197,食料品・飼料・飲料製造業,〒840-2212佐賀県佐賀市川副町犬井道1672,0952450039（0952-45-0039）,25000（千円）,川原　常宏（カワハラ ツネヒロ）
株式会社まんてん,1300001001429,食料品・飼料・飲料製造業,〒849-0936佐賀県佐賀市鍋島町森田964-2,0952325701（0952-32-5701）,13000（千円）,高尾　秀樹（タカオ ヒデキ）
株式会社日本テック,1300001003193,一般機械器具製造業,〒842-0122佐賀県神埼市神埼町城原2718-2,0952523100（0952-52-3100）,10000（千円）,宮地　良信（ミヤチ ヨシノブ）
ヤクルト食品工業株式会社,1300001003219,食料品・飼料・飲料製造業,〒842-0122佐賀県神埼市神埼町城原3860,0952523205（0952-52-3205）,90000（千円）,丸野　忠幸（マルノ タダユキ）
株式会社佐賀機械,1300001003235,一般機械器具製造業,〒842-0052佐賀県神埼市千代田町姉1818,0952442255（0952-44-2255）,15000（千円）,代表取締役会長／中島　秀俊（ナカシマ ヒデトシ）
カネカ西日本スチロール株式会社,1300001003251,その他の製造業,〒842-0061佐賀県神埼市千代田町詫田1524,0952442711（0952-44-2711）,20000（千円）,代表取締役社長／志田　和男（シダ カズオ）
牛津製薬株式会社,1300001003359,化学工業,〒849-0304佐賀県小城市牛津町下砥川1-2,0952661551（0952-66-1551）,45000（千円）,代表取締役社長／渡邉　光治（ワタナベ ミツジ）
ミタニマイクロニクス九州株式会社,1300001003367,出版・印刷・同関連産業,〒846-0003佐賀県多久市北多久町多久原306-14,0952712150（0952-71-2150）,10000（千円）,代表取締役会長／岩崎　順次（イワサキ ジユンジ）
佐賀板紙株式会社,1300001003375,パルプ・紙・紙加工品製造業,〒849-0302佐賀県小城市牛津町柿樋瀬1140,0952661231（0952-66-1231）,40000（千円）,代表取締役社長／濱松　和隆（ハママツ カズタカ）
ニシハツ産業株式会社,1300001003391,一般機械器具製造業,〒849-0305佐賀県小城市牛津町上砥川1641,0952660040（0952-66-0040）,25000（千円）,代表取締役社長／吉丸　泰治（ヨシマル ヤスハル）
株式会社タニグチ,1300001003631,窯業・土石製品製造業,〒846-0002佐賀県多久市北多久町小侍51-2,0952744111（0952-74-4111）,23000（千円）,代表取締役社長／谷口　祐（タニグチ ヒロシ）
