会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
ダイセルバリューコーティング株式会社,1010401053512,その他の製造業,〒661-0964兵庫県尼崎市神崎町12-1,0664971108（06-6497-1108）,40000（千円）,代表取締役社長／吉野　幸男（ヨシノ ユキオ）
パナレーサー株式会社,1010401117003,ゴム製品製造業,〒669-3464兵庫県丹波市氷上町石生250,0795826153（0795-82-6153）,50000（千円）,松田　俊和（マツダ トシカズ）
株式会社丸新,1030001126757,食料品・飼料・飲料製造業,〒673-0034兵庫県明石市林3-18-8,0789231155（078-923-1155）,10000（千円）,樟　尚之（クス ナオユキ）
神栄キャパシタ株式会社,1100001024276,電気機械器具製造業,〒650-0034兵庫県神戸市中央区京町77-1神栄ビル5階,0783926909（078-392-6909）,100000（千円）,奥村　武久（オクムラ タケヒサ）
プライミクス株式会社,1120001035800,一般機械器具製造業,〒656-2306兵庫県淡路市夢舞台1-38,0799720080（0799-72-0080）,80190（千円）,代表取締役社長／古市　尚（フルイチ ヒサシ）
株式会社旭製作所,1120001049123,一般機械器具製造業,〒673-1119兵庫県三木市吉川町鍛治屋287-1,0794730318（0794-73-0318）,60000（千円）,大岡　俊隆（オオオカ トシタカ）
映機工業株式会社,1120001061251,精密機械・医療機械器具製造業,〒664-0026兵庫県伊丹市寺本6-23,0727827501（072-782-7501）,48000（千円）,川端　清治（カワバタ キヨハル）
Ｂｉｏｃｏｓｍ株式会社,1120001125361,化学工業,〒660-0083兵庫県尼崎市道意町7-1-3,0648699080（06-4869-9080）,20100（千円）,平塚　哉（ヒラツカ ハジメ）
アールエナジー株式会社,1120001137506,化学工業,〒658-0032兵庫県神戸市東灘区向洋町中6-9神戸ファッションマート4階,"",1000（千円）,岸　哲也（キシ テツヤ）
株式会社モクラボ,1120001178327,木材・木製品製造業（家具を除く）,〒671-2411兵庫県姫路市安富町三森421-3,0790663210（0790-66-3210）,2100（千円）,小倉　良之（オグラ ヨシユキ）
有限会社信栄工業所,1120002069715,"鉄鋼業,非鉄金属製造業",〒661-0964兵庫県尼崎市神崎町22-12,0664805780（06-6480-5780）,3000（千円）,寺岡　裕之（テラオカ ヒロユキ）
株式会社東洋総合技術研究センター,1120901013310,その他の製造業,〒658-0022兵庫県神戸市東灘区深江南町4-12-17メゾンド・アネット1階,0784118811（078-411-8811）,10000（千円）,小坂　博昭（コサカ ヒロアキ）
株式会社大晃製作所,1120901024423,一般機械器具製造業,〒666-0024兵庫県川西市久代1-2-15,0727676107（072-767-6107）,10000（千円）,木口　弘志（キグチ ヒロシ）
株式会社アクアサウンド,1130001048867,精密機械・医療機械器具製造業,〒650-0046兵庫県神戸市中央区港島中町4-1-1,0785996842（078-599-6842）,22950（千円）,遠藤　保彦（エンドウ ヤスヒコ）
