会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
鷹栖町,1000020014524,食料品・飼料・飲料製造業,〒071-1251北海道上川郡鷹栖町11線5-5,0166872938（0166-87-2938）,180000（千円）,代表取締役／谷　寿男（タニ トシオ）
池田町,1000020016446,食料品・飼料・飲料製造業,〒083-0002北海道中川郡池田町清見83-8,0155722467（015-572-2467）,"",勝井　勝丸（カツイ カツマル）
北斗電線株式会社,1012301002326,"鉄鋼業,非鉄金属製造業",〒078-8324北海道旭川市神楽岡14条6-814,0166661531（0166-66-1531）,10000（千円）,洞口　彰（ドウグチ アキラ）
株式会社北欧ＳＳプラン,1370001018904,食料品・飼料・飲料製造業,〒063-0826北海道札幌市西区発寒6条9-7-2,0116712710（011-671-2710）,20000（千円）,佐々木　明夫（ササキ アキオ）
株式会社青木石材店,1430001000079,窯業・土石製品製造業,〒004-0801北海道札幌市清田区里塚1条4-12-20,0118810055（011-881-0055）,10000（千円）,青木　進（アオキ ススム）
株式会社アール・シー日音,1430001000310,その他の製造業,〒063-0829北海道札幌市西区発寒9条10-1-8,0116712461（011-671-2461）,17000（千円）,福井　芳隆（フクイ ヨシタカ）
伊藤製缶工業株式会社,1430001001473,金属製品製造業,〒063-0834北海道札幌市西区発寒14条13-2-1,0116617181（011-661-7181）,30000（千円）,代表取締役社長／宮澤　靖（ミヤザワ ヤスシ）
株式会社イトウ雅,1430001001523,家具・装備品製造業,〒003-0029北海道札幌市白石区平和通15北7-21,0118615556（011-861-5556）,30000（千円）,伊藤　雅（イトウ タダシ）
ウエストエースフーズ株式会社,1430001001878,食料品・飼料・飲料製造業,〒063-0850北海道札幌市西区八軒10条西12-5-17,0116405200（011-640-5200）,20000（千円）,代表取締役社長／坪　隆則（ツボ タカノリ）
岡本興業株式会社,1430001003222,窯業・土石製品製造業,〒005-0021北海道札幌市南区真駒内本町1-1-1岡本ビル,0118411435（011-841-1435）,50000（千円）,代表取締役社長／岡本　繁美（オカモト シゲミ）
カクカ商事株式会社,1430001003577,出版・印刷・同関連産業,〒062-0904北海道札幌市豊平区豊平4条5-3-1,0118117302（011-811-7302）,10000（千円）,久慈　泰一（クジ タイイチ）
株式会社金崎電気製作所,1430001003882,電気機械器具製造業,〒007-0885北海道札幌市東区北丘珠5条4-2-16,0117857860（011-785-7860）,30000（千円）,代表取締役社長／伊東　邦夫（イトウ クニオ）
株式会社かね彦,1430001003957,食料品・飼料・飲料製造業,〒003-0006北海道札幌市白石区東札幌6条1-2-26,0118231181（011-823-1181）,49500（千円）,代表取締役社長／中島　代博（ナカジマ トシヒロ）
加豊印刷株式会社,1430001004030,出版・印刷・同関連産業,〒001-0903北海道札幌市北区新琴似3条1-2-1,0117292446（011-729-2446）,10000（千円）,川守田　雅弘（カワモリタ マサヒロ）
株式会社菊水機械製作所,1430001004253,一般機械器具製造業,〒007-0823北海道札幌市東区東雁来3条1-2-3,0117830411（011-783-0411）,11000（千円）,代表取締役社長／加瀬谷　真治（カセヤ シンジ）
株式会社北郷製作所,1430001004344,金属製品製造業,〒003-0838北海道札幌市白石区北郷8条10-2-16,0118711653（011-871-1653）,12000（千円）,代表取締役社長／鈴木　康夫（スズキ ヤスオ）
株式会社協和プラント,1430001004807,一般機械器具製造業,〒063-0835北海道札幌市西区発寒15条12-3-55,0116618530（011-661-8530）,10000（千円）,藤枝　靖規（フジエダ ヤスノリ）
クレードル興農株式会社,1430001005103,食料品・飼料・飲料製造業,〒064-0804北海道札幌市中央区南4条西13-2-28,0115613181（011-561-3181）,396300（千円）,代表取締役社長／山岸　義三郎（ヤマギシ ヨシサブロウ）
株式会社神津衣料,1430001005714,衣服・その他の繊維製品製造業,〒003-0826北海道札幌市白石区菊水元町6条2-7-1ノースビル3階,0118715799（011-871-5799）,10000（千円）,神津　健一（コウヅ ケンイチ）
小沼鋼機株式会社,1430001006282,一般機械器具製造業,〒004-0842北海道札幌市清田区清田2条1-3-48,0118816278（011-881-6278）,10000（千円）,小沼　公二（オヌマ コウジ）
株式会社坂口製粉所,1430001006555,食料品・飼料・飲料製造業,〒060-0051北海道札幌市中央区南1条東4-7,0112415726（011-241-5726）,10000（千円）,代表取締役社長／坂口　幸司（サカグチ コウジ）
佐藤包装紙器株式会社,1430001006704,パルプ・紙・紙加工品製造業,〒063-0861北海道札幌市西区八軒1条東5-3-4,0116415050（011-641-5050）,20000（千円）,代表取締役社長／山川　泰司（ヤマカワ ヤスシ）
株式会社ジェイシー・フーズ,1430001007066,食料品・飼料・飲料製造業,〒002-8042北海道札幌市北区東茨戸2条1-2-5,0117754444（011-775-4444）,19000（千円）,納谷　雅義（ナヤ マサヨシ）
