会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社日本中央技研,1010001033410,パルプ・紙・紙加工品製造業,〒289-2302千葉県香取郡多古町檜木98,0479707311（0479-70-7311）,10000（千円）,北國　和彦（キタグニ カズヒコ）
杉谷金属工業株式会社,1010001079305,輸送用機械器具製造業,〒278-0051千葉県野田市七光台289,0471292191（04-7129-2191）,44000（千円）,代表取締役社長／杉谷　宗弘（スギタニ ムネヒロ）
株式会社スカイベンツ,1010001140116,一般機械器具製造業,〒273-0128千葉県鎌ケ谷市くぬぎ山4-7-11ワコーレ鎌ヶ谷ニ号館1階,0473876595（047-387-6595）,5400（千円）,坂本　光広（サカモト ミツヒロ）
有限会社エス・エイ・ディー,1010002007917,一般機械器具製造業,〒273-0005千葉県船橋市本町6-2-10ダイアパレスステーションプラザ船橋214,0474074130（047-407-4130）,3000（千円）,杉ノ下　茂夫（スギノシタ シゲオ）
有限会社小船鉄工所,1010002019755,一般機械器具製造業,〒270-0237千葉県野田市中里2761-2,0471298320（04-7129-8320）,10000（千円）,小船　隆弘（コフネ タカヒロ）
株式会社サンヨー,1010501023613,金属製品製造業,〒276-0046千葉県八千代市大和田新田487-2,0474507621（047-450-7621）,10000（千円）,浅見　次郎（アサミ ジロウ）
株式会社イワサテック,1010601020436,一般機械器具製造業,〒273-0014千葉県船橋市高瀬町62-4,0474200103（047-420-0103）,21000（千円）,阿部　義和（アベ ヨシカズ）
株式会社新光製作所,1011501006822,電気機械器具製造業,〒278-0015千葉県野田市西三ケ尾87-7,0471251741（04-7125-1741）,24000（千円）,後藤　雅一（ゴトウ マサカズ）
株式会社能率機械製作所,1011701006341,一般機械器具製造業,〒279-0001千葉県浦安市当代島2-9-41,0477125720（047-712-5720）,50000（千円）,篠原　憲二（シノハラ ケンジ）
有限会社國兼工業所,1011702016538,"鉄鋼業,非鉄金属製造業",〒283-0044千葉県東金市小沼田704-7,0475557328（0475-55-7328）,9000（千円）,國兼　俊一（クニカネ シユンイチ）
株式会社メカナイズ,1020001044051,一般機械器具製造業,〒297-0074千葉県茂原市小林1978-25,0475447503（0475-44-7503）,10000（千円）,原　敏昭（ハラ トシアキ）
株式会社アルファ,1040001000440,衣服・その他の繊維製品製造業,〒260-0013千葉県千葉市中央区中央2-9-20三利ビル4階,0432268131（043-226-8131）,9000（千円）,萩元　武（ハギモト タケシ）
株式会社市原製作所,1040001000647,一般機械器具製造業,〒265-0043千葉県千葉市若葉区中田町1148,0432281151（043-228-1151）,10000（千円）,市原　正日宏（イチハラ マサヒコ）
オーランドフーズ株式会社,1040001001208,食料品・飼料・飲料製造業,〒262-0013千葉県千葉市花見川区犢橋町369-1,0432575751（043-257-5751）,50000（千円）,代表取締役社長／遠藤　裕之（エンドウ ヒロユキ）
桂製罐株式会社,1040001001471,金属製品製造業,〒262-0004千葉県千葉市花見川区大日町1435-3,0432591931（043-259-1931）,10000（千円）,小寺　寿夫（コデラ ヒサオ）
株式会社カネテック,1040001001505,金属製品製造業,〒264-0031千葉県千葉市若葉区愛生町22-1,0432567500（043-256-7500）,10000（千円）,金子　勝郎（カネコ カツロウ）
株式会社カワチ,1040001001570,その他の製造業,〒263-0002千葉県千葉市稲毛区山王町397-2,0434233006（043-423-3006）,10000（千円）,川地　陽二（カワチ ヨウジ）
株式会社黒田化学,1040001001926,その他の製造業,〒262-0043千葉県千葉市花見川区天戸町1476-2,0432583900（043-258-3900）,10000（千円）,黒田　泰志（クロダ ヤスシ）
京葉段ボール工業株式会社,1040001002156,パルプ・紙・紙加工品製造業,〒265-0045千葉県千葉市若葉区上泉町424-16ちばリサーチパーク内,0432391188（043-239-1188）,30000（千円）,代表取締役社長／牧野　文俊（マキノ フミトシ）
京葉メタル株式会社,1040001002180,金属製品製造業,〒262-0043千葉県千葉市花見川区天戸町1291-2,0432592306（043-259-2306）,10000（千円）,安生　廣（アンジヨウ ヒロシ）
株式会社栄製作所,1040001002585,一般機械器具製造業,〒263-0002千葉県千葉市稲毛区山王町350-3,0434220571（043-422-0571）,10000（千円）,越野　卓（コシノ タカシ）
新日本工業株式会社,1040001003179,窯業・土石製品製造業,〒260-0016千葉県千葉市中央区栄町41-6YK11ビル3階,0434981500（043-498-1500）,10000（千円）,北島　吉春（キタジマ ヨシハル）
株式会社島商車体,1040001003229,輸送用機械器具製造業,〒264-0007千葉県千葉市若葉区小倉町1808-16,0432320341（043-232-0341）,10000（千円）,島田　仁（シマダ ヒトシ）
大和千葉製罐株式会社,1040001004219,金属製品製造業,〒260-0826千葉県千葉市中央区新浜町1JFEスチール株式会社東日本製鉄所内,0432616325（043-261-6325）,300000（千円）,代表取締役社長／白瀧　信宏（シラタキ ノブヒロ）
株式会社千葉精機,1040001004672,一般機械器具製造業,〒267-0054千葉県千葉市緑区大高町41,0432940233（043-294-0233）,20000（千円）,高梨　義男（タカナシ ヨシオ）
株式会社プリンテクス,1040001004747,出版・印刷・同関連産業,〒260-0813千葉県千葉市中央区生実町2498-8,0432682667（043-268-2667）,10000（千円）,島　正彦（シマ マサヒコ）
千葉日酸株式会社,1040001004846,化学工業,〒263-0005千葉県千葉市稲毛区長沼町302-4,0432516341（043-251-6341）,33000（千円）,岡安　啓右（オカヤス ヒロミチ）
千葉菱光株式会社,1040001004953,窯業・土石製品製造業,〒261-0002千葉県千葉市美浜区新港197-1,0432423464（043-242-3464）,20000（千円）,井上　一善（イノウエ カズヨシ）
日廣産業株式会社,1040001005753,石油製品・石炭製品製造業,〒260-0826千葉県千葉市中央区新浜町1,0432661221（043-266-1221）,20000（千円）,代表取締役社長／杉本　剛士（スギモト タケシ）
株式会社ハナブサ印刷,1040001006207,出版・印刷・同関連産業,〒266-0026千葉県千葉市緑区古市場町474-299,0432610251（043-261-0251）,10000（千円）,御園　昌広（ミソノ マサヒロ）
富士産機株式会社,1040001006578,一般機械器具製造業,〒263-0001千葉県千葉市稲毛区長沼原町156-1,0432580021（043-258-0021）,10000（千円）,代表取締役社長／高山　邦公（タカヤマ クニヒト）
豊友工業株式会社,1040001006891,一般機械器具製造業,〒263-0004千葉県千葉市稲毛区六方町226,0434236843（043-423-6843）,50000（千円）,野尻　和男（ノジリ カズオ）
