会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社朝間商会,1170001000106,木材・木製品製造業（家具を除く）,〒640-8287和歌山県和歌山市築港5-16,0734223123（073-422-3123）,80000（千円）,代表取締役社長／朝間　喜久雄（アサマ キクオ）
有馬工業株式会社,1170001000163,衣服・その他の繊維製品製造業,〒640-0113和歌山県和歌山市本脇328-1,0734511343（073-451-1343）,20000（千円）,有馬　功（アリマ イサオ）
株式会社上続建具工業,1170001000312,家具・装備品製造業,〒640-8392和歌山県和歌山市中之島936-17,0734317441（073-431-7441）,10000（千円）,佃　俊雄（ツクダ トシオ）
株式会社エイコーコジマ,1170001000361,衣服・その他の繊維製品製造業,〒640-8464和歌山県和歌山市市小路126-12,0734524129（073-452-4129）,10000（千円）,小島　眞哉（コジマ シンヤ）
株式会社勝僖梅,1170001000650,食料品・飼料・飲料製造業,〒641-0051和歌山県和歌山市西高松1-6-14,0734365555（073-436-5555）,62700（千円）,代表取締役社長／細川　竜二（ホソカワ リユウジ）
株式会社環境デザイン事務所,1170001000741,出版・印刷・同関連産業,〒640-8413和歌山県和歌山市島橋東ノ丁14-5,0734547360（073-454-7360）,10000（千円）,江川　清男（エガワ キヨオ）
紀州技研工業株式会社,1170001000799,化学工業,〒641-0015和歌山県和歌山市布引466,0734456610（073-445-6610）,10000（千円）,代表取締役社長／釜中　甫干（カマナカ トシユキ）
京和グリーン株式会社,1170001000972,一般機械器具製造業,〒640-8391和歌山県和歌山市加納277-4,0734745117（073-474-5117）,10000（千円）,加納　一広（カノウ カズヒロ）
株式会社シイガールズ,1170001001120,衣服・その他の繊維製品製造業,〒641-0011和歌山県和歌山市三葛3,0734441567（073-444-1567）,10000（千円）,代表取締役社長／山下　雅生（ヤマシタ マサオ）
株式会社コメチウ,1170001001161,"繊維工業（衣服,その他の繊維製品を除く）",〒641-0011和歌山県和歌山市三葛82,0734441220（073-444-1220）,10000（千円）,南方　俊二（ミナカタ シユンジ）
清水印刷株式会社,1170001001509,出版・印刷・同関連産業,〒641-0052和歌山県和歌山市東高松3-8-14,0734441414（073-444-1414）,10000（千円）,清水　雅司（シミズ マサジ）
株式会社嶋津熔工,1170001001517,その他の製造業,〒649-6323和歌山県和歌山市井ノ口550-4,0734774577（073-477-4577）,10000（千円）,嶋津　勲（シマヅ イサオ）
祝砲酒造株式会社,1170001001541,食料品・飼料・飲料製造業,〒640-8329和歌山県和歌山市田中町2-20,0734244141（073-424-4141）,10000（千円）,林　嘉寿雄（ハヤシ カズオ）
新中村化学工業株式会社,1170001001649,化学工業,〒640-8390和歌山県和歌山市有本687,0734233256（073-423-3256）,100000（千円）,代表取締役社長／中村　謙介（ナカムラ ケンスケ）
宝食品工業株式会社,1170001001847,食料品・飼料・飲料製造業,〒640-8314和歌山県和歌山市神前364-1,0734711558（073-471-1558）,12000（千円）,竹田　研一（タケダ ケンイチ）
ダイニチ株式会社,1170001001979,"繊維工業（衣服,その他の繊維製品を除く）",〒640-8303和歌山県和歌山市鳴神867,0734718152（073-471-8152）,10000（千円）,代表取締役社長／川口　慎也（カワグチ シンヤ）
株式会社ツネダ,1170001002151,家具・装備品製造業,〒640-8301和歌山県和歌山市岩橋168,0734715380（073-471-5380）,10000（千円）,代表取締役社長／常田　幸司（ツネダ コウジ）
阪和電子工業株式会社,1170001002738,電気機械器具製造業,〒649-6272和歌山県和歌山市大垣内689-3,0734774435（073-477-4435）,20000（千円）,代表取締役社長／長谷部　巧（ハセベ タクミ）
ヒカリ技研株式会社,1170001002779,一般機械器具製造業,〒649-6263和歌山県和歌山市下三毛507,0734772666（073-477-2666）,10000（千円）,松本　修司（マツモト シユウジ）
北広ケミカル株式会社,1170001002969,化学工業,〒641-0054和歌山県和歌山市塩屋1-5-43,0734447002（073-444-7002）,100000（千円）,代表取締役社長／北村　満利（キタムラ ミツトシ）
株式会社湯川鋳造所,1170001003471,"鉄鋼業,非鉄金属製造業",〒640-8462和歌山県和歌山市粟191,0734510671（073-451-0671）,10000（千円）,代表取締役社長／湯川　善晴（ユカワ ヨシハル）
和歌山ロール株式会社,1170001003884,一般機械器具製造業,〒640-8287和歌山県和歌山市築港3-25,0734453248（073-445-3248）,10000（千円）,玉置　篤（タマキ アツシ）
株式会社おはなはん,1170001004924,食料品・飼料・飲料製造業,〒640-8391和歌山県和歌山市加納223-3,0734749010（073-474-9010）,13000（千円）,松本　章子（マツモト アキコ）
日鉄住金鋼鉄和歌山株式会社,1170001005006,"鉄鋼業,非鉄金属製造業",〒640-8404和歌山県和歌山市湊1850,0734511179（073-451-1179）,17217000（千円）,中島　一博（ナカジマ カズヒロ）
株式会社ジャバララボラトリー,1170001005419,食料品・飼料・飲料製造業,〒640-8425和歌山県和歌山市松江北4-7-18,0734528188（073-452-8188）,1000（千円）,吾妻　正章（アヅマ セイシヨウ）
株式会社藤代化学,1170001005542,その他の製造業,〒642-0012和歌山県海南市岡田305-13,0734821713（073-482-1713）,10000（千円）,藤代　哲二（フジシロ テツジ）
オカジ紙業株式会社,1170001005633,パルプ・紙・紙加工品製造業,〒642-0003和歌山県海南市山崎町3-1-10,0734824635（073-482-4635）,24000（千円）,代表取締役社長／大岡　久起（オオオカ ヒサキ）
株式会社北山商店,1170001005674,その他の製造業,〒640-1171和歌山県海南市野上中805,0734870419（073-487-0419）,10000（千円）,北山　芳包（キタヤマ ヨシカネ）
株式会社ニシクボ,1170001005690,その他の製造業,〒640-1161和歌山県海南市野上新295,0734871258（073-487-1258）,10000（千円）,芦田　光兒郎（アシダ コウジロウ）
サンワブラシ株式会社,1170001005716,その他の製造業,〒640-0443和歌山県海南市下津野289-1,0734880341（073-488-0341）,10000（千円）,中尾　享平（ナカオ キヨウヘイ）
サンベルム株式会社,1170001005724,衣服・その他の繊維製品製造業,〒642-0024和歌山県海南市阪井1500-1,0734871415（073-487-1415）,15000（千円）,代表取締役社長／角谷　昌哉（カクタニ マサヤ）
高木加工株式会社,1170001005757,その他の製造業,〒642-0023和歌山県海南市重根1222,0734871112（073-487-1112）,10000（千円）,高木　秀樹（タカギ ヒデキ）
通宝酒造株式会社,1170001005765,食料品・飼料・飲料製造業,〒640-1171和歌山県海南市野上中449,0734870144（073-487-0144）,10000（千円）,谷口　誠也（タニグチ セイヤ）
紀陽除虫菊株式会社,1170001005872,化学工業,〒649-0164和歌山県海南市下津町上1135,0734920010（073-492-0010）,10000（千円）,代表取締役社長／小久保　好章（コクボ ヨシアキ）
株式会社岩橋ビニール,1170001005947,その他の製造業,〒640-1141和歌山県海草郡紀美野町小畑234-2,0734892119（073-489-2119）,10000（千円）,岩橋　忠夫（イワハシ タダオ）
株式会社梶谷産業,1170001005955,その他の製造業,〒640-1243和歌山県海草郡紀美野町神野市場33,0734952172（073-495-2172）,10000（千円）,梶谷　修宏（カジタニ マサヒロ）
株式会社藤本安一商店,1170001006573,皮革・同製品・毛皮製造業,〒640-8301和歌山県和歌山市岩橋608-3,0734715371（073-471-5371）,9000（千円）,藤本　周平（フジモト シユウヘイ）
株式会社信和化学,1170001006706,その他の製造業,〒642-0015和歌山県海南市且来268,0734823014（073-482-3014）,1000（千円）,荒谷　隆行（アラタニ タカユキ）
株式会社キンエイクリエイト,1170001007043,化学工業,〒643-0051和歌山県有田郡広川町下津木72-1,0737672216（0737-67-2216）,10000（千円）,戸田　篤宏（トダ アツヒロ）
株式会社フジメック,1170001007225,金属製品製造業,〒643-0022和歌山県有田郡有田川町奥300-7,0737526802（0737-52-6802）,10000（千円）,藤田　格平（フジタ カクヘイ）
株式会社川衛製作所,1170001007308,電気機械器具製造業,〒649-0301和歌山県有田市下中島65,0737885105（0737-88-5105）,12000（千円）,川口　裕清（カワグチ ヒロズミ）
東亜生コン株式会社,1170001007373,窯業・土石製品製造業,〒649-0307和歌山県有田市初島町里601,0737835588（0737-83-5588）,40000（千円）,代表取締役社長／木下　京美（キノシタ キヨウミ）
株式会社伊藤農園,1170001007638,食料品・飼料・飲料製造業,〒649-0435和歌山県有田市宮原町滝川原498-2,0737887053（0737-88-7053）,7000（千円）,代表取締役社長／伊藤　修（イトウ オサム）
株式会社赤井工作所,1170001007712,金属製品製造業,〒649-6202和歌山県岩出市根来2027-2,0736629291（0736-62-9291）,10000（千円）,代表取締役社長／赤井　美隆（アカイ ヨシタカ）
