会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社リケン環境システム,1010001032222,一般機械器具製造業,〒360-0031埼玉県熊谷市末広4-14-1,0485257233（048-525-7233）,100000（千円）,代表取締役社長／角田　勉（カクタ ツトム）
株式会社メンテックジャパン,1010001113476,電気機械器具製造業,〒334-0075埼玉県川口市江戸袋1-30-13,0482880522（048-288-0522）,10000（千円）,代表取締役社長／田中　宏昭（タナカ ヒロアキ）
株式会社カネコ化学,1010001118095,化学工業,〒343-0813埼玉県越谷市越ヶ谷2-5-2,0489695071（048-969-5071）,10000（千円）,金子　旻又（カネコ アキヤス）
株式会社ＭＩＳ,1010001139298,電気機械器具製造業,〒358-0014埼玉県入間市宮寺1986-1,0429026577（04-2902-6577）,5500（千円）,増田　文緒（マスダ フミオ）
有限会社大池,1010902003073,石油製品・石炭製品製造業,〒341-0044埼玉県三郷市戸ケ崎3224,0489552245（048-955-2245）,3000（千円）,代表取締役社長／西郷　敏充（サイゴウ トシミツ）
昭和軽金属鋳造株式会社,1011501002210,一般機械器具製造業,〒346-0101埼玉県久喜市菖蒲町昭和沼23,0480857231（0480-85-7231）,22000（千円）,原田　豊（ハラダ ユタカ）
株式会社東京理工舎,1011501003150,電気機械器具製造業,〒338-0823埼玉県さいたま市桜区栄和1-4-30,0488563851（048-856-3851）,47000（千円）,代表取締役社長／岡崎　孝宣（オカザキ タカノリ）
有限会社根津製作所,1011502010377,金属製品製造業,〒340-0812埼玉県八潮市中馬場35-6,0489950686（048-995-0686）,3000（千円）,根津　昌弘（ネヅ マサヒロ）
藤工業株式会社,1011601007902,金属製品製造業,〒339-0072埼玉県さいたま市岩槻区古ケ場2-7-1,0487950075（048-795-0075）,10000（千円）,代表取締役社長／藤田　清志（フジタ キヨシ）
株式会社ポリマーテック,1011701013577,ゴム製品製造業,〒335-0035埼玉県戸田市笹目南町4-11,0484208512（048-420-8512）,10000（千円）,石川　洋一（イシカワ ヨウイチ）
株式会社磯谷,1011801000376,一般機械器具製造業,〒341-0037埼玉県三郷市高州2-193,0489560621（048-956-0621）,10000（千円）,磯谷　修司（イソヤ シユウジ）
