会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
菱東肥料株式会社,1320001000008,化学工業,〒870-0018大分県大分市豊海3-3-1,0975345911（097-534-5911）,50000（千円）,代表取締役社長／守能　祥吉（モリノウ シヨウキチ）
株式会社大森工業所,1320001000726,金属製品製造業,〒870-0106大分県大分市鶴崎1807,0975223434（097-522-3434）,10000（千円）,代表取締役社長／大勝　健雄（オオカツ タケオ）
株式会社学食,1320001000791,食料品・飼料・飲料製造業,〒870-0848大分県大分市賀来北2-13-3,0975490188（097-549-0188）,10000（千円）,代表取締役社長／雨川　利沖（アメカワ トシオキ）
株式会社キュー・プリント大分,1320001000973,出版・印刷・同関連産業,〒870-0245大分県大分市大在北3-2-12,0975230432（097-523-0432）,10300（千円）,薬師寺　英二（ヤクシジ エイジ）
タカキ製作所株式会社,1320001001708,電気機械器具製造業,〒870-0941大分県大分市下郡3113-7,0975693115（097-569-3115）,20000（千円）,代表取締役社長／久保　順一（クボ ジユンイチ）
株式会社田北電機製作所,1320001001716,金属製品製造業,〒870-0941大分県大分市下郡3182-4,0975693677（097-569-3677）,24000（千円）,代表取締役社長／田北　賢司（タキタ ケンジ）
株式会社高山活版社,1320001001724,出版・印刷・同関連産業,〒870-0943大分県大分市片島尻込301-1,0975688227（097-568-8227）,10000（千円）,高山　英一郎（タカヤマ エイイチロウ）
西日本電線株式会社,1320001002193,"鉄鋼業,非鉄金属製造業",〒870-0011大分県大分市駄原2899,0975375552（097-537-5552）,960000（千円）,代表取締役社長／金井　俊英（カナイ トシヒデ）
宮菱興産株式会社,1320001002689,食料品・飼料・飲料製造業,〒870-0018大分県大分市豊海3-3-1,0975345911（097-534-5911）,10000（千円）,江本　直幹（エモト ナオミキ）
大分砕石株式会社,1320001002937,窯業・土石製品製造業,〒879-7503大分県大分市河原内229,0975961234（097-596-1234）,50000（千円）,小出　正一（コイデ シヨウイチ）
株式会社地域経済情報センター,1320001004017,出版・印刷・同関連産業,〒870-0951大分県大分市下郡3055-14,0975745188（097-574-5188）,10000（千円）,内田　猪生（ウチダ イセイ）
アグリコ株式会社,1320001004198,食料品・飼料・飲料製造業,〒879-7501大分県大分市竹中3196-1,0975978787（097-597-8787）,6000（千円）,田染　健次（タシブ ケンジ）
株式会社村山パネル工業,1320001004396,電気機械器具製造業,〒870-0905大分県大分市向原西2-6-18,0975583216（097-558-3216）,5000（千円）,村山　俊彦（ムラヤマ トシヒコ）
株式会社メディック,1320001005130,出版・印刷・同関連産業,〒870-0941大分県大分市下郡3055-14,0975675501（097-567-5501）,29100（千円）,高井　道晴（タカイ ミチハル）
株式会社パワーテクノロジー,1320001005535,金属製品製造業,〒870-0911大分県大分市新貝2-29,0975943463（097-594-3463）,50000（千円）,三代　博文（ミシロ ヒロフミ）
株式会社タカサキ機械工業,1320001006087,一般機械器具製造業,〒870-0872大分県大分市高崎1404-3,0975492462（097-549-2462）,3000（千円）,益田　重喜（マスダ シゲキ）
株式会社スター食品,1320001007333,食料品・飼料・飲料製造業,〒874-0841大分県別府市鶴見1915-1,0977255211（0977-25-5211）,4000（千円）,星野　靖子（ホシノ ヤスコ）
株式会社ナノテック,1320001007580,一般機械器具製造業,〒879-0466大分県宇佐市上拝田上公田1005-1,0978323106（0978-32-3106）,30000（千円）,中野　一昭（ナカノ カズアキ）
大関食品株式会社,1320001007622,食料品・飼料・飲料製造業,〒879-0302大分県宇佐市下乙女638-1,0978332546（0978-33-2546）,25000（千円）,代表取締役社長／森　一郎（モリ イチロウ）
堤生コン株式会社,1320001007829,窯業・土石製品製造業,〒872-1202大分県豊後高田市香々地2923,0978542064（0978-54-2064）,13500（千円）,代表取締役社長／堤　俊之（ツツミ トシユキ）
株式会社豊洋メット,1320001007853,その他の製造業,〒879-0614大分県豊後高田市来縄2736-1,0978221177（0978-22-1177）,80000（千円）,代表取締役社長／清原　昌巳（キヨハラ マサミ）
アミナカフーズ株式会社,1320001007886,食料品・飼料・飲料製造業,〒879-0305大分県宇佐市上高家268-1,0978349560（0978-34-9560）,20000（千円）,網中　祐二（アミナカ ユウジ）
九州アスコン株式会社,1320001008034,石油製品・石炭製品製造業,〒879-0236大分県宇佐市清水小永迫30,0978326789（0978-32-6789）,20000（千円）,隈田　英樹（クマダ ヒデキ）
株式会社キリウ大分,1320001008059,"鉄鋼業,非鉄金属製造業",〒872-0311大分県宇佐市院内町香下1703,0978426222（0978-42-6222）,90000（千円）,大本　修（ダイモト オサム）
株式会社田中工藝,1320001008067,家具・装備品製造業,〒879-0604大分県豊後高田市美和110-5,0978220034（0978-22-0034）,5000（千円）,代表取締役社長／田中　賢二（タナカ ケンジ）
株式会社アンドウ・ラボ,1320001008174,食料品・飼料・飲料製造業,〒879-0614大分県豊後高田市来縄895-1,0978243541（0978-24-3541）,26500（千円）,安藤　重喜（アンドウ シゲキ）
杵築生コンクリート株式会社,1320001008232,窯業・土石製品製造業,〒873-0033大分県杵築市守江2-2964-1,0978639311（0978-63-9311）,25000（千円）,堀内　謙二（ホリウチ ケンジ）
阪和縫製株式会社,1320001008307,衣服・その他の繊維製品製造業,〒873-0531大分県国東市国東町川原478-1,0978723323（0978-72-3323）,10000（千円）,清原　賢一（キヨハラ ケンイチ）
大分電子工業株式会社,1320001008348,電気機械器具製造業,〒879-1507大分県速見郡日出町豊岡867,0977723477（0977-72-3477）,45000（千円）,藤田　忠煕（フジタ タダヒロ）
株式会社ホックス,1320001008406,電気機械器具製造業,〒879-1504大分県速見郡日出町大神9748-6,0977726661（0977-72-6661）,60000（千円）,代表取締役社長／小坪　睦治（コツボ ヨシハル）
株式会社江原造船鉄工所,1320001008538,輸送用機械器具製造業,〒872-1401大分県国東市国見町伊美4301-5,0978820023（0978-82-0023）,10000（千円）,江原　語（エハラ カタル）
株式会社ぶんご海産,1320001008760,食料品・飼料・飲料製造業,〒879-1504大分県速見郡日出町大神7095,0977758514（0977-75-8514）,3000（千円）,高橋　かおり（タカハシ カオリ）
株式会社小野商店,1320001008884,その他の製造業,〒876-0801大分県佐伯市葛港9-7,0972238585（0972-23-8585）,10000（千円）,山本　仲則（ヤマモト ナカノリ）
株式会社クニナリ,1320001008918,金属製品製造業,〒876-1101大分県佐伯市狩生2107,0972277069（0972-27-7069）,10000（千円）,石田　昌康（イシダ マサヤス）
ニシジマ精機株式会社,1320001009065,一般機械器具製造業,〒876-1106大分県佐伯市戸穴469,0972276633（0972-27-6633）,10000（千円）,代表取締役社長／西嶋　真由企（ニシジマ マサユキ）
株式会社平和木工所,1320001009098,家具・装備品製造業,〒876-1512大分県佐伯市堅田6025-1,0972237123（0972-23-7123）,10000（千円）,西谷　政友（ニシタニ マサトモ）
株式会社三浦造船所,1320001009123,輸送用機械器具製造業,〒876-0011大分県佐伯市鶴望4900,0972222033（0972-22-2033）,100000（千円）,代表取締役社長／三浦　唯秀（ミウラ タダヒデ）
ぶんご銘醸株式会社,1320001009180,食料品・飼料・飲料製造業,〒879-3105大分県佐伯市直川横川亀の甲789-4,0972585855（0972-58-5855）,10000（千円）,代表取締役社長／狩生　孝之（カリウ タカユキ）
株式会社トミタカ,1320001009247,食料品・飼料・飲料製造業,〒876-2201大分県佐伯市蒲江畑野浦2671,0972451129（0972-45-1129）,2000（千円）,冨高　亘（トミタカ ワタル）
株式会社川崎かぼす農園,1320001009783,食料品・飼料・飲料製造業,〒879-7152大分県豊後大野市三重町百枝4001-2,0974220483（0974-22-0483）,2000（千円）,川崎　元助（カワサキ モトスケ）
あねさん工房株式会社,1320001009791,食料品・飼料・飲料製造業,〒879-6754大分県豊後大野市緒方町冬原832-3,0974452928（0974-45-2928）,6000（千円）,進藤　充啓（シンドウ ミツヒロ）
株式会社ホンカワ,1320001010114,食料品・飼料・飲料製造業,〒877-0056大分県日田市高瀬3898,0973226509（0973-22-6509）,10000（千円）,代表取締役社長／本川　角重（ホンカワ スミシゲ）
三隈工業株式会社,1320001010139,パルプ・紙・紙加工品製造業,〒877-0061大分県日田市石井581-1,0973236191（0973-23-6191）,30000（千円）,代表取締役社長／渡辺　晴美（ワタナベ ハルミ）
九州シートスプリング工業株式会社,1320001010188,家具・装備品製造業,〒877-0201大分県日田市大山町西大山時鳥3222,0973522002（0973-52-2002）,25000（千円）,市尾　次忠（イチオ ツギタダ）
八鹿酒造株式会社,1320001010295,食料品・飼料・飲料製造業,〒879-4601大分県玖珠郡九重町右田3364,0973762888（0973-76-2888）,74100（千円）,代表取締役社長／麻生　益直（アソウ マスナオ）
株式会社殿畑双葉堂,1320001010849,食料品・飼料・飲料製造業,〒879-0103大分県中津市植野525-1,0979326151（0979-32-6151）,10000（千円）,殿畑　安司（トノハタ ヤスジ）
株式会社東九州精工,1320001010931,一般機械器具製造業,〒879-0101大分県中津市今津29-1,0979324048（0979-32-4048）,10200（千円）,渡辺　貴光（ワタナベ タカミツ）
福進株式会社,1320001010948,窯業・土石製品製造業,〒871-0004大分県中津市上如水1333-1,0979325688（0979-32-5688）,20000（千円）,久野　喜代彦（ヒサノ キヨヒコ）
株式会社化研,1320001011310,化学工業,〒871-0102大分県中津市三光成恒208,0979277966（0979-27-7966）,10000（千円）,荒金　圭一（アラカネ ケイイチ）
株式会社関豊海参交易,1320001011483,食料品・飼料・飲料製造業,〒879-2201大分県大分市佐賀関東町1600,0975753242（097-575-3242）,1000（千円）,東　隆二（ヒガシ リユウジ）
ホオリイ株式会社,1320001011657,食料品・飼料・飲料製造業,〒870-0024大分県大分市錦町3-2-1,0975329896（097-532-9896）,3000（千円）,堀　賢一（ホリ ケンイチ）
株式会社ナノプラネット,1320001011707,一般機械器具製造業,〒873-0432大分県国東市武蔵町向陽台12-3,0978648155（0978-64-8155）,6000（千円）,大成　由音（オオナリ ヨシト）
株式会社さいき二海,1320001012597,食料品・飼料・飲料製造業,〒876-1102大分県佐伯市二栄585-16,0972450072（0972-45-0072）,20000（千円）,工藤　哲生（クドウ テツオ）
中川工業株式会社,1320001013752,金属製品製造業,〒876-0000大分県佐伯市7441-2,0972489121（0972-48-9121）,8000（千円）,中川　活二（ナカガワ カツジ）
ニュージャパンマリン九州株式会社,1320001014107,輸送用機械器具製造業,〒873-0231大分県国東市安岐町下原252-5,0596376000（0596-37-6000）,10000（千円）,中北　和彦（ナカキタ カズヒコ）
大分歯車有限会社,1320002000031,一般機械器具製造業,〒870-0926大分県大分市下郡3213-7,0975696655（097-569-6655）,3000（千円）,伊藤　陽介（イトウ ヨウスケ）
有限会社岡ゴム商会,1320002001590,ゴム製品製造業,〒870-0143大分県大分市三川上2-3-46,0975588323（097-558-8323）,15000（千円）,岡　康秀（オカ ヤスヒデ）
有限会社北出建具製作所,1320002002143,家具・装備品製造業,〒870-0921大分県大分市萩原4-8-21,0975584338（097-558-4338）,3000（千円）,代表取締役社長／北出　貴久（キタデ タカヒサ）
有限会社寿寝具製造,1320002002754,衣服・その他の繊維製品製造業,〒870-0901大分県大分市西新地2-1-12,0975517696（097-551-7696）,3000（千円）,馬塲　昭雄（ババ アキオ）
有限会社サツマエキス,1320002003075,食料品・飼料・飲料製造業,〒870-1176大分県大分市富士見が丘東2-13-4,0975416299（097-541-6299）,3000（千円）,河野　良介（カワノ リヨウスケ）
有限会社大丸広告社,1320002004189,その他の製造業,〒870-0016大分県大分市新川町1-1-32,0975322464（097-532-2464）,3000（千円）,長谷川　宏（ハセガワ ヒロシ）
有限会社玉田石材店,1320002004461,窯業・土石製品製造業,〒870-0901大分県大分市西新地1-5-16,0975516829（097-551-6829）,3000（千円）,玉田　智久（タマダ トモヒサ）
