会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
新日本サーマルセラミックス株式会社,1010001098016,窯業・土石製品製造業,〒590-0985大阪府堺市堺区戎島町4-45-1ポルタスセンタービル12階,0723418520（072-341-8520）,490000（千円）,代表取締役社長／宮原　弘彰（ミヤハラ ヒロアキ）
株式会社アイテック,1010001149677,電気機械器具製造業,〒564-0052大阪府吹田市広芝町7-21アズマビル5F,0663380261（06-6338-0261）,10000（千円）,越智　馨（オチ カオル）
株式会社タイム,1013301031620,出版・印刷・同関連産業,〒530-0005大阪府大阪市北区中之島4-1-18,0664410885（06-6441-0885）,3000（千円）,吉村　司（ヨシムラ ツカサ）
田中電工株式会社,1120001000770,電気機械器具製造業,〒535-0031大阪府大阪市旭区高殿7-16-31,0669511131（06-6951-1131）,75000（千円）,代表取締役社長／田中　義也（タナカ ヨシナリ）
株式会社利昭工業,1120001001323,一般機械器具製造業,〒535-0022大阪府大阪市旭区新森4-3-20,0669514034（06-6951-4034）,10000（千円）,宮田　昭次郎（ミヤタ シヨウジロウ）
大阪ミーリング株式会社,1120001001380,一般機械器具製造業,〒535-0031大阪府大阪市旭区高殿1-7-17,0669224651（06-6922-4651）,10000（千円）,前浜　正（マエハマ タダシ）
日本紙管工業株式会社,1120001001389,パルプ・紙・紙加工品製造業,〒535-0002大阪府大阪市旭区大宮1-11-3,0669520674（06-6952-0674）,80000（千円）,代表取締役社長／竹本　拓央（タケモト タクオ）
株式会社朝日化学工業所,1120001001406,化学工業,〒538-0043大阪府大阪市鶴見区今津南2-2-25,0669621938（06-6962-1938）,22500（千円）,代表取締役／谷口　文彦（タニグチ フミヒコ）
井上金網工業株式会社,1120001001488,金属製品製造業,〒538-0043大阪府大阪市鶴見区今津南2-3-16,0669620021（06-6962-0021）,10000（千円）,井上　正章（イノウエ マサアキ）
エバーコート株式会社,1120001001538,その他の製造業,〒538-0053大阪府大阪市鶴見区鶴見1-6-76,0669130110（06-6913-0110）,20000（千円）,代表取締役社長／三島　満（ミシマ ミツル）
