会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
上六印刷株式会社,1120001022443,出版・印刷・同関連産業,〒630-0101奈良県生駒市高山町8916-15,0743713013（0743-71-3013）,59800（千円）,代表取締役社長／三島　基司（ミシマ モトヒロ）
幸生樹脂工業有限会社,1120002009464,その他の製造業,〒639-1115奈良県大和郡山市横田町1021-5,0743569560（0743-56-9560）,3000（千円）,代表取締役社長／東　忠生（アズマ タダオ）
有限会社大照化工,1122002002829,その他の製造業,〒630-2221奈良県山辺郡山添村箕輪1056,0743890916（0743-89-0916）,3000（千円）,川田　哲也（カワタ テツヤ）
株式会社あかしや,1150001000090,その他の製造業,〒630-8016奈良県奈良市南新町78-1,0742336181（0742-33-6181）,11000（千円）,代表取締役社長／水谷　豊（ミズタニ ユタカ）
植田蚊帳株式会社,1150001000272,"繊維工業（衣服,その他の繊維製品を除く）",〒630-8304奈良県奈良市南肘塚町111,0742265151（0742-26-5151）,20000（千円）,代表取締役社長／植田　和彦（ウエダ カズヒコ）
株式会社塚本畳商店,1150001001403,その他の製造業,〒630-8001奈良県奈良市法華寺町1123,0742334524（0742-33-4524）,10000（千円）,塚本　益広（ツカモト マスヒロ）
奈良化成株式会社,1150001001667,その他の製造業,〒631-0811奈良県奈良市秋篠町1417-1,0742445866（0742-44-5866）,10000（千円）,岩田　友之（イワタ トモユキ）
前田製菓株式会社,1150001002252,食料品・飼料・飲料製造業,〒630-8305奈良県奈良市東紀寺町3-9-13,0742226348（0742-22-6348）,20000（千円）,前田　武（マエダ タケシ）
株式会社やまと蜂蜜,1150001002467,食料品・飼料・飲料製造業,〒630-8432奈良県奈良市田中町324,0742618868（0742-61-8868）,85000（千円）,代表取締役社長／鳥居　尚子（トリイ ヒサコ）
太陽食品株式会社,1150001004109,食料品・飼料・飲料製造業,〒630-8423奈良県奈良市出屋敷町141-1,0742624711（0742-62-4711）,48000（千円）,竹川　政男（タケガワ マサオ）
株式会社ＭＳＴコーポレーション,1150001004752,一般機械器具製造業,〒630-0142奈良県生駒市北田原町1738,0743781184（0743-78-1184）,70000（千円）,代表取締役社長／溝口　春機（ミゾグチ ハルキ）
オーケーディー株式会社,1150001004769,金属製品製造業,〒630-0101奈良県生駒市高山町7689-1,0743785075（0743-78-5075）,10000（千円）,代表取締役／岡田　博之（オカダ ヒロユキ）
株式会社関西発條製作所,1150001004777,金属製品製造業,〒630-0142奈良県生駒市北田原町1768-1,0743780588（0743-78-0588）,72000（千円）,代表取締役社長／豊川　卓也（トヨカワ タクヤ）
株式会社電研端子製作所,1150001005016,電気機械器具製造業,〒630-0142奈良県生駒市北田原町1059,0743791467（0743-79-1467）,10000（千円）,代表取締役社長／増田　修司（マスダ シユウジ）
株式会社ナチュラルフアーム,1150001005420,その他の製造業,〒632-0103奈良県奈良市荻町518-1,0743840130（0743-84-0130）,10000（千円）,泉谷　祐子（イズタニ ヒロコ）
株式会社アルファー,1150001005528,出版・印刷・同関連産業,〒639-1156奈良県大和郡山市堺町69,0743540013（0743-54-0013）,10000（千円）,八尾　徹（ヤツオ トオル）
株式会社大床義肢,1150001005627,その他の製造業,〒639-1045奈良県大和郡山市小林町西1-4-7,0743568944（0743-56-8944）,10000（千円）,大床　修（オオドコ オサム）
大阪ピグメント株式会社,1150001005635,化学工業,〒639-1031奈良県大和郡山市今国府町6-11,0743561451（0743-56-1451）,100000（千円）,古賀　義隆（コガ ヨシタカ）
関西高分子工業株式会社,1150001005668,その他の製造業,〒639-1115奈良県大和郡山市横田町113-1,0743590781（0743-59-0781）,100000（千円）,代表取締役社長／山崎　孝吉（ヤマザキ タカヨシ）
株式会社光和電器製作所,1150001005701,その他の製造業,〒639-1026奈良県大和郡山市小林町186,0743563709（0743-56-3709）,10000（千円）,上尾　猛（ウエオ タケシ）
大丸塗装工業株式会社,1150001005767,金属製品製造業,〒639-1025奈良県大和郡山市北西町209,0743591915（0743-59-1915）,10000（千円）,八幡　清（ヤハタ キヨシ）
三精塗料工業株式会社,1150001005833,化学工業,〒639-1037奈良県大和郡山市額田部北町1261-5,0743568611（0743-56-8611）,40000（千円）,代表取締役社長／桔梗谷　正（キキヨウダニ タダシ）
株式会社トローベル,1150001005940,皮革・同製品・毛皮製造業,〒639-1042奈良県大和郡山市小泉町2475-8,0743531026（0743-53-1026）,15000（千円）,寺岡　章吾（テラオカ シヨウゴ）
株式会社本家菊屋,1150001006096,食料品・飼料・飲料製造業,〒639-1134奈良県大和郡山市柳1-11,0743520035（0743-52-0035）,10000（千円）,代表取締役社長／菊岡　洋之（キクオカ ヒロユキ）
株式会社カメタニ,1150001006443,食料品・飼料・飲料製造業,〒630-2231奈良県山辺郡山添村勝原1687,0743870431（0743-87-0431）,10000（千円）,亀谷　眞一（カメタニ シンイチ）
株式会社グリーンメッシュ,1150001006468,金属製品製造業,〒630-2346奈良県山辺郡山添村西波多1718,0743850880（0743-85-0880）,10000（千円）,辰巳　公秀（タツミ キミヒデ）
坂利木材工業株式会社,1150001006501,木材・木製品製造業（家具を除く）,〒632-0063奈良県天理市西長柄町676,0743670128（0743-67-0128）,50000（千円）,坂口　勝美（サカグチ カツミ）
豊新産業株式会社,1150001006724,その他の製造業,〒632-0054奈良県天理市檜垣町204,0743662176（0743-66-2176）,10000（千円）,中野　好章（ナカノ ヨシアキ）
丸山繊維産業株式会社,1150001006740,"繊維工業（衣服,その他の繊維製品を除く）",〒632-0062奈良県天理市長柄町695,0743661282（0743-66-1282）,10000（千円）,代表取締役社長／丸山　欽也（マルヤマ キンヤ）
御宮知靴下製造株式会社,1150001006939,衣服・その他の繊維製品製造業,〒636-0152奈良県生駒郡斑鳩町龍田3-10-10,0745755801（0745-75-5801）,15000（千円）,御宮知　喜久夫（オングウチ キクオ）
セパレーターシステム工業株式会社,1150001007037,一般機械器具製造業,〒636-0915奈良県生駒郡平群町春日丘2-7-7,0745457085（0745-45-7085）,10000（千円）,代表取締役社長／松澤　大亮（マツザワ ダイスケ）
淀川真空株式会社,1150001007219,その他の製造業,〒639-1066奈良県生駒郡安堵町西安堵474-3,0743572622（0743-57-2622）,50000（千円）,代表取締役社長／田中　一次（タナカ カズツグ）
関西保存科学工業株式会社,1150001007490,一般機械器具製造業,〒632-0246奈良県奈良市都祁友田町1285,0743821302（0743-82-1302）,25000（千円）,樫根　烈（カシネ イサオ）
株式会社暁金属,1150001007929,"鉄鋼業,非鉄金属製造業",〒632-0245奈良県奈良市藺生町734-8,0743825115（0743-82-5115）,70000（千円）,奥本　暁（オクモト アキラ）
株式会社成瀬ふとん,1150001008357,衣服・その他の繊維製品製造業,〒632-0086奈良県天理市庵治町97,0743641154（0743-64-1154）,5000（千円）,成瀬　竜次（ナルセ リユウジ）
株式会社池利,1150001009207,食料品・飼料・飲料製造業,〒633-0074奈良県桜井市芝322-2,0744432421（0744-43-2421）,45000（千円）,代表取締役社長／池田　利一（イケダ トシカズ）
岩本木材株式会社,1150001009223,木材・木製品製造業（家具を除く）,〒633-0065奈良県桜井市吉備561,0744450138（0744-45-0138）,10000（千円）,岩本　力（イワモト チカラ）
奈良食品株式会社,1150001009446,食料品・飼料・飲料製造業,〒633-0018奈良県桜井市脇本448,0744424396（0744-42-4396）,10000（千円）,森下　晃（モリシタ アキラ）
株式会社ニシダ,1150001009470,その他の製造業,〒633-0066奈良県桜井市西之宮194-1,0744452211（0744-45-2211）,10000（千円）,西田　康弘（ニシダ ヤスヒロ）
ミワケンコー株式会社,1150001009553,化学工業,〒633-0077奈良県桜井市大西510-1,0744450777（0744-45-0777）,10000（千円）,畑中　正直（ハタナカ マサナオ）
株式会社森岡,1150001009578,食料品・飼料・飲料製造業,〒633-0091奈良県桜井市桜井244,0744422590（0744-42-2590）,10000（千円）,森岡　茂（モリオカ シゲル）
株式会社岸本毛皮,1150001009727,衣服・その他の繊維製品製造業,〒633-2227奈良県宇陀市菟田野岩崎27-2,0745843925（0745-84-3925）,10000（千円）,岸本　頼子（キシモト ヨリコ）
株式会社フジ建生コンクリート,1150001009801,窯業・土石製品製造業,〒633-2113奈良県宇陀市大宇陀下竹190-1,0745831180（0745-83-1180）,10000（千円）,藤田　弘和（フジタ ヒロカズ）
植平コンクリート工業株式会社,1150001009850,窯業・土石製品製造業,〒633-0235奈良県宇陀市榛原比布1312-1,0745822162（0745-82-2162）,20000（千円）,代表取締役社長／植平　善延（ウエヒラ ヨシノブ）
粉川木材株式会社,1150001009883,木材・木製品製造業（家具を除く）,〒633-0241奈良県宇陀市榛原下井足1400,0745821355（0745-82-1355）,20000（千円）,代表取締役社長／粉川　元秀（コカワ モトヒデ）
