会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社光英電機,1370001000655,ビジネス > 製造・加工（工作機械・一般機械器具）,〒981-3217宮城県仙台市泉区実沢字八沢橋本1,0223772878（0223-77-2878）,10000（千円）,代表取締役社長／佐藤　英司（サトウ エイジ）
寺嶋建設株式会社,1370001000936,ビジネス > 製造・加工（その他）,宮城県仙台市泉区泉中央1-42-5,0223729621（022-372-9621）,"",""
株式会社キョーデン,1370001001629,ビジネス > 製造・加工（電子・精密機械器具）,〒981-1224宮城県名取市増田7-13-37,0223843514（0223-84-3514）,"",""
岡田食品工業株式会社,1370001002767,ビジネス > 製造・加工（食料品）,〒984-0015宮城県仙台市若林区卸町1-4-9,0222840131（022-284-0131）,"",""
マルホン株式会社,1370001004086,ビジネス > 製造・加工（衣料関連）,〒984-8670宮城県仙台市若林区卸町2丁目8番地の4,0222355161（022-235-5161）,"",""
葵工業株式会社,1370001004540,ビジネス > 製造・加工（輸送機械器具）,〒983-0835宮城県仙台市宮城野区大梶10-15,0222972020（022-297-2020）,"",""
古川電気工業株式会社,1370001006009,ビジネス > 製造・加工（電子・精密機械器具）,〒983-0034宮城県仙台市宮城野区扇町2-1-10,0222366031（022-236-6031）,"",""
東北ゼネラル防災株式会社,1370001006421,ビジネス > 製造・加工（工作機械・一般機械器具）,〒983-0821宮城県仙台市宮城野区岩切字水分65-2,0222551501（022-255-1501）,14000（千円）,權藤　正俊（ゴンドウ マサトシ）
株式会社ホロニック,1370001010316,ビジネス > 製造・加工（その他）,〒981-3216宮城県仙台市泉区根白石字経檀河原5番5,0223797560（022-379-7560）,"",""
シード株式会社,1370001014052,ビジネス > 製造・加工（工作機械・一般機械器具）,〒981-3133宮城県仙台市泉区泉中央3-2-1ルーセント21,0227712721（022-771-2721）,"",""
有限会社タイショー,1370002005546,ビジネス > 製造・加工（金属製品）,〒984-0015宮城県仙台市若林区卸町5-3-6,0222397250（022-239-7250）,"",""
朝日工業株式会社,1370101000010,ビジネス > 製造・加工（金属製品）,〒989-1206宮城県柴田郡大河原町中の倉166,0224532021（0224-53-2021）,"",""
ＤＩＣ北日本ポリマ株式会社,1370101001215,ビジネス > 製造・加工（化学・プラスチック）,〒989-0701宮城県刈田郡蔵王町宮字新大除56,0224322226（0224-32-2226）,100000（千円）,代表取締役社長／古谷　英二（フルヤ エイジ）
