会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社クリエイト・ファイブ,1350001000517,ゴム製品製造業,〒880-0857宮崎県宮崎市小戸町21,0985206006（0985-20-6006）,10000（千円）,上村　健一（カミムラ ケンイチ）
晨星興産株式会社,1350001000764,電気機械器具製造業,〒889-1601宮崎県宮崎市清武町木原58-13,0985853700（0985-85-3700）,10000（千円）,代表取締役社長／岸本　正興（キシモト マサオキ）
ヒラサワプレシジョン株式会社,1350001001449,一般機械器具製造業,〒889-1602宮崎県宮崎市清武町今泉甲3897-16,0985556115（0985-55-6115）,20000（千円）,代表取締役社長／岩切　康治（イワキリ コウジ）
北辰運輸株式会社,1350001001572,窯業・土石製品製造業,〒880-0852宮崎県宮崎市高洲町345,0985253500（0985-25-3500）,30000（千円）,神田　利宏（カンダ トシヒロ）
松浦建設産業株式会社,1350001001630,木材・木製品製造業（家具を除く）,〒880-0124宮崎県宮崎市新名爪4090-10,0985390792（0985-39-0792）,10000（千円）,松浦　泰紀（マツウラ ヤスノリ）
株式会社宮崎合同食品,1350001001671,食料品・飼料・飲料製造業,〒880-0044宮崎県宮崎市瓜生野3700,0985411643（0985-41-1643）,10000（千円）,木下　初美（キノシタ ハツミ）
雲海酒造株式会社,1350001002307,食料品・飼料・飲料製造業,〒880-0833宮崎県宮崎市昭栄町45-1,0985237890（0985-23-7890）,102000（千円）,代表取締役社長／中島　美幸（ナカシマ ヨシユキ）
アイオーケイ株式会社,1350001004121,一般機械器具製造業,〒880-1106宮崎県東諸県郡国富町森永3015,0985758282（0985-75-8282）,40000（千円）,宮原　英輔（ミヤハラ エイスケ）
九州農産株式会社,1350001004138,食料品・飼料・飲料製造業,〒880-1104宮崎県東諸県郡国富町田尻明久2067-2,0985757020（0985-75-7020）,90000（千円）,代表取締役社長／大羽　恭史（オオバ ヤスフミ）
宮崎県農協果汁株式会社,1350001005656,食料品・飼料・飲料製造業,〒889-1301宮崎県児湯郡川南町川南20016-3,0983271111（0983-27-1111）,943381（千円）,代表取締役社長／新森　雄吾（シンモリ ユウゴ）
株式会社カスタムジャパン,1350001005697,輸送用機械器具製造業,〒889-1301宮崎県児湯郡川南町川南396,0983275028（0983-27-5028）,10000（千円）,中村　博己（ナカムラ ヒロミ）
株式会社村田製菓,1350001005895,食料品・飼料・飲料製造業,〒889-1301宮崎県児湯郡川南町川南21731-23,0983270324（0983-27-0324）,5000（千円）,代表取締役社長／村田　清五郎（ムラタ セイゴロウ）
株式会社日向製錬所,1350001006084,"鉄鋼業,非鉄金属製造業",〒883-0065宮崎県日向市船場町5,0982528101（0982-52-8101）,1080000（千円）,代表取締役社長／神谷　雅博（カミヤ マサヒロ）
味鶏フーズ株式会社,1350001006167,食料品・飼料・飲料製造業,〒889-0626宮崎県東臼杵郡門川町平城西3-1,0982631559（0982-63-1559）,10000（千円）,三原　健治（ミハラ ケンジ）
株式会社あくがれ蒸留所,1350001006299,食料品・飼料・飲料製造業,〒883-0106宮崎県日向市東郷町山陰辛212-1,0982683550（0982-68-3550）,20000（千円）,黒木　繁人（クロギ シゲト）
株式会社ハラダ工機,1350001007719,金属製品製造業,〒889-0623宮崎県東臼杵郡門川町宮ケ原1-212,0982573325（0982-57-3325）,3000（千円）,原田　美利（ハラダ ミトシ）
株式会社鳥丸商店,1350001008147,食料品・飼料・飲料製造業,〒885-0076宮崎県都城市西町3728,0986222739（0986-22-2739）,10000（千円）,鳥丸　妙子（トリマル タエコ）
株式会社橋詰家具,1350001008205,家具・装備品製造業,〒885-0055宮崎県都城市早鈴町2042-3,0986226312（0986-22-6312）,59500（千円）,代表取締役社長／橋詰　和弘（ハシヅメ カズヒロ）
南日本酪農協同株式会社,1350001008320,食料品・飼料・飲料製造業,〒885-0073宮崎県都城市姫城町32-3,0986233456（0986-23-3456）,480000（千円）,代表取締役社長／加納　昭（カノウ アキラ）
都城木材株式会社,1350001008386,木材・木製品製造業（家具を除く）,〒885-0006宮崎県都城市吉尾町758-1,0986381500（0986-38-1500）,18000（千円）,代表取締役社長／五十嵐　可久（イガラシ ヨシヒサ）
ヤマエ食品工業株式会社,1350001008411,食料品・飼料・飲料製造業,〒885-0076宮崎県都城市西町3646,0986224611（0986-22-4611）,174000（千円）,代表取締役社長／江夏　喜一郎（エナツ キイチロウ）
ルヴェラ株式会社,1350001008444,衣服・その他の繊維製品製造業,〒885-0093宮崎県都城市志比田町4557-5,0986246115（0986-24-6115）,10000（千円）,代表取締役社長／桑山　久美子（クワヤマ クミコ）
日進ランバー株式会社,1350001008477,木材・木製品製造業（家具を除く）,〒889-1914宮崎県北諸県郡三股町蓼池4495,0986523518（0986-52-3518）,20000（千円）,代表取締役社長／横山　美樹（ヨコヤマ ヨシキ）
株式会社宮崎黒板,1350001009260,家具・装備品製造業,〒880-0122宮崎県宮崎市塩路2498,0985775001（0985-77-5001）,3000（千円）,佐田　博國（サダ ヒロクニ）
株式会社元祖おび天本舗,1350001009426,食料品・飼料・飲料製造業,〒889-2535宮崎県日南市飫肥4-1-20,0987252763（0987-25-2763）,50000（千円）,代表取締役／松田　利正（マツダ トシマサ）
株式会社戸村フーズ,1350001009475,食料品・飼料・飲料製造業,〒887-0012宮崎県日南市園田1-2-4,0987231882（0987-23-1882）,10000（千円）,戸村　吉守（トムラ ヨシモリ）
株式会社宮田本店,1350001009517,食料品・飼料・飲料製造業,〒889-3141宮崎県日南市大堂津4-1-8,0987271131（0987-27-1131）,10000（千円）,宮田　千賀子（ミヤタ チカコ）
株式会社ロビンフッド,1350001009566,金属製品製造業,〒889-2402宮崎県日南市北郷町郷之原乙504-1,0987217500（0987-21-7500）,15000（千円）,阿久根　茂樹（アクネ シゲキ）
井手生コン株式会社,1350001009632,窯業・土石製品製造業,〒888-0004宮崎県串間市串間1475,0987721239（0987-72-1239）,10000（千円）,代表取締役社長／井手　徳康（イデ ノリヤス）
