会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社サンリッツ,1011401002772,その他の製造業,〒939-0641富山県下新川郡入善町下上野40-1,0765747220（0765-74-7220）,1442440（千円）,大塚　至人（オオツカ トシヒト）
株式会社中西鉄工所,1120001150252,窯業・土石製品製造業,〒935-0035富山県氷見市上田子東平28-2,0766914750（0766-91-4750）,10000（千円）,中西　恭宏（ナカニシ ヤスヒロ）
株式会社石黒製作所,1230001000223,一般機械器具製造業,〒939-8003富山県富山市西公文名町3-22,0764217256（076-421-7256）,10000（千円）,石黒　隆之（イシグロ タカユキ）
オート機電株式会社,1230001000487,一般機械器具製造業,〒930-0822富山県富山市新屋15-4,0764515570（076-451-5570）,20000（千円）,代表取締役社長／菅原　秀朗（スガハラ ヒデアキ）
呉羽油脂工業株式会社,1230001000826,化学工業,〒931-8321富山県富山市犬島1-1-13,0764378178（076-437-8178）,30000（千円）,代表取締役社長／浅木　和朗（アサキ カズオ）
広文堂印刷株式会社,1230001000891,出版・印刷・同関連産業,〒939-8084富山県富山市西中野町1-2-17,0764218363（076-421-8363）,10000（千円）,代表取締役社長／広瀬　康夫（ヒロセ ヤスオ）
國民製薬株式会社,1230001000917,食料品・飼料・飲料製造業,〒930-0038富山県富山市緑町2-4-4,0764214032（076-421-4032）,15000（千円）,森　敦史（モリ アツシ）
新越コンクリート工業株式会社,1230001001139,窯業・土石製品製造業,〒936-0023富山県滑川市柳原88-4,0764754185（076-475-4185）,10000（千円）,山崎　榮市（ヤマザキ エイイチ）
株式会社シー・エー・ピー,1230001001147,出版・印刷・同関連産業,〒930-0873富山県富山市金屋1634-25,0764393311（076-439-3311）,40000（千円）,代表取締役社長／舘　良一（タチ リヨウイチ）
株式会社マリンシックス,1230001001188,輸送用機械器具製造業,〒939-3543富山県富山市水橋常願寺792,0764782780（076-478-2780）,10000（千円）,代表取締役社長／村澤　清敏（ムラサワ キヨトシ）
株式会社千両,1230001001411,食料品・飼料・飲料製造業,〒930-0855富山県富山市赤江町7-9,0764312835（076-431-2835）,10000（千円）,前田　伸章（マエダ ノブアキ）
株式会社タアフ,1230001001519,一般機械器具製造業,〒939-8132富山県富山市月岡町3-30,0764296225（076-429-6225）,20000（千円）,代表取締役社長／高村　元二（タカムラ モトジ）
立山マシン株式会社,1230001001650,一般機械器具製造業,〒930-1305富山県富山市下番30,0764834123（076-483-4123）,353700（千円）,代表取締役社長／宮野　兼美（ミヤノ カネヨシ）
株式会社チューエツ,1230001001725,出版・印刷・同関連産業,〒930-0057富山県富山市上本町3-16上本町ビル,0764951300（076-495-1300）,90000（千円）,代表取締役社長／山影　有三（ヤマカゲ ユウゾウ）
株式会社ティーアンドティー・タカマツタテグ,1230001001758,家具・装備品製造業,〒931-8301富山県富山市水落60-1,0764386868（076-438-6868）,10000（千円）,高松　俊郎（タカマツ トシロウ）
デンカ生コン富山株式会社,1230001001782,窯業・土石製品製造業,〒930-0814富山県富山市下冨居2-13-76,0764320661（076-432-0661）,45000（千円）,酒井　正人（サカイ マサト）
戸田電気鉄興株式会社,1230001001881,電気機械器具製造業,〒939-0552富山県富山市水橋恋塚1,0764781181（076-478-1181）,12000（千円）,戸田　治（トダ オサム）
富山精密株式会社,1230001002005,金属製品製造業,〒930-0904富山県富山市一本木33,0764511550（076-451-1550）,30000（千円）,伊勢　勇（イセ イサム）
株式会社ハシヅメ鉄工,1230001002509,一般機械器具製造業,〒939-8033富山県富山市横内428,0764249577（076-424-9577）,10000（千円）,橋爪　俊儀（ハシヅメ トシノリ）
株式会社シュシュ．,1230001002525,食料品・飼料・飲料製造業,〒939-8232富山県富山市南央町3-46,0764296268（076-429-6268）,10000（千円）,松井　薫子（マツイ カオル）
フジコン株式会社,1230001002681,窯業・土石製品製造業,〒939-8033富山県富山市横内491-1,0764932277（076-493-2277）,30000（千円）,代表取締役社長／村橋　賢亮（ムラハシ ケンスケ）
ユニオン産業株式会社,1230001003465,一般機械器具製造業,〒939-8232富山県富山市南央町3-33,0764295152（076-429-5152）,28000（千円）,代表取締役社長／澤井　勇（サワイ イサム）
株式会社ランプ,1230001003580,食料品・飼料・飲料製造業,〒930-2201富山県富山市草島285-5,0764356180（076-435-6180）,10000（千円）,松田　清親（マツダ キヨチカ）
株式会社ニッポンジーンマテリアル,1230001003779,化学工業,〒930-0982富山県富山市荒川1-1-25,0764110277（076-411-0277）,95000（千円）,米田　祐康（ヨネダ ユウコウ）
ライフケア技研株式会社,1230001004538,"繊維工業（衣服,その他の繊維製品を除く）",〒930-0834富山県富山市問屋町2-4-15,0764110201（076-411-0201）,45000（千円）,横井　秀輔（ヨコイ ヒデハル）
立山生コンクリート株式会社,1230001004777,窯業・土石製品製造業,〒930-0358富山県中新川郡上市町正印新34,0764724503（076-472-4503）,40000（千円）,酒井　正人（サカイ マサト）
東和エンジニアリング株式会社,1230001004793,電気機械器具製造業,〒930-0314富山県中新川郡上市町若杉17,0764724325（076-472-4325）,15000（千円）,福島　高一（フクシマ コウイチ）
株式会社ヨシダ成形,1230001004843,その他の製造業,〒930-0412富山県中新川郡上市町広野2828,0764726787（076-472-6787）,30000（千円）,吉田　元晴（ヨシダ モトハル）
株式会社ナチハイドロリクス,1230001005073,一般機械器具製造業,〒939-2622富山県富山市婦中町千里353,0764693829（076-469-3829）,48000（千円）,代表取締役社長／前沢　則浩（マエザワ ノリヒロ）
ホーライサンワイナリー株式会社,1230001005098,食料品・飼料・飲料製造業,〒939-2637富山県富山市婦中町鶚谷10,0764694539（076-469-4539）,10000（千円）,山藤　重徳（ヤマフジ シゲノリ）
株式会社高松メッキ,1230001005123,金属製品製造業,〒939-2366富山県富山市八尾町保内2-10,0764542600（076-454-2600）,100000（千円）,代表取締役社長／廣瀬　敏之（ヒロセ トシユキ）
古野商事株式会社,1230001005197,窯業・土石製品製造業,〒939-2254富山県富山市高内27日本カーボン内,0764682501（076-468-2501）,10000（千円）,古野　克彦（フルノ カツヒコ）
株式会社北陸電子,1230001005263,電気機械器具製造業,〒930-1333富山県富山市上大浦296-6,0764831715（076-483-1715）,20000（千円）,中野　忠利（ナカノ タダトシ）
株式会社タカタ工業,1230001005313,一般機械器具製造業,〒939-2303富山県富山市八尾町大杉73-2,0764546554（076-454-6554）,10000（千円）,高田　善夫（タカタ ヨシオ）
ニューレジストン株式会社,1230001005338,窯業・土石製品製造業,〒939-2321富山県富山市八尾町小長谷326,0764551218（076-455-1218）,24000（千円）,代表取締役社長／山内　憲司（ヤマウチ ケンジ）
株式会社八尾三徳,1230001005354,一般機械器具製造業,〒939-2376富山県富山市八尾町福島上野1015,0764542630（076-454-2630）,48000（千円）,代表取締役社長／升方　栄一（マスカタ エイイチ）
