会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社桜プリント社,1250001000270,出版・印刷・同関連産業,〒753-0212山口県山口市下小鯖3139-7,0839411600（083-941-1600）,10000（千円）,藤田　克己（フジタ カツキ）
長栄工業株式会社,1250001000403,金属製品製造業,〒753-0851山口県山口市黒川570-1,0839221388（083-922-1388）,10000（千円）,澤藤　芳昭（サワフジ ヨシアキ）
王子ゴム化成株式会社,1250001001896,ゴム製品製造業,〒747-0822山口県防府市勝間2-1-6,0835223956（0835-22-3956）,200000（千円）,代表取締役社長／中村　壽昭（ナカムラ トシアキ）
キョウワテクノフーズ株式会社,1250001001946,食料品・飼料・飲料製造業,〒747-0036山口県防府市戎町2-4-20,0835386971（0835-38-6971）,10000（千円）,西村　信之（ニシムラ ノブユキ）
株式会社栗林商店,1250001001954,食料品・飼料・飲料製造業,〒747-0031山口県防府市迫戸町22-31,0835232711（0835-23-2711）,10000（千円）,栗林　照二（クリバヤシ テルジ）
株式会社サンポリ,1250001001987,その他の製造業,〒747-0824山口県防府市新築地町6-1,0835236020（0835-23-6020）,30000（千円）,代表取締役社長／鹿嶋　英一郎（カシマ エイイチロウ）
菊浜エンジニアリング株式会社,1250001002085,金属製品製造業,〒747-0825山口県防府市新田1904,0835224530（0835-22-4530）,10000（千円）,石丸　朋文（イシマル トモフミ）
防府共同生コン株式会社,1250001002424,窯業・土石製品製造業,〒747-0054山口県防府市開出西町23-10,0835227273（0835-22-7273）,30000（千円）,益田　正彦（マスダ マサヒコ）
株式会社加藤工務店,1250001002787,木材・木製品製造業（家具を除く）,〒747-0046山口県防府市千日2-14-45,0835250934（0835-25-0934）,10000（千円）,加藤　博（カトウ ヒロシ）
兒玉印刷株式会社,1250001002911,出版・印刷・同関連産業,〒755-0008山口県宇部市明神町3-4-3,0836216135（0836-21-6135）,50000（千円）,兒玉　基男（コダマ モトオ）
宇部興産機械株式会社,1250001003050,一般機械器具製造業,〒755-0067山口県宇部市小串1980,0836220072（0836-22-0072）,6700000（千円）,代表取締役社長／久次　幸夫（ヒサツグ ユキオ）
城南電計株式会社,1250001003265,精密機械・医療機械器具製造業,〒759-0206山口県宇部市東須恵国ケ坪767-1,0836418067（0836-41-8067）,10000（千円）,長田　幸晴（ナガタ ユキハル）
せお産業株式会社,1250001003348,木材・木製品製造業（家具を除く）,〒755-0808山口県宇部市西平原4-10-50,0836311655（0836-31-1655）,14000（千円）,代表取締役社長／瀬尾　登（セオ ノボル）
株式会社ティーユーエレクトロニクス,1250001003439,電気機械器具製造業,〒759-0134山口県宇部市善和203-143,0836621151（0836-62-1151）,303000（千円）,代表取締役社長／冨田　進一（トミタ シンイチ）
明和化成株式会社,1250001003645,化学工業,〒755-0067山口県宇部市小串1988-20,0836229211（0836-22-9211）,99762（千円）,大原　真二（オオハラ シンジ）
株式会社モルテンアスコ,1250001003653,その他の製造業,〒759-0132山口県宇部市山中295-25,0839896166（083-989-6166）,50000（千円）,合屋　克志（ゴウヤ カツシ）
末廣自動車工業株式会社,1250001003827,輸送用機械器具製造業,〒756-0057山口県山陽小野田市西高泊572-1,0836832880（0836-83-2880）,36000（千円）,駄阿　幸男（ダア ユキオ）
西海食品株式会社,1250001003942,食料品・飼料・飲料製造業,〒757-0011山口県山陽小野田市津布田2634-1,0836760140（0836-76-0140）,40000（千円）,藤田　悟（フジタ サトル）
株式会社水上材木店,1250001004313,木材・木製品製造業（家具を除く）,〒759-2151山口県美祢市西厚保町本郷1746,0837580008（0837-58-0008）,10000（千円）,水上　和彦（ミズカミ カズヒコ）
株式会社モルテン大津,1250001004800,ゴム製品製造業,〒759-2212山口県美祢市大嶺町東分1162-3,0837540006（0837-54-0006）,10000（千円）,木下　武志（キノシタ タケシ）
株式会社山田鉄工建設,1250001004841,金属製品製造業,〒759-2212山口県美祢市大嶺町東分3058-48,0837521436（0837-52-1436）,6500（千円）,矢田　陽一（ヤタ ヨウイチ）
デイリーボーノ株式会社,1250001004908,食料品・飼料・飲料製造業,〒755-0808山口県宇部市西平原3-1-25,0836320008（0836-32-0008）,6000（千円）,楠野　隆行（クスノ タカユキ）
株式会社サンアロー,1250001004932,食料品・飼料・飲料製造業,〒755-0017山口県宇部市芝中町11-46-1003号,0836350035（0836-35-0035）,5000（千円）,近安　裕司（チカヤス ユウジ）
アロー印刷株式会社,1250001005055,出版・印刷・同関連産業,〒751-0818山口県下関市卸新町10-3,0832231211（083-223-1211）,56750（千円）,代表取締役社長／堀川　国彦（ホリカワ クニヒコ）
株式会社岡本鉄工,1250001005204,輸送用機械器具製造業,〒750-0086山口県下関市彦島塩浜町1-1-9,0832667155（083-266-7155）,50000（千円）,代表取締役会長／岡本　仁志（オカモト ヒトシ）
菊谷エンジニアリング株式会社,1250001005303,一般機械器具製造業,〒752-0953山口県下関市長府港町5-27,0832453444（083-245-3444）,10000（千円）,代表取締役社長／菊谷　茂吉（キクタニ モキチ）
旭洋造船株式会社,1250001005344,輸送用機械器具製造業,〒752-0953山口県下関市長府港町8-7,0832461291（083-246-1291）,60000（千円）,代表取締役社長／越智　勝彦（オチ カツヒコ）
大日本パール工業株式会社,1250001005823,食料品・飼料・飲料製造業,〒750-0086山口県下関市彦島塩浜町2-1-6,0832665331（083-266-5331）,10000（千円）,芝崎　由樹（シバサキ ユウキ）
株式会社デコス,1250001005963,パルプ・紙・紙加工品製造業,〒751-0851山口県下関市熊野西町6-13,0832552020（083-255-2020）,30000（千円）,代表取締役／安成　信次（ヤスナリ シンジ）
株式会社電創技研,1250001006061,電気機械器具製造業,〒750-0075山口県下関市彦島江の浦町9-4-19,0832660188（083-266-0188）,13000（千円）,長山　憲範（ナガヤマ ヨシノリ）
株式会社美栄水産,1250001006400,食料品・飼料・飲料製造業,〒750-0087山口県下関市彦島福浦町1-2-20,0832668635（083-266-8635）,10000（千円）,代表取締役社長／山村　信一郎（ヤマムラ シンイチロウ）
山善工業株式会社,1250001006482,一般機械器具製造業,〒752-0927山口県下関市長府扇町3-40,0832483229（083-248-3229）,10000（千円）,代表取締役／東　日出夫（ヒガシ ヒデオ）
下関三井化学株式会社,1250001006689,化学工業,〒750-0092山口県下関市彦島迫町7-1-1,0832661122（083-266-1122）,490000（千円）,代表取締役社長／明石　誠也（アカシ セイヤ）
株式会社鳴門商事,1250001006730,食料品・飼料・飲料製造業,〒751-0817山口県下関市一の宮卸本町2-6,0832291129（083-229-1129）,50000（千円）,南岡　隆司（ミナミオカ タカシ）
バッセル化学株式会社,1250001007002,化学工業,〒750-0074山口県下関市彦島本村町6-10-6,0832666261（083-266-6261）,10000（千円）,代表取締役社長／小谷　芳朗（コタニ ヨシアキ）
株式会社功栄商工,1250001007332,金属製品製造業,〒751-0853山口県下関市川中豊町1-12-40,0832523363（083-252-3363）,3000（千円）,國嶋　浩幸（クニシマ ヒロユキ）
株式会社下関コントロールシステム,1250001007638,電気機械器具製造業,〒750-0076山口県下関市彦島弟子待町3-1-3,0832662222（083-266-2222）,3000（千円）,籔中　和利（ヤブナカ カズトシ）
株式会社海進,1250001007712,輸送用機械器具製造業,〒750-0084山口県下関市彦島向井町2-4-20,0832668582（083-266-8582）,3000（千円）,梅本　道斉（ウメモト ミチナリ）
株式会社サン精機,1250001008025,一般機械器具製造業,〒758-0024山口県萩市東浜崎町11-10,0838227677（0838-22-7677）,10000（千円）,楠牟禮　勲（クスムレ ツトム）
