会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社オプトロン,1390001000356,ビジネス > 製造・加工（電子・精密機械器具）,〒990-2482山形県山形市久保田1-6-5,0236444270（023-644-4270）,"",""
株式会社山形生コン,1390001002138,ビジネス > 製造・加工（金属製品）,〒990-2363山形県山形市長谷堂4143-1,0236886631（023-688-6631）,10000（千円）,代表取締役社長／横山　誠（ヨコヤマ マコト）
株式会社ルマックス,1390001002344,ビジネス > 製造・加工（衣料関連）,〒990-0832山形県山形市城西町3-19-10,0236455533（023-645-5533）,"",""
安達株式会社,1390001002402,ビジネス > 製造・加工（衣料関連）,〒990-0301山形県東村山郡山辺町山辺1077-2,0236645063（023-664-5063）,"",""
株式会社柴田製作所,1390001005306,ビジネス > 製造・加工（金属製品）,〒990-2161山形県山形市漆山字東849,0236864181（023-686-4181）,"",""
株式会社庄内レザー,1390001006304,ビジネス > 製造・加工（衣料関連）,〒999-7762山形県東田川郡庄内町家根合字中荒田55-13,0234451550（0234-45-1550）,10000（千円）,池田　章（イケダ アキラ）
株式会社ユーテック,1390001006650,ビジネス > 製造・加工（工作機械・一般機械器具）,〒998-0102山形県酒田市京田2-21-1,0234412615（0234-41-2615）,"",""
株式会社三光製作所,1390001006824,ビジネス > 製造・加工（電気機械器具）,〒999-7781山形県東田川郡庄内町余目字大塚23-1,0234423311（0234-42-3311）,"",""
秋山鉄工株式会社,1390001007434,ビジネス > 製造・加工（工作機械・一般機械器具）,山形県鶴岡市宝田1丁目10-1,0235221850（0235-22-1850）,"",""
株式会社サンファミリー,1390001007574,ビジネス > 製造・加工（衣料関連）,〒997-0802山形県鶴岡市伊勢原町4-50,0235246095（0235-24-6095）,"",""
株式会社丸金,1390001007822,ビジネス > 製造・加工（その他）,〒997-0026山形県鶴岡市大東町22-13,0235220570（0235-22-0570）,"",""
株式会社イワテック,1390001007896,ビジネス > 製造・加工（工作機械・一般機械器具）,〒997-0402山形県鶴岡市東岩本田中29-3,0235533559（0235-53-3559）,"",""
株式会社最北精密,1390001008564,ビジネス > 製造・加工（生活雑貨・日用品）,〒996-0002山形県新庄市金沢1125,0233221931（0233-22-1931）,"",""
株式会社協和製作所,1390001009199,ビジネス > 製造・加工（医療・薬関連）,〒999-4552山形県尾花沢市荻袋字西荻原1289-1,0237253661（0237-25-3661）,"",""
株式会社サンテック,1390001009323,ビジネス > 製造・加工（電子・精密機械器具）,〒999-3737山形県東根市若木字七窪5555-16,0237482721（0237-48-2721）,"",""
株式会社エスワン,1390001009777,ビジネス > 製造・加工（化学・プラスチック）,〒992-1124山形県米沢市万世町金谷335-3,0238282224（0238-28-2224）,"",""
株式会社ウェーブ,1390001010330,ビジネス > 製造・加工（電子・精密機械器具）,〒992-0023山形県米沢市下花沢3-4-36,0238281431（0238-28-1431）,"",""
株式会社きらり,1390001010941,ビジネス > 製造・加工（医療・薬関連）,〒992-1581山形県米沢市口田沢1500-1,0238312228（0238-31-2228）,"",""
株式会社長井製作所,1390001011139,ビジネス > 製造・加工（工作機械・一般機械器具）,〒993-0015山形県長井市四ツ谷一丁目4番36号,0238842012（0238-84-2012）,"",""
株式会社日栄製作所,1390001011312,ビジネス > 製造・加工（工作機械・一般機械器具）,〒999-0601山形県西置賜郡飯豊町中1097,0238722069（0238-72-2069）,10000（千円）,梅津　昌志（ウメツ マサシ）
株式会社寒河江製作所,1390001011808,ビジネス > 製造・加工（金属製品）,〒991-0041山形県寒河江市寒河江字横道10,0237865315（0237-86-5315）,25000（千円）,寒河江　弘悦（サガエ コウエツ）
第一相互物産株式会社,1390001011849,ビジネス > 製造・加工（建築資材）,〒991-0005山形県寒河江市字中河原83番地,0237842151（0237-84-2151）,"",""
株式会社岩田,1390001015651,ビジネス > 製造・加工（輸送機械器具）,〒990-2351山形県山形市鋳物町38,0236434188（023-643-4188）,"",""
