会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社内田印刷所,1090001000238,出版・印刷・同関連産業,〒400-0032山梨県甲府市中央2-10-18,0552330188（055-233-0188）,10000（千円）,内田　博（ウチダ ヒロシ）
株式会社シミズ貴石,1090001001070,その他の製造業,〒400-0042山梨県甲府市高畑1-13-18,0552281180（055-228-1180）,10000（千円）,清水　忠雄（シミズ タダオ）
株式会社大宣堂印刷,1090001001269,出版・印刷・同関連産業,〒400-0032山梨県甲府市中央1-12-31,0552353602（055-235-3602）,10000（千円）,宮田　龍二（ミヤタ リユウジ）
株式会社田口機工,1090001001319,一般機械器具製造業,〒400-1501山梨県甲府市上曽根町731-2,0552401147（055-240-1147）,10000（千円）,中村　誠（ナカムラ マコト）
鶴田精密機械工業株式会社,1090001001434,一般機械器具製造業,〒400-0864山梨県甲府市湯田2-9-5,0552337632（055-233-7632）,10000（千円）,鶴田　卓馬（ツルタ タクマ）
山梨積水株式会社,1090001001500,その他の製造業,〒400-0052山梨県甲府市上条新居町300,0552418459（055-241-8459）,480000（千円）,花川　因（ハナカワ チナミ）
株式会社中村,1090001001582,一般機械器具製造業,〒400-0064山梨県甲府市下飯田1-6-2,0552243451（055-224-3451）,20000（千円）,中村　和夫（ナカムラ カズオ）
不二製パン株式会社,1090001001871,食料品・飼料・飲料製造業,〒400-0043山梨県甲府市国母5-4-1,0552244481（055-224-4481）,10000（千円）,間　正矩（ハザマ マサノリ）
北條製餡株式会社,1090001001962,食料品・飼料・飲料製造業,〒400-0856山梨県甲府市伊勢1-5-3,0552354155（055-235-4155）,10000（千円）,北條　憲司（ホウジヨウ ケンジ）
山梨電子工業株式会社,1090001002275,電気機械器具製造業,〒400-0058山梨県甲府市宮原町1014,0552412221（055-241-2221）,410000（千円）,代表取締役社長／川口　洋介（カワグチ ヨウスケ）
株式会社ネオ・クラフト,1090001002688,その他の製造業,〒400-0117山梨県甲斐市西八幡4034,0552765357（055-276-5357）,31000（千円）,小林　一蔵（コバヤシ イチゾウ）
ユタカ電機株式会社,1090001002754,電気機械器具製造業,〒400-0113山梨県甲斐市富竹新田1355,0552766111（055-276-6111）,12000（千円）,清水　明光（シミズ アキミツ）
