会社名,法人番号,業種,住所,電話番号,資本金,代表氏名
株式会社Ｆａｃｔｏｒｉａ,1180001086912,化学工業,〒503-0651岐阜県海津市海津町平原691,0584520135（0584-52-0135）,10000（千円）,内村　彰秀（ウチムラ アキヒデ）
有限会社松原スプリング,1180002074453,金属製品製造業,〒501-6003岐阜県羽島郡岐南町平島1-209,0582150702（058-215-0702）,8500（千円）,松原　一彦（マツバラ カズヒコ）
アーバンエイトシャツ株式会社,1200001000052,衣服・その他の繊維製品製造業,〒502-0934岐阜県岐阜市大福町5-42,0582323568（058-232-3568）,10000（千円）,高本　博（タカモト ヒロシ）
株式会社朝霧機器,1200001000127,輸送用機械器具製造業,〒500-8255岐阜県岐阜市朝霧町22,0582731033（058-273-1033）,15000（千円）,岩田　信男（イワタ ノブオ）
株式会社岡本工機,1200001000845,輸送用機械器具製造業,〒500-8439岐阜県岐阜市村里町69,0582715323（058-271-5323）,40000（千円）,代表取締役社長／岡本　達明（オカモト タツアキ）
角田紙業株式会社,1200001000944,パルプ・紙・紙加工品製造業,〒501-6135岐阜県岐阜市茶屋新田1-41,0582794147（058-279-4147）,10000（千円）,代表取締役社長／角田　文男（カクタ フミオ）
株式会社加野,1200001001018,金属製品製造業,〒500-8319岐阜県岐阜市桜木町1-17,0582532151（058-253-2151）,10000（千円）,加野　稠（カノ シゲシ）
神谷マテリアル岐阜株式会社,1200001001083,"繊維工業（衣服,その他の繊維製品を除く）",〒500-8237岐阜県岐阜市切通5-10-15,0582404008（058-240-4008）,10000（千円）,神谷　悟（カミヤ サトル）
岐阜工芸株式会社,1200001001208,その他の製造業,〒502-0802岐阜県岐阜市打越北山63-51,0582946311（058-294-6311）,10000（千円）,代表取締役社長／林　秀久（ハヤシ ヒデヒサ）
岐阜紙器株式会社,1200001001315,パルプ・紙・紙加工品製造業,〒500-8287岐阜県岐阜市北鶉1-7,0582711919（058-271-1919）,15000（千円）,長瀬　孝一（ナガセ コウイチ）
株式会社岐阜新聞情報センター,1200001001348,出版・印刷・同関連産業,〒500-8822岐阜県岐阜市今沢町12,0582637224（058-263-7224）,10000（千円）,山本　耕（ヤマモト コウ）
岐阜プラスチック工業株式会社,1200001001471,その他の製造業,〒500-8833岐阜県岐阜市神田町9-27,0582652232（058-265-2232）,211000（千円）,代表取締役社長／大松　利幸（オオマツ トシユキ）
株式会社興電産業,1200001001926,電気機械器具製造業,〒502-0905岐阜県岐阜市山吹町2-34,0582335661（058-233-5661）,10000（千円）,河合　俊彦（カワイ トシヒコ）
株式会社清水製作所,1200001002536,一般機械器具製造業,〒500-8143岐阜県岐阜市瑞雲町1-2,0582464844（058-246-4844）,10000（千円）,清水　広明（シミズ ヒロアキ）
株式会社鷲見化粧ベニヤ,1200001002767,木材・木製品製造業（家具を除く）,〒501-0101岐阜県岐阜市曽我屋4-77,0582392555（058-239-2555）,10000（千円）,鷲見　新一（スミ シンイチ）
株式会社田幸,1200001003105,"繊維工業（衣服,その他の繊維製品を除く）",〒500-8285岐阜県岐阜市南鶉5-52-1,0582716661（058-271-6661）,100000（千円）,代表取締役社長／田島　一男（タジマ カズオ）
タケムラテック株式会社,1200001003187,一般機械器具製造業,〒500-8385岐阜県岐阜市下奈良1-27-3,0582768588（058-276-8588）,80000（千円）,竹村　佳世子（タケムラ カヨコ）
株式会社タナック,1200001003253,ゴム製品製造業,〒500-8185岐阜県岐阜市元町4-24,0582636381（058-263-6381）,30000（千円）,代表取締役社長／棚橋　一成（タナハシ カズナリ）
土本食品株式会社,1200001003451,食料品・飼料・飲料製造業,〒501-3145岐阜県岐阜市芥見野畑1-65,0582431120（058-243-1120）,35000（千円）,土本　正則（ツチモト マサノリ）
日本蜂蜜株式会社,1200001003988,食料品・飼料・飲料製造業,〒500-8234岐阜県岐阜市芋島5-4-1,0582596161（058-259-6161）,20500（千円）,代表取締役社長／木方　將文（キホウ マサフミ）
雛屋林材株式会社,1200001004375,木材・木製品製造業（家具を除く）,〒500-8441岐阜県岐阜市城東通1-35,0582722397（058-272-2397）,12500（千円）,桑原　善吉（クワハラ ゼンキチ）
富士変速機株式会社,1200001004458,一般機械器具製造業,〒500-8448岐阜県岐阜市中洲町18,0582716521（058-271-6521）,2507500（千円）,代表取締役社長／河嶋　謙一（カワシマ ケンイチ）
株式会社藤沢鉄工,1200001004540,金属製品製造業,〒500-8207岐阜県岐阜市日野北3-8-15,0582457444（058-245-7444）,10000（千円）,藤沢　伸行（フジサワ ノブユキ）
株式会社フレンドシップ,1200001004623,その他の製造業,〒500-8227岐阜県岐阜市北一色2-5-4,0582480968（058-248-0968）,10000（千円）,渡邊　慶樹（ワタナベ ヨシキ）
株式会社弁天堂,1200001004664,食料品・飼料・飲料製造業,〒500-8833岐阜県岐阜市神田町5-12,0582621397（058-262-1397）,30000（千円）,高井　啓光（タカイ ヨシミツ）
ＧＥテクノ株式会社,1200001006594,窯業・土石製品製造業,〒501-2259岐阜県山県市岩佐1541,0581522449（0581-52-2449）,50000（千円）,武藤　壽松（ムトウ ヒサマツ）
高富化学工業株式会社,1200001006603,その他の製造業,〒501-2105岐阜県山県市高富1825,0581225445（0581-22-5445）,10000（千円）,今瀬　雅善（イマセ マサヨシ）
丸十松村製材株式会社,1200001006669,木材・木製品製造業（家具を除く）,〒501-2321岐阜県山県市谷合1298-2,0581552013（0581-55-2013）,10000（千円）,松村　豪璋（マツムラ ヒデアキ）
美山生コン株式会社,1200001006677,窯業・土石製品製造業,〒501-2259岐阜県山県市岩佐1406,0581521234（0581-52-1234）,21000（千円）,代表取締役社長／武藤　司（ムトウ ツカサ）
株式会社山本製作所,1200001006693,一般機械器具製造業,〒501-2259岐阜県山県市岩佐1130-3,0581521259（0581-52-1259）,10000（千円）,代表取締役社長／山本　貴通（ヤマモト タカミチ）
織司株式会社,1200001006891,"繊維工業（衣服,その他の繊維製品を除く）",〒504-0927岐阜県各務原市上戸町4-104-2,0583830727（058-383-0727）,50000（千円）,奥村　高康（オクムラ タカヤス）
株式会社エヌ・ディ・シー,1200001006917,食料品・飼料・飲料製造業,〒509-0111岐阜県各務原市鵜沼伊木山1491-13,0583844009（058-384-4009）,20000（千円）,市川　賢治（イチカワ ケンジ）
カワボウテキスチャード株式会社,1200001006990,"繊維工業（衣服,その他の繊維製品を除く）",〒501-6216岐阜県羽島市正木町須賀544-17,0583930311（058-393-0311）,20000（千円）,代表取締役社長／川島　和之（カワシマ カズユキ）
株式会社ケージーエム,1200001007064,輸送用機械器具製造業,〒504-0971岐阜県各務原市川崎町1,0583893390（058-389-3390）,70000（千円）,中村　誠治（ナカムラ セイジ）
高安株式会社,1200001007238,化学工業,〒504-0828岐阜県各務原市蘇原村雨町3-47,0583822231（058-382-2231）,90000（千円）,代表取締役社長／高安　彰（タカヤス アキラ）
日晃オートメ株式会社,1200001007246,電気機械器具製造業,〒504-0927岐阜県各務原市上戸町7-1-22,0583833737（058-383-3737）,24000（千円）,代表取締役社長／花田　伸（ハナダ ノブル）
大東乳業株式会社,1200001007304,食料品・飼料・飲料製造業,〒504-0925岐阜県各務原市松本町2-466,0583713151（058-371-3151）,50000（千円）,代表取締役社長／佐橋　正張（サハシ マサハル）
鳥羽工産株式会社,1200001007345,一般機械器具製造業,〒509-0104岐阜県各務原市各務おがせ町9-260,0583841225（058-384-1225）,90000（千円）,代表取締役社長／傍島　茂夫（ソバジマ シゲオ）
株式会社東海パウデックス,1200001007353,一般機械器具製造業,〒504-0014岐阜県各務原市那加山崎町87-5,0583892021（058-389-2021）,40000（千円）,代表取締役社長／西田　俊一（ニシダ シユンイチ）
早川工業株式会社,1200001007411,輸送用機械器具製造業,〒509-0108岐阜県各務原市須衛町2-446,0583841148（058-384-1148）,98000（千円）,代表取締役社長／早川　太（ハヤカワ フトシ）
弥栄工業株式会社,1200001007592,輸送用機械器具製造業,〒504-0814岐阜県各務原市蘇原興亜町2-1-5,0583836611（058-383-6611）,16000（千円）,小林　央（コバヤシ ヒサシ）
株式会社森田木型,1200001007766,その他の製造業,〒504-0957岐阜県各務原市金属団地1,0583833555（058-383-3555）,10000（千円）,佐藤　隆紀（サトウ タカノリ）
三晃染色株式会社,1200001007881,"繊維工業（衣服,その他の繊維製品を除く）",〒504-0925岐阜県各務原市松本町2-458,0583711181（058-371-1181）,10000（千円）,小山内　謙太郎（オサナイ ケンタロウ）
河合木工株式会社,1200001008005,木材・木製品製造業（家具を除く）,〒501-6122岐阜県岐阜市柳津町高桑東2-92,0582790515（058-279-0515）,10000（千円）,河合　忠裕（カワイ タダヒロ）
永田染工株式会社,1200001008054,"繊維工業（衣服,その他の繊維製品を除く）",〒501-6112岐阜県岐阜市柳津町北塚5-100,0583882323（058-388-2323）,10000（千円）,代表取締役社長／永田　員丈（ナガタ カズタケ）
株式会社ウェンズ,1200001008269,衣服・その他の繊維製品製造業,〒501-2104岐阜県山県市東深瀬239-3,0581223661（0581-22-3661）,3000（千円）,藤澤　英二（フジサワ エイジ）
株式会社永楽,1200001008392,一般機械器具製造業,〒509-0145岐阜県各務原市鵜沼朝日町1-105,0583849148（058-384-9148）,5000（千円）,仙石　勝（センゴク マサル）
株式会社若原工業,1200001008814,金属製品製造業,〒504-0014岐阜県各務原市那加山崎町43-3,0582136602（058-213-6602）,5000（千円）,若原　勝美（ワカハラ カツミ）
株式会社秋田鉄工,1200001008822,一般機械器具製造業,〒504-0957岐阜県各務原市金属団地55,0583823423（058-382-3423）,4000（千円）,秋田　耕治（アキタ コウジ）
光生電業株式会社,1200001009143,電気機械器具製造業,〒500-8211岐阜県岐阜市日野東4-4-10,0582435827（058-243-5827）,3500（千円）,近藤　紀久夫（コンドウ キクオ）
安藤コンクリート工業株式会社,1200001009746,窯業・土石製品製造業,〒501-0436岐阜県本巣郡北方町長谷川西3-98,0583242121（058-324-2121）,20000（千円）,安藤　正年（アンドウ マサトシ）
和泉技研工業株式会社,1200001009787,一般機械器具製造業,〒501-1205岐阜県本巣市曽井中島東川原673-4,0581342386（0581-34-2386）,10000（千円）,田口　幹洋（タグチ ミキヒロ）
片桐株式会社,1200001009837,その他の製造業,〒501-0234岐阜県瑞穂市牛牧堀込1627-5,0583262055（058-326-2055）,24000（千円）,代表取締役社長／片桐　洋司（カタギリ ヨウジ）
サンアッド株式会社,1200001009936,"繊維工業（衣服,その他の繊維製品を除く）",〒501-0314岐阜県瑞穂市十八条589-10,0583285155（058-328-5155）,50000（千円）,中西　英晴（ナカニシ ヒデハル）
穂積ニット株式会社,1200001010126,"繊維工業（衣服,その他の繊維製品を除く）",〒501-0224岐阜県瑞穂市稲里125,0583273388（058-327-3388）,10000（千円）,金杉　政光（カネスギ マサミツ）
株式会社ハイビックス,1200001010233,その他の製造業,〒501-0305岐阜県瑞穂市宮田245,0583283131（058-328-3131）,24000（千円）,代表取締役社長／高井　順子（タカイ ジユンコ）
株式会社ヨナシロ製作所,1200001010274,一般機械器具製造業,〒501-0222岐阜県瑞穂市別府1650-4,0583273163（058-327-3163）,10000（千円）,與那城　昭夫（ヨナシロ アキオ）
株式会社スギヤマメカレトロ,1200001010308,一般機械器具製造業,〒501-0414岐阜県本巣市数屋1053-12,0583233600（058-323-3600）,22500（千円）,代表取締役社長／浅野　博幸（アサノ ヒロユキ）
株式会社リョウ,1200001010530,衣服・その他の繊維製品製造業,〒501-0435岐阜県本巣郡北方町春来町2-68,0583247322（058-324-7322）,10000（千円）,梅田　良（ウメダ リヨウ）
株式会社アカオ,1200001010687,出版・印刷・同関連産業,〒501-6016岐阜県羽島郡岐南町徳田7-34,0582713421（058-271-3421）,35000（千円）,安藤　公二（アンドウ コウジ）
株式会社イーエスピー企画,1200001010753,精密機械・医療機械器具製造業,〒501-6257岐阜県羽島市福寿町平方4-41岐阜羽島テクノビル,0583970660（058-397-0660）,10000（千円）,江崎　雅康（エサキ マサヤス）
株式会社エムシーシー,1200001010794,金属製品製造業,〒501-6338岐阜県羽島市堀津町須賀中113,0583982283（058-398-2283）,10000（千円）,岡本　功（オカモト イサオ）
株式会社黒田製作所,1200001011000,一般機械器具製造業,〒501-6006岐阜県羽島郡岐南町伏屋9-138,0582477423（058-247-7423）,24000（千円）,代表取締役社長／黒田　昌彦（クロダ マサヒコ）
株式会社三友製作所,1200001011074,金属製品製造業,〒501-6211岐阜県羽島市正木町南及5-58,0583921770（058-392-1770）,20000（千円）,山田　光儀（ヤマダ ミツヨシ）
株式会社関谷シャツ,1200001011149,衣服・その他の繊維製品製造業,〒501-6254岐阜県羽島市福寿町本郷1485,0583926561（058-392-6561）,10000（千円）,関谷　丈夫（セキヤ タケオ）
千代菊株式会社,1200001011231,食料品・飼料・飲料製造業,〒501-6241岐阜県羽島市竹鼻町2733,0583913131（058-391-3131）,214137（千円）,田中　文悟（タナカ ブンゴ）
東海プラスチックス工業株式会社,1200001011264,その他の製造業,〒501-6019岐阜県羽島郡岐南町みやまち1-95,0582717533（058-271-7533）,10000（千円）,多葉田　博（タバタ ヒロシ）
株式会社ニホンサンミ,1200001011339,食料品・飼料・飲料製造業,〒501-6207岐阜県羽島市足近町4-227-1,0583921333（058-392-1333）,38000（千円）,山口　忠一（ヤマグチ タダカズ）
株式会社ハイボーン,1200001011388,"繊維工業（衣服,その他の繊維製品を除く）",〒501-6236岐阜県羽島市江吉良町197-1長谷虎紡績株式会社内,0583922121（058-392-2121）,50000（千円）,長谷　和治（ハセ カズハル）
株式会社ハローバッグ,1200001011413,パルプ・紙・紙加工品製造業,〒501-6035岐阜県羽島郡笠松町円城寺1449-1,0583888500（058-388-8500）,10000（千円）,代表取締役社長／遠藤　眞巳（エンドウ マサミ）
ワタケン鉄工株式会社,1200001011677,金属製品製造業,〒501-6326岐阜県羽島市桑原町東方887,0583985702（058-398-5702）,10000（千円）,渡邉　貴明（ワタナベ タカアキ）
株式会社エコラボ,1200001012568,金属製品製造業,〒500-8825岐阜県岐阜市八ツ寺町2-19ソシアルビル山月2F,0582647223（058-264-7223）,5000（千円）,若園　美鈴（ワカゾノ ミスズ）
株式会社伊藤良商店,1200001013211,窯業・土石製品製造業,〒503-0903岐阜県大垣市東外側町2-34,0584784350（0584-78-4350）,10000（千円）,安田　義司（ヤスダ ヨシジ）
株式会社イビコン,1200001013228,窯業・土石製品製造業,〒503-0003岐阜県大垣市津村町2-65,0584825100（0584-82-5100）,16000（千円）,代表取締役社長／清水　義弘（シミズ ヨシヒロ）
株式会社オーセロ,1200001013302,その他の製造業,〒503-0936岐阜県大垣市内原1-75-2,0584891557（0584-89-1557）,50000（千円）,代表取締役社長／安田　政司（ヤスダ マサシ）
カニ紙器工業株式会社,1200001013442,パルプ・紙・紙加工品製造業,〒503-0008岐阜県大垣市楽田町5-15,0584813622（0584-81-3622）,10000（千円）,可児　一善（カニ カズヨシ）
三景電機株式会社,1200001013624,電気機械器具製造業,〒503-0831岐阜県大垣市新長沢町5-22,0584783214（0584-78-3214）,15000（千円）,高田　正樹（タカダ マサキ）
株式会社サンパック,1200001013657,パルプ・紙・紙加工品製造業,〒503-0002岐阜県大垣市開発町5-657-1,0584815366（0584-81-5366）,10000（千円）,近藤　政樹（コンドウ マサキ）
鈴木鋳造株式会社,1200001013756,一般機械器具製造業,〒503-0945岐阜県大垣市浅西1-117,0584894030（0584-89-4030）,10000（千円）,鈴木　勝二（スズキ カツジ）
外部機械株式会社,1200001013822,金属製品製造業,〒503-2216岐阜県大垣市昼飯町2112,0584710332（0584-71-0332）,10000（千円）,外部　敏彦（ソトベ トシヒコ）
株式会社ユニクラフト,1200001013905,金属製品製造業,〒503-2216岐阜県大垣市昼飯町892-1,0584921190（0584-92-1190）,10000（千円）,高木　光司（タカギ コウジ）
株式会社トーカイ・アピア,1200001014003,その他の製造業,〒503-0947岐阜県大垣市浅草2-85,0584871755（0584-87-1755）,10000（千円）,青木　誠（アオキ マコト）
ニホン美術印刷株式会社,1200001014110,出版・印刷・同関連産業,〒503-0908岐阜県大垣市西外側町2-15,0584782171（0584-78-2171）,12000（千円）,代表取締役社長／奥田　優（オクダ マサル）
丸昇技研工業株式会社,1200001014548,一般機械器具製造業,〒503-0112岐阜県安八郡安八町東結585,0584623745（0584-62-3745）,10000（千円）,宮部　勝治（ミヤベ シヨウジ）
近藤石材株式会社,1200001014779,窯業・土石製品製造業,〒503-2102岐阜県不破郡垂井町敷原谷田49,0584233186（0584-23-3186）,20000（千円）,近藤　光夫（コンドウ ミツオ）
株式会社サンレール,1200001014787,金属製品製造業,〒503-2122岐阜県不破郡垂井町表佐214-3,0584233131（0584-23-3131）,87500（千円）,廣瀬　良弘（ヒロセ ヨシヒロ）
Ｇ株式会社,1200001014795,電気機械器具製造業,〒503-0986岐阜県大垣市中曽根町698-1,0584921517（0584-92-1517）,10000（千円）,高橋　辰夫（タカハシ タツオ）
株式会社伊吹ＬＩＸＩＬ製作所,1200001014829,金属製品製造業,〒503-2122岐阜県不破郡垂井町表佐808,0584221234（0584-22-1234）,50000（千円）,関塚　英樹（セキヅカ ヒデキ）
株式会社服部精工,1200001014845,一般機械器具製造業,〒503-2121岐阜県不破郡垂井町1463,0584222155（0584-22-2155）,50000（千円）,代表取締役社長／服部　憲司（ハツトリ ケンジ）
テンプル株式会社,1200001014911,衣服・その他の繊維製品製造業,〒503-0213岐阜県安八郡輪之内町藻池新田5198-1,0584694090（0584-69-4090）,10000（千円）,小寺　英幸（コデラ ヒデユキ）
栄製缶株式会社,1200001014993,金属製品製造業,〒503-1331岐阜県養老郡養老町橋爪627-1,0584342771（0584-34-2771）,10000（千円）,代表取締役社長／田中　久光（タナカ ヒサミツ）
株式会社松永製作所,1200001015083,輸送用機械器具製造業,〒503-1272岐阜県養老郡養老町大場484,0584351180（0584-35-1180）,50000（千円）,代表取締役社長／松永　紀之（マツナガ ノリユキ）
